Data;14084 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas físicas - R$ (milhões);14089 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas jurídicas - R$ (milhões);14094 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - R$ (milhões);15889 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas físicas - %;15921 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Pessoas jurídicas - %;15953 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - %
09/2010;98.028 ;94.795 ;192.822 ;5,80 ;2,14 ;3,68
10/2010;100.353 ;97.193 ;197.546 ;5,94 ;1,98 ;3,64
11/2010;102.520 ;99.429 ;201.948 ;5,68 ;1,94 ;3,52
12/2010;105.771 ;101.071 ;206.842 ;5,13 ;1,87 ;3,26
01/2011;108.543 ;102.439 ;210.982 ;5,19 ;2,00 ;3,36
02/2011;109.956 ;104.161 ;214.116 ;4,57 ;1,99 ;3,08
03/2011;110.774 ;104.855 ;215.630 ;4,64 ;1,99 ;3,12
04/2011;112.794 ;106.654 ;219.448 ;4,80 ;2,06 ;3,23
05/2011;114.589 ;108.482 ;223.071 ;4,92 ;2,23 ;3,38
06/2011;117.001 ;110.394 ;227.395 ;4,90 ;2,00 ;3,24
07/2011;119.872 ;111.680 ;231.552 ;5,03 ;2,20 ;3,42
08/2011;121.410 ;114.208 ;235.618 ;5,09 ;2,12 ;3,40
09/2011;124.760 ;118.832 ;243.592 ;5,17 ;2,07 ;3,40
10/2011;126.735 ;118.566 ;245.301 ;5,47 ;2,11 ;3,56
11/2011;128.994 ;121.938 ;250.932 ;6,16 ;2,17 ;3,89
12/2011;131.795 ;128.157 ;259.952 ;6,16 ;2,13 ;3,84
01/2012;132.310 ;125.456 ;257.766 ;5,56 ;2,31 ;3,84
02/2012;133.441 ;125.245 ;258.687 ;6,13 ;2,50 ;4,26
03/2012;135.498 ;127.326 ;262.824 ;6,06 ;2,46 ;4,21
04/2012;137.587 ;128.894 ;266.481 ;5,86 ;2,53 ;4,25
05/2012;140.136 ;131.280 ;271.416 ;5,94 ;2,50 ;4,27
06/2012;142.481 ;132.222 ;274.703 ;5,85 ;2,44 ;4,21
07/2012;144.254 ;133.054 ;277.308 ;5,84 ;2,49 ;4,23
08/2012;146.758 ;134.524 ;281.282 ;5,79 ;2,52 ;4,22
09/2012;147.395 ;135.226 ;282.621 ;5,75 ;2,46 ;4,17
10/2012;149.714 ;135.872 ;285.586 ;5,70 ;2,46 ;4,16
11/2012;152.667 ;140.558 ;293.225 ;5,60 ;2,35 ;4,04
12/2012;155.576 ;144.881 ;300.456 ;5,61 ;2,37 ;4,05
01/2013;157.448 ;143.560 ;301.008 ;5,47 ;2,44 ;4,02
02/2013;158.258 ;144.561 ;302.820 ;5,48 ;2,54 ;4,08
03/2013;160.433 ;146.044 ;306.477 ;5,55 ;2,55 ;4,12
04/2013;163.160 ;147.693 ;310.852 ;5,41 ;2,56 ;4,06
05/2013;166.558 ;152.295 ;318.852 ;5,38 ;2,82 ;4,16
06/2013;168.934 ;155.165 ;324.099 ;5,27 ;2,49 ;3,94
07/2013;171.509 ;155.942 ;327.451 ;5,18 ;2,42 ;3,86
08/2013;173.951 ;157.738 ;331.689 ;5,07 ;2,34 ;3,77
09/2013;176.235 ;158.123 ;334.358 ;5,10 ;2,37 ;3,81
10/2013;178.197 ;158.889 ;337.086 ;5,04 ;2,39 ;3,79
11/2013;180.735 ;163.730 ;344.465 ;4,90 ;2,25 ;3,64
12/2013;184.436 ;168.767 ;353.203 ;4,75 ;2,11 ;3,49
01/2014;186.265 ;167.590 ;353.856 ;4,68 ;2,11 ;3,46
02/2014;187.498 ;167.908 ;355.407 ;4,66 ;2,04 ;3,42
03/2014;187.869 ;156.457 ;344.326 ;4,71 ;2,25 ;3,59
04/2014;190.904 ;157.620 ;348.524 ;4,71 ;2,25 ;3,60
05/2014;194.141 ;158.989 ;353.131 ;4,74 ;2,32 ;3,65
06/2014;196.531 ;160.036 ;356.567 ;4,71 ;2,33 ;3,64
07/2014;198.423 ;161.055 ;359.478 ;4,73 ;2,36 ;3,67
08/2014;200.871 ;162.457 ;363.329 ;4,77 ;2,52 ;3,76
09/2014;202.465 ;162.982 ;365.447 ;4,49 ;2,48 ;3,59
10/2014;205.456 ;164.094 ;369.550 ;4,52 ;2,52 ;3,63
11/2014;208.357 ;167.292 ;375.649 ;4,41 ;2,48 ;3,55
12/2014;213.049 ;172.328 ;385.377 ;4,13 ;2,33 ;3,32
01/2015;215.094 ;171.232 ;386.326 ;4,21 ;2,44 ;3,43
02/2015;215.539 ;171.608 ;387.147 ;4,26 ;2,52 ;3,49
03/2015;217.754 ;172.289 ;390.043 ;4,13 ;2,57 ;3,44
04/2015;218.977 ;170.416 ;389.393 ;4,22 ;3,05 ;3,71
05/2015;221.212 ;170.524 ;391.736 ;4,34 ;3,11 ;3,80
06/2015;222.944 ;169.187 ;392.132 ;4,22 ;3,03 ;3,71
07/2015;224.729 ;170.207 ;394.936 ;4,32 ;3,03 ;3,77
08/2015;226.651 ;170.371 ;397.021 ;4,44 ;3,25 ;3,93
09/2015;227.829 ;170.434 ;398.263 ;4,53 ;3,26 ;3,99
10/2015;228.285 ;168.395 ;396.679 ;4,71 ;3,52 ;4,20
11/2015;230.706 ;168.528 ;399.233 ;4,84 ;3,68 ;4,35
12/2015;232.617 ;172.196 ;404.812 ;4,86 ;3,44 ;4,26
01/2016;233.207 ;170.377 ;403.584 ;4,87 ;3,52 ;4,30
02/2016;233.345 ;168.732 ;402.077 ;4,94 ;3,63 ;4,39
03/2016;234.048 ;166.657 ;400.706 ;4,87 ;3,82 ;4,43
04/2016;234.089 ;165.386 ;399.475 ;5,04 ;3,97 ;4,60
05/2016;235.531 ;165.238 ;400.770 ;5,01 ;4,11 ;4,64
06/2016;236.775 ;162.636 ;399.411 ;4,73 ;3,85 ;4,37
07/2016;237.538 ;161.280 ;398.819 ;4,48 ;4,01 ;4,29
08/2016;238.925 ;160.014 ;398.939 ;4,47 ;3,93 ;4,25
09/2016;239.167 ;158.243 ;397.410 ;4,57 ;4,01 ;4,35
10/2016;238.401 ;157.669 ;396.070 ;4,60 ;4,24 ;4,46
11/2016;240.416 ;157.104 ;397.520 ;4,46 ;4,14 ;4,33
12/2016;242.314 ;155.672 ;397.985 ;4,24 ;3,97 ;4,13
01/2017;243.162 ;153.011 ;396.173 ;4,29 ;3,66 ;4,05
02/2017;243.594 ;153.486 ;397.080 ;4,31 ;3,86 ;4,14
03/2017;244.567 ;152.945 ;397.512 ;4,27 ;3,93 ;4,14
04/2017;244.558 ;151.282 ;395.840 ;4,46 ;4,04 ;4,30
05/2017;246.826 ;149.538 ;396.364 ;4,52 ;5,13 ;4,75
06/2017;248.553 ;149.951 ;398.504 ;4,04 ;3,69 ;3,91
07/2017;249.959 ;148.480 ;398.439 ;4,20 ;3,94 ;4,10
08/2017;251.709 ;147.661 ;399.370 ;4,14 ;3,77 ;4,00
09/2017;252.340 ;145.257 ;397.596 ;4,13 ;3,52 ;3,91
10/2017;253.981 ;142.402 ;396.383 ;4,15 ;3,74 ;4,00
11/2017;256.849 ;141.377 ;398.226 ;4,06 ;4,14 ;4,09
12/2017;258.210 ;145.183 ;403.393 ;3,78 ;3,68 ;3,75
01/2018;260.340 ;141.485 ;401.825 ;4,05 ;3,59 ;3,89
02/2018;259.769 ;141.478 ;401.246 ;4,07 ;4,39 ;4,18
03/2018;261.564 ;140.921 ;402.485 ;4,05 ;4,26 ;4,13
04/2018;263.238 ;139.178 ;402.416 ;4,07 ;3,57 ;3,90
05/2018;265.481 ;141.499 ;406.980 ;4,07 ;3,92 ;4,02
06/2018;267.413 ;139.806 ;407.219 ;3,92 ;2,91 ;3,58
07/2018;269.124 ;137.643 ;406.766 ;3,95 ;2,97 ;3,62
08/2018;272.262 ;138.167 ;410.429 ;3,84 ;4,44 ;4,04
09/2018;273.229 ;138.490 ;411.719 ;3,80 ;2,83 ;3,48
10/2018;275.945 ;137.943 ;413.888 ;3,69 ;2,98 ;3,45
11/2018;280.724 ;138.685 ;419.409 ;3,62 ;2,90 ;3,38
12/2018;283.382 ;139.186 ;422.568 ;3,53 ;2,60 ;3,22
01/2019;284.600 ;135.726 ;420.326 ;3,65 ;2,62 ;3,32
02/2019;285.949 ;135.632 ;421.581 ;3,61 ;2,67 ;3,31
03/2019;288.044 ;133.839 ;421.883 ;3,74 ;2,72 ;3,42
04/2019;290.939 ;131.847 ;422.786 ;3,72 ;3,68 ;3,71
05/2019;294.493 ;135.120 ;429.613 ;3,82 ;3,52 ;3,73
06/2019;296.829 ;137.101 ;433.930 ;3,78 ;3,15 ;3,58
07/2019;299.930 ;135.316 ;435.246 ;3,90 ;2,48 ;3,46
08/2019;303.974 ;136.876 ;440.850 ;3,93 ;2,63 ;3,53
09/2019;307.198 ;138.445 ;445.643 ;4,00 ;2,82 ;3,63
10/2019;310.925 ;137.143 ;448.068 ;3,98 ;2,66 ;3,58
11/2019;315.317 ;138.442 ;453.759 ;4,00 ;2,56 ;3,56
12/2019;319.437 ;141.079 ;460.516 ;3,97 ;2,94 ;3,65
01/2020;321.943 ;138.812 ;460.754 ;4,15 ;2,64 ;3,69
02/2020;322.579 ;138.566 ;461.145 ;4,19 ;2,79 ;3,77
03/2020;323.368 ;142.185 ;465.553 ;4,62 ;3,05 ;4,14
04/2020;319.498 ;142.684 ;462.182 ;4,84 ;3,02 ;4,28
05/2020;317.719 ;143.725 ;461.444 ;4,83 ;3,29 ;4,35
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
