Data;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %;20128 - �ndice de volume de vendas no varejo - Artigos farmac�uticos, m�dicos, ortop�dicos, de perfumaria e cosm�ticos - S�o Paulo - �ndice;20129 - �ndice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - S�o Paulo - �ndice;20130 - �ndice de volume de vendas no varejo - Equipamentos e materiais para escrit�rio, inform�tica e comunica��o - S�o Paulo - �ndice;20131 - �ndice de volume de vendas no varejo - Outros artigos de uso pessoal e dom�stico - S�o Paulo - �ndice;20132 - �ndice de volume de vendas no varejo - Material de constru��o - S�o Paulo - �ndice;20133 - �ndice de volume de vendas no varejo - Total do com�rcio ampliado - S�o Paulo - �ndice;21925 - Produ��o Industrial (2012=100) � Geral � S�o Paulo - �ndice;25394 - �ndice de Atividade Econ�mica Regional - S�o Paulo - com ajuste sazonal - �ndice;28035 - PMS - �ndice de volume de servi�os - Total - S�o Paulo - com ajuste sazonal - �ndice
07/2014;0,31 ;100,90 ;81,30 ;80,40 ;92,20 ;100,20 ;96,90 ;104,6 ;149,95 ;99,30
08/2014;0,01 ;103,60 ;94,80 ;95,60 ;95,40 ;99,30 ;95,90 ;108,7 ;150,56 ;98,90
09/2014;0,53 ;103,80 ;85,70 ;103,80 ;93,30 ;102,30 ;94,80 ;105,5 ;149,35 ;101,60
10/2014;0,43 ;107,00 ;85,70 ;111,70 ;101,00 ;109,70 ;100,00 ;108,8 ;150,52 ;101,70
11/2014;0,55 ;100,20 ;104,60 ;118,50 ;106,10 ;101,30 ;103,20 ;94,2 ;149,82 ;101,60
12/2014;0,40 ;110,90 ;134,60 ;158,60 ;157,90 ;92,40 ;120,50 ;76,6 ;150,58 ;99,70
01/2015;2,14 ;100,20 ;145,00 ;119,70 ;103,30 ;94,60 ;94,80 ;81,0 ;151,74 ;99,90
02/2015;1,19 ;93,40 ;104,50 ;115,40 ;91,20 ;89,00 ;85,40 ;80,6 ;150,43 ;100,70
03/2015;1,52 ;108,90 ;90,60 ;126,20 ;103,00 ;96,00 ;94,80 ;89,7 ;149,87 ;100,80
04/2015;0,56 ;103,50 ;77,30 ;92,80 ;89,80 ;88,10 ;91,40 ;83,2 ;148,52 ;98,80
05/2015;0,96 ;106,50 ;80,00 ;93,00 ;99,20 ;88,40 ;92,90 ;89,5 ;147,60 ;97,90
06/2015;0,77 ;103,50 ;71,20 ;101,50 ;87,80 ;87,20 ;90,10 ;89,8 ;147,31 ;97,70
07/2015;0,86 ;103,40 ;72,40 ;81,40 ;88,50 ;93,90 ;92,00 ;91,5 ;144,06 ;95,50
08/2015;0,23 ;105,90 ;75,60 ;96,50 ;91,30 ;89,60 ;91,50 ;94,9 ;145,43 ;96,30
09/2015;0,69 ;101,20 ;67,10 ;100,70 ;88,80 ;88,50 ;89,70 ;91,0 ;145,06 ;95,00
10/2015;0,89 ;104,40 ;72,70 ;76,40 ;93,90 ;91,60 ;95,70 ;94,8 ;145,56 ;95,40
11/2015;0,88 ;99,40 ;79,80 ;114,70 ;96,30 ;86,60 ;96,10 ;81,6 ;143,52 ;94,30
12/2015;0,74 ;112,00 ;101,50 ;133,30 ;136,30 ;78,90 ;114,60 ;66,8 ;144,92 ;93,80
01/2016;1,37 ;98,00 ;119,00 ;73,20 ;81,30 ;79,30 ;86,10 ;68,3 ;144,93 ;94,30
02/2016;0,70 ;96,70 ;86,20 ;88,20 ;72,20 ;77,60 ;83,40 ;71,0 ;143,22 ;92,60
03/2016;0,68 ;108,40 ;75,70 ;117,40 ;79,50 ;83,50 ;91,50 ;78,2 ;143,05 ;95,10
04/2016;0,32 ;101,20 ;59,10 ;82,30 ;75,30 ;78,20 ;85,60 ;81,7 ;144,18 ;93,60
05/2016;1,47 ;102,00 ;57,60 ;80,20 ;77,70 ;79,30 ;85,90 ;84,7 ;141,17 ;93,30
06/2016;0,65 ;100,70 ;55,70 ;82,40 ;79,20 ;80,50 ;84,30 ;87,3 ;140,24 ;93,50
07/2016;0,47 ;102,00 ;57,00 ;76,20 ;75,50 ;80,90 ;84,00 ;90,1 ;140,18 ;94,40
08/2016;0,46 ;100,60 ;64,70 ;88,10 ;76,80 ;83,30 ;86,10 ;92,3 ;138,48 ;93,50
09/2016;-0,06 ;98,80 ;55,20 ;87,10 ;74,60 ;79,80 ;82,20 ;91,3 ;139,37 ;93,50
10/2016;0,04 ;101,00 ;57,50 ;76,10 ;83,80 ;78,10 ;85,50 ;88,7 ;139,03 ;92,50
11/2016;0,07 ;100,00 ;69,90 ;106,20 ;91,30 ;82,50 ;89,60 ;82,4 ;139,15 ;91,70
12/2016;0,05 ;110,20 ;87,30 ;131,10 ;130,00 ;77,70 ;105,70 ;66,3 ;137,05 ;92,00
01/2017;0,07 ;100,00 ;116,80 ;73,10 ;71,90 ;84,90 ;87,00 ;69,4 ;138,71 ;92,60
02/2017;0,14 ;97,90 ;86,10 ;66,50 ;61,20 ;78,10 ;77,70 ;69,8 ;139,66 ;93,80
03/2017;0,38 ;110,70 ;79,80 ;82,40 ;75,80 ;95,30 ;84,50 ;79,4 ;140,32 ;90,10
04/2017;0,16 ;99,90 ;56,70 ;71,00 ;74,00 ;82,10 ;83,10 ;74,2 ;140,94 ;92,80
05/2017;0,51 ;106,20 ;54,30 ;85,80 ;78,30 ;92,10 ;88,50 ;88,5 ;141,71 ;93,30
06/2017;-0,42 ;105,90 ;56,60 ;75,00 ;78,20 ;93,80 ;86,80 ;90,8 ;143,83 ;95,10
07/2017;0,31 ;107,30 ;62,20 ;83,50 ;77,20 ;100,00 ;88,80 ;93,9 ;143,97 ;95,50
08/2017;0,02 ;108,60 ;59,40 ;75,20 ;78,50 ;102,10 ;91,70 ;98,3 ;143,36 ;93,80
09/2017;0,02 ;112,80 ;50,00 ;75,10 ;77,30 ;100,80 ;89,70 ;96,0 ;144,66 ;92,00
10/2017;0,51 ;114,00 ;54,90 ;72,50 ;80,30 ;101,80 ;91,30 ;94,9 ;143,55 ;92,10
11/2017;0,53 ;115,20 ;69,00 ;79,50 ;90,70 ;104,90 ;95,10 ;88,3 ;143,77 ;92,90
12/2017;0,43 ;126,20 ;83,60 ;84,80 ;123,10 ;95,40 ;112,60 ;73,1 ;143,92 ;93,60
01/2018;0,25 ;108,80 ;103,80 ;70,60 ;79,20 ;95,20 ;91,20 ;74,4 ;143,47 ;92,90
02/2018;0,09 ;103,30 ;74,70 ;63,40 ;65,90 ;86,50 ;81,60 ;72,6 ;142,32 ;93,00
03/2018;0,23 ;117,90 ;64,50 ;71,30 ;81,80 ;96,60 ;94,40 ;82,9 ;144,99 ;93,70
04/2018;0,04 ;111,80 ;51,90 ;80,40 ;75,40 ;95,40 ;92,00 ;85,6 ;147,10 ;94,30
05/2018;0,24 ;114,60 ;44,80 ;74,60 ;79,70 ;92,00 ;91,60 ;84,1 ;141,97 ;91,40
06/2018;1,32 ;114,70 ;46,30 ;75,90 ;79,10 ;99,50 ;91,70 ;93,7 ;146,19 ;97,70
07/2018;0,73 ;116,50 ;57,00 ;74,00 ;86,80 ;100,70 ;94,10 ;96,7 ;146,64 ;95,40
08/2018;0,23 ;119,00 ;49,40 ;77,70 ;84,70 ;108,20 ;100,00 ;99,2 ;146,52 ;96,30
09/2018;0,47 ;115,80 ;37,60 ;72,10 ;90,90 ;97,50 ;93,70 ;89,5 ;146,20 ;96,40
10/2018;0,31 ;120,80 ;40,50 ;74,40 ;93,50 ;110,40 ;97,60 ;92,2 ;144,66 ;95,90
11/2018;-0,43 ;124,20 ;43,20 ;81,10 ;120,40 ;104,30 ;101,20 ;85,2 ;146,87 ;96,80
12/2018;0,01 ;138,50 ;57,80 ;86,60 ;135,80 ;96,60 ;114,50 ;69,0 ;147,22 ;97,90
01/2019;0,55 ;120,50 ;54,70 ;76,40 ;95,40 ;99,50 ;96,00 ;70,9 ;147,61 ;96,90
02/2019;0,53 ;114,10 ;46,80 ;73,40 ;76,60 ;96,80 ;88,60 ;76,7 ;148,15 ;97,90
03/2019;0,70 ;127,00 ;38,00 ;86,00 ;86,60 ;102,50 ;93,60 ;77,0 ;147,89 ;96,60
04/2019;0,42 ;120,60 ;38,40 ;63,60 ;87,80 ;103,70 ;96,40 ;83,8 ;148,89 ;97,20
05/2019;0,22 ;128,20 ;39,70 ;70,00 ;90,30 ;106,60 ;100,80 ;94,1 ;149,87 ;98,50
06/2019;-0,08 ;122,80 ;37,70 ;56,40 ;88,50 ;99,70 ;96,70 ;89,1 ;149,89 ;97,20
07/2019;0,16 ;127,60 ;46,40 ;63,10 ;89,10 ;108,50 ;101,70 ;94,4 ;148,50 ;98,30
08/2019;0,38 ;129,50 ;41,00 ;68,80 ;93,40 ;109,60 ;102,00 ;100,1 ;149,56 ;97,30
09/2019;-0,07 ;123,90 ;33,10 ;57,20 ;96,70 ;106,40 ;98,20 ;93,0 ;149,76 ;99,20
10/2019;0,12 ;131,10 ;34,40 ;65,70 ;97,50 ;118,00 ;104,70 ;96,8 ;151,14 ;99,60
11/2019;0,83 ;145,40 ;35,60 ;72,50 ;118,10 ;112,50 ;105,30 ;83,6 ;149,57 ;99,60
12/2019;1,02 ;159,30 ;71,60 ;66,90 ;149,90 ;97,10 ;119,60 ;67,6 ;148,60 ;99,80
01/2020;0,25 ;137,00 ;76,00 ;63,10 ;101,60 ;104,50 ;100,00 ;72,1 ;149,75 ;99,50
02/2020;0,04 ;132,10 ;48,20 ;57,70 ;85,60 ;96,20 ;92,10 ;73,3 ;148,74 ;98,90
03/2020;0,20 ;148,20 ;25,50 ;49,90 ;78,30 ;99,80 ;90,30 ;74,0 ;146,17 ;92,20
04/2020;-0,32 ;104,60 ;14,20 ;38,10 ;64,10 ;86,00 ;67,20 ;57,2 ;131,01 ;81,50
05/2020;-0,14 ;-;-;-;-;-;-;-;-;-
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;BCB-Depec;BCB e IBGE
07/1989;-;-;-;-;-;-;-;-;26,64 ;26,49
08/1989;-;-;-;-;-;-;-;-;32,88 ;31,78
09/1989;-;-;-;-;-;-;-;-;37,53 ;36,23
10/1989;-;-;-;-;-;-;-;-;39,37 ;39,31
11/1989;-;-;-;-;-;-;-;-;48,15 ;50,22
12/1989;-;-;-;-;-;-;-;-;51,18 ;50,83
01/1990;-;-;-;-;-;-;-;-;67,33 ;67,66
02/1990;-;-;-;-;-;-;-;-;79,47 ;75,87
03/1990;-;-;-;-;-;-;-;-;79,62 ;80,65
04/1990;-;-;-;-;-;-;-;-;14,20 ;13,68
05/1990;-;-;-;-;-;-;-;-;7,36 ;7,34
06/1990;-;-;-;-;-;-;-;-;12,29 ;11,80
07/1990;-;-;-;-;-;-;-;-;13,47 ;13,53
08/1990;-;-;-;-;-;-;-;-;14,53 ;14,08
09/1990;-;-;-;-;-;-;-;-;13,83 ;13,61
10/1990;-;-;-;-;-;-;-;-;15,19 ;16,08
11/1990;-;-;-;-;-;-;-;-;16,74 ;17,83
12/1990;-;-;-;-;-;-;-;-;18,80 ;20,41
01/1991;-;-;-;-;-;-;-;-;21,09 ;21,65
02/1991;-;-;-;-;-;-;-;-;22,86 ;20,19
03/1991;-;-;-;-;-;-;-;-;14,11 ;16,51
04/1991;-;-;-;-;-;-;-;-;4,63 ;4,42
05/1991;-;-;-;-;-;-;-;-;7,76 ;7,51
06/1991;-;-;-;-;-;-;-;-;10,68 ;10,18
07/1991;-;-;-;-;-;-;-;-;11,90 ;11,25
08/1991;-;-;-;-;-;-;-;-;14,99 ;14,97
09/1991;-;-;-;-;-;-;-;-;14,99 ;14,97
10/1991;-;-;-;-;-;-;-;-;20,17 ;21,40
11/1991;-;-;-;-;-;-;-;-;25,05 ;26,26
12/1991;-;-;-;-;-;-;-;-;22,42 ;22,84
01/1992;-;-;-;-;-;-;-;-;26,18 ;26,11
02/1992;-;-;-;-;-;-;-;-;24,87 ;23,46
03/1992;-;-;-;-;-;-;-;-;21,33 ;22,31
04/1992;-;-;-;-;-;-;-;-;19,86 ;21,47
05/1992;-;-;-;-;-;-;-;-;24,33 ;24,54
06/1992;-;-;-;-;-;-;-;-;20,39 ;21,19
07/1992;-;-;-;-;-;-;-;-;22,22 ;22,83
08/1992;-;-;-;-;-;-;-;-;21,76 ;21,87
09/1992;-;-;-;-;-;-;-;-;24,75 ;23,35
10/1992;-;-;-;-;-;-;-;-;24,15 ;25,10
11/1992;-;-;-;-;-;-;-;-;21,90 ;22,18
12/1992;-;-;-;-;-;-;-;-;25,35 ;26,23
01/1993;-;-;-;-;-;-;-;-;30,36 ;27,26
02/1993;-;-;-;-;-;-;-;-;24,60 ;24,12
03/1993;-;-;-;-;-;-;-;-;27,41 ;28,46
04/1993;-;-;-;-;-;-;-;-;27,87 ;29,09
05/1993;-;-;-;-;-;-;-;-;27,24 ;26,18
06/1993;-;-;-;-;-;-;-;-;30,44 ;31,16
07/1993;-;-;-;-;-;-;-;-;32,01 ;31,86
08/1993;-;-;-;-;-;-;-;-;32,56 ;33,11
09/1993;-;-;-;-;-;-;-;-;35,07 ;35,37
10/1993;-;-;-;-;-;-;-;-;33,20 ;33,11
11/1993;-;-;-;-;-;-;-;-;35,28 ;35,35
12/1993;-;-;-;-;-;-;-;-;36,99 ;37,74
01/1994;-;-;-;-;-;-;-;-;40,54 ;39,77
02/1994;-;-;-;-;-;-;-;-;40,79 ;40,73
03/1994;-;-;-;-;-;-;-;-;42,75 ;42,49
04/1994;-;-;-;-;-;-;-;-;43,71 ;44,54
05/1994;-;-;-;-;-;-;-;-;44,32 ;43,26
06/1994;-;-;-;-;-;-;-;-;47,82 ;48,99
07/1994;-;-;-;-;-;-;-;-;6,87 ;7,50
08/1994;-;-;-;-;-;-;-;-;2,14 ;2,56
09/1994;-;-;-;-;-;-;-;-;1,79 ;2,09
10/1994;-;-;-;-;-;-;-;-;2,78 ;3,35
11/1994;-;-;-;-;-;-;-;-;3,16 ;3,45
12/1994;-;-;-;-;-;-;-;-;1,53 ;1,61
01/1995;-;-;-;-;-;-;-;-;1,51 ;1,42
02/1995;-;-;-;-;-;-;-;-;1,37 ;1,48
03/1995;-;-;-;-;-;-;-;-;1,56 ;1,80
04/1995;-;-;-;-;-;-;-;-;2,69 ;2,98
05/1995;-;-;-;-;-;-;-;-;2,29 ;1,70
06/1995;-;-;-;-;-;-;-;-;2,29 ;2,17
07/1995;-;-;-;-;-;-;-;-;3,18 ;3,63
08/1995;-;-;-;-;-;-;-;-;0,83 ;0,89
09/1995;-;-;-;-;-;-;-;-;0,90 ;1,18
10/1995;-;-;-;-;-;-;-;-;1,53 ;1,76
11/1995;-;-;-;-;-;-;-;-;1,54 ;1,98
12/1995;-;-;-;-;-;-;-;-;1,90 ;1,85
01/1996;-;-;-;-;-;-;-;-;1,41 ;1,64
02/1996;-;-;-;-;-;-;-;-;0,83 ;0,66
03/1996;-;-;-;-;-;-;-;-;0,39 ;0,41
04/1996;-;-;-;-;-;-;-;-;1,77 ;1,67
05/1996;-;-;-;-;-;-;-;-;1,18 ;1,25
06/1996;-;-;-;-;-;-;-;-;1,60 ;2,01
07/1996;-;-;-;-;-;-;-;-;1,38 ;1,67
08/1996;-;-;-;-;-;-;-;-;0,44 ;0,52
09/1996;-;-;-;-;-;-;-;-;0,32 ;0,28
10/1996;-;-;-;-;-;-;-;-;0,47 ;0,72
11/1996;-;-;-;-;-;-;-;-;0,36 ;0,54
12/1996;-;-;-;-;-;-;-;-;0,44 ;0,38
01/1997;-;-;-;-;-;-;-;-;1,50 ;1,13
02/1997;-;-;-;-;-;-;-;-;0,60 ;0,76
03/1997;-;-;-;-;-;-;-;-;0,56 ;0,84
04/1997;-;-;-;-;-;-;-;-;0,84 ;0,78
05/1997;-;-;-;-;-;-;-;-;0,49 ;0,23
06/1997;-;-;-;-;-;-;-;-;0,90 ;1,00
07/1997;-;-;-;-;-;-;-;-;0,24 ;0,25
08/1997;-;-;-;-;-;-;-;-;-0,05 ;-0,10
09/1997;-;-;-;-;-;-;-;-;0,06 ;0,12
10/1997;-;-;-;-;-;-;-;-;0,18 ;0,24
11/1997;-;-;-;-;-;-;-;-;0,08 ;0,00
12/1997;-;-;-;-;-;-;-;-;0,22 ;0,33
01/1998;-;-;-;-;-;-;-;100,01 ;0,43 ;0,45
02/1998;-;-;-;-;-;-;-;99,65 ;0,59 ;0,75
03/1998;-;-;-;-;-;-;-;101,97 ;0,10 ;0,22
04/1998;-;-;-;-;-;-;-;106,30 ;0,09 ;0,26
05/1998;-;-;-;-;-;-;-;112,14 ;0,46 ;0,70
06/1998;-;-;-;-;-;-;-;111,47 ;-0,20 ;-0,15
07/1998;-;-;-;-;-;-;-;105,08 ;-0,13 ;-0,30
08/1998;-;-;-;-;-;-;-;101,43 ;-0,47 ;-0,33
09/1998;-;-;-;-;-;-;-;100,53 ;-0,20 ;-0,25
10/1998;-;-;-;-;-;-;-;102,49 ;0,06 ;0,08
11/1998;-;-;-;-;-;-;-;101,76 ;-0,21 ;-0,34
12/1998;-;-;-;-;-;-;-;102,09 ;0,23 ;0,20
01/1999;-;-;-;-;-;-;-;104,86 ;0,91 ;0,85
02/1999;-;-;-;-;-;-;-;106,75 ;0,84 ;1,22
03/1999;-;-;-;-;-;-;-;106,28 ;0,97 ;1,11
04/1999;-;-;-;-;-;-;-;104,54 ;0,35 ;0,33
05/1999;-;-;-;-;-;-;-;105,05 ;0,27 ;-0,01
06/1999;-;-;-;-;-;-;-;104,00 ;0,12 ;0,02
07/1999;-;-;-;-;-;-;-;103,03 ;0,81 ;0,48
08/1999;-;-;-;-;-;-;-;106,23 ;0,61 ;0,76
09/1999;-;-;-;-;-;-;-;108,17 ;0,36 ;0,54
10/1999;-;-;-;-;-;-;-;111,11 ;1,42 ;0,90
11/1999;-;-;-;-;-;-;-;111,91 ;0,83 ;0,69
12/1999;-;-;-;-;-;-;-;111,96 ;0,49 ;0,50
01/2000;45,40 ;89,10 ;49,40 ;49,00 ;27,80 ;85,80 ;48,50 ;112,22 ;0,67 ;0,34
02/2000;46,50 ;86,60 ;48,70 ;53,00 ;27,60 ;102,90 ;47,70 ;110,80 ;-0,23 ;-0,23
03/2000;49,10 ;91,30 ;51,80 ;56,80 ;29,90 ;97,60 ;51,00 ;115,13 ;0,14 ;0,12
04/2000;48,00 ;88,60 ;51,80 ;61,30 ;28,70 ;92,50 ;50,50 ;115,92 ;0,48 ;0,13
05/2000;50,20 ;86,40 ;49,90 ;77,00 ;33,40 ;102,50 ;48,70 ;111,78 ;-0,07 ;-0,08
06/2000;46,30 ;88,50 ;49,40 ;68,50 ;29,10 ;92,40 ;48,20 ;109,44 ;0,18 ;0,46
07/2000;48,90 ;88,50 ;51,50 ;68,20 ;31,70 ;102,50 ;50,70 ;111,43 ;1,75 ;1,58
08/2000;48,90 ;83,50 ;50,50 ;63,90 ;33,90 ;113,90 ;49,40 ;114,63 ;1,38 ;1,22
09/2000;48,20 ;81,70 ;50,80 ;58,10 ;32,50 ;97,40 ;49,90 ;119,47 ;0,12 ;0,20
10/2000;49,40 ;85,80 ;50,70 ;59,10 ;34,30 ;105,10 ;49,60 ;122,61 ;0,21 ;0,24
11/2000;49,70 ;83,00 ;50,40 ;69,20 ;36,00 ;105,20 ;49,10 ;121,61 ;0,13 ;0,06
12/2000;67,70 ;91,90 ;66,30 ;123,60 ;50,30 ;97,90 ;65,10 ;119,54 ;0,33 ;0,10
01/2001;45,70 ;86,40 ;50,10 ;50,80 ;32,20 ;104,40 ;48,70 ;123,36 ;0,25 ;0,29
02/2001;43,40 ;80,10 ;48,50 ;52,00 ;29,00 ;89,90 ;47,50 ;123,44 ;0,29 ;0,14
03/2001;49,10 ;86,10 ;53,80 ;60,10 ;33,80 ;110,50 ;52,50 ;124,76 ;0,30 ;0,43
04/2001;46,90 ;83,80 ;53,40 ;58,20 ;30,20 ;98,30 ;51,50 ;129,49 ;0,33 ;0,51
05/2001;47,60 ;85,60 ;50,30 ;77,30 ;33,60 ;97,20 ;49,10 ;129,78 ;0,28 ;0,45
06/2001;45,70 ;84,90 ;50,10 ;67,50 ;29,40 ;89,30 ;49,20 ;127,58 ;0,97 ;1,77
07/2001;46,10 ;86,70 ;50,20 ;62,30 ;31,10 ;97,70 ;49,40 ;125,68 ;1,77 ;1,66
08/2001;47,60 ;85,90 ;51,30 ;66,70 ;30,80 ;91,80 ;50,30 ;126,39 ;0,67 ;0,63
09/2001;46,50 ;83,30 ;51,90 ;59,00 ;31,00 ;76,50 ;51,10 ;125,01 ;0,09 ;0,13
10/2001;49,70 ;86,60 ;52,80 ;66,30 ;33,80 ;90,20 ;51,70 ;125,00 ;0,66 ;0,88
11/2001;48,60 ;84,40 ;52,40 ;73,00 ;33,90 ;84,50 ;51,60 ;127,28 ;0,56 ;2,08
12/2001;66,10 ;84,70 ;67,20 ;127,00 ;49,10 ;75,70 ;66,70 ;128,60 ;0,52 ;0,50
01/2002;44,40 ;81,30 ;50,60 ;51,20 ;32,80 ;78,50 ;49,80 ;128,63 ;0,19 ;0,52
02/2002;42,40 ;75,80 ;48,70 ;51,70 ;29,70 ;66,50 ;48,00 ;129,21 ;0,32 ;0,16
03/2002;49,20 ;87,40 ;57,60 ;59,10 ;30,90 ;76,00 ;56,80 ;129,89 ;0,42 ;0,48
04/2002;45,70 ;83,80 ;50,70 ;58,30 ;32,60 ;82,20 ;49,70 ;132,22 ;0,80 ;0,68
05/2002;48,20 ;82,40 ;53,40 ;72,90 ;33,50 ;72,00 ;52,70 ;129,26 ;0,34 ;0,23
06/2002;45,20 ;78,80 ;50,40 ;62,10 ;30,20 ;64,10 ;49,90 ;131,50 ;0,27 ;0,45
07/2002;46,40 ;87,10 ;50,90 ;66,90 ;29,80 ;71,40 ;50,60 ;134,64 ;1,30 ;1,45
08/2002;48,40 ;92,10 ;52,90 ;67,80 ;31,70 ;74,60 ;52,50 ;138,29 ;0,66 ;0,81
09/2002;45,20 ;89,30 ;49,40 ;58,50 ;30,30 ;73,50 ;49,10 ;140,45 ;0,59 ;0,50
10/2002;49,50 ;92,20 ;53,10 ;65,50 ;33,90 ;75,20 ;52,60 ;142,12 ;1,16 ;1,36
11/2002;48,00 ;83,50 ;52,20 ;71,60 ;31,40 ;67,70 ;51,60 ;154,74 ;2,88 ;3,09
12/2002;62,00 ;88,30 ;62,20 ;128,00 ;42,60 ;61,90 ;62,50 ;158,73 ;1,92 ;2,29
01/2003;42,80 ;76,00 ;48,90 ;52,20 ;27,90 ;62,30 ;48,60 ;162,79 ;2,28 ;2,68
02/2003;41,60 ;70,80 ;46,90 ;55,10 ;26,60 ;64,30 ;46,80 ;166,54 ;1,61 ;1,92
03/2003;43,80 ;75,50 ;50,70 ;58,90 ;26,10 ;56,30 ;50,50 ;174,59 ;1,03 ;1,09
04/2003;44,00 ;76,50 ;51,30 ;57,50 ;24,80 ;57,20 ;51,00 ;185,40 ;0,58 ;0,61
05/2003;45,70 ;78,00 ;50,80 ;66,90 ;29,00 ;56,00 ;50,70 ;175,95 ;0,39 ;0,62
06/2003;42,60 ;75,60 ;47,10 ;59,90 ;27,30 ;54,80 ;46,90 ;169,22 ;-0,15 ;0,02
07/2003;44,40 ;84,00 ;49,30 ;62,60 ;28,60 ;57,00 ;49,30 ;162,15 ;0,26 ;0,17
08/2003;46,10 ;83,00 ;51,20 ;64,40 ;30,50 ;54,70 ;51,10 ;158,34 ;0,24 ;0,16
09/2003;43,90 ;80,60 ;48,40 ;56,20 ;30,70 ;63,80 ;48,20 ;161,45 ;0,84 ;0,94
10/2003;47,60 ;86,40 ;51,50 ;64,80 ;34,60 ;67,10 ;51,30 ;162,58 ;0,21 ;0,27
11/2003;47,90 ;82,80 ;51,50 ;72,90 ;33,20 ;65,90 ;51,20 ;163,54 ;0,16 ;0,18
12/2003;63,20 ;84,10 ;63,20 ;130,70 ;52,40 ;66,60 ;63,70 ;164,79 ;0,44 ;0,36
01/2004;45,40 ;85,20 ;49,70 ;54,10 ;32,50 ;62,80 ;49,60 ;171,03 ;0,49 ;0,32
02/2004;44,40 ;79,00 ;48,80 ;50,90 ;32,70 ;60,50 ;48,70 ;167,00 ;0,45 ;0,10
03/2004;47,70 ;89,70 ;50,90 ;60,80 ;36,60 ;71,30 ;50,70 ;166,96 ;0,49 ;0,54
04/2004;48,20 ;85,70 ;53,40 ;59,20 ;35,50 ;63,40 ;53,30 ;165,00 ;0,29 ;0,19
05/2004;50,40 ;81,90 ;52,30 ;88,00 ;40,60 ;66,10 ;52,10 ;168,68 ;0,51 ;0,43
06/2004;48,10 ;85,50 ;50,20 ;73,70 ;37,80 ;69,00 ;50,20 ;174,90 ;0,88 ;0,69
07/2004;49,90 ;91,40 ;53,20 ;69,70 ;38,70 ;67,70 ;53,20 ;173,95 ;1,19 ;1,22
08/2004;48,70 ;87,80 ;52,30 ;63,00 ;39,10 ;71,40 ;52,30 ;182,26 ;0,57 ;0,41
09/2004;48,10 ;86,90 ;52,30 ;59,80 ;36,90 ;69,80 ;52,30 ;178,37 ;0,28 ;0,28
10/2004;51,20 ;89,10 ;56,00 ;62,90 ;39,90 ;69,40 ;56,10 ;177,14 ;0,58 ;0,29
11/2004;50,60 ;84,90 ;54,40 ;69,40 ;40,20 ;73,50 ;54,40 ;171,06 ;0,75 ;0,42
12/2004;70,30 ;90,80 ;70,20 ;134,10 ;65,60 ;77,10 ;70,30 ;172,20 ;0,70 ;0,59
01/2005;47,70 ;82,60 ;52,20 ;54,30 ;38,20 ;68,40 ;52,00 ;172,87 ;0,53 ;0,38
02/2005;43,30 ;67,10 ;47,60 ;49,60 ;35,40 ;55,60 ;46,20 ;175,04 ;0,68 ;0,59
03/2005;49,70 ;77,00 ;53,40 ;58,80 ;41,30 ;70,20 ;53,50 ;175,87 ;0,87 ;1,35
04/2005;48,40 ;76,50 ;50,00 ;69,40 ;42,80 ;64,40 ;50,10 ;180,93 ;0,73 ;0,84
05/2005;50,50 ;78,20 ;50,60 ;77,70 ;48,00 ;65,50 ;50,50 ;188,63 ;0,37 ;0,55
06/2005;48,90 ;79,20 ;49,10 ;70,50 ;45,70 ;68,70 ;48,90 ;183,14 ;-0,02 ;-0,05
07/2005;51,20 ;80,40 ;52,50 ;74,40 ;46,70 ;63,60 ;52,40 ;178,22 ;0,07 ;-0,28
08/2005;51,10 ;80,30 ;53,10 ;70,20 ;44,40 ;75,00 ;53,00 ;175,12 ;0,01 ;-0,26
09/2005;48,80 ;79,40 ;51,30 ;68,70 ;38,50 ;70,00 ;51,20 ;172,34 ;0,47 ;0,30
10/2005;52,20 ;80,00 ;54,90 ;72,00 ;43,70 ;69,90 ;54,80 ;174,77 ;0,92 ;0,50
11/2005;51,90 ;76,90 ;53,50 ;75,30 ;45,70 ;77,70 ;53,50 ;184,67 ;0,37 ;0,13
12/2005;72,90 ;84,90 ;70,40 ;144,60 ;70,00 ;77,70 ;70,60 ;183,43 ;0,26 ;0,17
01/2006;51,30 ;76,40 ;55,30 ;61,60 ;41,30 ;69,40 ;55,40 ;177,45 ;0,30 ;-0,07
02/2006;46,30 ;60,80 ;51,00 ;54,30 ;37,50 ;51,50 ;49,40 ;175,54 ;0,34 ;0,15
03/2006;51,20 ;65,80 ;55,50 ;60,30 ;42,70 ;67,60 ;53,70 ;177,28 ;0,37 ;0,07
04/2006;52,10 ;62,10 ;56,90 ;67,30 ;43,90 ;57,20 ;56,90 ;182,95 ;0,07 ;-0,06
05/2006;53,10 ;64,80 ;52,80 ;85,20 ;52,80 ;69,20 ;52,70 ;178,99 ;-0,01 ;0,11
06/2006;50,80 ;63,20 ;52,80 ;68,70 ;45,60 ;58,70 ;52,80 ;172,31 ;-0,30 ;-0,14
