Data;1467 - Índice volume de vendas no varejo (2003=100) - Total - Paraíba - Índice;7487 - Cesta básica - João Pessoa - u.m.c.;14016 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas físicas - R$ (milhões);14043 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas jurídicas - R$ (milhões);14070 - Saldo das operações de crédito do Sistema Financeiro Nacional - Paraíba - Total - R$ (milhões);15875 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas físicas - %;15907 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Pessoas jurídicas - %;15939 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Paraíba - Total - %;28027 - PMS - Índice de volume de serviços - Total - Paraíba - com ajuste sazonal - Índice
01/2001;35,60 ;92,92 ;-;-;-;-;-;-;-
02/2001;31,90 ;91,05 ;-;-;-;-;-;-;-
03/2001;34,90 ;92,16 ;-;-;-;-;-;-;-
04/2001;33,30 ;95,70 ;-;-;-;-;-;-;-
05/2001;36,30 ;96,55 ;-;-;-;-;-;-;-
06/2001;36,20 ;100,92 ;-;-;-;-;-;-;-
07/2001;34,00 ;102,00 ;-;-;-;-;-;-;-
08/2001;35,90 ;97,95 ;-;-;-;-;-;-;-
09/2001;33,10 ;94,75 ;-;-;-;-;-;-;-
10/2001;35,80 ;97,40 ;-;-;-;-;-;-;-
11/2001;36,40 ;97,37 ;-;-;-;-;-;-;-
12/2001;51,60 ;98,28 ;-;-;-;-;-;-;-
01/2002;37,00 ;101,87 ;-;-;-;-;-;-;-
02/2002;32,80 ;107,65 ;-;-;-;-;-;-;-
03/2002;35,10 ;103,82 ;-;-;-;-;-;-;-
04/2002;33,90 ;102,34 ;-;-;-;-;-;-;-
05/2002;38,30 ;104,02 ;-;-;-;-;-;-;-
06/2002;37,10 ;107,94 ;-;-;-;-;-;-;-
07/2002;36,10 ;104,41 ;-;-;-;-;-;-;-
08/2002;37,00 ;107,84 ;-;-;-;-;-;-;-
09/2002;34,90 ;107,27 ;-;-;-;-;-;-;-
10/2002;38,10 ;112,42 ;-;-;-;-;-;-;-
11/2002;37,40 ;116,71 ;-;-;-;-;-;-;-
12/2002;52,70 ;120,78 ;-;-;-;-;-;-;-
01/2003;34,00 ;125,97 ;-;-;-;-;-;-;-
02/2003;31,20 ;131,74 ;-;-;-;-;-;-;-
03/2003;30,50 ;133,55 ;-;-;-;-;-;-;-
04/2003;32,70 ;143,43 ;-;-;-;-;-;-;-
05/2003;33,10 ;138,35 ;-;-;-;-;-;-;-
06/2003;32,70 ;134,94 ;-;-;-;-;-;-;-
07/2003;32,50 ;131,64 ;-;-;-;-;-;-;-
08/2003;31,90 ;126,34 ;-;-;-;-;-;-;-
09/2003;31,30 ;129,03 ;-;-;-;-;-;-;-
10/2003;32,50 ;124,14 ;-;-;-;-;-;-;-
11/2003;34,20 ;127,71 ;-;-;-;-;-;-;-
12/2003;51,60 ;128,07 ;-;-;-;-;-;-;-
01/2004;33,90 ;136,50 ;1.087 ;884 ;1.972 ;8,60 ;3,19 ;5,59 ;-
02/2004;30,50 ;140,40 ;1.093 ;870 ;1.963 ;7,55 ;3,94 ;5,56 ;-
03/2004;34,20 ;139,99 ;1.124 ;862 ;1.986 ;7,51 ;4,28 ;5,75 ;-
04/2004;33,10 ;136,47 ;1.140 ;884 ;2.024 ;7,13 ;3,93 ;5,39 ;-
05/2004;36,60 ;137,76 ;1.162 ;889 ;2.050 ;6,99 ;4,17 ;5,46 ;-
06/2004;35,10 ;133,10 ;1.177 ;934 ;2.111 ;6,77 ;4,23 ;5,37 ;-
07/2004;35,30 ;140,74 ;1.215 ;935 ;2.150 ;6,55 ;3,43 ;4,84 ;-
08/2004;34,90 ;150,07 ;1.203 ;944 ;2.147 ;6,40 ;3,49 ;4,81 ;-
09/2004;32,90 ;139,11 ;1.224 ;963 ;2.186 ;7,31 ;4,08 ;5,56 ;-
10/2004;36,50 ;136,09 ;1.260 ;986 ;2.246 ;7,73 ;3,94 ;5,66 ;-
11/2004;38,10 ;128,14 ;1.269 ;1.024 ;2.292 ;7,45 ;3,62 ;5,36 ;-
12/2004;59,30 ;126,13 ;1.366 ;1.047 ;2.413 ;6,88 ;3,50 ;5,07 ;-
01/2005;38,10 ;133,60 ;1.428 ;1.054 ;2.483 ;6,77 ;3,43 ;4,98 ;-
02/2005;36,80 ;134,13 ;1.472 ;1.049 ;2.522 ;6,54 ;4,33 ;5,37 ;-
03/2005;43,20 ;132,80 ;1.498 ;1.036 ;2.534 ;6,49 ;4,22 ;5,31 ;-
04/2005;42,90 ;133,94 ;1.545 ;1.066 ;2.611 ;7,61 ;4,14 ;5,81 ;-
05/2005;46,30 ;139,85 ;1.561 ;1.077 ;2.638 ;6,51 ;3,61 ;4,99 ;-
06/2005;48,00 ;144,04 ;1.585 ;1.114 ;2.699 ;6,12 ;3,39 ;4,68 ;-
07/2005;46,80 ;143,91 ;1.635 ;1.117 ;2.753 ;5,95 ;3,32 ;4,57 ;-
08/2005;48,50 ;134,75 ;1.667 ;1.156 ;2.824 ;5,95 ;3,23 ;4,53 ;-
09/2005;45,40 ;130,07 ;1.680 ;1.145 ;2.826 ;5,87 ;3,14 ;4,47 ;-
10/2005;46,90 ;131,35 ;1.715 ;1.187 ;2.902 ;6,05 ;3,18 ;4,57 ;-
11/2005;48,30 ;136,20 ;1.764 ;1.225 ;2.989 ;5,99 ;3,12 ;4,50 ;-
12/2005;75,00 ;144,60 ;1.852 ;1.261 ;3.114 ;5,69 ;2,93 ;4,28 ;-
01/2006;48,00 ;131,51 ;1.924 ;1.241 ;3.166 ;5,73 ;3,18 ;4,46 ;-
02/2006;40,80 ;129,61 ;1.984 ;1.279 ;3.263 ;5,95 ;3,42 ;4,68 ;-
03/2006;47,10 ;134,25 ;2.015 ;1.284 ;3.299 ;6,04 ;3,35 ;4,71 ;-
04/2006;45,50 ;140,75 ;2.078 ;1.312 ;3.390 ;6,19 ;3,27 ;4,75 ;-
05/2006;50,80 ;146,04 ;2.124 ;1.323 ;3.447 ;6,18 ;3,28 ;4,76 ;-
06/2006;47,90 ;143,99 ;2.204 ;1.408 ;3.612 ;6,14 ;2,84 ;4,50 ;-
07/2006;48,90 ;134,14 ;2.268 ;1.335 ;3.603 ;6,23 ;2,63 ;4,51 ;-
08/2006;50,80 ;133,23 ;2.304 ;1.286 ;3.591 ;6,13 ;2,92 ;4,65 ;-
09/2006;50,00 ;132,23 ;2.381 ;1.300 ;3.681 ;5,79 ;2,82 ;4,44 ;-
10/2006;50,60 ;136,62 ;2.421 ;1.332 ;3.753 ;5,94 ;3,04 ;4,62 ;-
11/2006;52,50 ;135,61 ;2.514 ;1.392 ;3.906 ;5,72 ;2,97 ;4,45 ;-
12/2006;75,30 ;133,88 ;2.576 ;1.413 ;3.989 ;5,17 ;2,80 ;4,10 ;-
01/2007;51,60 ;139,20 ;2.681 ;1.397 ;4.078 ;5,09 ;2,91 ;4,13 ;-
02/2007;45,00 ;141,54 ;2.756 ;1.406 ;4.162 ;5,12 ;2,83 ;4,12 ;-
03/2007;50,70 ;147,62 ;2.841 ;1.411 ;4.252 ;5,14 ;2,75 ;4,11 ;-
04/2007;47,20 ;140,37 ;2.841 ;1.486 ;4.328 ;5,14 ;2,69 ;4,07 ;-
05/2007;54,60 ;139,19 ;2.976 ;1.483 ;4.459 ;5,12 ;2,69 ;4,08 ;-
06/2007;52,50 ;134,07 ;3.080 ;1.540 ;4.620 ;4,93 ;2,63 ;3,94 ;-
07/2007;51,00 ;143,55 ;3.182 ;1.560 ;4.742 ;4,90 ;2,49 ;3,88 ;-
08/2007;54,30 ;151,24 ;3.285 ;1.544 ;4.828 ;4,92 ;2,54 ;3,94 ;-
09/2007;51,60 ;144,64 ;3.408 ;1.582 ;4.990 ;4,89 ;2,63 ;3,97 ;-
10/2007;54,20 ;143,16 ;3.492 ;1.641 ;5.133 ;4,95 ;2,63 ;4,00 ;-
11/2007;56,00 ;142,43 ;3.623 ;1.732 ;5.355 ;5,05 ;2,72 ;4,09 ;-
12/2007;80,50 ;155,09 ;3.770 ;1.759 ;5.529 ;4,86 ;2,63 ;3,96 ;-
01/2008;60,40 ;159,80 ;3.906 ;1.781 ;5.688 ;4,86 ;2,62 ;3,96 ;-
02/2008;49,30 ;169,88 ;4.042 ;1.797 ;5.839 ;4,97 ;2,63 ;4,05 ;-
03/2008;54,30 ;169,85 ;4.102 ;1.821 ;5.923 ;5,05 ;2,69 ;4,13 ;-
04/2008;52,40 ;180,90 ;4.213 ;1.852 ;6.065 ;5,22 ;2,75 ;4,26 ;-
05/2008;59,90 ;187,21 ;4.372 ;1.879 ;6.250 ;5,42 ;2,80 ;4,42 ;-
06/2008;54,60 ;194,43 ;4.504 ;1.941 ;6.445 ;5,30 ;2,55 ;4,24 ;-
07/2008;58,60 ;194,90 ;4.639 ;2.005 ;6.644 ;5,37 ;2,38 ;4,22 ;-
08/2008;64,20 ;182,29 ;4.768 ;2.118 ;6.886 ;5,42 ;2,25 ;4,18 ;-
09/2008;63,90 ;177,82 ;4.839 ;2.210 ;7.049 ;5,44 ;2,22 ;4,17 ;-
10/2008;57,70 ;177,32 ;5.044 ;2.241 ;7.285 ;5,72 ;2,55 ;4,47 ;-
11/2008;59,40 ;174,83 ;5.139 ;2.285 ;7.424 ;5,72 ;2,56 ;4,47 ;-
12/2008;80,40 ;200,55 ;5.186 ;2.443 ;7.629 ;5,78 ;2,44 ;4,42 ;-
01/2009;56,40 ;177,87 ;5.279 ;2.431 ;7.710 ;6,06 ;2,71 ;4,71 ;-
02/2009;48,90 ;179,27 ;5.343 ;2.483 ;7.826 ;6,19 ;2,83 ;4,82 ;-
03/2009;54,70 ;174,72 ;5.357 ;2.491 ;7.848 ;6,28 ;3,09 ;4,99 ;-
04/2009;55,70 ;184,02 ;5.462 ;2.489 ;7.951 ;6,22 ;3,53 ;5,15 ;-
05/2009;62,10 ;189,00 ;5.548 ;2.510 ;8.058 ;6,36 ;4,18 ;5,50 ;-
06/2009;58,10 ;187,30 ;5.674 ;2.524 ;8.198 ;6,38 ;3,94 ;5,42 ;-
07/2009;60,00 ;183,67 ;5.794 ;2.585 ;8.379 ;6,51 ;4,55 ;5,75 ;-
08/2009;59,00 ;178,12 ;5.864 ;2.832 ;8.695 ;6,40 ;4,24 ;5,52 ;-
09/2009;57,60 ;173,98 ;5.967 ;2.876 ;8.843 ;6,38 ;4,29 ;5,53 ;-
10/2009;61,60 ;175,19 ;6.085 ;2.928 ;9.013 ;6,48 ;4,14 ;5,54 ;-
11/2009;59,70 ;175,62 ;6.255 ;3.003 ;9.258 ;6,48 ;4,81 ;5,80 ;-
12/2009;86,70 ;170,63 ;6.313 ;3.075 ;9.388 ;6,32 ;4,62 ;5,63 ;-
01/2010;61,70 ;171,97 ;6.633 ;3.076 ;9.709 ;6,45 ;4,52 ;5,67 ;-
02/2010;55,50 ;179,28 ;6.654 ;3.087 ;9.741 ;6,31 ;4,45 ;5,56 ;-
03/2010;66,80 ;196,29 ;6.686 ;3.157 ;9.843 ;6,10 ;4,28 ;5,37 ;-
04/2010;60,30 ;203,86 ;6.859 ;3.221 ;10.080 ;5,96 ;4,14 ;5,23 ;-
05/2010;71,50 ;200,09 ;7.025 ;3.273 ;10.298 ;5,75 ;4,84 ;5,39 ;-
06/2010;68,70 ;193,94 ;7.203 ;3.362 ;10.564 ;5,52 ;4,46 ;5,10 ;-
07/2010;74,40 ;191,17 ;7.322 ;3.444 ;10.766 ;5,41 ;4,44 ;5,02 ;-
08/2010;77,40 ;183,31 ;7.414 ;3.472 ;10.885 ;5,24 ;2,66 ;4,22 ;-
09/2010;73,90 ;181,23 ;7.648 ;3.547 ;11.196 ;5,05 ;2,58 ;4,08 ;-
10/2010;72,80 ;186,34 ;7.857 ;3.672 ;11.529 ;5,11 ;2,47 ;4,06 ;-
11/2010;73,10 ;193,49 ;8.039 ;3.757 ;11.795 ;4,74 ;2,47 ;3,84 ;-
12/2010;99,30 ;194,24 ;8.325 ;3.721 ;12.046 ;4,50 ;2,90 ;3,88 ;-
01/2011;73,70 ;200,21 ;8.542 ;3.677 ;12.220 ;4,51 ;3,98 ;4,31 ;84,90
02/2011;72,60 ;203,26 ;8.637 ;3.691 ;12.327 ;3,95 ;2,87 ;3,54 ;84,20
03/2011;74,30 ;203,94 ;8.663 ;3.723 ;12.385 ;3,98 ;2,72 ;3,51 ;82,20
04/2011;75,70 ;198,79 ;8.852 ;3.788 ;12.640 ;4,11 ;2,98 ;3,69 ;84,90
05/2011;79,10 ;200,18 ;9.014 ;3.827 ;12.841 ;4,37 ;3,75 ;4,14 ;83,90
06/2011;78,60 ;206,22 ;9.211 ;3.881 ;13.092 ;4,19 ;2,50 ;3,57 ;85,30
07/2011;81,90 ;204,40 ;9.456 ;3.875 ;13.331 ;4,33 ;2,46 ;3,65 ;86,90
08/2011;81,70 ;202,47 ;9.584 ;4.023 ;13.607 ;4,44 ;2,36 ;3,68 ;87,30
09/2011;79,70 ;196,69 ;9.863 ;4.119 ;13.982 ;4,53 ;2,25 ;3,69 ;86,60
10/2011;80,30 ;195,14 ;10.017 ;4.166 ;14.183 ;4,86 ;2,18 ;3,88 ;83,50
11/2011;82,70 ;198,26 ;10.154 ;4.399 ;14.553 ;5,63 ;2,31 ;4,38 ;87,10
12/2011;117,10 ;204,21 ;10.377 ;4.484 ;14.861 ;5,62 ;2,32 ;4,38 ;87,20
01/2012;82,30 ;212,18 ;10.481 ;4.945 ;15.426 ;5,07 ;2,18 ;4,03 ;88,20
02/2012;78,70 ;212,64 ;10.568 ;4.937 ;15.506 ;5,64 ;2,33 ;4,49 ;87,40
03/2012;85,10 ;214,54 ;10.757 ;4.942 ;15.699 ;5,59 ;2,53 ;4,54 ;89,10
04/2012;77,50 ;216,95 ;10.761 ;5.007 ;15.768 ;5,46 ;2,94 ;4,66 ;87,00
05/2012;88,90 ;225,94 ;10.956 ;5.043 ;15.999 ;5,58 ;2,91 ;4,74 ;89,10
06/2012;85,10 ;229,56 ;11.116 ;5.094 ;16.210 ;5,51 ;3,00 ;4,73 ;91,70
07/2012;85,80 ;233,25 ;11.246 ;5.111 ;16.356 ;5,57 ;3,14 ;4,81 ;86,30
08/2012;84,50 ;233,36 ;11.420 ;5.140 ;16.560 ;5,56 ;3,17 ;4,82 ;90,30
09/2012;89,70 ;233,23 ;11.450 ;5.183 ;16.633 ;5,58 ;3,37 ;4,89 ;86,00
10/2012;94,10 ;232,97 ;11.604 ;5.238 ;16.842 ;5,55 ;3,40 ;4,88 ;90,50
11/2012;95,50 ;235,35 ;11.825 ;5.335 ;17.160 ;5,51 ;3,49 ;4,88 ;89,40
12/2012;123,60 ;237,85 ;12.035 ;5.561 ;17.596 ;5,58 ;3,64 ;4,97 ;92,30
01/2013;92,90 ;252,13 ;12.184 ;5.529 ;17.712 ;5,47 ;3,75 ;4,93 ;90,70
02/2013;80,10 ;270,06 ;12.274 ;5.574 ;17.848 ;5,54 ;3,96 ;5,05 ;93,20
03/2013;94,20 ;274,64 ;12.433 ;5.614 ;18.047 ;5,53 ;3,64 ;4,94 ;93,20
04/2013;88,30 ;290,96 ;12.653 ;5.670 ;18.323 ;5,38 ;3,85 ;4,91 ;95,50
05/2013;96,00 ;286,58 ;12.946 ;5.820 ;18.767 ;5,38 ;3,87 ;4,91 ;94,90
06/2013;91,50 ;285,47 ;13.114 ;5.935 ;19.050 ;5,27 ;3,64 ;4,76 ;96,80
07/2013;97,60 ;275,54 ;13.330 ;5.982 ;19.312 ;5,22 ;3,43 ;4,66 ;98,00
08/2013;99,00 ;266,20 ;13.514 ;6.014 ;19.527 ;5,18 ;3,44 ;4,65 ;96,40
09/2013;92,20 ;259,79 ;13.730 ;6.136 ;19.866 ;5,14 ;3,62 ;4,67 ;96,30
10/2013;101,50 ;254,45 ;13.896 ;6.268 ;20.164 ;5,09 ;3,68 ;4,65 ;96,40
11/2013;107,70 ;257,16 ;14.136 ;6.544 ;20.680 ;4,96 ;3,38 ;4,46 ;97,90
12/2013;128,10 ;258,81 ;14.451 ;6.728 ;21.180 ;4,82 ;3,24 ;4,32 ;97,70
01/2014;97,30 ;264,17 ;14.631 ;6.650 ;21.281 ;4,73 ;3,16 ;4,24 ;102,70
02/2014;84,60 ;298,04 ;14.775 ;6.623 ;21.398 ;4,66 ;2,99 ;4,15 ;99,80
03/2014;91,00 ;263,17 ;14.816 ;6.661 ;21.477 ;4,63 ;3,24 ;4,20 ;99,50
04/2014;94,50 ;270,15 ;15.144 ;6.760 ;21.904 ;4,52 ;3,22 ;4,12 ;99,10
05/2014;102,00 ;272,35 ;15.459 ;6.869 ;22.328 ;4,54 ;3,35 ;4,17 ;100,80
06/2014;98,20 ;281,70 ;15.688 ;7.030 ;22.718 ;4,55 ;2,94 ;4,05 ;100,00
07/2014;95,50 ;270,06 ;15.910 ;7.117 ;23.027 ;4,56 ;3,15 ;4,13 ;99,50
08/2014;98,10 ;268,87 ;16.147 ;7.264 ;23.412 ;4,56 ;3,15 ;4,12 ;98,00
09/2014;97,30 ;268,56 ;16.281 ;7.309 ;23.590 ;4,35 ;2,89 ;3,90 ;100,60
10/2014;107,20 ;266,47 ;16.539 ;7.376 ;23.915 ;4,37 ;2,87 ;3,91 ;103,10
11/2014;109,90 ;264,99 ;16.806 ;7.481 ;24.287 ;4,25 ;2,78 ;3,80 ;100,10
12/2014;124,50 ;272,02 ;17.171 ;7.922 ;25.094 ;3,96 ;2,58 ;3,53 ;96,80
01/2015;94,40 ;278,73 ;17.402 ;7.814 ;25.216 ;3,99 ;2,71 ;3,59 ;97,60
02/2015;79,60 ;286,22 ;17.442 ;7.696 ;25.138 ;4,04 ;2,71 ;3,63 ;96,60
03/2015;87,30 ;288,43 ;17.630 ;7.686 ;25.316 ;3,90 ;2,91 ;3,60 ;97,60
04/2015;84,00 ;299,90 ;17.816 ;7.658 ;25.474 ;3,95 ;3,02 ;3,67 ;97,60
05/2015;88,10 ;303,80 ;18.031 ;7.634 ;25.665 ;3,99 ;3,04 ;3,71 ;96,30
06/2015;89,30 ;309,48 ;18.189 ;7.673 ;25.862 ;4,05 ;3,13 ;3,78 ;92,70
07/2015;93,80 ;306,53 ;18.361 ;7.608 ;25.969 ;4,13 ;3,23 ;3,87 ;91,90
08/2015;85,30 ;307,39 ;18.519 ;7.538 ;26.057 ;4,22 ;3,24 ;3,94 ;91,70
09/2015;82,70 ;299,65 ;18.640 ;7.604 ;26.244 ;4,28 ;3,12 ;3,94 ;91,70
10/2015;88,00 ;298,17 ;18.722 ;7.617 ;26.339 ;4,29 ;3,19 ;3,97 ;91,20
11/2015;93,10 ;310,15 ;18.941 ;7.625 ;26.566 ;4,32 ;3,35 ;4,04 ;89,30
12/2015;110,70 ;316,82 ;19.107 ;7.762 ;26.869 ;4,35 ;3,20 ;4,01 ;91,90
01/2016;87,20 ;349,75 ;19.178 ;7.628 ;26.805 ;4,34 ;3,38 ;4,07 ;90,40
02/2016;78,50 ;360,66 ;19.221 ;7.508 ;26.729 ;4,37 ;3,76 ;4,20 ;87,90
03/2016;85,00 ;351,88 ;19.342 ;7.452 ;26.794 ;4,27 ;3,94 ;4,18 ;86,90
04/2016;82,30 ;365,83 ;19.391 ;7.399 ;26.790 ;4,41 ;4,39 ;4,40 ;86,80
05/2016;84,70 ;361,39 ;19.534 ;7.328 ;26.861 ;4,32 ;4,27 ;4,31 ;84,20
06/2016;84,00 ;366,06 ;19.706 ;7.268 ;26.974 ;4,12 ;4,14 ;4,12 ;87,40
07/2016;85,30 ;387,24 ;19.846 ;7.181 ;27.027 ;3,89 ;4,02 ;3,92 ;85,50
08/2016;86,40 ;385,83 ;19.983 ;7.064 ;27.047 ;3,88 ;4,24 ;3,97 ;85,90
09/2016;82,10 ;386,92 ;20.032 ;7.023 ;27.055 ;4,06 ;4,09 ;4,06 ;85,90
10/2016;88,70 ;385,50 ;19.965 ;6.959 ;26.924 ;4,13 ;4,36 ;4,19 ;83,60
11/2016;103,30 ;370,65 ;20.115 ;6.978 ;27.092 ;4,04 ;4,10 ;4,05 ;84,30
12/2016;110,50 ;366,16 ;20.324 ;6.866 ;27.190 ;3,81 ;3,71 ;3,78 ;80,70
01/2017;88,00 ;368,95 ;20.458 ;6.791 ;27.248 ;3,83 ;3,57 ;3,77 ;79,70
02/2017;78,80 ;364,75 ;20.533 ;6.728 ;27.262 ;3,88 ;4,13 ;3,94 ;80,50
03/2017;84,60 ;374,18 ;20.630 ;6.599 ;27.229 ;3,84 ;4,36 ;3,97 ;83,00
04/2017;82,70 ;382,52 ;20.673 ;6.481 ;27.154 ;4,00 ;4,51 ;4,12 ;79,20
05/2017;87,50 ;383,81 ;20.922 ;6.365 ;27.287 ;4,11 ;4,22 ;4,13 ;79,60
06/2017;81,50 ;369,78 ;21.058 ;6.282 ;27.340 ;3,72 ;3,48 ;3,66 ;78,70
07/2017;80,60 ;361,41 ;21.192 ;6.172 ;27.364 ;3,86 ;3,55 ;3,79 ;78,40
08/2017;79,60 ;351,08 ;21.356 ;6.136 ;27.492 ;3,80 ;3,18 ;3,66 ;75,00
09/2017;81,50 ;334,86 ;21.426 ;6.124 ;27.550 ;3,80 ;3,07 ;3,63 ;76,40
10/2017;80,80 ;330,38 ;21.579 ;6.060 ;27.639 ;3,83 ;3,06 ;3,66 ;76,10
11/2017;91,00 ;324,90 ;21.884 ;6.069 ;27.954 ;3,76 ;3,17 ;3,63 ;75,70
12/2017;106,50 ;329,52 ;22.072 ;6.017 ;28.088 ;3,46 ;2,88 ;3,33 ;79,60
01/2018;87,40 ;368,76 ;22.330 ;5.872 ;28.202 ;3,70 ;3,52 ;3,66 ;76,80
02/2018;75,30 ;354,15 ;22.342 ;5.742 ;28.084 ;3,81 ;3,42 ;3,73 ;76,10
03/2018;89,60 ;349,83 ;22.530 ;5.683 ;28.212 ;3,88 ;3,57 ;3,82 ;79,20
04/2018;83,50 ;335,77 ;22.701 ;5.627 ;28.328 ;3,94 ;4,68 ;4,09 ;76,00
05/2018;88,90 ;346,42 ;22.937 ;5.566 ;28.503 ;4,01 ;4,79 ;4,16 ;73,40
06/2018;88,60 ;349,80 ;23.139 ;5.639 ;28.778 ;3,87 ;4,47 ;3,98 ;75,30
07/2018;81,90 ;347,15 ;23.337 ;5.599 ;28.936 ;3,94 ;4,30 ;4,01 ;75,80
08/2018;90,50 ;335,49 ;23.608 ;5.556 ;29.163 ;3,90 ;5,99 ;4,30 ;76,30
09/2018;79,80 ;328,99 ;23.725 ;5.624 ;29.350 ;3,78 ;4,44 ;3,91 ;74,90
10/2018;81,80 ;334,10 ;23.954 ;5.649 ;29.603 ;3,68 ;4,47 ;3,83 ;76,50
11/2018;91,80 ;339,39 ;24.378 ;5.654 ;30.032 ;3,60 ;3,73 ;3,63 ;75,20
12/2018;106,30 ;345,21 ;24.596 ;5.673 ;30.269 ;3,49 ;3,04 ;3,41 ;74,50
01/2019;83,80 ;360,92 ;24.776 ;5.573 ;30.349 ;3,66 ;3,16 ;3,57 ;74,20
02/2019;74,60 ;378,26 ;24.937 ;5.598 ;30.535 ;3,69 ;3,46 ;3,65 ;75,00
03/2019;80,10 ;400,38 ;25.124 ;5.517 ;30.640 ;3,89 ;3,52 ;3,82 ;73,80
04/2019;78,70 ;412,27 ;25.392 ;5.509 ;30.901 ;3,97 ;3,62 ;3,91 ;74,70
05/2019;82,50 ;403,57 ;25.724 ;5.488 ;31.212 ;4,13 ;3,27 ;3,98 ;75,60
06/2019;80,40 ;398,72 ;25.892 ;5.428 ;31.319 ;4,12 ;3,37 ;3,99 ;74,70
07/2019;81,90 ;385,58 ;26.187 ;5.347 ;31.534 ;4,20 ;3,93 ;4,15 ;75,30
08/2019;82,40 ;367,86 ;26.421 ;5.367 ;31.787 ;4,22 ;4,51 ;4,27 ;75,80
09/2019;78,80 ;359,62 ;26.682 ;5.427 ;32.109 ;4,27 ;5,99 ;4,56 ;76,10
10/2019;87,60 ;351,19 ;26.987 ;5.422 ;32.408 ;4,26 ;6,14 ;4,57 ;75,90
11/2019;107,60 ;347,14 ;27.368 ;5.369 ;32.737 ;4,24 ;4,33 ;4,26 ;76,70
12/2019;117,00 ;373,56 ;27.715 ;5.497 ;33.212 ;4,11 ;4,38 ;4,16 ;76,60
01/2020;90,60 ;388,02 ;27.944 ;5.415 ;33.359 ;4,22 ;6,16 ;4,53 ;77,70
02/2020;83,40 ;403,98 ;27.987 ;5.318 ;33.305 ;4,24 ;6,12 ;4,54 ;75,50
03/2020;80,10 ;414,05 ;28.052 ;5.493 ;33.545 ;4,56 ;6,15 ;4,82 ;71,20
04/2020;65,30 ;437,93 ;27.795 ;5.437 ;33.232 ;4,77 ;6,44 ;5,04 ;57,50
