Data;7495 - SINAPI - Var. % mensal;27574 - �ndice de Commodities - Brasil - �ndice;27575 - �ndice de Commodities - Brasil - Agropecu�ria - �ndice;27576 - �ndice de Commodities - Brasil - Metal - �ndice;27577 - �ndice de Commodities - Brasil - Energia - �ndice
03/1999;0,69 ;51,53 ;59,65 ;44,09 ;28,32
04/1999;0,54 ;45,50 ;51,82 ;40,68 ;26,81
05/1999;0,99 ;45,16 ;51,53 ;41,40 ;25,35
06/1999;0,17 ;47,38 ;54,19 ;42,50 ;26,94
07/1999;0,29 ;46,72 ;52,24 ;45,15 ;28,06
08/1999;0,35 ;50,59 ;56,60 ;48,13 ;30,91
09/1999;0,43 ;52,19 ;58,22 ;49,99 ;32,16
10/1999;0,70 ;54,73 ;61,29 ;51,66 ;33,51
11/1999;1,51 ;54,35 ;61,16 ;50,90 ;32,45
12/1999;0,91 ;51,87 ;58,06 ;50,20 ;30,60
01/2000;1,02 ;51,41 ;57,22 ;51,53 ;29,87
02/2000;0,20 ;50,22 ;55,61 ;50,04 ;30,55
03/2000;0,95 ;49,51 ;55,12 ;47,55 ;30,74
04/2000;0,32 ;50,31 ;56,73 ;46,29 ;30,52
05/2000;0,30 ;53,18 ;59,72 ;47,98 ;34,12
06/2000;0,87 ;53,55 ;59,81 ;47,83 ;36,13
07/2000;0,77 ;53,56 ;59,82 ;48,43 ;35,51
08/2000;0,49 ;53,82 ;59,81 ;48,27 ;37,21
09/2000;0,25 ;55,32 ;60,65 ;50,64 ;40,57
10/2000;0,15 ;57,10 ;63,24 ;49,45 ;41,96
11/2000;0,35 ;59,02 ;65,09 ;50,11 ;45,32
12/2000;0,34 ;60,89 ;66,36 ;52,04 ;49,42
01/2001;0,86 ;60,81 ;66,68 ;52,43 ;47,13
02/2001;0,28 ;61,36 ;67,54 ;54,00 ;45,45
03/2001;0,67 ;61,26 ;67,03 ;53,94 ;46,77
04/2001;0,39 ;63,21 ;68,72 ;55,80 ;49,77
05/2001;0,43 ;66,07 ;72,17 ;59,10 ;49,99
06/2001;1,43 ;68,09 ;75,06 ;59,30 ;50,47
07/2001;1,11 ;69,56 ;77,52 ;59,71 ;49,33
08/2001;0,62 ;69,23 ;75,88 ;59,54 ;53,41
09/2001;0,80 ;69,58 ;77,20 ;61,84 ;48,18
10/2001;0,73 ;67,82 ;74,76 ;62,13 ;46,94
11/2001;0,49 ;64,33 ;72,06 ;59,06 ;40,25
12/2001;0,79 ;59,70 ;67,41 ;54,97 ;35,26
01/2002;0,64 ;61,05 ;69,46 ;56,17 ;34,15
02/2002;0,38 ;60,73 ;69,05 ;56,77 ;33,19
03/2002;0,87 ;58,55 ;65,23 ;56,19 ;35,93
04/2002;0,42 ;56,23 ;61,44 ;55,32 ;37,97
05/2002;1,04 ;60,35 ;65,96 ;58,85 ;41,21
06/2002;1,14 ;66,65 ;73,01 ;65,58 ;44,26
07/2002;0,55 ;75,86 ;84,62 ;70,87 ;48,42
08/2002;0,76 ;80,62 ;90,18 ;72,25 ;53,50
09/2002;1,25 ;89,93 ;100,91 ;78,22 ;60,65
10/2002;0,86 ;103,93 ;117,08 ;89,68 ;68,96
11/2002;1,86 ;101,27 ;115,72 ;87,13 ;61,62
12/2002;2,91 ;104,56 ;118,12 ;88,39 ;69,98
01/2003;1,84 ;101,45 ;113,91 ;85,31 ;70,78
02/2003;1,21 ;109,05 ;121,20 ;93,36 ;78,87
03/2003;1,19 ;100,18 ;110,18 ;88,82 ;73,63
04/2003;1,21 ;90,84 ;101,84 ;78,27 ;61,63
05/2003;2,04 ;87,33 ;96,52 ;76,59 ;63,09
06/2003;1,53 ;83,96 ;92,05 ;74,44 ;62,76
07/2003;0,94 ;85,02 ;94,27 ;75,29 ;59,65
08/2003;1,02 ;90,10 ;99,65 ;79,58 ;64,23
09/2003;0,42 ;89,66 ;99,78 ;78,00 ;62,73
10/2003;0,60 ;91,32 ;101,39 ;80,59 ;63,59
11/2003;1,11 ;94,54 ;105,24 ;84,19 ;63,95
12/2003;0,36 ;97,29 ;105,85 ;89,25 ;72,66
01/2004;0,49 ;93,51 ;99,53 ;90,82 ;73,89
02/2004;0,82 ;97,12 ;102,04 ;101,40 ;75,02
03/2004;0,80 ;101,58 ;106,19 ;104,37 ;81,57
04/2004;0,57 ;103,32 ;108,50 ;106,15 ;80,95
05/2004;1,43 ;112,08 ;118,01 ;107,22 ;94,13
06/2004;0,74 ;112,58 ;118,21 ;109,29 ;94,00
07/2004;0,94 ;107,88 ;110,68 ;106,97 ;97,50
08/2004;1,07 ;106,13 ;107,24 ;108,79 ;98,97
09/2004;0,69 ;104,61 ;105,40 ;107,67 ;98,06
10/2004;0,74 ;104,91 ;103,36 ;109,07 ;106,36
11/2004;1,07 ;103,13 ;101,83 ;110,63 ;100,68
12/2004;1,08 ;101,43 ;102,07 ;108,47 ;92,20
01/2005;0,71 ;101,11 ;101,36 ;111,06 ;90,40
02/2005;0,65 ;98,34 ;98,74 ;109,01 ;86,39
03/2005;0,47 ;106,82 ;106,39 ;117,55 ;97,81
04/2005;0,79 ;99,86 ;99,59 ;106,79 ;93,86
05/2005;1,47 ;93,24 ;94,57 ;96,22 ;84,99
06/2005;0,68 ;90,22 ;91,39 ;90,57 ;85,08
07/2005;0,52 ;88,68 ;90,03 ;85,06 ;86,64
08/2005;0,34 ;90,46 ;89,02 ;90,36 ;95,79
09/2005;0,14 ;90,96 ;89,04 ;88,20 ;100,84
10/2005;0,26 ;93,09 ;92,41 ;88,79 ;99,71
11/2005;0,26 ;91,80 ;92,02 ;89,72 ;93,07
12/2005;0,48 ;100,00 ;100,00 ;100,00 ;100,00
01/2006;0,43 ;101,81 ;104,78 ;104,65 ;88,94
02/2006;0,31 ;97,57 ;101,56 ;102,09 ;79,31
03/2006;0,20 ;93,81 ;96,26 ;102,86 ;77,02
04/2006;0,42 ;95,29 ;95,82 ;111,04 ;79,54
05/2006;1,20 ;99,12 ;99,45 ;121,37 ;78,11
06/2006;0,52 ;99,63 ;101,78 ;112,93 ;79,96
07/2006;0,41 ;99,75 ;102,30 ;114,13 ;77,21
08/2006;0,28 ;97,05 ;97,67 ;113,68 ;79,31
09/2006;0,24 ;94,66 ;95,09 ;116,30 ;73,09
10/2006;0,22 ;95,76 ;95,15 ;123,34 ;72,32
11/2006;0,35 ;99,88 ;99,86 ;129,24 ;72,48
12/2006;0,45 ;100,81 ;100,71 ;132,91 ;70,92
01/2007;0,27 ;99,11 ;100,51 ;129,95 ;64,83
02/2007;0,41 ;98,79 ;98,85 ;130,53 ;68,13
03/2007;0,62 ;98,75 ;98,29 ;131,52 ;68,90
04/2007;0,41 ;95,87 ;92,61 ;135,28 ;70,45
05/2007;0,90 ;93,91 ;89,54 ;135,63 ;70,70
06/2007;0,53 ;92,03 ;87,96 ;130,28 ;70,80
07/2007;0,41 ;91,58 ;88,33 ;131,57 ;65,78
08/2007;0,29 ;93,84 ;91,72 ;129,92 ;67,12
09/2007;0,42 ;94,42 ;92,83 ;124,37 ;70,15
10/2007;0,43 ;92,96 ;89,37 ;125,16 ;73,17
11/2007;0,48 ;92,79 ;89,62 ;119,06 ;76,58
12/2007;0,76 ;93,82 ;93,98 ;112,21 ;73,37
01/2008;0,44 ;98,00 ;98,05 ;114,61 ;79,00
02/2008;0,43 ;103,45 ;102,18 ;121,93 ;86,49
03/2008;0,84 ;105,36 ;102,15 ;128,62 ;90,50
04/2008;0,37 ;105,34 ;100,40 ;125,72 ;98,47
05/2008;1,87 ;106,03 ;99,51 ;120,39 ;109,37
06/2008;1,24 ;107,75 ;101,57 ;112,06 ;118,47
07/2008;1,03 ;104,94 ;100,35 ;113,02 ;108,58
08/2008;1,28 ;97,28 ;95,88 ;102,75 ;93,53
09/2008;1,30 ;102,22 ;102,73 ;105,41 ;94,03
10/2008;0,95 ;102,97 ;104,17 ;100,62 ;96,42
11/2008;0,81 ;98,88 ;101,91 ;93,74 ;88,36
12/2008;0,62 ;97,98 ;105,39 ;85,55 ;79,93
01/2009;0,39 ;96,97 ;106,54 ;85,71 ;71,49
02/2009;0,32 ;93,49 ;103,60 ;84,97 ;64,43
03/2009;0,94 ;91,32 ;101,46 ;85,71 ;59,76
04/2009;0,32 ;90,71 ;101,47 ;88,25 ;54,71
05/2009;1,30 ;90,81 ;101,02 ;89,61 ;55,54
06/2009;0,35 ;87,34 ;94,71 ;91,94 ;56,56
07/2009;0,48 ;85,87 ;94,28 ;90,62 ;51,49
08/2009;0,20 ;86,52 ;93,61 ;97,36 ;51,12
09/2009;0,20 ;85,82 ;91,52 ;97,51 ;53,85
10/2009;0,33 ;86,38 ;90,83 ;96,39 ;60,02
11/2009;0,33 ;87,68 ;93,37 ;99,04 ;55,97
12/2009;0,54 ;91,77 ;96,99 ;105,85 ;59,00
01/2010;0,42 ;96,36 ;101,01 ;112,73 ;63,19
02/2010;0,43 ;96,70 ;102,85 ;107,98 ;62,53
03/2010;0,76 ;91,30 ;95,08 ;112,22 ;57,54
04/2010;0,37 ;90,12 ;92,12 ;117,25 ;57,75
05/2010;1,61 ;89,37 ;92,38 ;109,69 ;58,99
06/2010;0,66 ;87,96 ;90,98 ;103,21 ;61,46
07/2010;0,74 ;89,22 ;93,16 ;103,83 ;59,95
08/2010;0,31 ;93,76 ;98,32 ;112,92 ;58,72
09/2010;0,35 ;97,74 ;104,42 ;117,27 ;55,48
10/2010;0,51 ;102,18 ;108,89 ;126,86 ;55,29
11/2010;0,69 ;109,37 ;117,82 ;129,61 ;59,58
12/2010;0,26 ;114,05 ;123,07 ;133,34 ;62,66
01/2011;0,27 ;119,03 ;129,72 ;136,23 ;63,47
02/2011;0,39 ;125,67 ;138,16 ;145,49 ;61,84
03/2011;0,52 ;124,77 ;135,78 ;144,90 ;65,35
04/2011;0,48 ;120,59 ;128,88 ;146,73 ;65,63
05/2011;1,50 ;113,74 ;121,25 ;136,49 ;64,59
06/2011;0,60 ;111,36 ;119,31 ;129,76 ;64,23
07/2011;0,55 ;110,25 ;116,87 ;134,04 ;63,05
08/2011;0,14 ;111,02 ;119,72 ;129,28 ;61,55
09/2011;0,19 ;119,35 ;129,76 ;133,91 ;66,59
10/2011;0,38 ;115,74 ;126,60 ;124,93 ;65,94
11/2011;0,37 ;114,98 ;125,33 ;125,33 ;65,50
12/2011;0,12 ;113,62 ;124,27 ;122,88 ;63,91
01/2012;0,59 ;114,48 ;126,13 ;126,53 ;59,29
02/2012;0,31 ;111,70 ;121,72 ;129,97 ;57,15
03/2012;0,31 ;114,10 ;124,22 ;132,15 ;59,01
04/2012;0,64 ;113,80 ;123,92 ;132,10 ;58,41
05/2012;0,66 ;115,60 ;125,73 ;133,20 ;60,50
06/2012;0,70 ;115,24 ;126,11 ;131,59 ;58,61
07/2012;0,29 ;123,80 ;138,71 ;128,60 ;62,81
08/2012;0,79 ;124,72 ;139,31 ;128,80 ;65,35
09/2012;0,25 ;126,94 ;139,05 ;143,15 ;66,33
10/2012;0,34 ;125,61 ;136,54 ;141,79 ;69,38
11/2012;0,22 ;126,94 ;137,88 ;142,40 ;70,97
12/2012;0,43 ;128,75 ;139,30 ;150,16 ;69,17
01/2013;0,18 ;126,11 ;136,07 ;149,25 ;67,17
02/2013;0,73 ;122,00 ;131,05 ;144,98 ;66,37
03/2013;0,18 ;120,11 ;129,90 ;137,22 ;66,81
04/2013;0,69 ;118,01 ;128,12 ;129,79 ;68,08
05/2013;-5,12 ;118,19 ;128,79 ;127,62 ;68,41
06/2013;7,80 ;124,03 ;136,06 ;132,37 ;69,91
07/2013;-6,15 ;126,62 ;138,89 ;133,78 ;72,31
08/2013;0,58 ;131,71 ;142,51 ;148,77 ;74,18
09/2013;0,54 ;128,89 ;139,00 ;144,31 ;74,86
10/2013;0,44 ;125,28 ;134,81 ;140,85 ;73,11
11/2013;0,42 ;129,23 ;139,12 ;144,34 ;75,93
12/2013;0,88 ;132,85 ;141,76 ;147,96 ;82,52
01/2014;0,45 ;135,37 ;144,83 ;149,50 ;83,66
02/2014;0,44 ;140,49 ;151,74 ;150,76 ;85,28
03/2014;0,62 ;140,66 ;154,33 ;145,86 ;81,71
04/2014;0,46 ;136,79 ;149,81 ;142,47 ;79,89
05/2014;1,06 ;134,28 ;146,61 ;140,90 ;78,96
06/2014;0,59 ;133,55 ;144,63 ;142,82 ;80,23
07/2014;0,58 ;131,30 ;141,69 ;147,10 ;75,37
08/2014;0,52 ;129,87 ;138,89 ;149,81 ;75,34
09/2014;0,16 ;132,39 ;142,98 ;148,01 ;75,87
10/2014;0,30 ;139,28 ;153,56 ;149,14 ;74,99
11/2014;0,20 ;144,97 ;159,39 ;155,67 ;78,94
12/2014;0,65 ;144,54 ;162,05 ;155,88 ;68,41
01/2015;0,21 ;137,64 ;156,59 ;151,62 ;56,35
02/2015;0,18 ;143,96 ;162,47 ;157,86 ;63,56
03/2015;0,23 ;155,69 ;175,44 ;171,11 ;69,15
04/2015;0,50 ;151,96 ;171,26 ;166,85 ;67,29
05/2015;1,26 ;153,70 ;171,90 ;169,74 ;71,53
06/2015;0,73 ;155,07 ;175,76 ;162,38 ;71,53
07/2015;0,69 ;160,33 ;184,09 ;161,82 ;71,20
08/2015;0,70 ;168,00 ;193,41 ;169,74 ;72,45
09/2015;0,26 ;183,62 ;210,30 ;189,00 ;79,64
10/2015;0,27 ;185,03 ;213,08 ;189,09 ;77,24
11/2015;0,28 ;176,15 ;205,23 ;172,25 ;71,83
12/2015;0,06 ;178,15 ;209,86 ;175,48 ;64,25
01/2016;0,55 ;183,39 ;216,68 ;179,01 ;64,82
02/2016;0,84 ;180,54 ;210,97 ;189,38 ;60,98
03/2016;0,82 ;170,41 ;197,22 ;184,86 ;58,96
04/2016;0,46 ;164,72 ;188,81 ;181,15 ;61,10
05/2016;0,83 ;166,25 ;190,48 ;178,85 ;65,37
06/2016;1,02 ;166,98 ;190,51 ;176,96 ;70,83
07/2016;0,20 ;158,77 ;177,69 ;180,87 ;69,11
08/2016;0,24 ;155,61 ;173,26 ;179,93 ;68,67
09/2016;0,26 ;158,33 ;174,84 ;184,53 ;73,58
10/2016;0,64 ;158,07 ;172,03 ;182,41 ;80,67
11/2016;0,10 ;166,76 ;181,96 ;203,21 ;79,63
12/2016;0,49 ;170,31 ;181,07 ;204,77 ;90,46
01/2017;0,38 ;165,23 ;177,15 ;197,06 ;85,96
02/2017;0,19 ;159,60 ;170,80 ;194,84 ;81,60
03/2017;0,46 ;156,07 ;166,61 ;196,18 ;78,11
04/2017;0,15 ;156,15 ;165,40 ;193,74 ;81,35
05/2017;0,30 ;160,04 ;171,68 ;195,29 ;80,80
06/2017;0,38 ;159,74 ;171,84 ;198,80 ;78,17
07/2017;0,58 ;157,57 ;168,11 ;199,63 ;77,91
08/2017;0,23 ;154,23 ;160,08 ;207,01 ;79,41
09/2017;0,27 ;157,54 ;161,96 ;211,02 ;84,12
10/2017;0,16 ;162,52 ;166,48 ;217,08 ;88,01
11/2017;0,48 ;171,15 ;176,05 ;218,67 ;95,52
12/2017;0,18 ;169,65 ;173,02 ;219,70 ;96,01
01/2018;0,27 ;171,20 ;171,89 ;226,95 ;99,46
02/2018;0,30 ;171,78 ;174,84 ;231,79 ;94,14
03/2018;0,14 ;169,09 ;171,09 ;224,14 ;96,08
04/2018;0,26 ;175,83 ;174,02 ;236,50 ;105,40
05/2018;0,55 ;191,92 ;188,25 ;250,89 ;121,01
06/2018;0,58 ;197,93 ;192,98 ;260,76 ;125,79
07/2018;0,52 ;197,04 ;195,08 ;244,25 ;126,38
08/2018;0,36 ;198,68 ;196,26 ;242,48 ;129,56
09/2018;0,45 ;210,59 ;206,97 ;249,44 ;142,21
10/2018;0,43 ;197,73 ;194,34 ;232,99 ;133,95
11/2018;0,24 ;192,92 ;195,76 ;229,03 ;119,66
12/2018;0,22 ;193,73 ;201,44 ;235,59 ;110,42
01/2019;0,42 ;186,91 ;195,69 ;230,31 ;103,37
02/2019;0,21 ;187,38 ;194,25 ;237,39 ;104,24
03/2019;0,52 ;192,19 ;196,56 ;247,03 ;110,08
04/2019;0,34 ;195,13 ;198,98 ;247,49 ;114,00
05/2019;0,11 ;191,27 ;193,74 ;242,52 ;113,97
06/2019;0,35 ;181,86 ;189,84 ;231,93 ;98,31
07/2019;0,68 ;180,49 ;187,91 ;225,68 ;99,68
08/2019;0,44 ;180,99 ;187,31 ;232,67 ;98,98
09/2019;0,37 ;190,45 ;194,95 ;243,61 ;107,86
10/2019;0,19 ;194,65 ;204,22 ;242,26 ;104,10
11/2019;0,11 ;204,27 ;216,67 ;242,82 ;109,90
12/2019;0,22 ;205,54 ;220,39 ;239,40 ;108,41
01/2020;0,30 ;207,56 ;224,73 ;244,10 ;104,95
02/2020;0,25 ;206,62 ;226,97 ;244,69 ;98,43
03/2020;0,35 ;197,72 ;222,98 ;252,59 ;78,10
04/2020;0,25 ;200,81 ;226,36 ;268,85 ;74,99
05/2020;0,17 ;225,52 ;254,25 ;294,00 ;85,56
06/2020;-;214,57 ;234,64 ;289,79 ;89,74
Fonte;IBGE;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec
