Data;14008 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - R$ (milhões);14035 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas jurídicas - R$ (milhões);14062 - Saldo das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Total - R$ (milhões);15867 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas físicas - %;15899 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Pessoas jurídicas - %;15931 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Distrito Federal - Total - %
07/2005;5.233 ;7.772 ;13.005 ;4,99 ;1,04 ;2,49
08/2005;5.349 ;7.833 ;13.182 ;5,12 ;1,06 ;2,56
09/2005;5.447 ;7.747 ;13.194 ;5,16 ;0,87 ;2,49
10/2005;5.579 ;7.798 ;13.377 ;5,38 ;1,00 ;2,68
11/2005;5.775 ;8.098 ;13.873 ;5,42 ;1,05 ;2,71
12/2005;5.944 ;8.065 ;14.009 ;5,33 ;1,11 ;2,75
01/2006;6.127 ;8.033 ;14.160 ;5,23 ;1,26 ;2,83
02/2006;6.294 ;8.077 ;14.371 ;5,20 ;1,33 ;2,88
03/2006;6.452 ;8.061 ;14.513 ;5,23 ;1,23 ;2,85
04/2006;6.650 ;8.120 ;14.770 ;5,25 ;1,38 ;2,97
05/2006;6.861 ;8.237 ;15.098 ;5,12 ;1,20 ;2,83
06/2006;7.039 ;8.260 ;15.298 ;4,90 ;1,21 ;2,75
07/2006;7.245 ;8.323 ;15.567 ;4,82 ;1,23 ;2,75
08/2006;7.460 ;8.349 ;15.809 ;4,78 ;1,28 ;2,79
09/2006;7.641 ;8.425 ;16.066 ;4,85 ;1,64 ;3,04
10/2006;7.827 ;8.435 ;16.262 ;4,86 ;1,67 ;3,08
11/2006;8.037 ;9.226 ;17.262 ;4,58 ;1,45 ;2,78
12/2006;8.233 ;9.212 ;17.445 ;4,36 ;1,26 ;2,60
01/2007;8.511 ;9.154 ;17.665 ;4,25 ;1,47 ;2,70
02/2007;8.711 ;9.119 ;17.830 ;4,15 ;1,58 ;2,73
03/2007;8.964 ;9.232 ;18.196 ;4,05 ;1,70 ;2,76
04/2007;9.135 ;9.278 ;18.413 ;4,05 ;1,77 ;2,82
05/2007;9.461 ;9.330 ;18.791 ;4,23 ;1,66 ;2,85
06/2007;9.673 ;9.465 ;19.138 ;4,05 ;1,79 ;2,85
07/2007;10.046 ;9.473 ;19.519 ;4,12 ;1,83 ;2,92
08/2007;10.383 ;9.574 ;19.957 ;4,13 ;1,80 ;2,92
09/2007;10.688 ;9.479 ;20.167 ;4,14 ;1,61 ;2,85
10/2007;10.979 ;9.989 ;20.968 ;4,24 ;1,51 ;2,84
11/2007;11.364 ;10.230 ;21.594 ;4,41 ;1,18 ;2,76
12/2007;11.765 ;10.581 ;22.346 ;4,17 ;1,32 ;2,71
01/2008;12.066 ;10.489 ;22.555 ;4,14 ;1,37 ;2,75
02/2008;12.318 ;10.524 ;22.842 ;4,12 ;1,32 ;2,72
03/2008;12.657 ;11.132 ;23.789 ;4,06 ;1,23 ;2,63
04/2008;13.137 ;11.187 ;24.324 ;4,01 ;1,16 ;2,60
05/2008;13.590 ;11.235 ;24.825 ;4,18 ;1,23 ;2,74
06/2008;13.888 ;11.492 ;25.380 ;3,99 ;1,12 ;2,58
07/2008;14.250 ;11.709 ;25.959 ;4,02 ;1,08 ;2,59
08/2008;14.572 ;12.181 ;26.753 ;4,09 ;1,16 ;2,65
09/2008;14.843 ;12.559 ;27.402 ;4,08 ;1,14 ;2,63
10/2008;15.626 ;12.976 ;28.603 ;4,17 ;1,11 ;2,66
11/2008;15.664 ;13.589 ;29.253 ;4,44 ;1,03 ;2,73
12/2008;15.963 ;13.614 ;29.577 ;4,42 ;1,05 ;2,74
01/2009;16.213 ;13.907 ;30.120 ;4,75 ;1,16 ;2,96
02/2009;16.074 ;14.045 ;30.119 ;4,96 ;1,35 ;3,14
03/2009;16.327 ;14.213 ;30.540 ;5,04 ;1,48 ;3,25
04/2009;16.610 ;14.555 ;31.165 ;5,01 ;1,70 ;3,34
05/2009;16.867 ;14.572 ;31.439 ;5,27 ;1,79 ;3,53
06/2009;17.184 ;14.732 ;31.916 ;5,23 ;1,92 ;3,58
07/2009;17.505 ;14.798 ;32.303 ;5,29 ;2,03 ;3,68
08/2009;17.742 ;14.776 ;32.518 ;5,28 ;2,14 ;3,75
09/2009;18.121 ;14.856 ;32.977 ;5,29 ;2,13 ;3,76
10/2009;18.474 ;14.710 ;33.183 ;5,32 ;2,46 ;3,95
11/2009;18.891 ;14.604 ;33.495 ;5,19 ;2,32 ;3,84
12/2009;19.104 ;14.779 ;33.883 ;4,97 ;2,15 ;3,65
01/2010;19.413 ;14.721 ;34.134 ;5,18 ;2,22 ;3,79
02/2010;19.499 ;14.778 ;34.277 ;5,15 ;2,11 ;3,72
03/2010;19.752 ;14.669 ;34.420 ;4,92 ;1,85 ;3,50
04/2010;20.192 ;14.668 ;34.860 ;4,80 ;1,75 ;3,41
05/2010;20.616 ;14.643 ;35.260 ;4,70 ;1,71 ;3,36
06/2010;20.923 ;14.631 ;35.554 ;4,63 ;1,54 ;3,24
07/2010;21.216 ;14.671 ;35.887 ;4,48 ;1,54 ;3,17
08/2010;21.603 ;14.826 ;36.430 ;4,33 ;1,57 ;3,11
09/2010;22.088 ;14.939 ;37.027 ;4,23 ;1,59 ;3,07
10/2010;22.469 ;15.630 ;38.099 ;4,19 ;1,47 ;2,98
11/2010;22.908 ;15.806 ;38.714 ;4,05 ;1,59 ;2,96
12/2010;23.495 ;15.797 ;39.292 ;3,95 ;1,62 ;2,93
01/2011;23.832 ;15.829 ;39.661 ;4,04 ;1,60 ;2,97
02/2011;24.014 ;16.064 ;40.078 ;3,63 ;1,43 ;2,66
03/2011;24.337 ;16.213 ;40.550 ;3,67 ;1,79 ;2,85
04/2011;24.661 ;16.288 ;40.949 ;3,75 ;1,81 ;2,91
05/2011;25.080 ;16.438 ;41.519 ;3,86 ;1,76 ;2,96
06/2011;25.564 ;16.762 ;42.325 ;3,88 ;1,78 ;2,97
07/2011;25.967 ;17.940 ;43.907 ;3,95 ;1,75 ;2,97
08/2011;26.355 ;18.101 ;44.456 ;3,88 ;1,97 ;3,04
09/2011;26.800 ;18.428 ;45.228 ;3,97 ;2,15 ;3,16
10/2011;27.334 ;18.698 ;46.032 ;4,13 ;2,20 ;3,28
11/2011;27.669 ;19.022 ;46.691 ;4,52 ;2,22 ;3,50
12/2011;28.216 ;18.968 ;47.183 ;4,71 ;2,35 ;3,68
01/2012;29.200 ;16.956 ;46.156 ;4,35 ;2,73 ;3,73
02/2012;29.300 ;17.037 ;46.337 ;4,57 ;2,84 ;3,91
03/2012;29.579 ;17.226 ;46.804 ;4,48 ;2,74 ;3,82
04/2012;29.841 ;18.572 ;48.413 ;4,53 ;2,53 ;3,76
05/2012;30.342 ;19.376 ;49.718 ;4,57 ;2,58 ;3,80
06/2012;30.780 ;19.410 ;50.190 ;4,49 ;2,50 ;3,72
07/2012;31.214 ;19.488 ;50.702 ;4,43 ;2,24 ;3,59
08/2012;31.850 ;19.536 ;51.386 ;4,33 ;2,26 ;3,54
09/2012;32.040 ;19.659 ;51.699 ;4,22 ;2,20 ;3,45
10/2012;32.599 ;19.903 ;52.502 ;4,13 ;2,17 ;3,39
11/2012;32.855 ;20.215 ;53.070 ;4,08 ;2,14 ;3,34
12/2012;33.491 ;20.653 ;54.144 ;4,03 ;2,17 ;3,32
01/2013;33.831 ;22.636 ;56.467 ;3,96 ;1,96 ;3,16
02/2013;33.920 ;22.599 ;56.519 ;3,92 ;1,91 ;3,12
03/2013;34.302 ;22.760 ;57.062 ;3,90 ;1,92 ;3,11
04/2013;34.868 ;23.050 ;57.918 ;3,77 ;2,03 ;3,08
05/2013;35.567 ;24.430 ;59.997 ;3,69 ;1,98 ;2,99
06/2013;35.993 ;27.603 ;63.596 ;3,53 ;1,70 ;2,73
07/2013;36.586 ;27.719 ;64.305 ;3,42 ;1,78 ;2,71
08/2013;37.097 ;29.563 ;66.660 ;3,34 ;1,64 ;2,59
09/2013;37.511 ;29.731 ;67.242 ;3,31 ;1,70 ;2,60
10/2013;37.928 ;30.023 ;67.951 ;3,29 ;1,47 ;2,49
11/2013;38.391 ;30.265 ;68.656 ;3,21 ;1,46 ;2,44
12/2013;39.016 ;33.080 ;72.096 ;3,10 ;1,41 ;2,33
01/2014;39.419 ;33.021 ;72.440 ;3,10 ;1,52 ;2,38
02/2014;39.571 ;32.710 ;72.281 ;3,07 ;1,54 ;2,38
03/2014;39.565 ;34.139 ;73.705 ;3,04 ;1,46 ;2,31
04/2014;40.441 ;36.418 ;76.860 ;3,06 ;1,40 ;2,28
05/2014;40.847 ;38.322 ;79.169 ;3,08 ;1,77 ;2,45
06/2014;41.233 ;40.002 ;81.234 ;3,05 ;1,69 ;2,38
07/2014;41.464 ;39.938 ;81.402 ;3,04 ;1,72 ;2,39
08/2014;41.869 ;40.440 ;82.309 ;3,05 ;1,95 ;2,51
09/2014;42.260 ;41.779 ;84.039 ;2,94 ;1,62 ;2,28
10/2014;42.905 ;41.876 ;84.782 ;3,01 ;1,67 ;2,35
11/2014;43.266 ;42.838 ;86.103 ;2,95 ;1,41 ;2,18
12/2014;43.935 ;43.196 ;87.131 ;2,79 ;1,24 ;2,02
01/2015;44.353 ;44.329 ;88.682 ;2,87 ;1,23 ;2,05
02/2015;44.366 ;44.474 ;88.839 ;2,99 ;1,49 ;2,24
03/2015;44.815 ;44.866 ;89.681 ;2,90 ;1,47 ;2,18
04/2015;45.137 ;45.309 ;90.446 ;2,93 ;1,69 ;2,31
05/2015;45.475 ;45.754 ;91.228 ;2,96 ;1,73 ;2,34
06/2015;45.714 ;47.244 ;92.958 ;2,82 ;1,47 ;2,14
07/2015;45.891 ;47.193 ;93.084 ;2,93 ;1,35 ;2,13
08/2015;46.116 ;47.248 ;93.364 ;3,03 ;1,36 ;2,18
09/2015;46.126 ;47.126 ;93.252 ;3,08 ;1,40 ;2,23
10/2015;46.306 ;48.563 ;94.869 ;3,23 ;1,32 ;2,25
11/2015;46.607 ;49.366 ;95.973 ;3,38 ;1,37 ;2,34
12/2015;46.800 ;50.068 ;96.868 ;3,40 ;1,55 ;2,44
01/2016;46.714 ;49.036 ;95.750 ;3,54 ;1,62 ;2,55
02/2016;46.690 ;48.652 ;95.343 ;3,62 ;1,59 ;2,58
03/2016;46.969 ;48.476 ;95.446 ;3,51 ;1,47 ;2,47
04/2016;46.825 ;48.433 ;95.258 ;3,63 ;3,10 ;3,36
05/2016;47.018 ;48.669 ;95.687 ;3,64 ;3,16 ;3,40
06/2016;47.133 ;48.718 ;95.851 ;3,46 ;1,53 ;2,48
07/2016;47.136 ;48.689 ;95.826 ;3,40 ;1,63 ;2,50
08/2016;47.347 ;48.157 ;95.504 ;3,32 ;1,72 ;2,51
09/2016;47.435 ;48.503 ;95.937 ;3,40 ;1,73 ;2,56
10/2016;47.133 ;48.722 ;95.855 ;3,45 ;3,89 ;3,68
11/2016;47.381 ;48.727 ;96.108 ;3,39 ;3,86 ;3,63
12/2016;47.386 ;49.468 ;96.854 ;3,18 ;3,60 ;3,40
01/2017;47.372 ;49.290 ;96.663 ;3,23 ;3,65 ;3,45
02/2017;47.342 ;48.832 ;96.175 ;3,28 ;3,88 ;3,59
03/2017;47.435 ;49.146 ;96.581 ;3,23 ;3,74 ;3,49
04/2017;47.414 ;49.130 ;96.545 ;3,26 ;3,77 ;3,52
05/2017;47.674 ;49.043 ;96.716 ;3,31 ;4,01 ;3,67
06/2017;47.847 ;49.040 ;96.887 ;3,07 ;3,65 ;3,36
07/2017;47.930 ;48.002 ;95.932 ;3,16 ;1,40 ;2,28
08/2017;48.013 ;46.669 ;94.682 ;3,16 ;1,23 ;2,21
09/2017;47.939 ;46.669 ;94.609 ;3,19 ;1,37 ;2,29
10/2017;48.198 ;46.823 ;95.021 ;3,17 ;3,29 ;3,23
11/2017;48.386 ;46.794 ;95.180 ;3,09 ;3,25 ;3,17
12/2017;48.327 ;47.265 ;95.592 ;2,93 ;1,31 ;2,13
01/2018;48.441 ;46.958 ;95.400 ;3,16 ;1,48 ;2,33
02/2018;48.229 ;46.257 ;94.486 ;3,28 ;1,43 ;2,37
03/2018;48.429 ;46.199 ;94.628 ;3,25 ;3,03 ;3,14
04/2018;48.699 ;45.376 ;94.075 ;3,22 ;1,26 ;2,27
05/2018;48.919 ;45.442 ;94.361 ;3,21 ;1,48 ;2,38
06/2018;48.989 ;45.307 ;94.296 ;3,20 ;0,94 ;2,11
07/2018;49.153 ;46.238 ;95.392 ;3,13 ;1,12 ;2,16
08/2018;49.456 ;46.580 ;96.036 ;3,23 ;1,40 ;2,34
09/2018;49.437 ;46.710 ;96.147 ;3,21 ;1,34 ;2,30
10/2018;49.810 ;46.575 ;96.385 ;3,10 ;1,10 ;2,13
11/2018;50.328 ;46.599 ;96.926 ;2,99 ;1,06 ;2,06
12/2018;50.503 ;46.736 ;97.239 ;2,89 ;0,93 ;1,95
01/2019;50.608 ;45.852 ;96.461 ;2,97 ;1,01 ;2,04
02/2019;50.572 ;45.867 ;96.439 ;2,99 ;0,95 ;2,02
03/2019;50.941 ;45.922 ;96.862 ;3,03 ;1,04 ;2,09
04/2019;51.237 ;45.504 ;96.741 ;2,97 ;1,06 ;2,07
05/2019;51.605 ;45.547 ;97.152 ;2,90 ;0,90 ;1,96
06/2019;51.837 ;46.002 ;97.839 ;2,86 ;0,76 ;1,87
07/2019;52.261 ;45.876 ;98.137 ;2,93 ;0,79 ;1,93
08/2019;52.608 ;46.024 ;98.632 ;2,90 ;0,74 ;1,90
09/2019;53.149 ;46.555 ;99.704 ;2,93 ;0,89 ;1,98
10/2019;53.761 ;46.918 ;100.679 ;2,91 ;0,85 ;1,95
11/2019;54.321 ;47.527 ;101.848 ;2,94 ;0,65 ;1,87
12/2019;54.913 ;47.720 ;102.632 ;2,94 ;0,75 ;1,92
01/2020;55.243 ;47.393 ;102.637 ;3,04 ;0,77 ;1,99
02/2020;55.429 ;47.528 ;102.957 ;3,07 ;0,80 ;2,02
03/2020;55.626 ;48.083 ;103.708 ;3,30 ;0,80 ;2,14
04/2020;55.110 ;48.374 ;103.485 ;3,40 ;0,88 ;2,22
05/2020;55.217 ;49.472 ;104.689 ;3,33 ;0,98 ;2,22
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
