Data;14012 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas físicas - R$ (milhões);14039 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas jurídicas - R$ (milhões);14066 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Total - R$ (milhões);15871 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas físicas - %;15903 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Pessoas jurídicas - %;15935 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso - Total - %
03/2011;19.920 ;16.611 ;36.532 ;4,13 ;3,15 ;3,66
04/2011;20.147 ;16.962 ;37.110 ;4,11 ;3,19 ;3,66
05/2011;20.299 ;17.282 ;37.582 ;4,12 ;3,16 ;3,65
06/2011;20.243 ;17.544 ;37.787 ;4,11 ;3,11 ;3,62
07/2011;20.452 ;17.617 ;38.069 ;3,92 ;2,56 ;3,25
08/2011;20.874 ;17.813 ;38.687 ;3,51 ;2,52 ;3,03
09/2011;21.598 ;18.393 ;39.990 ;3,48 ;2,37 ;2,94
10/2011;21.864 ;18.481 ;40.344 ;3,49 ;2,35 ;2,94
11/2011;22.499 ;18.760 ;41.259 ;3,68 ;2,46 ;3,09
12/2011;23.073 ;19.483 ;42.556 ;3,64 ;2,35 ;3,01
01/2012;23.484 ;19.222 ;42.706 ;3,66 ;2,45 ;3,10
02/2012;23.602 ;19.168 ;42.770 ;3,91 ;2,36 ;3,20
03/2012;23.800 ;19.646 ;43.446 ;3,79 ;2,56 ;3,22
04/2012;23.867 ;20.220 ;44.087 ;3,83 ;2,37 ;3,16
05/2012;24.311 ;20.461 ;44.771 ;3,74 ;2,22 ;3,04
06/2012;24.827 ;20.721 ;45.548 ;3,61 ;2,30 ;3,02
07/2012;24.975 ;20.925 ;45.900 ;3,60 ;2,57 ;3,13
08/2012;25.694 ;21.095 ;46.789 ;3,53 ;2,56 ;3,09
09/2012;25.925 ;21.297 ;47.222 ;3,54 ;2,39 ;3,02
10/2012;26.432 ;21.606 ;48.038 ;3,44 ;2,38 ;2,97
11/2012;27.011 ;22.118 ;49.129 ;3,34 ;2,39 ;2,91
12/2012;27.716 ;22.593 ;50.309 ;3,25 ;2,36 ;2,85
01/2013;28.022 ;22.821 ;50.843 ;3,28 ;2,14 ;2,77
02/2013;28.270 ;22.740 ;51.010 ;3,24 ;2,20 ;2,78
03/2013;28.402 ;22.956 ;51.359 ;3,29 ;2,41 ;2,90
04/2013;28.648 ;22.848 ;51.496 ;3,17 ;2,35 ;2,81
05/2013;29.081 ;23.046 ;52.127 ;3,06 ;2,51 ;2,82
06/2013;29.934 ;23.603 ;53.537 ;2,84 ;2,37 ;2,63
07/2013;30.368 ;23.760 ;54.128 ;2,83 ;2,22 ;2,56
08/2013;31.099 ;24.404 ;55.503 ;2,78 ;2,09 ;2,47
09/2013;31.448 ;24.423 ;55.871 ;2,72 ;2,05 ;2,43
10/2013;31.893 ;24.796 ;56.688 ;2,71 ;2,07 ;2,43
11/2013;32.795 ;25.989 ;58.784 ;2,65 ;1,79 ;2,27
12/2013;33.815 ;26.827 ;60.642 ;2,53 ;1,67 ;2,15
01/2014;34.502 ;27.106 ;61.608 ;2,54 ;1,68 ;2,16
02/2014;34.683 ;27.251 ;61.935 ;2,56 ;1,85 ;2,25
03/2014;35.021 ;27.103 ;62.125 ;2,54 ;1,83 ;2,23
04/2014;35.524 ;27.086 ;62.610 ;2,49 ;1,90 ;2,24
05/2014;35.649 ;26.779 ;62.428 ;2,71 ;1,90 ;2,36
06/2014;36.096 ;26.916 ;63.012 ;2,47 ;1,80 ;2,18
07/2014;36.548 ;26.648 ;63.196 ;2,45 ;1,85 ;2,20
08/2014;37.374 ;27.210 ;64.584 ;2,77 ;2,05 ;2,47
09/2014;38.347 ;27.626 ;65.973 ;2,66 ;2,02 ;2,39
10/2014;38.870 ;28.172 ;67.042 ;2,60 ;2,08 ;2,38
11/2014;39.487 ;28.653 ;68.140 ;2,42 ;1,94 ;2,22
12/2014;40.544 ;29.345 ;69.889 ;2,33 ;1,81 ;2,11
01/2015;41.133 ;29.025 ;70.158 ;2,56 ;2,09 ;2,37
02/2015;41.554 ;29.024 ;70.578 ;2,62 ;2,23 ;2,46
03/2015;42.207 ;28.958 ;71.166 ;2,43 ;2,13 ;2,31
04/2015;42.007 ;28.730 ;70.736 ;2,39 ;2,41 ;2,40
05/2015;42.074 ;28.373 ;70.447 ;2,43 ;2,43 ;2,43
06/2015;42.181 ;28.543 ;70.724 ;2,32 ;2,47 ;2,38
07/2015;42.999 ;28.773 ;71.772 ;2,74 ;2,75 ;2,74
08/2015;43.810 ;28.467 ;72.277 ;3,08 ;3,16 ;3,11
09/2015;44.523 ;29.595 ;74.118 ;3,08 ;3,25 ;3,15
10/2015;44.574 ;29.181 ;73.755 ;3,20 ;3,55 ;3,34
11/2015;44.956 ;29.263 ;74.219 ;3,27 ;3,56 ;3,39
12/2015;45.717 ;29.605 ;75.322 ;3,05 ;3,20 ;3,11
01/2016;46.309 ;29.100 ;75.408 ;3,36 ;3,63 ;3,47
02/2016;46.405 ;28.801 ;75.206 ;3,41 ;3,69 ;3,52
03/2016;46.165 ;28.097 ;74.262 ;3,14 ;3,94 ;3,44
04/2016;45.813 ;27.407 ;73.221 ;3,17 ;4,11 ;3,52
05/2016;45.543 ;27.362 ;72.905 ;3,02 ;4,45 ;3,55
06/2016;45.309 ;27.027 ;72.336 ;2,74 ;4,43 ;3,37
07/2016;45.327 ;26.469 ;71.796 ;3,07 ;4,77 ;3,70
08/2016;45.601 ;26.175 ;71.775 ;3,24 ;5,48 ;4,05
09/2016;45.956 ;26.776 ;72.733 ;3,26 ;6,40 ;4,42
10/2016;46.073 ;26.836 ;72.909 ;3,17 ;6,05 ;4,23
11/2016;47.004 ;26.875 ;73.879 ;2,99 ;5,79 ;4,01
12/2016;47.527 ;27.233 ;74.760 ;2,85 ;5,11 ;3,68
01/2017;47.855 ;26.939 ;74.794 ;3,26 ;5,05 ;3,91
02/2017;48.266 ;27.061 ;75.327 ;3,29 ;5,43 ;4,06
03/2017;48.740 ;26.870 ;75.610 ;3,35 ;5,47 ;4,10
04/2017;48.633 ;28.983 ;77.616 ;3,30 ;4,11 ;3,60
05/2017;48.524 ;28.451 ;76.975 ;3,12 ;3,70 ;3,34
06/2017;48.824 ;28.519 ;77.343 ;2,75 ;3,25 ;2,94
07/2017;48.627 ;27.917 ;76.544 ;2,92 ;3,47 ;3,12
08/2017;49.363 ;27.788 ;77.150 ;3,25 ;3,63 ;3,38
09/2017;49.746 ;28.239 ;77.985 ;3,15 ;3,47 ;3,27
10/2017;50.448 ;28.356 ;78.804 ;2,93 ;3,75 ;3,23
11/2017;51.115 ;28.059 ;79.173 ;2,72 ;3,80 ;3,10
12/2017;52.084 ;28.642 ;80.726 ;2,53 ;3,70 ;2,95
01/2018;52.736 ;28.403 ;81.139 ;2,68 ;3,56 ;2,99
02/2018;53.288 ;29.053 ;82.342 ;2,68 ;3,48 ;2,96
03/2018;53.945 ;29.583 ;83.528 ;2,64 ;3,48 ;2,94
04/2018;54.239 ;30.092 ;84.331 ;2,40 ;3,88 ;2,93
05/2018;54.158 ;31.868 ;86.026 ;2,37 ;3,56 ;2,81
06/2018;54.923 ;31.816 ;86.739 ;2,00 ;3,05 ;2,39
07/2018;55.262 ;31.428 ;86.690 ;2,27 ;3,21 ;2,61
08/2018;57.039 ;32.308 ;89.348 ;2,29 ;3,07 ;2,57
09/2018;57.635 ;32.473 ;90.108 ;2,30 ;2,70 ;2,44
10/2018;58.176 ;32.775 ;90.950 ;2,23 ;2,81 ;2,44
11/2018;59.362 ;33.003 ;92.365 ;1,97 ;2,57 ;2,19
12/2018;60.215 ;33.684 ;93.900 ;1,90 ;2,37 ;2,07
01/2019;60.388 ;32.303 ;92.691 ;1,97 ;2,26 ;2,07
02/2019;60.896 ;32.907 ;93.804 ;1,96 ;2,13 ;2,02
03/2019;61.924 ;33.616 ;95.540 ;1,98 ;1,79 ;1,92
04/2019;62.192 ;33.972 ;96.163 ;1,90 ;1,69 ;1,82
05/2019;62.373 ;34.139 ;96.512 ;1,90 ;1,58 ;1,78
06/2019;63.156 ;35.010 ;98.167 ;1,83 ;1,54 ;1,72
07/2019;63.643 ;35.254 ;98.897 ;2,17 ;1,40 ;1,89
08/2019;65.450 ;36.758 ;102.207 ;2,40 ;2,17 ;2,32
09/2019;66.631 ;37.655 ;104.286 ;2,35 ;2,22 ;2,30
10/2019;67.255 ;37.837 ;105.091 ;2,26 ;2,19 ;2,23
11/2019;68.813 ;38.522 ;107.335 ;2,14 ;2,23 ;2,17
12/2019;69.667 ;38.813 ;108.480 ;2,14 ;1,84 ;2,03
01/2020;71.075 ;39.288 ;110.363 ;2,26 ;2,00 ;2,17
02/2020;72.069 ;40.316 ;112.385 ;2,28 ;1,97 ;2,17
03/2020;73.825 ;44.106 ;117.930 ;2,41 ;1,81 ;2,19
04/2020;73.895 ;45.975 ;119.870 ;2,32 ;1,82 ;2,13
05/2020;73.831 ;47.180 ;121.012 ;2,25 ;1,59 ;1,99
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
