Data;1480 - Índice de volume de vendas no varejo - Total - Mato Grosso - Índice;21938 - Produção Industrial (2012=100) - Geral - Mato Grosso - Índice;28040 - PMS - Índice de volume de serviços - Total - Mato Grosso - com ajuste sazonal - Índice
12/2017;109,70 ;105,5 ;101,10
01/2018;83,60 ;101,6 ;93,80
02/2018;79,30 ;91,2 ;97,50
03/2018;90,00 ;106,2 ;101,30
04/2018;84,10 ;105,8 ;99,70
05/2018;86,10 ;103,0 ;91,10
06/2018;89,80 ;120,2 ;103,00
07/2018;89,20 ;129,8 ;100,80
08/2018;90,70 ;133,2 ;102,30
09/2018;88,50 ;119,2 ;98,80
10/2018;92,60 ;121,8 ;96,60
11/2018;96,50 ;110,0 ;101,20
12/2018;109,00 ;103,0 ;94,60
01/2019;89,80 ;98,6 ;96,80
02/2019;84,50 ;93,6 ;93,10
03/2019;89,10 ;93,3 ;88,80
04/2019;85,70 ;102,1 ;90,20
05/2019;90,20 ;110,6 ;88,70
06/2019;85,50 ;104,2 ;92,50
07/2019;94,10 ;125,4 ;94,40
08/2019;95,60 ;123,6 ;93,80
09/2019;94,60 ;116,9 ;94,00
10/2019;96,90 ;125,3 ;93,50
11/2019;99,70 ;113,1 ;88,10
12/2019;112,30 ;91,9 ;79,30
01/2020;92,10 ;92,7 ;91,90
02/2020;92,40 ;96,4 ;94,00
03/2020;91,00 ;91,1 ;82,20
04/2020;77,30 ;92,4 ;89,60
05/2020;95,40 ;106,8 ;-
Fonte;IBGE;IBGE;BCB e IBGE
