Data;1459 - Índice de volume de vendas no varejo - Total - Roraima - Índice;14024 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas físicas - R$ (milhões);14051 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas jurídicas - R$ (milhões);14078 - Saldo das operações de crédito do Sistema Financeiro Nacional - Roraima - Total - R$ (milhões);15883 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas físicas - %;15915 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Pessoas jurídicas - %;15947 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Roraima - Total - %;24008 - PMS - Índice de volume de serviços - Total - Roraima - Índice
07/2005;31,80 ;246 ;458 ;704 ;8,10 ;0,76 ;2,73 ;-
08/2005;32,50 ;253 ;464 ;717 ;8,32 ;0,75 ;2,82 ;-
09/2005;33,50 ;258 ;470 ;728 ;8,25 ;0,87 ;2,91 ;-
10/2005;37,20 ;264 ;474 ;738 ;8,29 ;0,90 ;2,96 ;-
11/2005;37,70 ;268 ;477 ;745 ;9,46 ;0,89 ;3,29 ;-
12/2005;49,90 ;276 ;479 ;755 ;9,38 ;0,93 ;3,34 ;-
01/2006;37,30 ;289 ;483 ;772 ;9,59 ;1,23 ;3,68 ;-
02/2006;36,40 ;299 ;488 ;788 ;9,64 ;1,09 ;3,63 ;-
03/2006;38,90 ;304 ;492 ;796 ;9,94 ;1,11 ;3,75 ;-
04/2006;43,70 ;314 ;497 ;811 ;9,79 ;1,10 ;3,72 ;-
05/2006;43,30 ;324 ;502 ;826 ;9,44 ;0,97 ;3,58 ;-
06/2006;40,30 ;337 ;510 ;847 ;9,33 ;0,88 ;3,51 ;-
07/2006;44,00 ;347 ;513 ;861 ;8,79 ;0,86 ;3,37 ;-
08/2006;45,00 ;361 ;520 ;881 ;7,57 ;0,95 ;3,08 ;-
09/2006;47,10 ;376 ;526 ;902 ;6,51 ;0,83 ;2,71 ;-
10/2006;46,90 ;391 ;532 ;923 ;6,31 ;0,82 ;2,69 ;-
11/2006;45,80 ;407 ;540 ;948 ;5,72 ;1,14 ;2,73 ;-
12/2006;57,20 ;422 ;543 ;966 ;5,37 ;1,12 ;2,63 ;-
01/2007;40,50 ;445 ;549 ;994 ;5,19 ;0,95 ;2,49 ;-
02/2007;39,30 ;461 ;552 ;1.013 ;5,22 ;1,03 ;2,59 ;-
03/2007;46,00 ;485 ;558 ;1.043 ;5,26 ;1,11 ;2,69 ;-
04/2007;43,30 ;496 ;568 ;1.064 ;5,46 ;1,01 ;2,74 ;-
05/2007;45,90 ;522 ;572 ;1.095 ;5,56 ;0,96 ;2,80 ;-
06/2007;41,10 ;540 ;579 ;1.119 ;5,27 ;1,01 ;2,72 ;-
07/2007;44,10 ;562 ;583 ;1.145 ;5,14 ;0,97 ;2,68 ;-
08/2007;41,60 ;584 ;590 ;1.174 ;5,28 ;0,94 ;2,76 ;-
09/2007;41,40 ;607 ;599 ;1.205 ;5,37 ;1,03 ;2,87 ;-
10/2007;43,50 ;628 ;606 ;1.234 ;5,51 ;0,92 ;2,90 ;-
11/2007;45,30 ;642 ;616 ;1.258 ;5,81 ;0,80 ;2,99 ;-
12/2007;54,50 ;666 ;623 ;1.289 ;5,92 ;0,79 ;3,06 ;-
01/2008;40,20 ;692 ;633 ;1.326 ;5,82 ;0,89 ;3,10 ;-
02/2008;37,90 ;718 ;640 ;1.358 ;5,73 ;0,89 ;3,09 ;-
03/2008;42,90 ;742 ;667 ;1.409 ;5,60 ;0,90 ;3,04 ;-
04/2008;43,20 ;773 ;680 ;1.453 ;5,52 ;0,93 ;3,06 ;-
05/2008;50,30 ;804 ;698 ;1.502 ;5,83 ;0,98 ;3,24 ;-
06/2008;47,70 ;831 ;711 ;1.541 ;5,77 ;0,88 ;3,18 ;-
07/2008;48,80 ;858 ;721 ;1.579 ;5,99 ;0,89 ;3,32 ;-
08/2008;50,40 ;884 ;731 ;1.615 ;6,07 ;0,94 ;3,40 ;-
09/2008;47,40 ;902 ;733 ;1.636 ;5,69 ;0,87 ;3,21 ;-
10/2008;50,80 ;922 ;749 ;1.671 ;6,00 ;1,13 ;3,47 ;-
11/2008;49,50 ;938 ;758 ;1.696 ;6,65 ;1,00 ;3,70 ;-
12/2008;59,40 ;950 ;764 ;1.714 ;6,41 ;1,14 ;3,67 ;-
01/2009;47,10 ;968 ;778 ;1.746 ;7,00 ;1,20 ;3,99 ;-
02/2009;45,00 ;977 ;790 ;1.767 ;7,30 ;1,31 ;4,17 ;-
03/2009;52,20 ;993 ;802 ;1.796 ;7,51 ;1,49 ;4,39 ;-
04/2009;53,60 ;1.013 ;813 ;1.826 ;7,43 ;1,98 ;4,62 ;-
05/2009;54,20 ;1.037 ;820 ;1.857 ;7,61 ;1,68 ;4,58 ;-
06/2009;51,50 ;1.053 ;831 ;1.883 ;7,51 ;1,75 ;4,57 ;-
07/2009;50,80 ;1.079 ;845 ;1.923 ;7,42 ;1,64 ;4,49 ;-
08/2009;50,30 ;1.097 ;861 ;1.958 ;7,33 ;1,56 ;4,41 ;-
09/2009;48,50 ;1.125 ;884 ;2.009 ;7,05 ;1,37 ;4,18 ;-
10/2009;54,10 ;1.154 ;899 ;2.053 ;6,86 ;1,85 ;4,34 ;-
11/2009;56,30 ;1.174 ;917 ;2.091 ;6,74 ;1,87 ;4,27 ;-
12/2009;69,10 ;1.197 ;1.043 ;2.240 ;6,72 ;1,39 ;3,88 ;-
01/2010;51,80 ;1.219 ;1.060 ;2.279 ;7,06 ;1,32 ;3,97 ;-
02/2010;52,20 ;1.234 ;1.068 ;2.302 ;7,01 ;1,48 ;4,05 ;-
03/2010;57,80 ;1.250 ;1.092 ;2.341 ;6,87 ;1,32 ;3,90 ;-
04/2010;59,10 ;1.282 ;1.102 ;2.385 ;6,83 ;1,47 ;3,99 ;-
05/2010;61,50 ;1.305 ;1.131 ;2.436 ;7,02 ;1,58 ;4,12 ;-
06/2010;63,70 ;1.324 ;1.162 ;2.486 ;6,76 ;1,59 ;3,98 ;-
07/2010;62,90 ;1.350 ;1.245 ;2.595 ;6,67 ;1,37 ;3,76 ;-
08/2010;65,40 ;1.378 ;1.259 ;2.637 ;6,45 ;1,10 ;3,54 ;-
09/2010;70,90 ;1.417 ;1.271 ;2.688 ;6,30 ;1,11 ;3,50 ;-
10/2010;68,80 ;1.444 ;1.283 ;2.726 ;6,40 ;1,19 ;3,59 ;-
11/2010;62,50 ;1.475 ;1.307 ;2.781 ;6,35 ;1,13 ;3,55 ;-
12/2010;77,80 ;1.508 ;1.337 ;2.845 ;5,87 ;1,19 ;3,36 ;-
01/2011;65,90 ;1.541 ;1.344 ;2.886 ;6,06 ;9,44 ;7,86 ;84,60
02/2011;59,00 ;1.554 ;1.369 ;2.922 ;5,65 ;10,66 ;8,33 ;85,40
03/2011;66,30 ;1.569 ;1.460 ;3.030 ;5,79 ;10,50 ;8,36 ;84,30
04/2011;64,00 ;1.593 ;1.470 ;3.063 ;6,03 ;10,51 ;8,47 ;87,80
05/2011;65,70 ;1.612 ;1.479 ;3.091 ;6,22 ;10,81 ;8,70 ;93,00
06/2011;65,00 ;1.629 ;1.498 ;3.127 ;6,32 ;1,38 ;3,64 ;96,50
07/2011;68,00 ;1.655 ;1.502 ;3.157 ;6,63 ;1,37 ;3,79 ;99,50
08/2011;72,40 ;1.672 ;1.512 ;3.183 ;6,61 ;1,25 ;3,73 ;101,10
09/2011;73,20 ;1.699 ;1.534 ;3.233 ;6,88 ;1,30 ;3,88 ;93,10
10/2011;71,40 ;1.714 ;1.542 ;3.256 ;7,40 ;1,34 ;4,15 ;92,60
11/2011;73,40 ;1.732 ;1.561 ;3.293 ;7,85 ;1,34 ;4,36 ;92,20
12/2011;90,30 ;1.748 ;1.574 ;3.322 ;8,04 ;1,36 ;4,46 ;100,50
01/2012;81,50 ;1.832 ;1.572 ;3.404 ;6,77 ;1,50 ;4,21 ;92,20
02/2012;80,70 ;1.849 ;1.571 ;3.420 ;7,24 ;2,04 ;4,76 ;86,40
03/2012;86,10 ;1.874 ;1.589 ;3.463 ;7,09 ;1,92 ;4,63 ;103,50
04/2012;79,30 ;1.874 ;1.603 ;3.477 ;7,10 ;1,67 ;4,60 ;100,20
05/2012;83,60 ;1.880 ;1.615 ;3.495 ;6,87 ;1,60 ;4,44 ;107,40
06/2012;83,70 ;1.901 ;1.634 ;3.535 ;6,79 ;1,63 ;4,41 ;103,90
07/2012;88,30 ;1.912 ;1.635 ;3.546 ;6,73 ;1,83 ;4,47 ;106,50
08/2012;93,30 ;1.927 ;1.646 ;3.573 ;6,71 ;1,84 ;4,47 ;105,10
09/2012;93,70 ;1.938 ;1.653 ;3.591 ;6,69 ;1,95 ;4,51 ;101,40
10/2012;92,40 ;1.966 ;1.661 ;3.627 ;6,63 ;1,86 ;4,44 ;107,30
11/2012;91,10 ;1.946 ;1.683 ;3.629 ;6,55 ;1,93 ;4,41 ;97,10
12/2012;103,60 ;1.994 ;2.281 ;4.276 ;6,54 ;1,21 ;3,69 ;111,80
01/2013;84,80 ;2.017 ;2.218 ;4.234 ;6,50 ;1,13 ;3,69 ;96,40
02/2013;82,30 ;2.031 ;2.223 ;4.254 ;6,34 ;1,00 ;3,55 ;92,40
03/2013;92,00 ;2.053 ;2.254 ;4.307 ;6,28 ;1,00 ;3,52 ;101,00
04/2013;91,70 ;2.088 ;2.265 ;4.353 ;6,22 ;1,12 ;3,56 ;101,30
05/2013;94,80 ;2.114 ;2.275 ;4.389 ;6,17 ;0,86 ;3,42 ;104,30
06/2013;88,90 ;2.140 ;2.309 ;4.448 ;5,99 ;0,81 ;3,31 ;104,80
07/2013;90,00 ;2.147 ;2.302 ;4.450 ;5,82 ;0,70 ;3,17 ;110,40
08/2013;91,50 ;2.179 ;2.587 ;4.766 ;5,66 ;0,63 ;2,93 ;102,40
09/2013;88,40 ;2.205 ;2.600 ;4.806 ;5,54 ;0,63 ;2,88 ;100,60
10/2013;90,30 ;2.221 ;2.616 ;4.837 ;5,42 ;0,70 ;2,87 ;106,00
11/2013;89,90 ;2.246 ;2.625 ;4.871 ;5,36 ;0,85 ;2,93 ;100,20
12/2013;107,40 ;2.280 ;2.651 ;4.932 ;5,13 ;0,85 ;2,83 ;102,40
01/2014;85,50 ;2.303 ;2.650 ;4.954 ;5,11 ;0,90 ;2,86 ;101,80
02/2014;83,50 ;2.324 ;2.652 ;4.976 ;5,00 ;0,85 ;2,79 ;99,90
03/2014;85,30 ;2.324 ;2.658 ;4.982 ;5,14 ;0,91 ;2,88 ;101,80
04/2014;96,30 ;2.399 ;2.670 ;5.069 ;4,95 ;0,91 ;2,82 ;104,50
05/2014;100,90 ;2.422 ;2.673 ;5.096 ;4,92 ;0,95 ;2,84 ;106,20
06/2014;96,90 ;2.444 ;2.685 ;5.130 ;4,80 ;0,86 ;2,74 ;96,00
07/2014;99,00 ;2.453 ;2.677 ;5.130 ;4,80 ;0,83 ;2,73 ;103,90
08/2014;98,90 ;2.486 ;1.890 ;4.376 ;4,68 ;1,55 ;3,33 ;100,90
09/2014;101,20 ;2.501 ;1.920 ;4.421 ;4,64 ;1,54 ;3,29 ;96,00
10/2014;109,20 ;2.531 ;1.921 ;4.452 ;4,58 ;1,71 ;3,34 ;97,50
11/2014;106,50 ;2.573 ;1.934 ;4.507 ;4,87 ;1,48 ;3,42 ;93,90
12/2014;136,90 ;2.612 ;1.937 ;4.549 ;4,02 ;1,55 ;2,97 ;97,40
01/2015;108,30 ;2.632 ;1.919 ;4.550 ;4,08 ;1,72 ;3,08 ;92,00
02/2015;93,40 ;2.645 ;1.919 ;4.563 ;4,22 ;1,76 ;3,19 ;86,70
03/2015;104,50 ;2.684 ;1.873 ;4.557 ;4,09 ;1,93 ;3,20 ;95,20
04/2015;100,60 ;2.722 ;1.873 ;4.594 ;4,05 ;2,39 ;3,37 ;92,70
05/2015;109,30 ;2.749 ;1.870 ;4.619 ;4,46 ;2,34 ;3,60 ;104,10
06/2015;100,30 ;2.765 ;1.858 ;4.623 ;4,17 ;2,20 ;3,38 ;95,20
07/2015;105,60 ;2.787 ;1.849 ;4.636 ;4,29 ;2,32 ;3,51 ;97,70
08/2015;104,50 ;2.817 ;1.844 ;4.661 ;4,42 ;2,45 ;3,64 ;106,60
09/2015;102,60 ;2.849 ;1.847 ;4.696 ;4,46 ;2,51 ;3,69 ;100,50
10/2015;108,40 ;2.853 ;1.846 ;4.699 ;4,51 ;2,40 ;3,68 ;104,60
11/2015;110,60 ;2.886 ;1.845 ;4.731 ;4,75 ;2,57 ;3,90 ;104,20
12/2015;132,10 ;2.909 ;1.841 ;4.750 ;4,79 ;2,62 ;3,95 ;109,70
01/2016;102,00 ;2.913 ;1.813 ;4.726 ;4,79 ;2,46 ;3,90 ;102,30
02/2016;95,20 ;2.919 ;1.796 ;4.714 ;4,52 ;2,66 ;3,81 ;95,20
03/2016;103,10 ;2.932 ;1.800 ;4.732 ;4,48 ;2,69 ;3,80 ;102,10
04/2016;100,80 ;2.944 ;1.788 ;4.732 ;4,71 ;2,90 ;4,03 ;98,70
05/2016;99,70 ;2.955 ;1.767 ;4.722 ;4,70 ;2,87 ;4,01 ;97,10
06/2016;100,60 ;2.981 ;1.762 ;4.744 ;4,43 ;2,62 ;3,76 ;101,90
07/2016;109,00 ;3.000 ;1.754 ;4.754 ;4,18 ;2,48 ;3,55 ;101,70
08/2016;113,60 ;3.026 ;1.744 ;4.770 ;4,04 ;2,46 ;3,46 ;100,20
09/2016;111,90 ;3.037 ;1.735 ;4.771 ;4,01 ;2,47 ;3,45 ;100,00
10/2016;114,00 ;3.033 ;1.721 ;4.754 ;4,09 ;2,86 ;3,64 ;97,60
11/2016;112,50 ;3.048 ;1.714 ;4.762 ;4,01 ;3,01 ;3,65 ;96,70
12/2016;133,90 ;3.055 ;1.700 ;4.755 ;3,91 ;2,88 ;3,54 ;101,10
01/2017;86,80 ;3.083 ;1.674 ;4.757 ;3,84 ;2,56 ;3,39 ;83,40
02/2017;86,50 ;3.088 ;1.664 ;4.751 ;3,76 ;2,59 ;3,35 ;80,90
03/2017;93,40 ;3.130 ;1.657 ;4.787 ;3,75 ;2,53 ;3,33 ;83,00
04/2017;91,20 ;3.139 ;1.661 ;4.800 ;3,85 ;2,62 ;3,42 ;82,10
05/2017;97,30 ;3.187 ;1.645 ;4.833 ;3,90 ;2,62 ;3,46 ;80,60
06/2017;97,20 ;3.193 ;1.650 ;4.843 ;3,48 ;2,61 ;3,18 ;87,20
07/2017;104,40 ;3.216 ;1.629 ;4.844 ;3,67 ;2,63 ;3,32 ;84,40
08/2017;108,70 ;3.251 ;1.630 ;4.881 ;3,67 ;2,51 ;3,28 ;95,60
09/2017;106,90 ;3.267 ;1.633 ;4.899 ;3,82 ;2,43 ;3,36 ;93,30
10/2017;103,80 ;3.296 ;1.629 ;4.925 ;3,86 ;2,28 ;3,33 ;91,00
11/2017;106,20 ;3.320 ;1.616 ;4.937 ;4,04 ;2,17 ;3,43 ;92,60
12/2017;119,50 ;3.330 ;1.624 ;4.953 ;3,91 ;1,97 ;3,28 ;115,50
01/2018;99,40 ;3.359 ;1.608 ;4.967 ;4,23 ;2,38 ;3,63 ;75,40
02/2018;96,90 ;3.372 ;1.594 ;4.966 ;4,29 ;2,52 ;3,72 ;83,70
03/2018;105,40 ;3.388 ;1.593 ;4.982 ;5,75 ;2,04 ;4,56 ;93,60
04/2018;97,40 ;3.420 ;1.582 ;5.002 ;5,22 ;2,21 ;4,26 ;88,80
05/2018;108,20 ;3.455 ;1.572 ;5.027 ;5,25 ;1,86 ;4,19 ;87,90
06/2018;99,70 ;3.475 ;1.575 ;5.050 ;5,12 ;1,63 ;4,03 ;94,90
07/2018;101,50 ;3.486 ;1.568 ;5.054 ;5,73 ;1,76 ;4,50 ;90,80
08/2018;106,50 ;3.523 ;1.568 ;5.091 ;5,77 ;1,55 ;4,47 ;96,10
09/2018;102,90 ;3.534 ;1.575 ;5.108 ;5,78 ;1,34 ;4,41 ;85,80
10/2018;109,60 ;3.557 ;1.564 ;5.121 ;7,31 ;1,23 ;5,46 ;82,60
11/2018;110,30 ;3.592 ;1.569 ;5.160 ;7,22 ;1,39 ;5,45 ;94,70
12/2018;128,30 ;3.585 ;1.566 ;5.151 ;7,15 ;1,13 ;5,32 ;90,20
01/2019;102,30 ;3.607 ;1.554 ;5.161 ;4,18 ;1,28 ;3,31 ;83,90
02/2019;93,90 ;3.619 ;1.542 ;5.161 ;4,01 ;1,21 ;3,18 ;80,20
03/2019;100,80 ;3.640 ;1.541 ;5.181 ;4,07 ;1,19 ;3,21 ;87,90
04/2019;105,00 ;3.663 ;1.523 ;5.186 ;3,93 ;0,98 ;3,07 ;85,80
05/2019;110,70 ;3.699 ;1.518 ;5.217 ;4,13 ;0,92 ;3,20 ;91,50
06/2019;108,70 ;3.715 ;1.552 ;5.268 ;4,04 ;0,88 ;3,11 ;86,40
07/2019;113,00 ;3.745 ;1.541 ;5.287 ;4,02 ;0,95 ;3,12 ;89,10
08/2019;112,50 ;3.791 ;1.535 ;5.325 ;3,93 ;0,94 ;3,07 ;101,30
09/2019;110,00 ;3.837 ;1.541 ;5.378 ;4,01 ;0,94 ;3,13 ;94,60
10/2019;117,80 ;3.878 ;1.545 ;5.423 ;3,98 ;0,88 ;3,10 ;81,90
11/2019;130,40 ;3.917 ;1.545 ;5.463 ;3,87 ;0,97 ;3,05 ;91,40
12/2019;130,30 ;3.944 ;1.557 ;5.501 ;3,88 ;0,97 ;3,06 ;102,30
01/2020;105,80 ;3.987 ;1.538 ;5.525 ;4,02 ;0,90 ;3,15 ;77,60
02/2020;100,40 ;4.004 ;1.534 ;5.538 ;3,86 ;1,17 ;3,12 ;82,20
03/2020;94,30 ;4.018 ;1.533 ;5.551 ;4,14 ;1,33 ;3,36 ;81,40
04/2020;85,10 ;3.992 ;1.537 ;5.529 ;4,22 ;1,36 ;3,43 ;67,80
05/2020;100,10 ;4.005 ;1.526 ;5.531 ;4,36 ;1,40 ;3,54 ;-
Fonte;IBGE;BCB;BCB;BCB;BCB;BCB;BCB;IBGE
