Data;7495 - SINAPI - Var. % mensal
04/2012;0,64
05/2012;0,66
06/2012;0,70
07/2012;0,29
08/2012;0,79
09/2012;0,25
10/2012;0,34
11/2012;0,22
12/2012;0,43
01/2013;0,18
02/2013;0,73
03/2013;0,18
04/2013;0,69
05/2013;-5,12
06/2013;7,80
07/2013;-6,15
08/2013;0,58
09/2013;0,54
10/2013;0,44
11/2013;0,42
12/2013;0,88
01/2014;0,45
02/2014;0,44
03/2014;0,62
04/2014;0,46
05/2014;1,06
06/2014;0,59
07/2014;0,58
08/2014;0,52
09/2014;0,16
10/2014;0,30
11/2014;0,20
12/2014;0,65
01/2015;0,21
02/2015;0,18
03/2015;0,23
04/2015;0,50
05/2015;1,26
06/2015;0,73
07/2015;0,69
08/2015;0,70
09/2015;0,26
10/2015;0,27
11/2015;0,28
12/2015;0,06
01/2016;0,55
02/2016;0,84
03/2016;0,82
04/2016;0,46
05/2016;0,83
06/2016;1,02
07/2016;0,20
08/2016;0,24
09/2016;0,26
10/2016;0,64
11/2016;0,10
12/2016;0,49
01/2017;0,38
02/2017;0,19
03/2017;0,46
04/2017;0,15
05/2017;0,30
06/2017;0,38
07/2017;0,58
08/2017;0,23
09/2017;0,27
10/2017;0,16
11/2017;0,48
12/2017;0,18
01/2018;0,27
02/2018;0,30
03/2018;0,14
04/2018;0,26
05/2018;0,55
06/2018;0,58
07/2018;0,52
08/2018;0,36
09/2018;0,45
10/2018;0,43
11/2018;0,24
12/2018;0,22
01/2019;0,42
02/2019;0,21
03/2019;0,52
04/2019;0,34
05/2019;0,11
06/2019;0,35
07/2019;0,68
08/2019;0,44
09/2019;0,37
10/2019;0,19
11/2019;0,11
12/2019;0,22
01/2020;0,30
02/2020;0,25
03/2020;0,35
04/2020;0,25
05/2020;0,17
Fonte;IBGE
