Data;1473 - Índice volume de vendas no varejo - Total - Espírito Santo - Índice;1488 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Espírito Santo - Índice;1501 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Espírito Santo - Índice;1514 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Espírito Santo - Índice;1527 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Espírito Santo - Índice;1553 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Espírito Santo - Índice;1566 - Índice volume de vendas no varejo - Hipermercados e supermercados - Espírito Santo - Índice;7494 - Cesta básica - Vitória - u.m.c.;21928 - Produção Industrial (2012=100)  Geral  Espírito Santo - com ajuste sazonal - Índice;25399 - Índice de Atividade Econômica Regional - Espírito Santo - com ajuste sazonal - Índice;28033 - PMS - Índice de volume de serviços - Total - Espírito Santo - com ajuste sazonal - Índice
09/2000;45,20 ;106,50 ;46,80 ;64,30 ;26,50 ;20,50 ;46,60 ;96,21 ;-;-;
10/2000;45,90 ;110,90 ;45,90 ;67,00 ;28,10 ;21,60 ;46,00 ;97,67 ;-;-;
11/2000;45,70 ;106,90 ;44,20 ;68,60 ;30,10 ;20,80 ;43,70 ;98,89 ;-;-;
12/2000;65,10 ;112,00 ;61,60 ;121,80 ;45,70 ;21,60 ;61,70 ;96,11 ;-;-;
01/2001;48,30 ;124,20 ;47,60 ;62,60 ;28,50 ;20,70 ;47,90 ;94,81 ;-;-;
02/2001;43,60 ;108,80 ;44,20 ;57,50 ;23,80 ;19,50 ;43,80 ;97,25 ;-;-;
03/2001;50,70 ;108,20 ;53,20 ;68,20 ;29,80 ;23,30 ;52,90 ;104,88 ;-;-;
04/2001;48,40 ;97,70 ;54,00 ;59,00 ;24,90 ;20,70 ;54,30 ;113,20 ;-;-;
05/2001;50,30 ;100,90 ;51,00 ;75,70 ;30,20 ;22,50 ;51,30 ;110,94 ;-;-;
06/2001;47,30 ;96,40 ;50,10 ;72,20 ;26,50 ;20,00 ;50,10 ;110,89 ;-;-;
07/2001;47,90 ;103,00 ;48,60 ;71,40 ;29,20 ;21,60 ;48,60 ;111,24 ;-;-;
08/2001;48,20 ;101,30 ;49,50 ;71,20 ;27,30 ;22,50 ;49,40 ;108,26 ;-;-;
09/2001;46,20 ;98,80 ;49,60 ;62,10 ;23,60 ;18,30 ;49,40 ;107,04 ;-;-;
10/2001;49,80 ;107,00 ;51,40 ;67,90 ;27,10 ;22,50 ;51,90 ;111,02 ;-;-;
11/2001;46,80 ;97,40 ;49,60 ;70,30 ;24,90 ;20,90 ;50,40 ;112,94 ;-;-;
12/2001;64,80 ;116,90 ;62,50 ;124,30 ;41,30 ;20,50 ;63,60 ;116,51 ;-;-;
01/2002;48,70 ;119,10 ;49,40 ;59,70 ;26,20 ;20,70 ;50,60 ;117,78 ;66,2 ;-;
02/2002;43,90 ;92,70 ;48,10 ;56,80 ;21,50 ;18,30 ;48,90 ;117,78 ;65,4 ;-;
03/2002;49,00 ;98,30 ;54,40 ;63,80 ;25,60 ;22,10 ;54,60 ;116,25 ;63,7 ;-;
04/2002;50,00 ;101,20 ;56,70 ;63,00 ;24,80 ;20,90 ;58,10 ;116,00 ;69,0 ;-;
05/2002;48,00 ;93,70 ;50,20 ;71,40 ;28,80 ;19,40 ;50,00 ;113,65 ;66,2 ;-;
06/2002;45,40 ;85,80 ;48,40 ;71,70 ;24,60 ;17,40 ;48,10 ;115,34 ;73,0 ;-;
07/2002;50,00 ;101,50 ;50,10 ;76,80 ;29,80 ;22,40 ;49,60 ;120,73 ;72,1 ;-;
08/2002;49,70 ;105,40 ;51,80 ;72,10 ;30,40 ;20,40 ;51,70 ;122,37 ;73,2 ;-;
09/2002;46,00 ;94,80 ;47,10 ;62,70 ;28,90 ;21,60 ;46,90 ;123,34 ;73,1 ;-;
10/2002;48,10 ;102,50 ;48,20 ;67,80 ;31,10 ;23,30 ;47,70 ;124,60 ;76,7 ;-;
11/2002;47,00 ;88,60 ;47,40 ;72,50 ;31,50 ;18,80 ;47,10 ;132,44 ;80,5 ;-;
12/2002;58,90 ;111,60 ;55,30 ;128,80 ;32,40 ;22,50 ;55,20 ;135,49 ;76,2 ;-;
01/2003;43,30 ;111,70 ;44,20 ;53,60 ;21,20 ;21,30 ;44,30 ;137,93 ;75,4 ;103,34;
02/2003;40,70 ;88,20 ;42,20 ;52,80 ;19,80 ;21,60 ;42,20 ;143,98 ;80,5 ;105,25;
03/2003;40,10 ;95,00 ;44,20 ;47,50 ;19,50 ;20,00 ;44,20 ;149,28 ;76,0 ;103,75;
04/2003;40,80 ;83,10 ;46,10 ;54,10 ;17,40 ;20,20 ;45,90 ;155,75 ;75,0 ;102,52;
05/2003;41,50 ;85,80 ;46,90 ;49,30 ;20,60 ;21,70 ;46,70 ;149,85 ;79,8 ;97,73;
06/2003;40,80 ;78,70 ;45,70 ;58,80 ;17,90 ;20,30 ;45,90 ;146,67 ;74,2 ;101,91;
07/2003;45,50 ;90,00 ;50,10 ;63,40 ;20,10 ;23,30 ;50,10 ;140,83 ;78,6 ;103,26;
08/2003;45,60 ;94,90 ;50,70 ;58,10 ;20,70 ;22,80 ;50,80 ;136,73 ;77,1 ;102,86;
09/2003;44,50 ;89,90 ;48,50 ;53,60 ;21,20 ;23,20 ;48,80 ;138,67 ;79,8 ;103,48;
10/2003;49,70 ;87,00 ;52,80 ;57,90 ;30,70 ;23,60 ;53,00 ;137,30 ;73,8 ;101,87;
11/2003;48,30 ;97,60 ;51,50 ;56,80 ;31,50 ;22,40 ;51,60 ;139,28 ;73,0 ;102,73;
12/2003;64,20 ;105,60 ;66,30 ;117,40 ;33,20 ;22,40 ;66,00 ;139,28 ;76,6 ;104,73;
01/2004;50,00 ;103,60 ;56,90 ;48,20 ;23,00 ;23,40 ;57,30 ;148,12 ;77,6 ;104,22;
02/2004;46,70 ;90,30 ;54,50 ;43,50 ;20,40 ;21,30 ;54,70 ;147,26 ;80,8 ;104,92;
03/2004;50,60 ;89,20 ;58,00 ;48,40 ;24,80 ;25,80 ;58,20 ;149,02 ;79,2 ;104,49;
04/2004;51,00 ;89,60 ;60,60 ;49,20 ;21,70 ;22,50 ;60,80 ;146,20 ;80,1 ;107,97;
05/2004;50,50 ;88,60 ;55,70 ;61,40 ;26,20 ;24,20 ;55,80 ;147,37 ;80,6 ;105,02;
06/2004;49,60 ;84,50 ;55,50 ;61,30 ;24,00 ;24,60 ;55,50 ;158,19 ;80,7 ;106,32;
07/2004;53,00 ;95,40 ;59,90 ;64,10 ;28,20 ;29,70 ;60,00 ;153,40 ;79,8 ;106,08;
08/2004;49,50 ;94,50 ;56,30 ;55,20 ;23,40 ;26,40 ;56,70 ;165,05 ;80,0 ;107,18;
09/2004;49,50 ;98,10 ;56,50 ;47,30 ;22,40 ;25,80 ;56,90 ;154,71 ;79,3 ;107,69;
10/2004;55,00 ;94,70 ;60,90 ;54,60 ;35,10 ;26,70 ;61,20 ;151,84 ;80,7 ;108,59;
11/2004;53,90 ;89,10 ;58,10 ;58,30 ;38,60 ;27,60 ;58,40 ;148,41 ;81,1 ;110,35;
12/2004;74,00 ;99,00 ;76,80 ;120,90 ;43,20 ;31,50 ;77,30 ;152,38 ;84,0 ;111,74;
01/2005;53,00 ;98,40 ;60,30 ;49,30 ;28,90 ;28,10 ;60,70 ;157,96 ;83,0 ;112,12;
02/2005;50,80 ;75,40 ;60,80 ;42,80 ;26,80 ;27,10 ;60,80 ;163,69 ;80,7 ;111,38;
03/2005;57,40 ;81,60 ;68,30 ;46,80 ;32,00 ;32,60 ;68,50 ;159,26 ;84,4 ;112,50;
04/2005;54,30 ;81,90 ;65,00 ;47,80 ;31,10 ;31,70 ;65,00 ;165,19 ;85,0 ;111,85;
05/2005;54,50 ;84,70 ;62,40 ;58,90 ;32,90 ;34,20 ;62,50 ;170,76 ;81,4 ;110,15;
06/2005;54,20 ;87,50 ;62,40 ;60,70 ;31,50 ;34,00 ;62,50 ;162,89 ;80,0 ;109,07;
07/2005;58,70 ;85,90 ;69,60 ;61,30 ;33,70 ;34,40 ;69,90 ;160,50 ;73,4 ;107,93;
08/2005;58,10 ;87,60 ;67,40 ;57,90 ;35,40 ;37,60 ;67,60 ;150,78 ;79,6 ;110,87;
09/2005;56,60 ;86,60 ;67,80 ;48,80 ;33,20 ;39,30 ;68,00 ;148,33 ;81,0 ;112,62;
10/2005;61,00 ;93,70 ;68,60 ;54,20 ;46,20 ;37,70 ;68,80 ;152,78 ;83,8 ;114,96;
11/2005;60,60 ;90,70 ;66,30 ;61,80 ;50,10 ;34,70 ;66,40 ;165,43 ;82,0 ;114,39;
12/2005;85,10 ;101,00 ;88,20 ;120,20 ;61,10 ;43,60 ;88,30 ;165,61 ;81,2 ;114,32;
01/2006;60,50 ;100,80 ;69,20 ;49,30 ;37,80 ;38,10 ;69,10 ;165,15 ;85,9 ;117,26;
02/2006;55,90 ;81,30 ;67,40 ;47,10 ;29,80 ;34,90 ;67,90 ;159,41 ;82,3 ;115,61;
03/2006;60,00 ;81,70 ;72,00 ;49,70 ;37,10 ;42,70 ;72,30 ;160,61 ;86,1 ;117,31;
04/2006;60,30 ;76,60 ;74,20 ;55,20 ;31,80 ;35,60 ;74,60 ;161,88 ;86,6 ;118,66;
05/2006;61,80 ;81,30 ;69,10 ;69,00 ;42,40 ;43,50 ;69,50 ;163,37 ;88,3 ;117,16;
06/2006;61,30 ;80,80 ;71,50 ;66,10 ;38,50 ;40,80 ;72,00 ;152,32 ;90,5 ;120,74;
07/2006;62,80 ;85,30 ;74,10 ;62,30 ;38,70 ;43,50 ;74,40 ;151,47 ;87,9 ;120,14;
08/2006;63,80 ;90,40 ;73,30 ;61,30 ;40,60 ;49,20 ;73,60 ;147,67 ;79,3 ;116,13;
09/2006;64,40 ;86,80 ;76,10 ;54,10 ;39,10 ;46,50 ;76,40 ;149,80 ;90,0 ;120,75;
10/2006;65,80 ;84,10 ;75,20 ;58,50 ;44,50 ;43,70 ;75,60 ;157,91 ;90,2 ;121,70;
11/2006;68,10 ;82,20 ;77,30 ;67,20 ;46,70 ;46,60 ;77,70 ;163,84 ;90,4 ;123,08;
12/2006;92,80 ;87,70 ;99,40 ;120,90 ;70,10 ;45,90 ;100,20 ;158,17 ;89,3 ;123,61;
01/2007;65,30 ;90,10 ;75,70 ;51,10 ;46,20 ;45,90 ;76,10 ;168,99 ;89,7 ;122,19;
02/2007;64,20 ;79,40 ;79,10 ;44,30 ;36,80 ;39,00 ;79,70 ;172,41 ;89,5 ;123,24;
03/2007;70,30 ;89,20 ;85,80 ;49,70 ;44,80 ;53,10 ;86,50 ;174,12 ;90,2 ;123,75;
04/2007;66,80 ;81,40 ;82,20 ;50,20 ;40,10 ;45,80 ;82,90 ;171,50 ;88,0 ;125,08;
05/2007;69,40 ;83,90 ;79,80 ;77,60 ;49,00 ;48,30 ;80,40 ;162,76 ;90,4 ;129,92;
06/2007;65,60 ;80,40 ;77,30 ;63,80 ;43,90 ;47,90 ;77,90 ;164,63 ;92,2 ;127,89;
07/2007;66,10 ;82,60 ;77,50 ;60,70 ;46,10 ;52,70 ;78,10 ;164,04 ;92,6 ;127,40;
08/2007;69,20 ;81,00 ;81,10 ;63,00 ;50,00 ;62,60 ;81,70 ;172,55 ;97,0 ;128,55;
09/2007;68,20 ;76,90 ;82,10 ;55,80 ;45,10 ;57,10 ;82,70 ;179,95 ;87,9 ;123,88;
10/2007;72,60 ;84,00 ;82,60 ;66,00 ;50,10 ;63,00 ;82,90 ;182,84 ;99,2 ;129,33;
11/2007;71,20 ;85,30 ;82,20 ;72,70 ;47,00 ;67,00 ;82,60 ;179,98 ;102,6 ;132,67;
12/2007;98,70 ;90,60 ;105,80 ;137,60 ;77,30 ;66,40 ;106,20 ;189,51 ;104,7 ;138,19;
01/2008;74,00 ;88,00 ;85,60 ;61,50 ;52,90 ;62,70 ;85,70 ;198,54 ;101,8 ;133,22;
02/2008;69,60 ;82,20 ;81,60 ;56,30 ;50,40 ;62,20 ;81,90 ;197,90 ;105,1 ;131,50;
03/2008;77,00 ;88,60 ;90,50 ;58,10 ;54,50 ;69,80 ;90,80 ;206,80 ;105,4 ;137,04;
04/2008;73,10 ;89,90 ;82,10 ;63,40 ;55,70 ;75,90 ;82,30 ;212,39 ;107,0 ;137,03;
05/2008;78,20 ;94,10 ;86,10 ;92,50 ;60,20 ;71,30 ;86,40 ;222,98 ;107,4 ;141,04;
06/2008;71,10 ;91,70 ;79,30 ;80,00 ;53,20 ;74,20 ;79,40 ;220,46 ;106,8 ;138,92;
07/2008;75,50 ;97,70 ;82,90 ;77,00 ;61,60 ;81,50 ;83,10 ;230,19 ;107,1 ;138,57;
08/2008;76,00 ;97,40 ;84,70 ;74,10 ;61,70 ;74,20 ;84,90 ;207,99 ;103,8 ;137,11;
09/2008;74,00 ;95,70 ;80,70 ;65,90 ;62,90 ;80,60 ;80,90 ;205,09 ;102,4 ;137,08;
10/2008;77,60 ;99,80 ;86,10 ;66,20 ;60,10 ;75,40 ;86,50 ;213,56 ;95,3 ;132,29;
11/2008;74,40 ;88,30 ;82,90 ;73,10 ;58,80 ;55,80 ;83,20 ;226,16 ;77,7 ;124,30;
12/2008;98,20 ;97,00 ;102,60 ;133,70 ;90,70 ;64,10 ;102,80 ;227,54 ;72,0 ;122,68;
01/2009;75,30 ;98,50 ;84,60 ;60,80 ;62,50 ;68,50 ;84,40 ;238,44 ;67,2 ;118,22;
02/2009;68,00 ;91,00 ;79,00 ;51,90 ;50,00 ;63,50 ;79,00 ;232,48 ;72,9 ;122,97;
03/2009;70,90 ;94,90 ;79,20 ;59,80 ;60,30 ;81,80 ;79,10 ;217,91 ;68,7 ;120,90;
04/2009;71,60 ;87,10 ;85,00 ;56,80 ;53,10 ;66,10 ;85,20 ;219,32 ;77,1 ;125,62;
05/2009;72,50 ;91,20 ;79,30 ;82,30 ;61,20 ;73,60 ;79,30 ;225,45 ;78,1 ;127,65;
06/2009;69,30 ;86,30 ;76,70 ;67,10 ;60,30 ;92,70 ;76,80 ;227,30 ;78,8 ;127,95;
07/2009;73,60 ;89,00 ;82,70 ;66,30 ;62,20 ;81,70 ;82,80 ;223,11 ;85,8 ;129,89;
08/2009;73,00 ;85,90 ;81,60 ;63,80 ;61,20 ;85,70 ;81,60 ;223,09 ;92,4 ;134,05;
09/2009;72,20 ;87,20 ;79,70 ;53,90 ;62,90 ;106,40 ;79,70 ;226,02 ;95,1 ;135,78;
10/2009;79,90 ;86,80 ;91,70 ;60,90 ;67,30 ;98,60 ;91,70 ;224,57 ;97,2 ;136,82;
11/2009;77,30 ;88,50 ;83,40 ;63,60 ;73,50 ;77,70 ;83,30 ;227,81 ;96,2 ;138,07;
12/2009;104,80 ;92,70 ;108,60 ;128,00 ;107,40 ;92,80 ;108,80 ;219,09 ;100,9 ;142,67;
01/2010;81,10 ;88,30 ;89,60 ;56,00 ;79,70 ;84,90 ;89,70 ;217,20 ;102,1 ;147,21;
02/2010;75,00 ;78,60 ;88,40 ;52,80 ;59,80 ;85,30 ;88,60 ;224,74 ;99,7 ;146,78;
03/2010;82,50 ;83,80 ;94,40 ;57,50 ;73,40 ;130,40 ;94,30 ;232,23 ;103,1 ;147,85;
04/2010;76,30 ;80,60 ;88,50 ;61,20 ;60,90 ;96,30 ;88,50 ;244,07 ;101,0 ;147,72;
05/2010;79,30 ;83,90 ;85,40 ;91,60 ;70,60 ;105,10 ;85,30 ;242,85 ;97,9 ;145,10;
06/2010;76,40 ;77,00 ;87,10 ;75,20 ;60,90 ;110,90 ;86,90 ;231,12 ;103,5 ;150,39;
07/2010;81,70 ;81,30 ;94,50 ;75,30 ;61,10 ;103,40 ;94,10 ;222,27 ;105,0 ;152,46;
08/2010;79,60 ;83,80 ;88,30 ;71,90 ;62,90 ;108,80 ;87,80 ;217,96 ;106,0 ;154,83;
09/2010;79,60 ;86,70 ;89,30 ;62,10 ;63,70 ;118,20 ;89,10 ;225,35 ;105,5 ;155,38;
10/2010;85,20 ;91,50 ;95,80 ;70,60 ;65,10 ;105,20 ;95,50 ;231,26 ;107,7 ;156,86;
11/2010;82,10 ;92,90 ;89,40 ;69,00 ;70,40 ;109,40 ;89,10 ;246,75 ;105,1 ;157,74;
12/2010;112,10 ;101,90 ;115,40 ;141,10 ;105,80 ;137,40 ;115,70 ;242,00 ;99,5 ;157,00;
01/2011;86,80 ;98,70 ;92,90 ;71,30 ;76,50 ;126,80 ;92,90 ;250,26 ;111,4 ;164,04;94,20
02/2011;80,10 ;91,50 ;87,90 ;64,70 ;64,50 ;136,50 ;87,80 ;246,31 ;113,0 ;164,09;94,30
03/2011;86,80 ;90,80 ;100,80 ;69,50 ;63,20 ;153,90 ;100,60 ;258,32 ;113,2 ;165,80;95,40
04/2011;86,30 ;85,50 ;100,70 ;71,90 ;62,10 ;150,40 ;100,70 ;256,12 ;113,6 ;164,90;96,00
05/2011;84,80 ;88,50 ;89,50 ;104,60 ;72,60 ;172,90 ;89,50 ;260,59 ;116,4 ;164,50;95,60
06/2011;82,40 ;84,00 ;89,60 ;84,40 ;67,60 ;138,90 ;89,80 ;256,14 ;110,8 ;163,50;98,40
07/2011;89,20 ;88,50 ;97,90 ;83,90 ;73,40 ;108,40 ;98,00 ;250,76 ;105,9 ;162,90;99,60
08/2011;88,60 ;91,80 ;95,50 ;75,70 ;75,40 ;112,20 ;95,60 ;249,58 ;102,7 ;161,08;99,30
09/2011;85,50 ;86,00 ;93,70 ;68,60 ;71,70 ;117,30 ;93,80 ;249,60 ;102,7 ;162,92;98,90
10/2011;89,20 ;89,30 ;96,30 ;69,50 ;72,90 ;101,40 ;96,30 ;251,98 ;100,8 ;160,49;99,00
11/2011;88,00 ;87,60 ;93,80 ;74,80 ;75,20 ;110,90 ;93,80 ;263,91 ;104,5 ;165,83;99,80
12/2011;117,70 ;98,90 ;121,40 ;154,60 ;107,40 ;141,20 ;122,00 ;275,39 ;104,7 ;165,81;103,00
01/2012;89,80 ;94,90 ;98,30 ;70,90 ;68,90 ;129,80 ;98,30 ;271,16 ;101,7 ;162,50;100,90
02/2012;88,20 ;94,00 ;99,80 ;66,10 ;67,70 ;117,00 ;99,80 ;267,19 ;104,6 ;162,95;98,90
03/2012;97,30 ;103,80 ;107,10 ;72,70 ;79,30 ;134,90 ;107,20 ;260,23 ;105,3 ;165,88;98,90
04/2012;90,30 ;94,80 ;101,30 ;71,50 ;70,60 ;91,90 ;101,40 ;262,14 ;96,7 ;162,83;97,80
05/2012;95,60 ;96,90 ;100,30 ;97,40 ;81,80 ;141,20 ;100,10 ;271,16 ;99,7 ;169,10;99,80
06/2012;95,20 ;95,40 ;104,00 ;86,30 ;78,10 ;149,00 ;103,60 ;277,70 ;101,4 ;168,43;101,20
07/2012;95,10 ;99,60 ;99,80 ;89,50 ;79,60 ;118,50 ;99,60 ;290,80 ;101,4 ;166,95;99,10
08/2012;98,70 ;105,80 ;103,40 ;85,90 ;82,60 ;139,90 ;103,30 ;298,60 ;99,4 ;165,30;100,20
09/2012;95,50 ;105,40 ;101,20 ;77,90 ;77,30 ;101,00 ;101,10 ;300,71 ;95,0 ;161,20;98,90
10/2012;101,40 ;108,60 ;105,20 ;85,90 ;83,10 ;115,80 ;105,20 ;293,83 ;105,8 ;169,71;100,00
11/2012;99,10 ;101,80 ;101,60 ;96,50 ;85,40 ;112,70 ;101,50 ;295,31 ;92,4 ;160,39;100,00
12/2012;132,10 ;109,70 ;129,00 ;174,40 ;122,10 ;126,30 ;128,90 ;290,89 ;96,9 ;165,29;99,90
01/2013;97,40 ;100,50 ;102,10 ;78,70 ;82,90 ;121,60 ;102,10 ;315,38 ;96,1 ;164,30;99,30
02/2013;87,80 ;89,40 ;96,00 ;70,90 ;70,70 ;104,20 ;96,00 ;313,40 ;98,4 ;167,37;101,90
03/2013;99,70 ;100,80 ;108,40 ;76,70 ;82,00 ;120,40 ;108,20 ;332,24 ;95,6 ;162,33;101,70
04/2013;93,60 ;102,60 ;93,20 ;85,30 ;86,30 ;115,20 ;93,10 ;328,94 ;98,5 ;163,56;104,90
05/2013;98,60 ;104,90 ;99,10 ;98,10 ;91,60 ;108,20 ;99,10 ;325,87 ;96,1 ;162,23;105,20
06/2013;92,40 ;100,40 ;94,70 ;87,80 ;82,90 ;107,60 ;94,50 ;315,63 ;95,8 ;162,27;103,50
07/2013;98,80 ;99,40 ;100,30 ;96,90 ;93,10 ;109,70 ;100,40 ;310,73 ;93,7 ;162,07;108,60
08/2013;102,40 ;102,60 ;106,40 ;98,70 ;88,40 ;107,70 ;106,50 ;310,03 ;93,6 ;162,72;102,40
09/2013;92,80 ;97,30 ;94,20 ;86,80 ;84,30 ;99,70 ;94,00 ;301,55 ;92,7 ;162,91;101,70
10/2013;101,70 ;104,60 ;101,30 ;93,70 ;92,90 ;107,10 ;101,30 ;313,78 ;97,5 ;165,17;101,10
11/2013;103,70 ;103,00 ;103,10 ;113,10 ;100,10 ;105,10 ;102,80 ;321,41 ;97,2 ;167,75;100,60
12/2013;127,10 ;101,60 ;123,60 ;176,40 ;128,80 ;101,20 ;123,50 ;321,39 ;94,4 ;163,85;97,40
01/2014;102,20 ;107,70 ;102,40 ;85,60 ;101,20 ;96,10 ;102,30 ;327,13 ;94,0 ;166,35;101,30
02/2014;90,40 ;97,30 ;92,00 ;79,70 ;84,70 ;91,40 ;91,80 ;328,43 ;89,7 ;162,28;102,40
03/2014;95,40 ;101,10 ;100,70 ;80,50 ;87,40 ;92,90 ;100,40 ;343,70 ;92,2 ;165,50;100,30
04/2014;99,10 ;108,30 ;102,40 ;87,30 ;92,40 ;112,30 ;102,20 ;351,27 ;96,4 ;167,13;101,60
05/2014;100,50 ;102,20 ;99,90 ;106,90 ;100,10 ;116,60 ;99,90 ;352,76 ;97,0 ;164,73;99,10
06/2014;89,80 ;90,70 ;91,20 ;90,90 ;86,50 ;84,60 ;91,30 ;345,98 ;98,6 ;167,42;94,40
07/2014;96,90 ;96,30 ;98,30 ;101,40 ;93,40 ;108,20 ;98,30 ;330,71 ;104,4 ;170,46;98,10
08/2014;97,80 ;98,40 ;97,90 ;99,90 ;95,70 ;94,50 ;97,80 ;329,13 ;106,7 ;173,27;99,70
09/2014;95,80 ;100,70 ;96,30 ;87,10 ;96,80 ;101,60 ;96,30 ;328,33 ;108,7 ;173,43;100,40
10/2014;101,40 ;99,80 ;100,70 ;94,00 ;106,10 ;99,30 ;101,00 ;329,19 ;108,6 ;173,16;102,40
11/2014;102,40 ;96,90 ;97,10 ;110,70 ;113,30 ;98,00 ;97,00 ;331,34 ;108,2 ;175,97;103,20
12/2014;128,60 ;100,50 ;121,00 ;176,00 ;142,30 ;104,50 ;121,50 ;333,15 ;106,9 ;174,30;98,90
01/2015;100,80 ;95,90 ;102,90 ;87,30 ;103,10 ;97,60 ;103,10 ;348,30 ;110,5 ;169,74;96,60
02/2015;87,10 ;83,20 ;93,40 ;70,00 ;84,00 ;69,20 ;93,80 ;354,85 ;112,0 ;169,22;94,80
03/2015;93,30 ;91,20 ;96,00 ;77,10 ;96,60 ;86,60 ;96,20 ;363,62 ;111,6 ;166,76;96,60
04/2015;90,60 ;87,00 ;97,90 ;75,80 ;84,30 ;68,30 ;98,10 ;376,46 ;109,7 ;165,22;93,50
05/2015;92,20 ;85,70 ;93,60 ;95,80 ;92,80 ;74,70 ;93,60 ;387,92 ;110,6 ;157,57;93,00
06/2015;86,70 ;79,50 ;90,00 ;84,50 ;84,70 ;71,20 ;90,20 ;367,94 ;112,4 ;162,80;92,70
07/2015;90,90 ;87,70 ;95,20 ;87,80 ;85,30 ;74,20 ;95,40 ;368,01 ;108,2 ;160,67;91,70
08/2015;88,90 ;85,90 ;93,80 ;83,20 ;83,30 ;62,60 ;93,90 ;358,00 ;107,4 ;163,18;99,10
09/2015;84,30 ;83,20 ;90,50 ;72,10 ;80,70 ;68,20 ;90,60 ;361,54 ;108,4 ;160,07;94,80
10/2015;90,20 ;87,40 ;100,70 ;83,40 ;75,70 ;60,10 ;100,80 ;357,30 ;103,0 ;157,03;92,00
11/2015;88,00 ;83,10 ;87,50 ;94,50 ;92,30 ;61,40 ;87,60 ;378,91 ;87,2 ;146,72;93,10
12/2015;115,20 ;85,00 ;118,30 ;161,30 ;110,00 ;73,40 ;118,90 ;384,99 ;87,3 ;147,99;89,90
