Data;1466 - Índice volume de vendas no varejo (2003=100) - Total - Rio Grande do Norte - Índice;7488 - Cesta básica - Natal - u.m.c.;14021 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas físicas - R$ (milhões);14048 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas jurídicas - R$ (milhões);14075 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Total - R$ (milhões);15880 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas físicas - %;15912 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Pessoas jurídicas - %;15944 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rio Grande do Norte - Total - %;28026 - PMS - Índice de volume de serviços - Total - Rio Grande do Norte - com ajuste sazonal - Índice
10/2005;52,60 ;131,71 ;1.682 ;1.337 ;3.019 ;5,89 ;3,01 ;4,33 ;-
11/2005;54,90 ;136,35 ;1.726 ;1.367 ;3.093 ;5,90 ;3,06 ;4,36 ;-
12/2005;79,00 ;135,92 ;1.782 ;1.431 ;3.213 ;5,31 ;3,30 ;4,22 ;-
01/2006;54,90 ;127,67 ;1.848 ;1.454 ;3.302 ;5,61 ;3,00 ;4,20 ;-
02/2006;47,50 ;132,78 ;1.909 ;1.509 ;3.418 ;5,89 ;3,05 ;4,34 ;-
03/2006;52,60 ;132,26 ;1.945 ;1.599 ;3.544 ;6,00 ;2,83 ;4,25 ;-
04/2006;52,50 ;140,94 ;2.015 ;1.630 ;3.645 ;5,86 ;2,92 ;4,25 ;-
05/2006;55,90 ;144,96 ;2.062 ;1.687 ;3.749 ;5,91 ;2,97 ;4,30 ;-
06/2006;53,80 ;137,83 ;2.148 ;1.688 ;3.836 ;5,75 ;3,03 ;4,28 ;-
07/2006;56,50 ;137,24 ;2.215 ;1.700 ;3.914 ;5,73 ;3,01 ;4,28 ;-
08/2006;59,00 ;131,26 ;2.290 ;1.721 ;4.011 ;5,51 ;3,11 ;4,25 ;-
09/2006;57,20 ;129,92 ;2.366 ;1.775 ;4.140 ;5,38 ;2,77 ;4,01 ;-
10/2006;55,30 ;134,23 ;2.412 ;1.745 ;4.158 ;5,39 ;2,84 ;4,08 ;-
11/2006;56,90 ;137,78 ;2.487 ;1.809 ;4.296 ;5,36 ;2,92 ;4,10 ;-
12/2006;76,70 ;140,72 ;2.536 ;1.884 ;4.420 ;4,96 ;2,49 ;3,68 ;-
01/2007;54,80 ;137,71 ;2.634 ;1.873 ;4.507 ;5,00 ;2,61 ;3,78 ;-
02/2007;48,20 ;145,81 ;2.706 ;1.896 ;4.602 ;5,06 ;2,39 ;3,70 ;-
03/2007;57,40 ;151,44 ;2.787 ;1.932 ;4.719 ;5,13 ;2,17 ;3,63 ;-
04/2007;53,10 ;149,21 ;2.805 ;1.953 ;4.758 ;5,25 ;2,07 ;3,66 ;-
05/2007;59,70 ;145,39 ;2.937 ;2.009 ;4.946 ;5,49 ;1,98 ;3,74 ;-
06/2007;60,00 ;139,22 ;3.047 ;2.040 ;5.087 ;5,34 ;1,96 ;3,67 ;-
07/2007;61,50 ;148,30 ;3.154 ;2.061 ;5.215 ;5,46 ;2,01 ;3,78 ;-
08/2007;63,70 ;162,56 ;3.282 ;2.097 ;5.380 ;5,44 ;1,94 ;3,76 ;-
09/2007;61,10 ;163,03 ;3.409 ;2.143 ;5.552 ;5,40 ;1,93 ;3,76 ;-
10/2007;61,40 ;151,99 ;3.508 ;2.205 ;5.712 ;5,26 ;2,00 ;3,72 ;-
11/2007;65,10 ;157,76 ;3.640 ;2.309 ;5.949 ;5,44 ;2,35 ;3,97 ;-
12/2007;88,60 ;167,91 ;3.780 ;2.363 ;6.143 ;5,36 ;2,34 ;3,94 ;-
01/2008;65,00 ;172,05 ;3.921 ;2.390 ;6.311 ;5,47 ;2,38 ;4,03 ;-
02/2008;58,60 ;176,74 ;4.056 ;2.440 ;6.496 ;5,64 ;2,30 ;4,09 ;-
03/2008;65,50 ;180,48 ;4.137 ;2.524 ;6.661 ;5,70 ;2,10 ;4,03 ;-
04/2008;63,50 ;187,89 ;4.260 ;2.552 ;6.813 ;5,74 ;2,26 ;4,15 ;-
05/2008;68,90 ;204,64 ;4.423 ;2.600 ;7.023 ;5,91 ;2,33 ;4,29 ;-
06/2008;64,90 ;211,41 ;4.547 ;2.665 ;7.212 ;5,77 ;1,98 ;4,05 ;-
07/2008;67,10 ;211,64 ;4.680 ;2.746 ;7.426 ;5,99 ;2,03 ;4,19 ;-
08/2008;68,90 ;188,93 ;4.814 ;2.831 ;7.645 ;6,10 ;1,94 ;4,21 ;-
09/2008;65,90 ;183,57 ;4.893 ;3.052 ;7.945 ;5,95 ;1,81 ;4,02 ;-
10/2008;68,30 ;198,23 ;5.040 ;3.110 ;8.150 ;6,29 ;1,93 ;4,24 ;-
11/2008;67,10 ;198,05 ;5.139 ;3.149 ;8.288 ;6,49 ;1,94 ;4,36 ;-
12/2008;91,60 ;212,80 ;5.212 ;3.272 ;8.484 ;6,38 ;2,11 ;4,35 ;-
01/2009;68,00 ;203,06 ;5.291 ;3.238 ;8.529 ;6,68 ;2,22 ;4,58 ;-
02/2009;59,70 ;202,36 ;5.332 ;3.230 ;8.562 ;6,87 ;2,77 ;4,95 ;-
03/2009;66,00 ;191,73 ;5.354 ;3.189 ;8.543 ;6,99 ;2,77 ;5,05 ;-
04/2009;66,00 ;191,77 ;5.449 ;3.171 ;8.619 ;6,81 ;2,70 ;4,95 ;-
05/2009;71,70 ;201,16 ;5.543 ;3.128 ;8.671 ;6,80 ;3,09 ;5,15 ;-
06/2009;67,30 ;200,91 ;5.633 ;3.147 ;8.780 ;6,81 ;3,73 ;5,45 ;-
07/2009;69,20 ;200,56 ;5.746 ;3.194 ;8.941 ;6,86 ;3,80 ;5,52 ;-
08/2009;71,80 ;194,11 ;5.835 ;3.248 ;9.084 ;6,69 ;3,77 ;5,41 ;-
09/2009;68,90 ;182,04 ;5.947 ;3.447 ;9.394 ;6,54 ;3,68 ;5,26 ;-
10/2009;72,30 ;182,95 ;6.102 ;3.565 ;9.668 ;6,58 ;3,52 ;5,21 ;-
11/2009;70,10 ;189,73 ;6.264 ;3.650 ;9.913 ;6,42 ;3,29 ;5,01 ;-
12/2009;98,30 ;186,05 ;6.312 ;3.719 ;10.031 ;5,85 ;3,14 ;4,63 ;-
01/2010;72,90 ;186,72 ;6.571 ;3.682 ;10.253 ;5,92 ;2,84 ;4,55 ;-
02/2010;66,40 ;193,50 ;6.588 ;3.802 ;10.390 ;5,81 ;2,78 ;4,44 ;-
03/2010;78,40 ;199,14 ;6.613 ;3.801 ;10.414 ;5,67 ;2,65 ;4,32 ;-
04/2010;71,70 ;223,22 ;6.785 ;3.842 ;10.627 ;5,77 ;2,68 ;4,40 ;-
05/2010;76,50 ;219,57 ;6.924 ;4.103 ;11.027 ;5,70 ;2,49 ;4,24 ;-
06/2010;71,80 ;211,72 ;7.080 ;4.184 ;11.264 ;5,27 ;2,36 ;3,94 ;-
07/2010;77,80 ;208,92 ;7.200 ;4.364 ;11.565 ;5,21 ;2,48 ;3,95 ;-
08/2010;77,10 ;195,58 ;7.299 ;4.482 ;11.781 ;5,05 ;2,42 ;3,84 ;-
09/2010;75,10 ;193,08 ;7.533 ;4.634 ;12.167 ;4,93 ;2,56 ;3,84 ;-
10/2010;80,80 ;200,97 ;7.680 ;4.747 ;12.426 ;5,16 ;2,43 ;3,89 ;-
11/2010;75,60 ;205,84 ;7.878 ;4.855 ;12.733 ;4,91 ;2,42 ;3,77 ;-
12/2010;105,00 ;219,80 ;8.136 ;4.890 ;13.026 ;4,69 ;2,41 ;3,66 ;-
01/2011;80,40 ;224,58 ;8.320 ;5.003 ;13.322 ;4,91 ;2,54 ;3,83 ;99,70
02/2011;75,40 ;221,15 ;8.413 ;5.025 ;13.439 ;4,25 ;2,87 ;3,62 ;99,10
03/2011;77,80 ;234,85 ;8.481 ;5.093 ;13.574 ;4,34 ;2,96 ;3,71 ;99,20
04/2011;79,00 ;229,39 ;8.594 ;5.172 ;13.766 ;4,59 ;2,89 ;3,81 ;99,30
05/2011;81,00 ;225,28 ;8.733 ;5.380 ;14.113 ;4,79 ;2,93 ;3,93 ;96,60
06/2011;77,60 ;230,97 ;8.891 ;5.447 ;14.339 ;4,88 ;2,21 ;3,65 ;97,80
07/2011;83,20 ;223,31 ;9.104 ;5.540 ;14.644 ;4,99 ;2,26 ;3,74 ;98,60
08/2011;84,90 ;219,52 ;9.217 ;5.530 ;14.747 ;5,03 ;2,39 ;3,84 ;97,40
09/2011;79,10 ;205,97 ;9.437 ;5.821 ;15.258 ;5,02 ;2,47 ;3,85 ;95,20
10/2011;81,80 ;200,55 ;9.594 ;5.911 ;15.505 ;5,28 ;2,56 ;4,03 ;91,40
11/2011;81,70 ;206,00 ;9.766 ;6.058 ;15.824 ;5,89 ;2,64 ;4,39 ;94,20
12/2011;112,30 ;212,36 ;9.997 ;6.579 ;16.576 ;5,87 ;2,42 ;4,23 ;99,00
01/2012;79,50 ;213,63 ;10.172 ;6.750 ;16.922 ;5,27 ;2,53 ;4,07 ;95,80
02/2012;79,70 ;218,21 ;10.266 ;6.752 ;17.018 ;5,67 ;2,54 ;4,34 ;97,00
03/2012;85,00 ;219,00 ;10.477 ;6.839 ;17.315 ;5,56 ;2,39 ;4,22 ;97,50
04/2012;79,70 ;225,41 ;10.640 ;6.900 ;17.540 ;5,38 ;2,88 ;4,40 ;95,60
05/2012;86,80 ;232,82 ;10.830 ;6.970 ;17.800 ;5,48 ;2,93 ;4,48 ;97,80
06/2012;86,80 ;234,32 ;10.971 ;7.198 ;18.169 ;5,43 ;2,88 ;4,42 ;96,20
07/2012;88,80 ;245,17 ;11.116 ;7.116 ;18.233 ;5,46 ;3,00 ;4,50 ;96,10
08/2012;90,60 ;241,14 ;11.311 ;7.314 ;18.625 ;5,35 ;3,04 ;4,44 ;95,60
09/2012;87,90 ;241,28 ;11.362 ;7.439 ;18.801 ;5,34 ;2,98 ;4,41 ;97,10
10/2012;88,90 ;247,18 ;11.506 ;7.483 ;18.988 ;5,26 ;3,02 ;4,38 ;100,60
11/2012;91,20 ;246,43 ;11.688 ;7.915 ;19.604 ;5,16 ;2,86 ;4,23 ;97,70
12/2012;118,50 ;239,65 ;11.948 ;8.342 ;20.290 ;5,07 ;2,97 ;4,21 ;95,60
01/2013;90,60 ;269,56 ;12.116 ;8.297 ;20.412 ;4,92 ;2,64 ;3,99 ;92,50
02/2013;82,80 ;283,27 ;12.203 ;8.323 ;20.526 ;4,92 ;2,69 ;4,02 ;94,10
03/2013;94,10 ;279,24 ;12.401 ;8.550 ;20.951 ;5,00 ;2,66 ;4,05 ;93,00
04/2013;89,00 ;286,58 ;12.634 ;8.918 ;21.552 ;4,84 ;2,51 ;3,88 ;96,30
05/2013;96,60 ;281,67 ;12.924 ;9.052 ;21.976 ;4,79 ;2,49 ;3,84 ;96,20
06/2013;90,60 ;284,69 ;13.133 ;9.154 ;22.287 ;4,62 ;2,33 ;3,68 ;97,20
07/2013;98,90 ;271,61 ;13.320 ;9.221 ;22.542 ;4,57 ;2,03 ;3,53 ;99,20
08/2013;102,10 ;267,49 ;13.510 ;9.431 ;22.941 ;4,46 ;1,96 ;3,43 ;101,40
09/2013;95,40 ;263,80 ;13.713 ;9.608 ;23.321 ;4,48 ;2,00 ;3,46 ;102,60
10/2013;98,10 ;265,88 ;13.871 ;9.771 ;23.642 ;4,43 ;2,06 ;3,45 ;100,60
11/2013;98,60 ;271,93 ;14.060 ;10.203 ;24.263 ;4,33 ;2,04 ;3,37 ;98,30
12/2013;125,80 ;273,36 ;14.330 ;10.487 ;24.816 ;4,00 ;1,97 ;3,14 ;99,20
01/2014;96,90 ;269,95 ;14.465 ;10.586 ;25.051 ;4,04 ;2,00 ;3,18 ;98,20
02/2014;91,10 ;270,07 ;14.603 ;10.601 ;25.204 ;4,12 ;2,09 ;3,26 ;100,40
03/2014;93,50 ;271,31 ;14.688 ;10.614 ;25.303 ;4,15 ;2,06 ;3,27 ;100,90
04/2014;93,70 ;282,56 ;14.939 ;10.739 ;25.678 ;4,18 ;2,14 ;3,33 ;103,00
05/2014;102,00 ;289,07 ;15.229 ;10.995 ;26.225 ;4,29 ;2,25 ;3,44 ;102,70
06/2014;92,30 ;292,49 ;15.437 ;11.081 ;26.517 ;4,30 ;2,34 ;3,48 ;102,40
07/2014;98,60 ;277,07 ;15.628 ;11.077 ;26.705 ;4,29 ;2,31 ;3,47 ;98,50
08/2014;101,30 ;270,57 ;15.825 ;11.241 ;27.066 ;4,27 ;2,69 ;3,61 ;98,00
09/2014;97,20 ;267,39 ;15.993 ;11.354 ;27.347 ;3,99 ;2,69 ;3,45 ;99,60
10/2014;100,50 ;265,27 ;16.231 ;11.338 ;27.569 ;4,15 ;3,07 ;3,71 ;98,70
11/2014;104,50 ;258,93 ;16.434 ;11.406 ;27.840 ;3,92 ;3,10 ;3,59 ;100,30
12/2014;128,50 ;268,71 ;16.773 ;11.503 ;28.276 ;3,51 ;2,90 ;3,26 ;98,60
01/2015;99,30 ;277,56 ;16.965 ;11.387 ;28.352 ;3,68 ;2,62 ;3,26 ;100,10
02/2015;88,70 ;289,65 ;17.050 ;11.374 ;28.425 ;3,76 ;2,69 ;3,33 ;94,70
03/2015;96,40 ;289,21 ;17.256 ;11.406 ;28.663 ;3,71 ;2,60 ;3,27 ;97,40
04/2015;92,00 ;300,73 ;17.409 ;11.292 ;28.701 ;3,84 ;2,59 ;3,35 ;97,10
05/2015;97,10 ;312,41 ;17.638 ;11.226 ;28.865 ;3,94 ;2,49 ;3,38 ;95,70
06/2015;91,30 ;302,76 ;17.835 ;11.286 ;29.121 ;3,80 ;2,38 ;3,25 ;95,40
07/2015;96,30 ;293,58 ;18.012 ;11.215 ;29.227 ;3,89 ;2,38 ;3,31 ;97,00
08/2015;95,10 ;286,36 ;18.194 ;11.186 ;29.379 ;3,93 ;2,40 ;3,35 ;100,80
09/2015;89,90 ;282,72 ;18.308 ;11.089 ;29.398 ;4,17 ;2,55 ;3,56 ;95,20
10/2015;95,20 ;285,47 ;18.403 ;11.040 ;29.443 ;4,39 ;2,69 ;3,75 ;95,40
11/2015;95,70 ;302,14 ;18.636 ;11.119 ;29.755 ;4,50 ;2,80 ;3,86 ;94,00
12/2015;117,20 ;309,92 ;18.811 ;11.847 ;30.658 ;4,38 ;2,70 ;3,73 ;92,90
01/2016;89,00 ;329,20 ;18.851 ;11.821 ;30.672 ;4,42 ;2,75 ;3,78 ;92,70
02/2016;81,30 ;331,79 ;18.889 ;11.769 ;30.658 ;4,50 ;3,08 ;3,96 ;94,80
03/2016;87,70 ;325,98 ;19.005 ;11.739 ;30.744 ;4,38 ;3,03 ;3,87 ;89,60
04/2016;84,50 ;334,49 ;19.043 ;11.616 ;30.659 ;4,45 ;3,15 ;3,95 ;88,70
05/2016;85,80 ;337,49 ;19.165 ;11.542 ;30.707 ;4,45 ;3,11 ;3,95 ;89,60
06/2016;82,40 ;352,12 ;19.285 ;11.518 ;30.803 ;4,10 ;2,82 ;3,62 ;91,00
07/2016;86,70 ;362,63 ;19.355 ;10.905 ;30.259 ;3,90 ;2,89 ;3,53 ;90,60
08/2016;84,80 ;365,46 ;19.483 ;10.805 ;30.288 ;3,86 ;2,83 ;3,49 ;89,40
09/2016;82,20 ;367,54 ;19.544 ;10.714 ;30.258 ;4,08 ;3,04 ;3,71 ;90,70
10/2016;85,30 ;366,90 ;19.498 ;10.566 ;30.064 ;4,26 ;3,23 ;3,89 ;92,10
11/2016;90,20 ;354,59 ;19.620 ;10.362 ;29.983 ;4,09 ;3,29 ;3,81 ;92,50
12/2016;109,10 ;351,96 ;19.719 ;10.313 ;30.032 ;3,86 ;3,15 ;3,62 ;89,70
01/2017;86,70 ;349,61 ;19.779 ;10.177 ;29.955 ;4,23 ;3,08 ;3,84 ;94,30
02/2017;77,70 ;351,68 ;19.809 ;10.392 ;30.201 ;4,37 ;3,53 ;4,08 ;93,70
03/2017;86,40 ;364,12 ;19.872 ;10.275 ;30.148 ;4,42 ;3,61 ;4,14 ;94,30
04/2017;82,70 ;368,86 ;19.865 ;10.142 ;30.007 ;4,71 ;3,86 ;4,42 ;88,90
05/2017;86,10 ;364,97 ;20.004 ;9.965 ;29.968 ;4,78 ;4,04 ;4,53 ;91,40
06/2017;84,60 ;354,32 ;20.149 ;9.955 ;30.104 ;4,37 ;3,59 ;4,12 ;87,50
07/2017;87,90 ;358,15 ;20.292 ;9.830 ;30.122 ;4,54 ;3,78 ;4,29 ;87,80
08/2017;87,80 ;336,12 ;20.439 ;9.749 ;30.188 ;4,39 ;3,73 ;4,18 ;87,60
09/2017;87,70 ;323,90 ;20.466 ;9.589 ;30.055 ;4,32 ;3,63 ;4,10 ;86,20
10/2017;86,90 ;325,09 ;20.554 ;9.548 ;30.102 ;4,30 ;3,61 ;4,08 ;85,50
11/2017;95,90 ;328,21 ;20.754 ;9.553 ;30.307 ;4,24 ;3,45 ;3,99 ;85,60
12/2017;115,60 ;331,18 ;20.833 ;9.574 ;30.407 ;4,02 ;2,76 ;3,63 ;86,60
01/2018;98,20 ;360,48 ;20.948 ;9.825 ;30.773 ;4,38 ;2,60 ;3,81 ;82,20
02/2018;84,70 ;348,96 ;20.867 ;9.681 ;30.548 ;4,51 ;2,06 ;3,74 ;83,80
03/2018;98,20 ;343,26 ;20.968 ;9.476 ;30.444 ;4,46 ;2,08 ;3,72 ;86,40
04/2018;87,60 ;337,67 ;21.066 ;9.405 ;30.471 ;4,42 ;2,52 ;3,84 ;82,50
05/2018;94,00 ;341,18 ;21.219 ;9.365 ;30.583 ;4,46 ;2,32 ;3,80 ;81,10
06/2018;91,70 ;351,11 ;21.306 ;9.463 ;30.769 ;4,37 ;2,23 ;3,71 ;83,60
07/2018;90,60 ;341,09 ;21.402 ;9.352 ;30.754 ;4,37 ;2,50 ;3,81 ;81,90
08/2018;93,80 ;335,61 ;21.577 ;9.298 ;30.875 ;4,09 ;2,64 ;3,65 ;83,80
09/2018;91,40 ;330,30 ;21.562 ;9.400 ;30.962 ;4,11 ;2,64 ;3,67 ;83,90
10/2018;91,60 ;329,90 ;21.728 ;9.347 ;31.075 ;3,99 ;2,42 ;3,52 ;82,40
11/2018;99,60 ;332,21 ;22.012 ;9.384 ;31.395 ;3,91 ;2,22 ;3,40 ;82,20
12/2018;117,50 ;341,40 ;22.161 ;9.778 ;31.939 ;3,85 ;1,91 ;3,25 ;82,50
01/2019;95,30 ;351,83 ;22.179 ;9.660 ;31.839 ;3,98 ;1,55 ;3,24 ;83,50
02/2019;88,30 ;375,58 ;22.237 ;9.642 ;31.880 ;3,94 ;2,37 ;3,47 ;82,00
03/2019;91,50 ;399,01 ;22.330 ;9.536 ;31.867 ;4,13 ;2,36 ;3,60 ;82,00
04/2019;88,80 ;410,10 ;22.477 ;8.752 ;31.229 ;4,10 ;1,47 ;3,36 ;84,70
05/2019;93,60 ;406,07 ;22.694 ;8.752 ;31.446 ;4,20 ;1,51 ;3,45 ;83,70
06/2019;89,30 ;397,24 ;22.795 ;8.777 ;31.572 ;4,19 ;1,42 ;3,42 ;83,00
07/2019;93,10 ;381,27 ;23.004 ;8.798 ;31.802 ;4,30 ;1,68 ;3,57 ;84,70
08/2019;94,50 ;354,44 ;23.175 ;8.873 ;32.048 ;4,30 ;2,02 ;3,67 ;83,50
09/2019;90,90 ;352,57 ;23.409 ;8.883 ;32.292 ;4,28 ;1,92 ;3,63 ;81,10
10/2019;95,20 ;341,90 ;23.628 ;8.929 ;32.557 ;4,25 ;1,80 ;3,58 ;84,30
11/2019;102,90 ;347,89 ;23.929 ;8.958 ;32.886 ;4,27 ;1,79 ;3,60 ;84,60
12/2019;115,10 ;383,76 ;24.172 ;9.080 ;33.251 ;4,17 ;1,76 ;3,51 ;85,40
01/2020;93,50 ;389,26 ;24.243 ;8.982 ;33.225 ;4,43 ;1,91 ;3,75 ;84,60
02/2020;88,90 ;405,88 ;24.275 ;8.935 ;33.210 ;4,56 ;1,99 ;3,87 ;86,60
03/2020;85,20 ;426,00 ;24.292 ;9.044 ;33.335 ;5,08 ;2,03 ;4,25 ;69,80
04/2020;71,70 ;428,28 ;24.054 ;9.011 ;33.065 ;5,22 ;2,10 ;4,37 ;59,10
05/2020;80,20 ;429,57 ;23.998 ;8.977 ;32.975 ;5,03 ;2,16 ;4,25 ;-
Fonte;IBGE;Dieese;BCB;BCB;BCB;BCB;BCB;BCB;BCB e IBGE
