Data;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %;20128 - �ndice de volume de vendas no varejo - Artigos farmac�uticos, m�dicos, ortop�dicos, de perfumaria e cosm�ticos - S�o Paulo - �ndice;20129 - �ndice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - S�o Paulo - �ndice;20130 - �ndice de volume de vendas no varejo - Equipamentos e materiais para escrit�rio, inform�tica e comunica��o - S�o Paulo - �ndice;20131 - �ndice de volume de vendas no varejo - Outros artigos de uso pessoal e dom�stico - S�o Paulo - �ndice;20132 - �ndice de volume de vendas no varejo - Material de constru��o - S�o Paulo - �ndice;20133 - �ndice de volume de vendas no varejo - Total do com�rcio ampliado - S�o Paulo - �ndice;21925 - Produ��o Industrial (2012=100) � Geral � S�o Paulo - �ndice;25394 - �ndice de Atividade Econ�mica Regional - S�o Paulo - com ajuste sazonal - �ndice;28035 - PMS - �ndice de volume de servi�os - Total - S�o Paulo - com ajuste sazonal - �ndice
07/2014;0,31 ;100,90 ;81,30 ;80,40 ;92,20 ;100,20 ;96,90 ;104,6 ;149,95 ;99,30
08/2014;0,01 ;103,60 ;94,80 ;95,60 ;95,40 ;99,30 ;95,90 ;108,7 ;150,56 ;98,90
09/2014;0,53 ;103,80 ;85,70 ;103,80 ;93,30 ;102,30 ;94,80 ;105,5 ;149,35 ;101,60
10/2014;0,43 ;107,00 ;85,70 ;111,70 ;101,00 ;109,70 ;100,00 ;108,8 ;150,52 ;101,70
11/2014;0,55 ;100,20 ;104,60 ;118,50 ;106,10 ;101,30 ;103,20 ;94,2 ;149,82 ;101,60
12/2014;0,40 ;110,90 ;134,60 ;158,60 ;157,90 ;92,40 ;120,50 ;76,6 ;150,58 ;99,70
01/2015;2,14 ;100,20 ;145,00 ;119,70 ;103,30 ;94,60 ;94,80 ;81,0 ;151,74 ;99,90
02/2015;1,19 ;93,40 ;104,50 ;115,40 ;91,20 ;89,00 ;85,40 ;80,6 ;150,43 ;100,70
03/2015;1,52 ;108,90 ;90,60 ;126,20 ;103,00 ;96,00 ;94,80 ;89,7 ;149,87 ;100,80
04/2015;0,56 ;103,50 ;77,30 ;92,80 ;89,80 ;88,10 ;91,40 ;83,2 ;148,52 ;98,80
05/2015;0,96 ;106,50 ;80,00 ;93,00 ;99,20 ;88,40 ;92,90 ;89,5 ;147,60 ;97,90
06/2015;0,77 ;103,50 ;71,20 ;101,50 ;87,80 ;87,20 ;90,10 ;89,8 ;147,31 ;97,70
07/2015;0,86 ;103,40 ;72,40 ;81,40 ;88,50 ;93,90 ;92,00 ;91,5 ;144,06 ;95,50
08/2015;0,23 ;105,90 ;75,60 ;96,50 ;91,30 ;89,60 ;91,50 ;94,9 ;145,43 ;96,30
09/2015;0,69 ;101,20 ;67,10 ;100,70 ;88,80 ;88,50 ;89,70 ;91,0 ;145,06 ;95,00
10/2015;0,89 ;104,40 ;72,70 ;76,40 ;93,90 ;91,60 ;95,70 ;94,8 ;145,56 ;95,40
11/2015;0,88 ;99,40 ;79,80 ;114,70 ;96,30 ;86,60 ;96,10 ;81,6 ;143,52 ;94,30
12/2015;0,74 ;112,00 ;101,50 ;133,30 ;136,30 ;78,90 ;114,60 ;66,8 ;144,92 ;93,80
01/2016;1,37 ;98,00 ;119,00 ;73,20 ;81,30 ;79,30 ;86,10 ;68,3 ;144,93 ;94,30
02/2016;0,70 ;96,70 ;86,20 ;88,20 ;72,20 ;77,60 ;83,40 ;71,0 ;143,22 ;92,60
03/2016;0,68 ;108,40 ;75,70 ;117,40 ;79,50 ;83,50 ;91,50 ;78,2 ;143,05 ;95,10
04/2016;0,32 ;101,20 ;59,10 ;82,30 ;75,30 ;78,20 ;85,60 ;81,7 ;144,18 ;93,60
05/2016;1,47 ;102,00 ;57,60 ;80,20 ;77,70 ;79,30 ;85,90 ;84,7 ;141,17 ;93,30
06/2016;0,65 ;100,70 ;55,70 ;82,40 ;79,20 ;80,50 ;84,30 ;87,3 ;140,24 ;93,50
07/2016;0,47 ;102,00 ;57,00 ;76,20 ;75,50 ;80,90 ;84,00 ;90,1 ;140,18 ;94,40
08/2016;0,46 ;100,60 ;64,70 ;88,10 ;76,80 ;83,30 ;86,10 ;92,3 ;138,48 ;93,50
09/2016;-0,06 ;98,80 ;55,20 ;87,10 ;74,60 ;79,80 ;82,20 ;91,3 ;139,37 ;93,50
10/2016;0,04 ;101,00 ;57,50 ;76,10 ;83,80 ;78,10 ;85,50 ;88,7 ;139,03 ;92,50
11/2016;0,07 ;100,00 ;69,90 ;106,20 ;91,30 ;82,50 ;89,60 ;82,4 ;139,15 ;91,70
12/2016;0,05 ;110,20 ;87,30 ;131,10 ;130,00 ;77,70 ;105,70 ;66,3 ;137,05 ;92,00
01/2017;0,07 ;100,00 ;116,80 ;73,10 ;71,90 ;84,90 ;87,00 ;69,4 ;138,71 ;92,60
02/2017;0,14 ;97,90 ;86,10 ;66,50 ;61,20 ;78,10 ;77,70 ;69,8 ;139,66 ;93,80
03/2017;0,38 ;110,70 ;79,80 ;82,40 ;75,80 ;95,30 ;84,50 ;79,4 ;140,32 ;90,10
04/2017;0,16 ;99,90 ;56,70 ;71,00 ;74,00 ;82,10 ;83,10 ;74,2 ;140,94 ;92,80
05/2017;0,51 ;106,20 ;54,30 ;85,80 ;78,30 ;92,10 ;88,50 ;88,5 ;141,71 ;93,30
06/2017;-0,42 ;105,90 ;56,60 ;75,00 ;78,20 ;93,80 ;86,80 ;90,8 ;143,83 ;95,10
07/2017;0,31 ;107,30 ;62,20 ;83,50 ;77,20 ;100,00 ;88,80 ;93,9 ;143,97 ;95,50
08/2017;0,02 ;108,60 ;59,40 ;75,20 ;78,50 ;102,10 ;91,70 ;98,3 ;143,36 ;93,80
09/2017;0,02 ;112,80 ;50,00 ;75,10 ;77,30 ;100,80 ;89,70 ;96,0 ;144,66 ;92,00
10/2017;0,51 ;114,00 ;54,90 ;72,50 ;80,30 ;101,80 ;91,30 ;94,9 ;143,55 ;92,10
11/2017;0,53 ;115,20 ;69,00 ;79,50 ;90,70 ;104,90 ;95,10 ;88,3 ;143,77 ;92,90
12/2017;0,43 ;126,20 ;83,60 ;84,80 ;123,10 ;95,40 ;112,60 ;73,1 ;143,92 ;93,60
01/2018;0,25 ;108,80 ;103,80 ;70,60 ;79,20 ;95,20 ;91,20 ;74,4 ;143,47 ;92,90
02/2018;0,09 ;103,30 ;74,70 ;63,40 ;65,90 ;86,50 ;81,60 ;72,6 ;142,32 ;93,00
03/2018;0,23 ;117,90 ;64,50 ;71,30 ;81,80 ;96,60 ;94,40 ;82,9 ;144,99 ;93,70
04/2018;0,04 ;111,80 ;51,90 ;80,40 ;75,40 ;95,40 ;92,00 ;85,6 ;147,10 ;94,30
05/2018;0,24 ;114,60 ;44,80 ;74,60 ;79,70 ;92,00 ;91,60 ;84,1 ;141,97 ;91,40
06/2018;1,32 ;114,70 ;46,30 ;75,90 ;79,10 ;99,50 ;91,70 ;93,7 ;146,19 ;97,70
07/2018;0,73 ;116,50 ;57,00 ;74,00 ;86,80 ;100,70 ;94,10 ;96,7 ;146,64 ;95,40
08/2018;0,23 ;119,00 ;49,40 ;77,70 ;84,70 ;108,20 ;100,00 ;99,2 ;146,52 ;96,30
09/2018;0,47 ;115,80 ;37,60 ;72,10 ;90,90 ;97,50 ;93,70 ;89,5 ;146,20 ;96,40
10/2018;0,31 ;120,80 ;40,50 ;74,40 ;93,50 ;110,40 ;97,60 ;92,2 ;144,66 ;95,90
11/2018;-0,43 ;124,20 ;43,20 ;81,10 ;120,40 ;104,30 ;101,20 ;85,2 ;146,87 ;96,80
12/2018;0,01 ;138,50 ;57,80 ;86,60 ;135,80 ;96,60 ;114,50 ;69,0 ;147,22 ;97,90
01/2019;0,55 ;120,50 ;54,70 ;76,40 ;95,40 ;99,50 ;96,00 ;70,9 ;147,61 ;96,90
02/2019;0,53 ;114,10 ;46,80 ;73,40 ;76,60 ;96,80 ;88,60 ;76,7 ;148,15 ;97,90
03/2019;0,70 ;127,00 ;38,00 ;86,00 ;86,60 ;102,50 ;93,60 ;77,0 ;147,89 ;96,60
04/2019;0,42 ;120,60 ;38,40 ;63,60 ;87,80 ;103,70 ;96,40 ;83,8 ;148,89 ;97,20
05/2019;0,22 ;128,20 ;39,70 ;70,00 ;90,30 ;106,60 ;100,80 ;94,1 ;149,87 ;98,50
06/2019;-0,08 ;122,80 ;37,70 ;56,40 ;88,50 ;99,70 ;96,70 ;89,1 ;149,89 ;97,20
07/2019;0,16 ;127,60 ;46,40 ;63,10 ;89,10 ;108,50 ;101,70 ;94,4 ;148,50 ;98,30
08/2019;0,38 ;129,50 ;41,00 ;68,80 ;93,40 ;109,60 ;102,00 ;100,1 ;149,56 ;97,30
09/2019;-0,07 ;123,90 ;33,10 ;57,20 ;96,70 ;106,40 ;98,20 ;93,0 ;149,76 ;99,20
10/2019;0,12 ;131,10 ;34,40 ;65,70 ;97,50 ;118,00 ;104,70 ;96,8 ;151,14 ;99,60
11/2019;0,83 ;145,40 ;35,60 ;72,50 ;118,10 ;112,50 ;105,30 ;83,6 ;149,57 ;99,60
12/2019;1,02 ;159,30 ;71,60 ;66,90 ;149,90 ;97,10 ;119,60 ;67,6 ;148,60 ;99,80
01/2020;0,25 ;137,00 ;76,00 ;63,10 ;101,60 ;104,50 ;100,00 ;72,1 ;149,75 ;99,50
02/2020;0,04 ;132,10 ;48,20 ;57,70 ;85,60 ;96,20 ;92,10 ;73,3 ;148,74 ;98,90
03/2020;0,20 ;148,20 ;25,50 ;49,90 ;78,30 ;99,80 ;90,30 ;74,0 ;146,17 ;92,20
04/2020;-0,32 ;104,60 ;14,20 ;38,10 ;64,10 ;86,00 ;67,20 ;57,2 ;131,01 ;81,50
05/2020;-0,14 ;-;-;-;-;-;-;-;-;-
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;BCB-Depec;BCB e IBGE
