Data;1475 - �ndice de volume de vendas no varejo - Total - S�o Paulo - �ndice;1490 - �ndice de volume de vendas no varejo - Combust�veis e lubrificantes - S�o Paulo - �ndice;1503 - �ndice de volume de vendas no varejo - Hipermercados, supermercados, produtos aliment�cios, bebidas e fumo - S�o Paulo - �ndice;1516 - �ndice de volume de vendas no varejo - Tecidos, vestu�rio e cal�ados - S�o Paulo - �ndice;1529 - �ndice de volume de vendas no varejo - M�veis e eletrodom�sticos - S�o Paulo - �ndice;1555 - �ndice de volume de vendas no varejo - Autom�veis, motocicletas, partes e pe�as - S�o Paulo - �ndice;1568 - �ndice de volume de vendas no varejo - Hipermercados e supermercados - S�o Paulo - �ndice;7493 - Cesta b�sica - S�o Paulo - u.m.c.;13024 - �ndice Nacional de Pre�os ao Consumidor Amplo - varia��o mensal - S�o Paulo - %;13025 - �ndice Nacional de Pre�os ao Consumidor - varia��o mensal - S�o Paulo - %
12/2011;117,80 ;96,90 ;103,40 ;191,60 ;134,00 ;122,20 ;102,80 ;277,27 ;0,40 ;0,43
01/2012;88,00 ;84,00 ;87,90 ;81,20 ;102,90 ;110,40 ;87,70 ;285,54 ;0,53 ;0,40
02/2012;83,90 ;88,00 ;88,00 ;72,00 ;84,40 ;101,60 ;87,70 ;276,54 ;0,33 ;0,23
03/2012;93,70 ;92,60 ;97,50 ;87,60 ;96,30 ;128,70 ;97,40 ;273,25 ;0,07 ;-0,06
04/2012;89,00 ;85,80 ;92,20 ;88,80 ;91,40 ;113,40 ;91,90 ;277,27 ;0,66 ;0,79
05/2012;93,20 ;89,00 ;90,70 ;119,20 ;97,40 ;128,70 ;90,10 ;283,69 ;0,22 ;0,37
06/2012;90,50 ;85,80 ;90,80 ;106,90 ;93,00 ;145,10 ;90,50 ;287,63 ;0,00 ;0,15
07/2012;92,20 ;95,80 ;92,40 ;102,40 ;97,60 ;141,50 ;92,10 ;299,39 ;0,36 ;0,32
08/2012;95,00 ;106,20 ;94,50 ;97,00 ;102,30 ;161,80 ;94,10 ;306,02 ;0,31 ;0,27
09/2012;92,30 ;101,10 ;95,10 ;90,90 ;94,00 ;111,10 ;95,00 ;309,08 ;0,47 ;0,54
10/2012;95,80 ;104,00 ;95,50 ;92,50 ;109,00 ;141,00 ;95,00 ;311,55 ;0,53 ;0,67
11/2012;97,50 ;99,20 ;96,30 ;103,50 ;110,60 ;122,20 ;96,30 ;299,26 ;0,52 ;0,44
12/2012;126,60 ;99,40 ;119,20 ;188,50 ;155,80 ;132,60 ;119,40 ;304,90 ;0,62 ;0,51
01/2013;92,90 ;91,30 ;92,10 ;83,80 ;112,60 ;115,60 ;91,90 ;318,40 ;0,99 ;1,02
02/2013;84,00 ;87,20 ;87,80 ;72,40 ;85,90 ;108,10 ;87,70 ;326,59 ;0,66 ;0,46
03/2013;98,30 ;100,20 ;103,70 ;94,00 ;94,60 ;130,10 ;103,90 ;336,26 ;0,48 ;0,45
04/2013;89,20 ;98,50 ;88,50 ;99,70 ;94,50 ;132,70 ;88,20 ;344,30 ;0,54 ;0,53
05/2013;96,70 ;103,50 ;95,50 ;115,80 ;100,00 ;131,20 ;95,50 ;342,05 ;0,21 ;0,23
06/2013;92,60 ;103,10 ;93,10 ;103,00 ;91,00 ;129,60 ;92,90 ;340,46 ;0,29 ;0,49
07/2013;97,40 ;105,70 ;97,10 ;110,30 ;100,20 ;132,20 ;96,90 ;327,44 ;0,06 ;-0,21
08/2013;101,70 ;110,90 ;102,50 ;100,30 ;104,90 ;137,70 ;102,30 ;319,66 ;0,26 ;0,18
09/2013;96,60 ;103,90 ;97,40 ;90,80 ;94,50 ;123,70 ;97,10 ;312,07 ;0,36 ;0,27
10/2013;101,90 ;109,90 ;100,10 ;95,80 ;107,30 ;136,60 ;99,60 ;321,14 ;0,69 ;0,74
11/2013;103,60 ;106,60 ;103,50 ;108,50 ;114,00 ;134,30 ;103,40 ;325,56 ;0,45 ;0,44
12/2013;130,90 ;106,90 ;124,10 ;192,70 ;132,90 ;134,70 ;124,40 ;327,24 ;0,94 ;0,71
01/2014;98,90 ;97,30 ;99,10 ;83,60 ;109,90 ;115,30 ;99,00 ;323,47 ;0,53 ;0,60
02/2014;91,20 ;97,00 ;93,90 ;71,20 ;89,80 ;108,80 ;93,80 ;325,35 ;0,97 ;0,83
03/2014;97,80 ;100,00 ;101,30 ;83,30 ;101,20 ;98,00 ;101,40 ;351,46 ;0,93 ;0,84
04/2014;96,00 ;95,50 ;98,90 ;87,90 ;97,10 ;101,90 ;99,10 ;357,85 ;0,47 ;0,54
05/2014;99,90 ;97,00 ;98,20 ;111,70 ;105,40 ;106,30 ;98,30 ;366,54 ;0,12 ;0,10
06/2014;92,60 ;93,60 ;94,10 ;94,80 ;87,30 ;90,10 ;94,00 ;354,63 ;0,37 ;0,20
07/2014;95,30 ;99,10 ;95,90 ;103,00 ;88,10 ;100,50 ;95,90 ;345,42 ;0,18 ;0,31
08/2014;99,10 ;104,80 ;100,10 ;96,00 ;95,60 ;85,80 ;100,00 ;337,80 ;0,18 ;0,01
09/2014;94,20 ;102,60 ;94,00 ;85,60 ;90,40 ;94,50 ;93,70 ;333,12 ;0,65 ;0,53
10/2014;100,90 ;107,70 ;101,20 ;92,00 ;97,20 ;94,70 ;101,00 ;341,04 ;0,42 ;0,43
11/2014;104,10 ;103,90 ;102,10 ;108,10 ;110,10 ;100,90 ;102,10 ;347,96 ;0,50 ;0,55
12/2014;130,00 ;101,40 ;121,20 ;182,90 ;128,00 ;103,20 ;121,60 ;354,19 ;0,63 ;0,40
01/2015;99,90 ;94,80 ;99,10 ;82,70 ;106,80 ;80,80 ;99,40 ;371,22 ;1,51 ;2,14
02/2015;89,20 ;83,00 ;91,50 ;69,40 ;80,80 ;73,80 ;91,80 ;378,86 ;1,25 ;1,19
03/2015;97,40 ;93,20 ;98,20 ;81,00 ;86,70 ;87,80 ;98,20 ;379,35 ;1,31 ;1,52
04/2015;93,00 ;91,10 ;96,80 ;80,00 ;79,50 ;87,80 ;97,00 ;387,05 ;0,58 ;0,56
05/2015;96,50 ;93,10 ;96,50 ;102,50 ;86,10 ;84,30 ;96,50 ;402,05 ;0,69 ;0,96
06/2015;89,80 ;87,50 ;91,00 ;89,00 ;76,20 ;91,70 ;91,20 ;392,77 ;0,79 ;0,77
07/2015;91,70 ;93,10 ;94,20 ;90,50 ;76,80 ;92,30 ;94,10 ;395,83 ;0,79 ;0,86
08/2015;92,50 ;96,90 ;95,40 ;80,40 ;76,00 ;89,50 ;95,00 ;386,04 ;0,24 ;0,23
09/2015;90,20 ;92,70 ;93,50 ;73,90 ;76,70 ;88,60 ;93,20 ;383,21 ;0,71 ;0,69
10/2015;97,50 ;93,20 ;103,60 ;79,90 ;84,60 ;92,10 ;103,60 ;382,13 ;0,99 ;0,89
11/2015;97,80 ;87,60 ;100,00 ;85,20 ;97,40 ;94,30 ;100,00 ;399,21 ;0,88 ;0,88
12/2015;122,10 ;91,10 ;119,90 ;162,50 ;107,40 ;105,10 ;120,30 ;412,12 ;0,84 ;0,74
01/2016;89,50 ;77,30 ;96,00 ;67,20 ;78,70 ;78,70 ;96,30 ;448,31 ;1,10 ;1,37
02/2016;86,10 ;75,70 ;93,90 ;58,70 ;74,90 ;77,80 ;94,00 ;443,40 ;0,82 ;0,70
03/2016;92,80 ;85,30 ;99,70 ;63,50 ;78,40 ;90,40 ;99,90 ;444,11 ;0,57 ;0,68
04/2016;88,50 ;82,00 ;96,00 ;69,20 ;74,30 ;79,60 ;96,00 ;442,42 ;0,36 ;0,32
05/2016;89,80 ;81,70 ;94,80 ;89,40 ;75,70 ;76,90 ;94,90 ;449,70 ;0,93 ;1,47
06/2016;88,00 ;83,50 ;91,90 ;91,00 ;70,40 ;75,10 ;92,00 ;469,02 ;0,41 ;0,65
07/2016;89,40 ;82,90 ;96,90 ;73,10 ;74,30 ;70,10 ;97,10 ;475,27 ;0,33 ;0,47
08/2016;89,80 ;83,00 ;97,50 ;71,90 ;71,80 ;76,60 ;97,90 ;475,11 ;0,55 ;0,46
09/2016;85,60 ;83,10 ;92,10 ;64,80 ;70,40 ;73,70 ;91,70 ;471,57 ;0,06 ;-0,06
10/2016;91,30 ;82,50 ;98,60 ;70,40 ;78,40 ;71,70 ;97,90 ;469,55 ;0,23 ;0,04
11/2016;94,40 ;78,70 ;98,20 ;77,30 ;92,60 ;78,10 ;97,40 ;450,39 ;0,26 ;0,07
12/2016;117,00 ;87,40 ;115,90 ;145,70 ;104,00 ;83,10 ;115,20 ;438,89 ;0,35 ;0,05
01/2017;90,00 ;80,30 ;99,20 ;65,90 ;89,30 ;79,00 ;100,50 ;435,89 ;0,23 ;0,07
02/2017;83,40 ;78,60 ;93,80 ;61,50 ;76,20 ;60,80 ;95,90 ;426,22 ;0,27 ;0,14
03/2017;84,60 ;93,90 ;82,70 ;72,50 ;92,60 ;80,00 ;82,80 ;435,34 ;0,31 ;0,38
04/2017;90,10 ;93,40 ;97,90 ;80,20 ;77,70 ;62,90 ;100,70 ;446,28 ;0,16 ;0,16
05/2017;91,50 ;97,80 ;92,70 ;91,10 ;92,00 ;77,90 ;94,60 ;458,93 ;0,36 ;0,51
06/2017;90,70 ;99,00 ;91,90 ;93,20 ;85,90 ;72,50 ;93,70 ;441,61 ;-0,31 ;-0,42
07/2017;92,50 ;96,60 ;95,90 ;91,00 ;86,70 ;73,50 ;98,10 ;445,83 ;0,38 ;0,31
08/2017;91,40 ;95,90 ;94,90 ;83,70 ;87,20 ;88,40 ;96,80 ;431,66 ;0,29 ;0,02
09/2017;91,30 ;92,80 ;98,50 ;74,60 ;79,30 ;80,50 ;100,60 ;421,02 ;0,19 ;0,02
10/2017;93,10 ;95,60 ;99,20 ;77,60 ;84,10 ;81,80 ;101,50 ;428,13 ;0,50 ;0,51
11/2017;98,70 ;84,00 ;102,10 ;87,50 ;107,90 ;80,60 ;104,60 ;423,23 ;0,58 ;0,53
12/2017;123,40 ;85,20 ;122,30 ;174,10 ;110,90 ;87,70 ;126,40 ;424,36 ;0,62 ;0,43
01/2018;91,80 ;76,70 ;100,20 ;65,90 ;91,30 ;87,90 ;102,80 ;439,20 ;0,21 ;0,25
02/2018;82,70 ;71,90 ;93,00 ;55,10 ;75,40 ;76,50 ;95,00 ;437,33 ;0,29 ;0,09
03/2018;92,80 ;88,50 ;99,20 ;72,50 ;85,90 ;98,10 ;100,60 ;437,84 ;0,22 ;0,23
04/2018;90,00 ;94,80 ;96,70 ;72,50 ;78,00 ;96,50 ;98,60 ;434,80 ;0,10 ;0,04
05/2018;94,10 ;94,80 ;100,40 ;86,10 ;80,60 ;83,90 ;102,30 ;441,16 ;0,19 ;0,24
06/2018;91,40 ;89,70 ;95,70 ;86,30 ;81,20 ;89,60 ;97,30 ;451,63 ;1,11 ;1,32
07/2018;92,50 ;90,20 ;97,60 ;77,40 ;79,40 ;96,30 ;99,50 ;437,42 ;0,63 ;0,73
08/2018;96,20 ;95,50 ;102,00 ;83,60 ;85,60 ;108,00 ;104,10 ;432,81 ;0,12 ;0,23
09/2018;92,10 ;86,20 ;96,80 ;76,00 ;82,50 ;97,00 ;98,60 ;432,83 ;0,61 ;0,47
10/2018;93,30 ;85,30 ;97,30 ;78,90 ;82,50 ;105,00 ;98,80 ;446,02 ;0,41 ;0,31
11/2018;104,00 ;81,10 ;104,10 ;92,50 ;106,90 ;91,90 ;106,50 ;471,37 ;-0,30 ;-0,43
12/2018;125,20 ;85,40 ;123,60 ;171,10 ;103,50 ;90,50 ;127,70 ;471,44 ;0,03 ;0,01
01/2019;94,60 ;78,40 ;102,10 ;64,30 ;87,60 ;98,80 ;104,80 ;467,65 ;0,37 ;0,55
02/2019;86,70 ;76,10 ;95,30 ;62,70 ;74,70 ;91,00 ;97,50 ;482,40 ;0,44 ;0,53
03/2019;89,10 ;80,00 ;92,10 ;69,30 ;82,70 ;103,10 ;93,60 ;509,11 ;0,78 ;0,70
04/2019;91,80 ;91,70 ;98,20 ;66,80 ;79,10 ;107,20 ;100,70 ;522,05 ;0,49 ;0,42
05/2019;95,40 ;98,10 ;96,80 ;84,30 ;89,30 ;114,50 ;99,00 ;507,07 ;0,13 ;0,22
06/2019;93,20 ;96,20 ;95,20 ;87,80 ;81,10 ;105,90 ;97,00 ;501,68 ;-0,04 ;-0,08
07/2019;95,10 ;97,20 ;97,20 ;83,10 ;88,60 ;118,30 ;99,10 ;493,16 ;0,28 ;0,16
08/2019;99,00 ;98,40 ;105,20 ;77,10 ;86,20 ;107,60 ;107,80 ;481,44 ;0,33 ;0,38
09/2019;94,30 ;96,20 ;96,40 ;71,90 ;92,10 ;106,60 ;98,20 ;473,85 ;-0,06 ;-0,07
10/2019;98,90 ;100,40 ;101,60 ;79,60 ;94,10 ;116,30 ;103,20 ;473,59 ;0,14 ;0,12
11/2019;107,40 ;93,50 ;104,90 ;92,00 ;117,70 ;96,20 ;107,30 ;465,81 ;0,70 ;0,83
12/2019;128,50 ;86,20 ;119,00 ;165,80 ;133,10 ;102,50 ;122,80 ;506,50 ;0,93 ;1,02
01/2020;96,10 ;79,80 ;96,20 ;66,60 ;107,30 ;109,70 ;98,60 ;517,51 ;0,33 ;0,25
02/2020;91,40 ;75,00 ;96,60 ;62,00 ;94,00 ;92,30 ;99,00 ;519,76 ;0,23 ;0,04
03/2020;94,60 ;75,00 ;110,60 ;38,40 ;81,20 ;73,80 ;114,50 ;518,50 ;0,09 ;0,20
04/2020;77,10 ;64,10 ;100,00 ;12,80 ;46,90 ;30,50 ;104,60 ;556,25 ;-0,37 ;-0,32
05/2020;-;-;-;-;-;-;-;556,36 ;-0,28 ;-0,14
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;Dieese;IBGE;IBGE
