Data;1470 - Índice volume de vendas no varejo (2003=100) - Total - Sergipe - Índice;7479 - Cesta básica - Aracaju - u.m.c.;14027 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas físicas - R$ (milhões);14054 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas jurídicas - R$ (milhões);14081 - Saldo das operações de crédito do Sistema Financeiro Nacional - Sergipe - Total - R$ (milhões);15886 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas físicas - %;15918 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Pessoas jurídicas - %;15950 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Sergipe - Total - %;28030 - PMS - Índice de volume de serviços - Total - Sergipe - com ajuste sazonal - Índice
05/2008;69,70 ;183,40 ;2.667 ;1.557 ;4.225 ;5,42 ;2,32 ;3,99 ;-
06/2008;65,50 ;191,75 ;2.740 ;1.621 ;4.361 ;5,36 ;2,44 ;4,00 ;-
07/2008;66,00 ;196,61 ;2.828 ;1.686 ;4.514 ;5,33 ;2,45 ;3,98 ;-
08/2008;68,60 ;185,86 ;2.919 ;1.770 ;4.689 ;5,44 ;2,43 ;4,02 ;-
09/2008;70,30 ;176,05 ;2.978 ;1.860 ;4.838 ;5,38 ;2,39 ;3,96 ;-
10/2008;74,30 ;180,07 ;3.093 ;1.897 ;4.990 ;5,40 ;2,08 ;3,82 ;-
11/2008;72,60 ;179,39 ;3.154 ;2.000 ;5.154 ;5,49 ;2,06 ;3,82 ;-
12/2008;97,50 ;193,28 ;3.190 ;2.118 ;5.308 ;5,53 ;1,96 ;3,76 ;-
01/2009;78,60 ;184,48 ;3.254 ;2.113 ;5.367 ;5,73 ;2,08 ;3,94 ;-
02/2009;66,80 ;180,32 ;3.310 ;2.132 ;5.442 ;5,89 ;2,16 ;4,07 ;-
03/2009;72,40 ;167,37 ;3.331 ;2.125 ;5.456 ;5,90 ;2,38 ;4,21 ;-
04/2009;72,20 ;163,76 ;3.411 ;2.072 ;5.483 ;6,06 ;2,93 ;4,59 ;-
05/2009;77,50 ;168,80 ;3.490 ;2.070 ;5.560 ;6,16 ;3,36 ;4,86 ;-
06/2009;75,80 ;176,35 ;3.563 ;2.064 ;5.627 ;6,16 ;3,71 ;5,04 ;-
07/2009;78,50 ;173,47 ;3.657 ;2.263 ;5.920 ;6,08 ;3,89 ;5,05 ;-
08/2009;80,60 ;168,06 ;3.741 ;2.300 ;6.041 ;5,96 ;4,10 ;5,09 ;-
09/2009;76,90 ;164,50 ;3.839 ;2.360 ;6.199 ;5,80 ;4,16 ;5,04 ;-
10/2009;83,90 ;168,15 ;3.949 ;2.452 ;6.401 ;5,80 ;4,28 ;5,09 ;-
11/2009;82,20 ;167,87 ;4.071 ;2.531 ;6.602 ;5,59 ;4,32 ;4,99 ;-
12/2009;114,60 ;169,18 ;4.105 ;2.527 ;6.632 ;5,03 ;3,81 ;4,46 ;-
01/2010;88,70 ;169,13 ;4.275 ;2.606 ;6.881 ;4,96 ;3,58 ;4,31 ;-
02/2010;79,20 ;169,57 ;4.281 ;2.569 ;6.850 ;4,96 ;3,49 ;4,28 ;-
03/2010;87,10 ;181,70 ;4.304 ;2.616 ;6.920 ;4,76 ;3,35 ;4,10 ;-
04/2010;80,00 ;184,97 ;4.405 ;2.688 ;7.093 ;4,66 ;3,14 ;3,96 ;-
05/2010;87,20 ;187,10 ;4.510 ;2.887 ;7.396 ;4,57 ;2,54 ;3,60 ;-
06/2010;85,50 ;184,17 ;4.626 ;2.992 ;7.618 ;4,39 ;2,67 ;3,56 ;-
07/2010;87,00 ;181,04 ;4.721 ;3.089 ;7.810 ;4,24 ;2,58 ;3,44 ;-
08/2010;88,60 ;174,96 ;4.821 ;3.151 ;7.972 ;4,14 ;2,66 ;3,43 ;-
09/2010;86,90 ;173,56 ;4.977 ;3.313 ;8.290 ;3,96 ;2,49 ;3,25 ;-
10/2010;92,70 ;172,40 ;5.092 ;3.392 ;8.484 ;4,12 ;2,66 ;3,41 ;-
11/2010;92,20 ;179,78 ;5.227 ;3.514 ;8.740 ;3,93 ;2,58 ;3,28 ;-
12/2010;128,40 ;175,88 ;5.416 ;3.673 ;9.089 ;3,74 ;2,30 ;3,04 ;-
01/2011;93,60 ;182,76 ;5.561 ;3.728 ;9.289 ;3,80 ;2,36 ;3,10 ;100,50
02/2011;79,70 ;190,66 ;5.631 ;3.832 ;9.463 ;3,32 ;2,22 ;2,78 ;102,50
03/2011;84,30 ;192,35 ;5.708 ;3.846 ;9.554 ;3,33 ;2,00 ;2,68 ;100,70
04/2011;84,90 ;185,88 ;5.830 ;3.904 ;9.734 ;3,41 ;1,88 ;2,68 ;103,40
05/2011;88,60 ;186,67 ;5.957 ;3.907 ;9.863 ;3,46 ;1,81 ;2,67 ;101,90
06/2011;86,90 ;183,24 ;6.052 ;3.935 ;9.987 ;3,52 ;2,32 ;2,95 ;102,00
07/2011;87,90 ;184,01 ;6.174 ;3.934 ;10.108 ;3,67 ;2,65 ;3,19 ;100,20
08/2011;89,50 ;187,73 ;6.273 ;4.071 ;10.344 ;3,72 ;2,82 ;3,30 ;102,00
09/2011;85,80 ;183,61 ;6.418 ;4.153 ;10.571 ;3,72 ;2,52 ;3,16 ;104,00
10/2011;90,70 ;182,68 ;6.506 ;4.087 ;10.592 ;3,96 ;2,02 ;3,06 ;101,80
11/2011;92,50 ;181,79 ;6.623 ;4.217 ;10.841 ;4,55 ;1,89 ;3,31 ;103,90
12/2011;124,80 ;182,22 ;6.755 ;4.643 ;11.398 ;4,50 ;1,80 ;3,19 ;105,70
01/2012;94,10 ;187,88 ;6.681 ;4.573 ;11.255 ;4,13 ;1,92 ;3,16 ;103,90
02/2012;87,80 ;188,59 ;6.746 ;4.638 ;11.384 ;4,91 ;2,18 ;3,73 ;103,10
03/2012;91,90 ;192,41 ;6.846 ;4.662 ;11.508 ;4,81 ;2,21 ;3,70 ;102,30
04/2012;87,60 ;192,52 ;6.967 ;4.741 ;11.709 ;4,74 ;2,52 ;3,84 ;97,50
05/2012;94,50 ;199,26 ;7.103 ;4.819 ;11.922 ;4,75 ;2,53 ;3,85 ;101,90
06/2012;91,40 ;199,70 ;7.236 ;4.850 ;12.086 ;4,65 ;2,47 ;3,77 ;100,00
07/2012;91,90 ;208,14 ;7.329 ;4.862 ;12.191 ;4,62 ;2,55 ;3,79 ;105,00
08/2012;95,60 ;212,99 ;7.445 ;4.928 ;12.373 ;4,55 ;2,29 ;3,65 ;98,80
09/2012;92,20 ;207,80 ;7.505 ;4.959 ;12.464 ;4,59 ;2,07 ;3,59 ;98,80
10/2012;96,40 ;206,03 ;7.633 ;5.071 ;12.704 ;4,50 ;2,19 ;3,58 ;101,40
11/2012;97,00 ;205,63 ;7.763 ;5.135 ;12.898 ;4,43 ;2,15 ;3,52 ;102,00
12/2012;127,70 ;204,06 ;7.939 ;5.403 ;13.342 ;4,44 ;2,29 ;3,57 ;102,00
01/2013;97,70 ;231,80 ;8.046 ;5.310 ;13.355 ;4,32 ;2,58 ;3,63 ;96,70
02/2013;86,10 ;238,40 ;8.085 ;5.256 ;13.341 ;4,34 ;2,72 ;3,70 ;101,90
03/2013;97,80 ;245,94 ;8.235 ;5.282 ;13.517 ;4,43 ;3,06 ;3,89 ;100,90
04/2013;91,50 ;247,72 ;8.375 ;5.326 ;13.701 ;4,22 ;3,00 ;3,75 ;101,10
05/2013;98,20 ;240,72 ;8.599 ;5.402 ;14.001 ;4,33 ;2,37 ;3,57 ;101,70
06/2013;93,40 ;248,07 ;8.711 ;5.531 ;14.241 ;4,32 ;2,49 ;3,61 ;101,30
07/2013;95,70 ;239,36 ;8.826 ;5.823 ;14.649 ;4,41 ;2,39 ;3,61 ;100,70
08/2013;100,40 ;233,19 ;8.934 ;5.869 ;14.804 ;4,34 ;2,74 ;3,70 ;101,00
09/2013;90,90 ;220,68 ;9.040 ;5.984 ;15.025 ;4,37 ;2,75 ;3,72 ;100,60
10/2013;100,20 ;222,55 ;9.143 ;5.986 ;15.128 ;4,42 ;3,29 ;3,97 ;106,10
11/2013;101,50 ;218,71 ;9.264 ;6.102 ;15.366 ;4,30 ;3,11 ;3,83 ;98,80
12/2013;127,40 ;216,78 ;9.425 ;6.199 ;15.624 ;4,14 ;2,74 ;3,58 ;95,00
01/2014;104,50 ;214,19 ;9.532 ;6.172 ;15.705 ;4,07 ;2,67 ;3,52 ;102,20
02/2014;92,00 ;225,57 ;9.578 ;6.217 ;15.795 ;4,13 ;2,63 ;3,54 ;99,20
03/2014;95,50 ;225,82 ;9.620 ;6.304 ;15.924 ;4,13 ;2,45 ;3,46 ;102,30
04/2014;93,70 ;238,04 ;9.807 ;6.302 ;16.108 ;4,17 ;2,63 ;3,57 ;102,60
05/2014;101,20 ;241,72 ;10.013 ;6.374 ;16.387 ;4,11 ;2,43 ;3,46 ;102,20
06/2014;91,20 ;247,64 ;10.127 ;6.414 ;16.541 ;3,94 ;2,30 ;3,30 ;95,30
07/2014;93,50 ;239,72 ;10.222 ;6.379 ;16.601 ;4,02 ;2,06 ;3,27 ;103,40
08/2014;98,00 ;230,52 ;10.337 ;6.395 ;16.732 ;4,02 ;2,45 ;3,42 ;102,40
09/2014;95,90 ;233,18 ;10.417 ;6.466 ;16.882 ;3,87 ;1,96 ;3,14 ;98,60
10/2014;100,30 ;232,82 ;10.588 ;6.596 ;17.184 ;3,90 ;1,82 ;3,10 ;98,10
11/2014;106,10 ;241,72 ;10.738 ;6.739 ;17.478 ;3,75 ;2,10 ;3,12 ;97,80
12/2014;128,00 ;245,70 ;10.962 ;6.969 ;17.932 ;3,63 ;2,21 ;3,08 ;95,90
01/2015;107,50 ;264,84 ;11.094 ;6.849 ;17.943 ;3,74 ;2,99 ;3,45 ;95,50
02/2015;96,60 ;264,67 ;11.089 ;6.621 ;17.710 ;3,71 ;3,22 ;3,53 ;98,80
03/2015;101,60 ;273,21 ;11.186 ;6.014 ;17.200 ;3,69 ;3,75 ;3,71 ;98,40
04/2015;103,90 ;281,61 ;11.312 ;6.078 ;17.390 ;3,71 ;4,09 ;3,84 ;96,70
05/2015;101,60 ;277,16 ;11.440 ;6.114 ;17.555 ;3,85 ;4,18 ;3,97 ;95,00
06/2015;97,60 ;275,42 ;11.564 ;6.205 ;17.770 ;3,79 ;3,93 ;3,84 ;97,10
07/2015;90,90 ;285,44 ;11.662 ;6.266 ;17.928 ;3,92 ;3,36 ;3,73 ;94,70
08/2015;91,80 ;283,02 ;11.754 ;6.335 ;18.090 ;4,02 ;4,50 ;4,19 ;94,10
09/2015;87,40 ;280,26 ;11.821 ;6.310 ;18.131 ;4,07 ;4,59 ;4,25 ;94,10
10/2015;94,40 ;282,87 ;11.882 ;6.325 ;18.206 ;4,21 ;4,83 ;4,43 ;90,70
11/2015;92,50 ;291,80 ;11.983 ;6.300 ;18.283 ;4,41 ;5,07 ;4,64 ;89,60
12/2015;114,50 ;296,82 ;12.105 ;6.406 ;18.511 ;4,32 ;4,84 ;4,50 ;90,30
01/2016;94,00 ;350,73 ;12.130 ;6.224 ;18.354 ;4,38 ;4,91 ;4,56 ;94,10
02/2016;84,20 ;362,09 ;12.109 ;6.100 ;18.209 ;4,55 ;4,50 ;4,53 ;89,40
03/2016;90,30 ;349,32 ;12.150 ;6.044 ;18.195 ;4,56 ;4,33 ;4,48 ;89,30
04/2016;86,60 ;348,24 ;12.163 ;6.027 ;18.190 ;4,85 ;5,03 ;4,91 ;87,40
05/2016;85,80 ;334,83 ;12.329 ;6.017 ;18.346 ;4,86 ;5,82 ;5,17 ;87,60
06/2016;83,40 ;376,73 ;12.384 ;6.045 ;18.429 ;4,52 ;4,22 ;4,42 ;85,50
07/2016;82,70 ;379,29 ;12.402 ;5.958 ;18.360 ;4,34 ;4,41 ;4,36 ;84,60
08/2016;84,30 ;370,70 ;12.471 ;5.897 ;18.368 ;4,30 ;4,42 ;4,34 ;84,00
09/2016;82,00 ;371,30 ;12.479 ;5.857 ;18.335 ;4,41 ;4,47 ;4,43 ;89,10
10/2016;87,70 ;378,17 ;12.420 ;5.743 ;18.164 ;4,44 ;4,80 ;4,56 ;85,00
11/2016;90,20 ;368,52 ;12.509 ;5.734 ;18.243 ;4,23 ;5,63 ;4,67 ;84,30
12/2016;112,90 ;349,68 ;12.636 ;5.247 ;17.883 ;4,00 ;4,65 ;4,19 ;82,30
01/2017;85,70 ;357,52 ;12.705 ;5.066 ;17.771 ;4,03 ;4,56 ;4,18 ;77,80
02/2017;75,60 ;344,72 ;12.709 ;5.094 ;17.802 ;4,07 ;4,55 ;4,21 ;79,00
03/2017;82,80 ;351,81 ;12.755 ;5.061 ;17.817 ;4,09 ;4,50 ;4,21 ;79,30
04/2017;80,10 ;363,87 ;12.766 ;5.099 ;17.865 ;4,12 ;4,06 ;4,10 ;77,90
05/2017;81,70 ;371,00 ;12.873 ;5.091 ;17.964 ;4,20 ;5,08 ;4,45 ;78,40
06/2017;78,90 ;365,55 ;12.913 ;5.137 ;18.050 ;3,72 ;4,38 ;3,91 ;78,50
07/2017;80,50 ;364,27 ;12.970 ;5.105 ;18.075 ;3,91 ;5,73 ;4,43 ;77,90
08/2017;81,20 ;353,85 ;13.061 ;4.928 ;17.989 ;3,83 ;5,67 ;4,34 ;77,40
09/2017;82,60 ;344,16 ;13.090 ;4.845 ;17.935 ;3,81 ;5,24 ;4,20 ;76,20
10/2017;82,20 ;340,47 ;13.151 ;4.735 ;17.886 ;3,73 ;4,91 ;4,04 ;77,50
11/2017;90,50 ;341,09 ;13.281 ;4.796 ;18.077 ;3,64 ;4,66 ;3,91 ;77,60
12/2017;102,10 ;340,02 ;13.388 ;4.725 ;18.112 ;3,39 ;4,16 ;3,59 ;76,40
01/2018;86,50 ;349,97 ;13.468 ;4.659 ;18.127 ;3,75 ;3,45 ;3,67 ;75,40
02/2018;74,70 ;341,59 ;13.374 ;4.682 ;18.056 ;3,71 ;3,55 ;3,67 ;75,20
03/2018;84,80 ;339,77 ;13.414 ;4.697 ;18.111 ;3,82 ;3,89 ;3,84 ;74,00
04/2018;77,60 ;342,39 ;13.456 ;4.657 ;18.113 ;3,69 ;7,63 ;4,70 ;74,50
05/2018;82,50 ;349,29 ;13.553 ;4.544 ;18.097 ;3,69 ;7,94 ;4,76 ;72,50
06/2018;80,80 ;349,55 ;13.597 ;4.499 ;18.096 ;3,59 ;7,71 ;4,62 ;74,70
07/2018;79,60 ;344,89 ;13.684 ;4.326 ;18.010 ;3,71 ;8,26 ;4,80 ;74,30
08/2018;84,10 ;344,92 ;13.801 ;4.341 ;18.142 ;3,53 ;8,48 ;4,72 ;74,90
09/2018;81,10 ;342,34 ;13.830 ;4.348 ;18.178 ;3,46 ;8,06 ;4,56 ;75,90
10/2018;83,20 ;342,50 ;13.898 ;4.320 ;18.218 ;3,32 ;7,70 ;4,36 ;73,80
11/2018;92,80 ;349,76 ;14.072 ;4.346 ;18.419 ;3,28 ;7,49 ;4,27 ;72,30
12/2018;102,70 ;358,75 ;14.268 ;4.457 ;18.725 ;3,15 ;7,37 ;4,16 ;74,50
01/2019;84,20 ;356,56 ;14.332 ;4.074 ;18.406 ;3,21 ;3,55 ;3,29 ;76,30
02/2019;75,60 ;379,61 ;14.348 ;4.058 ;18.406 ;3,20 ;3,21 ;3,20 ;75,40
03/2019;80,90 ;385,62 ;14.424 ;4.077 ;18.501 ;3,36 ;3,90 ;3,48 ;75,30
04/2019;79,90 ;404,68 ;14.573 ;3.982 ;18.555 ;3,34 ;4,01 ;3,48 ;76,80
05/2019;81,50 ;408,16 ;14.730 ;3.994 ;18.724 ;3,35 ;3,33 ;3,35 ;76,20
06/2019;75,80 ;383,09 ;14.814 ;4.134 ;18.948 ;3,27 ;2,09 ;3,01 ;73,10
07/2019;79,50 ;359,95 ;14.926 ;4.091 ;19.017 ;3,51 ;2,30 ;3,25 ;76,60
08/2019;81,80 ;337,96 ;15.048 ;4.296 ;19.344 ;3,47 ;2,10 ;3,17 ;76,10
09/2019;77,20 ;328,70 ;15.177 ;4.169 ;19.347 ;3,42 ;2,18 ;3,16 ;75,60
10/2019;82,50 ;325,01 ;15.346 ;4.115 ;19.461 ;3,51 ;2,39 ;3,27 ;75,90
11/2019;91,50 ;325,40 ;15.527 ;4.191 ;19.718 ;3,52 ;2,64 ;3,33 ;75,60
12/2019;100,80 ;351,97 ;15.848 ;4.265 ;20.112 ;3,46 ;2,41 ;3,24 ;74,40
01/2020;82,70 ;368,69 ;15.872 ;4.206 ;20.077 ;3,70 ;2,42 ;3,43 ;74,50
02/2020;75,70 ;371,22 ;15.841 ;4.207 ;20.048 ;3,70 ;2,39 ;3,42 ;73,80
03/2020;71,40 ;390,20 ;15.836 ;4.308 ;20.144 ;4,16 ;2,77 ;3,86 ;69,30
04/2020;59,20 ;401,37 ;15.692 ;4.199 ;19.891 ;4,28 ;2,99 ;4,00 ;58,40
05/2020;69,80 ;400,15 ;15.655 ;4.240 ;19.894 ;4,15 ;3,61 ;4,03 ;-
Fonte;IBGE;Dieese;BCB;BCB;BCB;BCB;BCB;BCB;BCB e IBGE
