Data;22078 - Massa salarial ampliada - PNADC (media movel trimestral) - R$ (milhoes);22079 - Massa Salarial Ampliada Disponivel - PNADC (media movel trimestral) - R$ (milhoes);22080 - Massa Salarial Ampliada Disponivel - PNADC (acumulada em 12 meses) - R$ (milhoes);24381 - Rendimento medio real efetivo de todos os trabalhos - PNADC - R$;24382 - Rendimento medio real habitual das pessoas ocupadas - PNADC - R$;24383 - Rendimento medio real habitual das pessoas ocupadas - Com carteira - PNADC - R$;24384 - Rendimento medio real habitual das pessoas ocupadas - Sem carteira - PNADC - R$;24385 - Rendimento medio real habitual das pessoas ocupadas - Setor privado - PNADC - R$;24386 - Rendimento medio real habitual das pessoas ocupadas - Setor publico - PNADC - R$;24387 - Rendimento medio real habitual das pessoas ocupadas - Conta propria - PNADC - R$;24388 - Rendimento medio real habitual das pessoas ocupadas - Empregadores - PNADC - R$;24399 - Rendimento medio real habitual das pessoas ocupadas - Setor privado e publico - PNADC - R$;28544 - Massa de rendimento real efetivo de todos os trabalhos - R$ (milhoes);28545 - Massa de rendimento real habitual de todos os trabalhos - R$ (milhoes)
mar/08;104.570,00;96.718,80;1.140.609,20;-;-;-;-;-;-;-;-;-;-;-
abr/08;105.705,10;97.136,40;1.151.818,30;-;-;-;-;-;-;-;-;-;-;-
mai/08;108.317,10;99.536,00;1.164.724,90;-;-;-;-;-;-;-;-;-;-;-
jun/08;110.786,40;102.024,80;1.176.562,90;-;-;-;-;-;-;-;-;-;-;-
jul/08;112.832,70;104.584,60;1.190.960,50;-;-;-;-;-;-;-;-;-;-;-
ago/08;114.850,10;106.677,20;1.208.973,30;-;-;-;-;-;-;-;-;-;-;-
set/08;116.677,40;108.291,40;1.220.940,90;-;-;-;-;-;-;-;-;-;-;-
out/08;116.405,40;108.034,20;1.233.984,90;-;-;-;-;-;-;-;-;-;-;-
nov/08;118.082,90;109.134,80;1.251.428,90;-;-;-;-;-;-;-;-;-;-;-
dez/08;123.599,70;113.625,90;1.261.982,90;-;-;-;-;-;-;-;-;-;-;-
jan/09;125.869,40;115.361,80;1.275.350,90;-;-;-;-;-;-;-;-;-;-;-
fev/09;124.667,20;114.947,60;1.290.887,00;-;-;-;-;-;-;-;-;-;-;-
mar/09;118.917,80;110.171,40;1.302.340,70;-;-;-;-;-;-;-;-;-;-;-
abr/09;119.036,30;110.019,30;1.313.999,60;-;-;-;-;-;-;-;-;-;-;-
mai/09;120.731,60;111.261,30;1.326.062,80;-;-;-;-;-;-;-;-;-;-;-
jun/09;122.972,00;113.474,90;1.336.690,80;-;-;-;-;-;-;-;-;-;-;-
jul/09;124.656,40;115.848,30;1.347.790,90;-;-;-;-;-;-;-;-;-;-;-
ago/09;126.444,70;117.608,30;1.358.856,10;-;-;-;-;-;-;-;-;-;-;-
set/09;127.820,90;119.152,00;1.369.272,50;-;-;-;-;-;-;-;-;-;-;-
out/09;127.508,10;118.799,00;1.380.085,10;-;-;-;-;-;-;-;-;-;-;-
nov/09;128.909,80;119.727,80;1.390.635,20;-;-;-;-;-;-;-;-;-;-;-
dez/09;133.767,10;123.240,70;1.398.117,00;-;-;-;-;-;-;-;-;-;-;-
jan/10;135.329,50;124.225,70;1.406.677,00;-;-;-;-;-;-;-;-;-;-;-
fev/10;135.310,70;124.721,50;1.419.956,60;-;-;-;-;-;-;-;-;-;-;-
mar/10;132.155,40;122.412,10;1.434.839,00;-;-;-;-;-;-;-;-;-;-;-
abr/10;133.771,80;123.322,90;1.446.587,90;-;-;-;-;-;-;-;-;-;-;-
mai/10;135.248,90;124.305,70;1.459.089,80;-;-;-;-;-;-;-;-;-;-;-
jun/10;136.815,90;125.871,60;1.472.029,20;-;-;-;-;-;-;-;-;-;-;-
jul/10;139.276,20;129.233,70;1.486.744,00;-;-;-;-;-;-;-;-;-;-;-
ago/10;142.589,20;132.487,80;1.503.728,30;-;-;-;-;-;-;-;-;-;-;-
set/10;145.265,30;135.056,80;1.519.743,60;-;-;-;-;-;-;-;-;-;-;-
out/10;145.754,10;135.510,10;1.536.877,30;-;-;-;-;-;-;-;-;-;-;-
nov/10;146.797,00;135.851,20;1.552.098,80;-;-;-;-;-;-;-;-;-;-;-
dez/10;152.315,60;140.081,20;1.570.265,00;-;-;-;-;-;-;-;-;-;-;-
jan/11;153.779,60;140.736,90;1.586.410,60;-;-;-;-;-;-;-;-;-;-;-
fev/11;154.209,70;141.831,60;1.603.429,20;-;-;-;-;-;-;-;-;-;-;-
mar/11;148.073,60;136.429,40;1.612.317,10;-;-;-;-;-;-;-;-;-;-;-
abr/11;151.053,10;138.594,60;1.632.225,50;-;-;-;-;-;-;-;-;-;-;-
mai/11;152.914,00;139.950,10;1.650.362,20;-;-;-;-;-;-;-;-;-;-;-
jun/11;156.796,00;143.915,10;1.666.447,40;-;-;-;-;-;-;-;-;-;-;-
jul/11;158.465,50;146.741,30;1.684.748,40;-;-;-;-;-;-;-;-;-;-;-
ago/11;160.132,70;148.570,00;1.698.608,70;-;-;-;-;-;-;-;-;-;-;-
set/11;161.451,00;149.868,00;1.710.881,00;-;-;-;-;-;-;-;-;-;-;-
out/11;160.035,20;148.498,50;1.723.713,70;-;-;-;-;-;-;-;-;-;-;-
nov/11;162.776,30;150.507,40;1.742.577,10;-;-;-;-;-;-;-;-;-;-;-
dez/11;169.667,50;156.104,00;1.758.949,50;-;-;-;-;-;-;-;-;-;-;-
jan/12;173.126,80;158.593,30;1.786.093,10;-;-;-;-;-;-;-;-;-;-;-
fev/12;174.940,70;161.151,10;1.810.952,20;-;-;-;-;-;-;-;-;-;195.406,00;-
mar/12;167.090,80;154.170,20;1.822.401,30;2.221,00;2.156,00;2.127,00;1.347,00;1.934,49;3.392,00;1.731,00;5.904,00;2.222,77;189.766,00;188.785,00
abr/12;169.193,90;155.565,00;1.837.183,60;2.216,00;2.168,00;2.140,00;1.338,00;1.942,93;3.380,00;1.708,00;6.137,00;2.227,97;189.876,00;190.990,00
mai/12;170.682,40;156.433,80;1.860.449,40;2.221,00;2.161,00;2.138,00;1.299,00;1.931,93;3.375,00;1.700,00;6.166,00;2.217,78;190.578,00;190.890,00
jun/12;172.927,80;158.883,90;1.867.217,70;2.231,00;2.166,00;2.146,00;1.308,00;1.941,00;3.399,00;1.695,00;6.093,00;2.230,65;191.557,00;191.589,00
jul/12;175.334,20;162.533,10;1.879.381,20;2.241,00;2.176,00;2.153,00;1.314,00;1.947,77;3.379,00;1.730,00;6.083,00;2.233,56;192.901,00;192.656,00
ago/12;177.768,10;165.188,60;1.903.999,70;2.241,00;2.183,00;2.149,00;1.309,00;1.943,51;3.365,00;1.732,00;6.273,00;2.228,48;193.553,00;193.797,00
set/12;180.599,70;167.939,40;1.914.455,70;2.243,00;2.178,00;2.131,00;1.307,00;1.928,58;3.365,00;1.735,00;6.340,00;2.214,16;194.102,00;194.142,00
out/12;180.050,60;167.436,90;1.932.385,10;2.239,00;2.175,00;2.135,00;1.304,00;1.931,36;3.354,00;1.743,00;6.242,00;2.212,87;194.184,00;194.343,00
nov/12;182.766,50;169.266,10;1.956.118,70;2.260,00;2.173,00;2.145,00;1.293,00;1.937,25;3.372,00;1.752,00;6.008,00;2.219,37;195.934,00;194.554,00
dez/12;189.296,10;174.597,60;1.966.773,30;2.371,00;2.171,00;2.147,00;1.266,00;1.936,55;3.399,00;1.770,00;5.819,00;2.221,49;204.820,00;194.232,00
jan/13;191.306,50;175.666,40;1.983.604,40;2.384,00;2.181,00;2.155,00;1.267,00;1.944,42;3.453,00;1.773,00;5.841,00;2.234,11;205.065,00;194.230,00
fev/13;189.188,90;174.553,30;1.996.325,10;2.370,00;2.196,00;2.158,00;1.273,00;1.948,81;3.458,00;1.798,00;5.971,00;2.237,56;203.505,00;194.769,00
mar/13;183.356,50;169.753,90;2.013.524,30;2.268,00;2.211,00;2.165,00;1.301,00;1.959,01;3.478,00;1.792,00;6.133,00;2.252,01;195.703,00;195.516,00
abr/13;186.103,60;171.572,90;2.031.628,30;2.272,00;2.217,00;2.164,00;1.327,00;1.965,11;3.474,00;1.773,00;6.186,00;2.260,22;196.851,00;196.993,00
mai/13;189.168,40;173.922,40;2.048.790,90;2.293,00;2.220,00;2.170,00;1.328,00;1.971,36;3.477,00;1.772,00;6.232,00;2.265,69;199.272,00;198.066,00
jun/13;192.283,80;176.862,40;2.067.460,00;2.311,00;2.239,00;2.184,00;1.348,00;1.986,82;3.464,00;1.790,00;6.274,00;2.277,66;201.543,00;200.329,00
jul/13;193.997,50;180.099,50;2.084.327,40;2.324,00;2.254,00;2.203,00;1.342,00;2.002,17;3.463,00;1.817,00;6.271,00;2.290,26;203.078,00;202.379,00
ago/13;196.436,30;182.870,50;2.101.836,90;2.323,00;2.268,00;2.215,00;1.367,00;2.015,75;3.477,00;1.833,00;6.265,00;2.303,32;203.540,00;204.104,00
set/13;200.495,10;187.000,60;2.124.643,60;2.332,00;2.269,00;2.204,00;1.370,00;2.008,74;3.460,00;1.841,00;6.475,00;2.292,70;204.650,00;204.621,00
out/13;200.483,40;186.998,40;2.143.011,90;2.329,00;2.276,00;2.213,00;1.365,00;2.016,27;3.465,00;1.842,00;6.468,00;2.298,73;205.133,00;205.483,00
nov/13;203.133,70;188.669,50;2.160.047,10;2.333,00;2.268,00;2.203,00;1.364,00;2.009,38;3.481,00;1.815,00;6.427,00;2.295,89;205.833,00;205.539,00
dez/13;207.812,20;191.959,80;2.176.730,20;2.415,00;2.252,00;2.213,00;1.345,00;2.014,27;3.494,00;1.795,00;6.138,00;2.300,73;212.378,00;204.288,00
jan/14;211.148,60;194.213,70;2.198.653,60;2.436,00;2.251,00;2.202,00;1.348,00;2.007,97;3.531,00;1.815,00;6.092,00;2.300,54;214.100,00;203.449,00
fev/14;209.773,80;193.893,10;2.218.066,70;2.446,00;2.271,00;2.217,00;1.352,00;2.023,34;3.535,00;1.858,00;6.134,00;2.312,82;214.731,00;205.267,00
mar/14;204.471,80;189.610,30;2.236.299,30;2.362,00;2.297,00;2.236,00;1.355,00;2.039,70;3.567,00;1.882,00;6.186,00;2.334,21;208.080,00;207.217,00
abr/14;205.614,20;189.941,70;2.253.760,00;2.359,00;2.296,00;2.240,00;1.360,00;2.045,64;3.551,00;1.874,00;6.144,00;2.338,49;208.567,00;207.916,00
mai/14;207.468,10;191.119,60;2.269.658,30;2.345,00;2.295,00;2.247,00;1.381,00;2.056,18;3.569,00;1.852,00;6.103,00;2.352,06;207.799,00;208.401,00
jun/14;209.652,80;193.193,60;2.285.292,80;2.335,00;2.284,00;2.241,00;1.373,00;2.051,54;3.553,00;1.824,00;6.104,00;2.343,32;206.717,00;207.917,00
jul/14;212.477,70;197.507,70;2.305.984,50;2.348,00;2.280,00;2.239,00;1.355,00;2.046,24;3.567,00;1.805,00;6.144,00;2.344,43;207.826,00;207.370,00
ago/14;217.679,80;203.070,30;2.330.257,40;2.352,00;2.293,00;2.258,00;1.329,00;2.055,99;3.551,00;1.815,00;6.184,00;2.351,00;209.014,00;208.691,00
set/14;222.813,90;208.296,80;2.349.181,50;2.362,00;2.300,00;2.260,00;1.341,00;2.059,41;3.552,00;1.820,00;6.327,00;2.354,35;210.822,00;210.244,00
out/14;223.702,50;209.206,00;2.372.607,40;2.348,00;2.309,00;2.259,00;1.364,00;2.060,91;3.559,00;1.844,00;6.269,00;2.358,84;209.891,00;211.859,00
nov/14;226.538,50;210.746,40;2.396.488,10;2.368,00;2.295,00;2.237,00;1.379,00;2.046,21;3.563,00;1.838,00;6.109,00;2.347,40;211.937,00;210.893,00
dez/14;232.871,90;215.659,10;2.420.279,30;2.460,00;2.297,00;2.227,00;1.356,00;2.032,95;3.580,00;1.864,00;6.101,00;2.339,23;219.619,00;211.380,00
jan/15;232.822,00;214.427,30;2.433.248,20;2.458,00;2.303,00;2.229,00;1.369,00;2.038,71;3.614,00;1.853,00;6.160,00;2.347,56;218.461,00;211.285,00
fev/15;230.055,80;212.916,90;2.453.559,40;2.440,00;2.297,00;2.217,00;1.327,00;2.021,66;3.598,00;1.850,00;6.268,00;2.331,47;216.155,00;209.870,00
mar/15;223.445,90;207.339,70;2.473.467,40;2.348,00;2.298,00;2.239,00;1.359,00;2.047,62;3.540,00;1.829,00;6.139,00;2.342,16;208.415,00;209.244,00
abr/15;224.671,10;207.531,80;2.486.018,30;2.333,00;2.289,00;2.232,00;1.326,00;2.035,48;3.541,00;1.815,00;6.180,00;2.335,19;206.938,00;209.112,00
mai/15;227.967,50;209.934,10;2.510.002,90;2.341,00;2.279,00;2.251,00;1.328,00;2.049,42;3.518,00;1.785,00;6.093,00;2.341,34;207.801,00;208.013,00
jun/15;229.678,70;211.573,80;2.528.608,10;2.326,00;2.283,00;2.246,00;1.299,00;2.039,01;3.506,00;1.798,00;6.261,00;2.331,35;206.419,00;208.609,00
jul/15;230.390,80;214.161,90;2.535.981,00;2.310,00;2.267,00;2.240,00;1.294,00;2.032,48;3.473,00;1.779,00;6.190,00;2.321,01;204.998,00;207.055,00
ago/15;230.832,90;215.050,00;2.545.942,10;2.302,00;2.256,00;2.216,00;1.297,00;2.013,25;3.469,00;1.758,00;6.207,00;2.307,19;204.390,00;206.005,00
set/15;231.924,70;216.320,90;2.552.680,30;2.296,00;2.252,00;2.215,00;1.343,00;2.020,72;3.508,00;1.726,00;6.124,00;2.321,05;204.469,00;206.000,00
out/15;236.813,50;221.324,10;2.572.335,20;2.294,00;2.241,00;2.212,00;1.354,00;2.020,27;3.504,00;1.729,00;5.976,00;2.319,17;204.192,00;205.711,00
nov/15;248.038,20;232.446,50;2.611.042,20;2.371,00;2.229,00;2.198,00;1.372,00;2.014,94;3.516,00;1.721,00;5.903,00;2.315,03;211.446,00;204.108,00
dez/15;267.967,60;250.705,80;2.657.820,40;2.592,00;2.223,00;2.182,00;1.363,00;2.001,43;3.558,00;1.749,00;5.727,00;2.311,71;229.748,00;203.572,00
jan/16;266.427,10;248.213,60;2.673.694,00;2.589,00;2.231,00;2.193,00;1.367,00;2.013,56;3.573,00;1.763,00;5.750,00;2.324,15;228.359,00;202.802,00
fev/16;262.824,50;244.970,80;2.707.203,80;2.536,00;2.217,00;2.205,00;1.338,00;2.016,37;3.543,00;1.747,00;5.698,00;2.318,80;222.788,00;200.528,00
mar/16;245.327,10;228.844,00;2.722.333,30;2.298,00;2.231,00;2.226,00;1.292,00;2.021,68;3.561,00;1.760,00;5.880,00;2.326,87;202.048,00;201.309,00
abr/16;246.965,10;229.173,10;2.738.618,10;2.293,00;2.214,00;2.213,00;1.304,00;2.009,97;3.559,00;1.719,00;5.822,00;2.318,72;202.220,00;199.864,00
mai/16;246.122,10;227.503,00;2.759.910,70;2.270,00;2.222,00;2.198,00;1.346,00;2.005,73;3.570,00;1.733,00;5.892,00;2.319,64;200.103,00;201.260,00
jun/16;248.064,20;229.344,10;2.775.644,10;2.277,00;2.199,00;2.163,00;1.371,00;1.983,91;3.584,00;1.720,00;5.651,00;2.307,65;200.164,00;199.035,00
jul/16;250.862,00;234.103,60;2.798.443,20;2.298,00;2.202,00;2.164,00;1.372,00;1.983,54;3.589,00;1.715,00;5.619,00;2.307,07;201.265,00;198.737,00
ago/16;252.704,50;236.239,20;2.823.478,50;2.289,00;2.222,00;2.182,00;1.362,00;1.993,83;3.592,00;1.735,00;5.593,00;2.319,31;199.906,00;199.774,00
set/16;256.998,80;240.684,20;2.848.734,10;2.284,00;2.219,00;2.193,00;1.363,00;2.001,31;3.562,00;1.699,00;5.580,00;2.318,47;199.544,00;198.872,00
out/16;258.082,70;241.733,80;2.859.672,10;2.280,00;2.223,00;2.206,00;1.338,00;2.003,78;3.565,00;1.696,00;5.569,00;2.322,29;199.896,00;199.356,00
nov/16;268.005,50;250.312,20;2.877.075,80;2.368,00;2.225,00;2.205,00;1.329,00;1.999,79;3.607,00;1.687,00;5.569,00;2.327,46;207.698,00;200.321,00
dez/16;285.267,30;265.642,60;2.893.544,50;2.587,00;2.232,00;2.204,00;1.311,00;1.993,45;3.637,00;1.689,00;5.801,00;2.324,82;225.773,00;201.418,00
jan/17;287.101,40;266.298,30;2.913.926,50;2.609,00;2.242,00;2.201,00;1.337,00;1.998,27;3.692,00;1.703,00;5.785,00;2.334,82;226.275,00;201.113,00
fev/17;280.272,20;260.994,60;2.925.147,20;2.554,00;2.249,00;2.215,00;1.355,00;2.014,96;3.721,00;1.705,00;5.746,00;2.351,93;220.512,00;200.434,00
mar/17;261.722,40;244.045,70;2.939.149,60;2.335,00;2.260,00;2.230,00;1.358,00;2.026,69;3.708,00;1.723,00;5.731,00;2.362,07;202.329,00;200.686,00
abr/17;262.315,10;242.843,50;2.954.937,40;2.318,00;2.246,00;2.229,00;1.323,00;2.015,97;3.642,00;1.713,00;5.759,00;2.343,93;201.843,00;200.497,00
mai/17;263.583,70;243.133,60;2.972.038,80;2.301,00;2.239,00;2.229,00;1.320,00;2.011,76;3.635,00;1.715,00;5.649,00;2.341,66;201.681,00;201.279,00
jun/17;265.733,20;244.972,40;2.986.034,60;2.310,00;2.235,00;2.232,00;1.331,00;2.014,70;3.628,00;1.699,00;5.552,00;2.344,34;203.301,00;201.768,00
jul/17;267.533,20;249.152,70;3.000.084,70;2.317,00;2.235,00;2.228,00;1.322,00;2.007,91;3.597,00;1.704,00;5.620,00;2.335,02;204.769,00;202.713,00
ago/17;269.310,50;251.236,90;3.017.031,90;2.327,00;2.233,00;2.236,00;1.332,00;2.016,28;3.589,00;1.692,00;5.647,00;2.340,00;206.248,00;203.293,00
set/17;274.167,60;256.086,60;3.032.241,90;2.325,00;2.242,00;2.245,00;1.357,00;2.026,29;3.594,00;1.695,00;5.695,00;2.349,41;206.694,00;204.850,00
out/17;276.182,50;258.059,00;3.049.060,20;2.324,00;2.247,00;2.253,00;1.350,00;2.029,55;3.604,00;1.693,00;5.716,00;2.354,37;207.504,00;206.134,00
nov/17;285.309,40;266.134,10;3.064.497,50;2.401,00;2.254,00;2.272,00;1.329,00;2.035,20;3.633,00;1.700,00;5.642,00;2.364,90;214.835,00;207.790,00
dez/17;303.678,20;282.996,00;3.084.302,10;2.621,00;2.251,00;2.274,00;1.288,00;2.027,88;3.631,00;1.710,00;5.658,00;2.356,58;233.453,00;208.181,00
jan/18;304.078,90;282.482,40;3.097.612,40;2.645,00;2.262,00;2.272,00;1.309,00;2.033,57;3.689,00;1.724,00;5.664,00;2.369,88;234.045,00;208.011,00
fev/18;294.659,90;274.432,20;3.104.810,40;2.571,00;2.270,00;2.265,00;1.310,00;2.031,36;3.736,00;1.729,00;5.703,00;2.377,53;226.211,00;207.598,00
mar/18;275.425,20;256.677,20;3.122.196,70;2.368,00;2.276,00;2.244,00;1.333,00;2.020,78;3.763,00;1.725,00;5.781,00;2.376,84;208.800,00;206.419,00
abr/18;275.087,00;254.348,40;3.132.127,20;2.359,00;2.281,00;2.256,00;1.360,00;2.032,56;3.747,00;1.714,00;5.812,00;2.386,70;208.505,00;207.655,00
mai/18;275.407,50;254.336,80;3.138.420,10;2.357,00;2.284,00;2.250,00;1.372,00;2.028,82;3.747,00;1.714,00;5.874,00;2.385,21;209.086,00;208.138,00
jun/18;276.261,80;254.133,80;3.149.680,80;2.357,00;2.277,00;2.248,00;1.407,00;2.037,55;3.714,00;1.724,00;5.694,00;2.388,38;210.097,00;208.738,00
jul/18;280.087,70;260.591,50;3.166.443,60;2.371,00;2.271,00;2.243,00;1.391,00;2.029,01;3.715,00;1.722,00;5.669,00;2.381,33;212.289,00;209.037,00
ago/18;282.935,80;263.131,00;3.174.102,40;2.360,00;2.281,00;2.245,00;1.405,00;2.032,60;3.692,00;1.719,00;5.910,00;2.380,34;212.493,00;210.846,00
set/18;287.602,30;268.730,80;3.187.613,30;2.352,00;2.275,00;2.252,00;1.403,00;2.032,81;3.706,00;1.692,00;5.918,00;2.381,77;212.417,00;211.211,00
out/18;288.465,90;269.324,00;3.200.238,60;2.345,00;2.274,00;2.244,00;1.413,00;2.027,59;3.712,00;1.691,00;5.906,00;2.377,97;212.572,00;211.973,00
nov/18;298.120,20;277.907,70;3.209.423,20;2.437,00;2.275,00;2.239,00;1.422,00;2.025,59;3.727,00;1.717,00;5.792,00;2.380,25;220.607,00;213.004,00
dez/18;316.300,00;294.023,60;3.220.696,20;2.674,00;2.287,00;2.232,00;1.440,00;2.027,22;3.767,00;1.753,00;5.727,00;2.387,31;240.875,00;213.898,00
jan/19;315.177,10;291.921,30;3.228.555,30;2.695,00;2.301,00;2.236,00;1.436,00;2.031,94;3.845,00;1.760,00;5.747,00;2.405,80;241.635,00;214.143,00
fev/19;306.667,50;284.671,90;3.240.142,10;2.611,00;2.310,00;2.235,00;1.429,00;2.032,37;3.856,00;1.760,00;5.883,00;2.404,10;234.029,00;213.912,00
mar/19;288.937,00;268.642,00;3.256.590,50;2.379,00;2.302,00;2.249,00;1.403,00;2.035,32;3.848,00;1.735,00;5.881,00;2.407,06;214.382,00;213.077,00
abr/19;291.551,40;269.407,70;3.273.733,10;2.351,00;2.291,00;2.242,00;1.409,00;2.031,33;3.810,00;1.721,00;5.942,00;2.396,59;213.154,00;213.260,00
mai/19;293.214,20;270.128,00;3.287.515,70;2.351,00;2.273,00;2.229,00;1.411,00;2.020,24;3.759,00;1.712,00;5.874,00;2.377,69;214.021,00;212.998,00
jun/19;291.610,10;268.014,90;3.298.233,80;2.353,00;2.270,00;2.221,00;1.435,00;2.018,84;3.750,00;1.704,00;5.933,00;2.376,93;214.683,00;213.661,00
jul/19;296.447,60;275.586,90;3.318.719,30;2.373,00;2.263,00;2.221,00;1.462,00;2.023,51;3.734,00;1.707,00;5.803,00;2.378,03;216.748,00;213.629,00
ago/19;298.606,10;278.013,40;3.332.162,80;2.362,00;2.272,00;2.234,00;1.466,00;2.031,97;3.757,00;1.706,00;5.850,00;2.388,25;216.279,00;214.711,00
set/19;306.757,50;286.470,90;3.351.454,30;2.370,00;2.272,00;2.231,00;1.438,00;2.021,98;3.740,00;1.713,00;5.982,00;2.376,63;217.645,00;215.071,00
out/19;307.024,30;286.414,20;3.369.989,90;2.376,00;2.288,00;2.231,00;1.421,00;2.017,94;3.774,00;1.729,00;6.125,00;2.379,32;219.135,00;217.383,00
nov/19;316.233,20;294.418,70;3.381.695,80;2.463,00;2.297,00;2.239,00;1.457,00;2.034,79;3.790,00;1.728,00;6.130,00;2.395,15;227.651,00;219.298,00
