Data;1456 - Índice de volume de vendas no varejo - Total - Rondônia - Índice;14023 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas físicas - R$ (milhões);14050 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas jurídicas - R$ (milhões);14077 - Saldo das operações de crédito do Sistema Financeiro Nacional - Rondônia - Total - R$ (milhões);15882 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas físicas - %;15914 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Pessoas jurídicas - %;15946 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Rondônia - Total - %;24007 - PMS - Índice de volume de serviços - Total - Rondônia - Índice
03/2006;36,90 ;1.374 ;686 ;2.060 ;5,64 ;3,97 ;5,00 ;-
04/2006;38,10 ;1.409 ;692 ;2.101 ;5,74 ;4,08 ;5,11 ;-
05/2006;42,50 ;1.439 ;693 ;2.132 ;5,76 ;4,40 ;5,25 ;-
06/2006;39,60 ;1.485 ;701 ;2.186 ;5,63 ;4,64 ;5,26 ;-
07/2006;43,70 ;1.518 ;711 ;2.229 ;5,91 ;4,16 ;5,26 ;-
08/2006;45,80 ;1.558 ;720 ;2.278 ;6,09 ;4,47 ;5,50 ;-
09/2006;43,80 ;1.600 ;744 ;2.343 ;6,06 ;4,32 ;5,42 ;-
10/2006;42,80 ;1.632 ;754 ;2.386 ;6,04 ;4,51 ;5,48 ;-
11/2006;43,20 ;1.680 ;774 ;2.454 ;5,05 ;4,48 ;4,84 ;-
12/2006;60,70 ;1.735 ;778 ;2.513 ;4,30 ;4,30 ;4,30 ;-
01/2007;36,90 ;1.784 ;782 ;2.566 ;4,15 ;4,83 ;4,40 ;-
02/2007;34,60 ;1.826 ;783 ;2.608 ;4,18 ;4,28 ;4,22 ;-
03/2007;42,90 ;1.874 ;774 ;2.649 ;4,20 ;3,74 ;4,04 ;-
04/2007;40,50 ;1.902 ;824 ;2.726 ;4,17 ;3,84 ;4,06 ;-
05/2007;48,90 ;1.958 ;822 ;2.779 ;4,20 ;3,44 ;3,94 ;-
06/2007;44,20 ;2.017 ;849 ;2.865 ;3,87 ;3,33 ;3,68 ;-
07/2007;42,40 ;2.082 ;852 ;2.934 ;3,83 ;3,14 ;3,60 ;-
08/2007;43,50 ;2.137 ;892 ;3.029 ;3,74 ;3,07 ;3,51 ;-
09/2007;40,00 ;2.212 ;924 ;3.136 ;3,79 ;2,54 ;3,36 ;-
10/2007;43,70 ;2.288 ;1.018 ;3.305 ;3,65 ;2,43 ;3,21 ;-
11/2007;44,70 ;2.345 ;1.071 ;3.416 ;3,77 ;2,37 ;3,26 ;-
12/2007;65,50 ;2.432 ;1.110 ;3.542 ;3,53 ;2,31 ;3,08 ;-
01/2008;39,30 ;2.493 ;1.113 ;3.606 ;3,59 ;2,42 ;3,17 ;-
02/2008;40,00 ;2.558 ;1.148 ;3.706 ;3,70 ;2,51 ;3,27 ;-
03/2008;45,60 ;2.620 ;1.190 ;3.810 ;3,61 ;2,43 ;3,18 ;-
04/2008;43,30 ;2.690 ;1.216 ;3.906 ;3,84 ;2,50 ;3,35 ;-
05/2008;53,10 ;2.775 ;1.285 ;4.059 ;4,22 ;2,31 ;3,52 ;-
06/2008;46,30 ;2.860 ;1.339 ;4.199 ;4,02 ;2,02 ;3,28 ;-
07/2008;50,40 ;2.940 ;1.369 ;4.309 ;4,13 ;1,94 ;3,33 ;-
08/2008;53,50 ;3.018 ;1.422 ;4.440 ;4,26 ;2,10 ;3,46 ;-
09/2008;50,50 ;3.081 ;1.525 ;4.606 ;4,18 ;2,02 ;3,35 ;-
10/2008;51,90 ;3.167 ;1.589 ;4.755 ;4,42 ;1,95 ;3,45 ;-
11/2008;51,70 ;3.211 ;1.622 ;4.832 ;4,57 ;1,97 ;3,55 ;-
12/2008;73,30 ;3.259 ;1.613 ;4.872 ;4,80 ;2,27 ;3,82 ;-
01/2009;48,70 ;3.316 ;1.611 ;4.927 ;5,52 ;2,53 ;4,37 ;-
02/2009;44,50 ;3.340 ;1.597 ;4.937 ;5,83 ;5,32 ;5,64 ;-
03/2009;51,50 ;3.335 ;1.601 ;4.937 ;5,91 ;5,52 ;5,76 ;-
04/2009;48,40 ;3.372 ;1.864 ;5.236 ;6,14 ;4,94 ;5,65 ;-
05/2009;52,70 ;3.427 ;2.050 ;5.477 ;6,24 ;5,58 ;5,96 ;-
06/2009;49,20 ;3.487 ;2.020 ;5.507 ;6,23 ;5,15 ;5,78 ;-
07/2009;55,00 ;3.560 ;2.015 ;5.575 ;6,33 ;5,50 ;5,98 ;-
08/2009;55,20 ;3.617 ;1.944 ;5.561 ;6,58 ;5,89 ;6,30 ;-
09/2009;55,70 ;3.674 ;1.972 ;5.646 ;6,57 ;6,06 ;6,37 ;-
10/2009;58,10 ;3.760 ;2.038 ;5.798 ;6,51 ;6,04 ;6,32 ;-
11/2009;58,80 ;3.848 ;2.086 ;5.933 ;6,36 ;6,01 ;6,22 ;-
12/2009;86,20 ;3.927 ;2.168 ;6.095 ;6,19 ;5,71 ;5,99 ;-
01/2010;54,10 ;4.000 ;2.170 ;6.170 ;6,19 ;5,79 ;6,03 ;-
02/2010;59,10 ;4.016 ;2.134 ;6.150 ;6,20 ;6,11 ;6,16 ;-
03/2010;67,80 ;4.024 ;2.185 ;6.209 ;6,13 ;5,82 ;6,00 ;-
04/2010;65,80 ;4.123 ;2.339 ;6.462 ;6,03 ;5,30 ;5,73 ;-
05/2010;74,80 ;4.175 ;2.415 ;6.590 ;5,90 ;5,30 ;5,64 ;-
06/2010;67,00 ;4.237 ;2.497 ;6.734 ;5,43 ;4,87 ;5,19 ;-
07/2010;71,10 ;4.304 ;2.514 ;6.818 ;5,26 ;4,76 ;5,05 ;-
08/2010;71,10 ;4.379 ;2.514 ;6.892 ;5,07 ;4,58 ;4,87 ;-
09/2010;72,10 ;4.502 ;2.586 ;7.088 ;4,78 ;4,52 ;4,67 ;-
10/2010;74,80 ;4.590 ;2.652 ;7.242 ;4,80 ;4,37 ;4,62 ;-
11/2010;75,30 ;4.700 ;2.712 ;7.412 ;4,49 ;4,13 ;4,34 ;-
12/2010;106,20 ;4.833 ;2.767 ;7.599 ;4,17 ;4,07 ;4,13 ;-
01/2011;68,10 ;4.951 ;2.820 ;7.771 ;4,29 ;4,01 ;4,17 ;83,30
02/2011;66,70 ;5.010 ;2.757 ;7.767 ;3,80 ;4,13 ;3,94 ;83,90
03/2011;72,10 ;5.103 ;2.804 ;7.907 ;3,90 ;4,17 ;4,01 ;92,30
04/2011;73,40 ;5.184 ;2.779 ;7.963 ;3,96 ;2,90 ;3,53 ;90,00
05/2011;80,90 ;5.271 ;2.838 ;8.110 ;4,01 ;3,05 ;3,63 ;94,50
06/2011;73,80 ;5.389 ;2.949 ;8.338 ;3,96 ;3,02 ;3,58 ;91,00
07/2011;83,90 ;5.492 ;2.981 ;8.473 ;4,03 ;3,09 ;3,65 ;92,40
08/2011;80,90 ;5.560 ;3.035 ;8.595 ;4,03 ;3,04 ;3,63 ;91,30
09/2011;77,50 ;5.659 ;3.158 ;8.817 ;4,03 ;3,01 ;3,61 ;87,40
10/2011;77,50 ;5.740 ;3.206 ;8.946 ;4,26 ;3,06 ;3,77 ;87,20
11/2011;79,70 ;5.822 ;3.253 ;9.075 ;4,87 ;3,16 ;4,17 ;92,60
12/2011;115,80 ;5.934 ;3.280 ;9.214 ;4,95 ;3,87 ;4,51 ;102,90
01/2012;72,10 ;6.091 ;3.358 ;9.449 ;4,51 ;4,84 ;4,64 ;91,90
02/2012;69,50 ;6.141 ;3.317 ;9.458 ;4,80 ;5,16 ;4,93 ;91,20
03/2012;76,80 ;6.229 ;3.302 ;9.531 ;4,83 ;4,52 ;4,72 ;101,30
04/2012;75,60 ;6.245 ;3.323 ;9.568 ;5,08 ;6,39 ;5,54 ;96,30
05/2012;83,60 ;6.354 ;3.324 ;9.678 ;5,05 ;6,74 ;5,63 ;97,20
06/2012;80,90 ;6.461 ;3.361 ;9.821 ;4,94 ;6,57 ;5,50 ;94,40
07/2012;86,20 ;6.551 ;3.371 ;9.922 ;4,82 ;4,57 ;4,73 ;92,50
08/2012;87,50 ;6.672 ;3.403 ;10.075 ;4,75 ;4,39 ;4,63 ;91,50
09/2012;84,00 ;6.738 ;3.436 ;10.175 ;4,85 ;3,62 ;4,44 ;87,60
10/2012;86,30 ;6.857 ;3.408 ;10.264 ;4,75 ;3,93 ;4,48 ;94,60
11/2012;83,00 ;6.903 ;3.476 ;10.379 ;4,66 ;3,92 ;4,41 ;109,30
12/2012;119,00 ;7.099 ;3.489 ;10.588 ;4,64 ;4,07 ;4,45 ;103,50
01/2013;78,50 ;7.165 ;3.446 ;10.611 ;4,48 ;4,12 ;4,36 ;99,80
02/2013;74,40 ;7.226 ;3.447 ;10.673 ;4,53 ;4,09 ;4,39 ;90,90
03/2013;84,40 ;7.343 ;3.520 ;10.864 ;4,84 ;4,08 ;4,59 ;99,00
04/2013;82,20 ;7.446 ;3.565 ;11.011 ;4,70 ;4,46 ;4,62 ;97,30
05/2013;93,70 ;7.594 ;3.912 ;11.506 ;4,70 ;4,42 ;4,60 ;100,50
06/2013;86,50 ;7.708 ;4.026 ;11.735 ;4,39 ;4,18 ;4,32 ;100,00
07/2013;95,60 ;7.806 ;4.012 ;11.818 ;4,34 ;3,99 ;4,22 ;101,20
08/2013;94,10 ;7.915 ;4.035 ;11.949 ;4,41 ;3,80 ;4,21 ;94,60
09/2013;86,60 ;8.035 ;4.093 ;12.129 ;4,36 ;3,73 ;4,14 ;90,90
10/2013;90,40 ;8.138 ;4.157 ;12.295 ;4,33 ;3,55 ;4,07 ;97,90
11/2013;97,00 ;8.273 ;4.204 ;12.477 ;4,29 ;3,90 ;4,16 ;109,70
12/2013;134,60 ;8.424 ;4.289 ;12.713 ;3,95 ;3,68 ;3,86 ;109,30
01/2014;86,60 ;8.546 ;4.233 ;12.779 ;3,85 ;3,47 ;3,72 ;104,10
02/2014;80,90 ;8.625 ;4.287 ;12.912 ;3,71 ;3,29 ;3,57 ;99,40
03/2014;85,80 ;8.707 ;4.339 ;13.046 ;3,66 ;3,42 ;3,58 ;96,10
04/2014;91,20 ;8.834 ;4.351 ;13.185 ;3,72 ;3,50 ;3,64 ;98,50
05/2014;106,90 ;8.994 ;4.371 ;13.366 ;3,70 ;3,37 ;3,59 ;102,30
06/2014;95,10 ;9.192 ;4.465 ;13.657 ;3,53 ;3,10 ;3,39 ;97,40
07/2014;100,10 ;9.331 ;4.466 ;13.797 ;3,34 ;3,03 ;3,24 ;95,80
08/2014;103,70 ;9.475 ;4.517 ;13.992 ;3,34 ;3,12 ;3,27 ;99,80
09/2014;98,00 ;9.597 ;4.554 ;14.151 ;3,20 ;2,86 ;3,09 ;93,60
10/2014;103,50 ;9.776 ;4.531 ;14.307 ;3,18 ;2,77 ;3,05 ;101,40
11/2014;106,00 ;9.957 ;4.677 ;14.634 ;3,09 ;2,42 ;2,88 ;103,60
12/2014;142,10 ;10.143 ;4.723 ;14.866 ;2,90 ;2,14 ;2,66 ;108,00
01/2015;93,80 ;10.254 ;4.676 ;14.931 ;2,94 ;2,31 ;2,74 ;101,40
02/2015;83,90 ;10.319 ;4.640 ;14.959 ;2,94 ;2,62 ;2,84 ;93,10
03/2015;91,40 ;10.325 ;4.572 ;14.897 ;2,87 ;2,88 ;2,87 ;102,30
04/2015;90,40 ;10.511 ;4.522 ;15.033 ;2,88 ;3,03 ;2,93 ;101,90
05/2015;98,10 ;10.588 ;4.523 ;15.111 ;2,98 ;3,37 ;3,10 ;110,70
06/2015;89,30 ;10.673 ;4.524 ;15.197 ;2,87 ;3,45 ;3,04 ;106,80
07/2015;96,20 ;10.772 ;4.475 ;15.247 ;2,86 ;3,52 ;3,06 ;116,20
08/2015;91,20 ;10.886 ;4.458 ;15.344 ;2,85 ;3,84 ;3,14 ;109,40
09/2015;86,10 ;10.979 ;4.457 ;15.437 ;2,89 ;3,71 ;3,13 ;99,70
10/2015;92,10 ;11.096 ;4.451 ;15.547 ;2,97 ;3,79 ;3,21 ;102,40
11/2015;93,10 ;11.232 ;4.437 ;15.669 ;3,11 ;3,53 ;3,23 ;107,90
12/2015;122,70 ;11.355 ;4.443 ;15.798 ;3,08 ;3,78 ;3,28 ;111,20
01/2016;83,70 ;11.431 ;4.349 ;15.779 ;3,08 ;4,06 ;3,35 ;102,90
02/2016;79,80 ;11.464 ;4.327 ;15.791 ;3,13 ;4,54 ;3,51 ;108,50
03/2016;81,50 ;11.544 ;4.187 ;15.731 ;3,08 ;4,53 ;3,47 ;109,30
04/2016;76,90 ;11.580 ;4.163 ;15.743 ;3,16 ;4,75 ;3,58 ;109,30
05/2016;81,90 ;11.651 ;4.071 ;15.721 ;3,14 ;5,16 ;3,66 ;109,90
06/2016;79,30 ;11.765 ;4.174 ;15.938 ;2,89 ;4,44 ;3,29 ;99,60
07/2016;83,60 ;11.823 ;4.087 ;15.911 ;2,75 ;4,93 ;3,31 ;100,00
08/2016;79,80 ;11.936 ;4.046 ;15.982 ;2,74 ;5,59 ;3,46 ;86,20
09/2016;72,90 ;12.016 ;4.047 ;16.063 ;2,76 ;5,56 ;3,47 ;84,60
10/2016;77,90 ;12.060 ;4.009 ;16.069 ;2,81 ;6,22 ;3,67 ;82,30
11/2016;84,60 ;12.169 ;3.975 ;16.143 ;2,76 ;6,54 ;3,69 ;84,10
12/2016;107,90 ;12.278 ;3.950 ;16.229 ;2,67 ;6,15 ;3,52 ;89,40
01/2017;77,40 ;12.373 ;3.857 ;16.229 ;2,74 ;6,22 ;3,57 ;78,50
02/2017;71,20 ;12.443 ;3.831 ;16.274 ;2,78 ;7,34 ;3,85 ;89,00
03/2017;81,80 ;12.520 ;3.743 ;16.262 ;2,74 ;7,67 ;3,88 ;98,00
04/2017;77,60 ;12.579 ;3.715 ;16.294 ;2,75 ;7,56 ;3,84 ;91,20
05/2017;88,00 ;12.686 ;3.663 ;16.349 ;2,76 ;7,38 ;3,80 ;87,50
06/2017;81,60 ;12.784 ;3.683 ;16.467 ;2,52 ;6,65 ;3,44 ;85,50
07/2017;87,70 ;12.925 ;3.590 ;16.515 ;2,52 ;5,54 ;3,18 ;92,80
08/2017;90,90 ;13.115 ;3.599 ;16.714 ;2,48 ;5,15 ;3,05 ;84,90
09/2017;85,10 ;13.245 ;3.588 ;16.833 ;2,46 ;5,29 ;3,06 ;75,20
10/2017;88,80 ;13.391 ;3.571 ;16.962 ;2,40 ;4,99 ;2,95 ;75,90
11/2017;94,60 ;13.562 ;3.581 ;17.142 ;2,34 ;4,61 ;2,81 ;86,30
12/2017;121,10 ;13.691 ;3.617 ;17.308 ;2,24 ;3,90 ;2,58 ;92,10
01/2018;83,00 ;13.752 ;3.555 ;17.306 ;2,33 ;3,98 ;2,67 ;76,30
02/2018;77,40 ;13.813 ;3.511 ;17.325 ;2,34 ;3,52 ;2,58 ;87,00
03/2018;89,60 ;13.944 ;3.561 ;17.505 ;2,32 ;3,48 ;2,56 ;98,90
04/2018;83,80 ;14.082 ;3.584 ;17.666 ;2,28 ;3,52 ;2,53 ;92,20
05/2018;91,70 ;14.205 ;3.564 ;17.769 ;2,26 ;3,62 ;2,53 ;84,50
06/2018;87,40 ;14.357 ;3.632 ;17.989 ;2,22 ;3,37 ;2,45 ;91,10
07/2018;87,80 ;14.504 ;3.616 ;18.120 ;2,24 ;3,08 ;2,41 ;86,30
08/2018;91,80 ;14.788 ;3.650 ;18.438 ;2,23 ;2,74 ;2,33 ;80,30
09/2018;92,00 ;14.955 ;3.710 ;18.664 ;2,29 ;2,95 ;2,42 ;77,50
10/2018;93,70 ;15.176 ;3.732 ;18.908 ;2,27 ;3,01 ;2,41 ;74,00
11/2018;108,50 ;15.436 ;3.829 ;19.265 ;2,24 ;2,80 ;2,35 ;82,20
12/2018;124,70 ;15.637 ;3.973 ;19.610 ;2,17 ;2,54 ;2,25 ;92,10
01/2019;86,30 ;15.817 ;3.937 ;19.754 ;2,22 ;2,84 ;2,34 ;76,80
02/2019;80,80 ;16.370 ;3.946 ;20.315 ;2,14 ;2,39 ;2,19 ;81,80
03/2019;87,40 ;16.566 ;3.949 ;20.514 ;2,20 ;2,46 ;2,25 ;85,40
04/2019;84,20 ;16.766 ;3.953 ;20.719 ;2,20 ;2,64 ;2,28 ;82,90
05/2019;91,40 ;16.975 ;3.996 ;20.971 ;2,29 ;3,33 ;2,49 ;81,90
06/2019;84,10 ;17.149 ;4.078 ;21.227 ;2,21 ;3,33 ;2,43 ;82,50
07/2019;91,90 ;17.288 ;4.091 ;21.378 ;2,25 ;3,71 ;2,53 ;82,30
08/2019;87,80 ;17.604 ;4.113 ;21.717 ;2,28 ;3,24 ;2,46 ;75,70
09/2019;88,60 ;17.866 ;4.191 ;22.057 ;2,35 ;3,73 ;2,61 ;69,30
10/2019;91,30 ;18.129 ;4.243 ;22.373 ;2,38 ;3,81 ;2,65 ;79,20
11/2019;111,90 ;18.382 ;4.286 ;22.668 ;2,38 ;3,59 ;2,61 ;82,30
12/2019;116,20 ;18.696 ;4.348 ;23.044 ;2,35 ;3,37 ;2,54 ;82,40
01/2020;86,00 ;18.929 ;4.284 ;23.212 ;2,40 ;3,15 ;2,54 ;72,80
02/2020;82,70 ;19.110 ;4.286 ;23.397 ;2,47 ;3,38 ;2,64 ;85,20
03/2020;64,50 ;19.266 ;4.326 ;23.592 ;2,62 ;3,62 ;2,81 ;92,50
04/2020;49,30 ;19.256 ;4.309 ;23.565 ;2,82 ;3,92 ;3,02 ;85,40
05/2020;74,30 ;19.386 ;4.279 ;23.665 ;2,84 ;3,37 ;2,94 ;-
Fonte;IBGE;BCB;BCB;BCB;BCB;BCB;BCB;IBGE
