Data;7486 - Cesta básica - Goiânia - u.m.c.;13255 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - Goiânia - %;13258 - Índice Nacional de Preços ao Consumidor - variação mensal - Goiânia - %;20114 - Índice de volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos - Goiás - Índice;20120 - Índice de volume de vendas no varejo - Equipamentos e materiais para escritório, informática e comunicação - Goiás - Índice;20123 - Índice de volume de vendas no varejo - Outros artigos de uso pessoal e doméstico - Goiás - Índice;20126 - Índice de volume de vendas no varejo - Material de construção - Goiás - Índice;21941 - Produção Industrial (2012=100) - Geral - Com ajuste sazonal - Goiás - Índice;25384 - Índice de Atividade Econômica Regional - Goiás - com ajuste sazonal - Índice;28041 - PMS - Índice de volume de serviços - Total - Goiás - com ajuste sazonal - Índice;1481 - Índice de volume de vendas no varejo - Total - Goiás - Índice;1494 - Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Goiás - Índice;1507 - Índice de volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Goiás - Índice;1533 - Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Goiás - Índice;1559 - Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Goiás - Índice;1572 - Índice de volume de vendas no varejo - Hipermercados e supermercados - Goiás - Índice
12/2002;137,51 ;1,58 ;1,99 ;-;-;-;-;66,7 ;-;-;55,50 ;89,20 ;64,80 ;39,70 ;26,30 ;64,70
01/2003;141,61 ;1,85 ;1,67 ;-;-;-;-;68,8 ;100,14 ;-;41,80 ;82,60 ;48,90 ;26,20 ;27,40 ;49,70
02/2003;143,78 ;1,83 ;0,98 ;-;-;-;-;68,4 ;105,66 ;-;39,60 ;82,30 ;49,70 ;22,90 ;28,60 ;49,20
03/2003;153,60 ;1,29 ;1,87 ;-;-;-;-;69,1 ;112,14 ;-;40,50 ;88,30 ;51,40 ;23,20 ;26,80 ;51,40
04/2003;151,08 ;0,98 ;1,62 ;-;-;-;-;69,5 ;107,78 ;-;41,80 ;84,90 ;55,50 ;22,20 ;27,30 ;55,90
05/2003;148,23 ;0,84 ;1,12 ;-;-;-;-;65,8 ;98,29 ;-;42,20 ;78,40 ;51,40 ;27,50 ;27,60 ;54,50
06/2003;140,79 ;-0,15 ;0,03 ;-;-;-;-;68,9 ;102,08 ;-;40,30 ;81,30 ;47,30 ;24,40 ;26,10 ;50,70
07/2003;138,03 ;0,37 ;0,42 ;-;-;-;-;63,8 ;102,24 ;-;46,90 ;87,40 ;58,70 ;27,90 ;30,00 ;54,00
08/2003;135,11 ;0,43 ;0,33 ;-;-;-;-;68,7 ;101,92 ;-;48,20 ;96,10 ;61,50 ;30,10 ;28,40 ;58,60
09/2003;134,80 ;0,84 ;0,67 ;-;-;-;-;68,7 ;101,71 ;-;43,70 ;89,60 ;52,90 ;30,20 ;31,60 ;53,90
10/2003;135,50 ;0,83 ;1,14 ;-;-;-;-;69,4 ;100,71 ;-;48,20 ;95,30 ;61,50 ;31,60 ;32,50 ;57,70
11/2003;137,37 ;0,47 ;0,60 ;-;-;-;-;66,8 ;100,02 ;-;47,50 ;86,30 ;62,20 ;31,10 ;29,30 ;57,90
12/2003;138,03 ;0,44 ;0,52 ;-;-;-;-;63,8 ;99,68 ;-;60,70 ;91,60 ;71,50 ;48,70 ;32,40 ;68,20
01/2004;146,67 ;0,53 ;0,62 ;19,50 ;75,60 ;29,30 ;52,00 ;72,4 ;107,70 ;-;44,40 ;78,10 ;54,90 ;32,40 ;31,80 ;53,80
02/2004;147,87 ;0,91 ;0,41 ;19,90 ;32,10 ;25,90 ;50,80 ;69,9 ;109,59 ;-;40,70 ;74,70 ;53,40 ;26,10 ;28,80 ;52,50
03/2004;147,32 ;0,23 ;0,41 ;23,50 ;46,60 ;30,90 ;59,70 ;68,7 ;114,23 ;-;45,40 ;89,10 ;56,00 ;30,20 ;35,10 ;54,90
04/2004;145,39 ;0,45 ;0,74 ;21,20 ;50,70 ;35,30 ;57,10 ;67,9 ;112,83 ;-;45,40 ;81,10 ;59,30 ;29,40 ;32,40 ;58,10
05/2004;143,46 ;0,64 ;0,49 ;23,20 ;32,60 ;34,70 ;57,20 ;73,1 ;110,37 ;-;47,70 ;82,50 ;59,10 ;33,10 ;33,30 ;57,80
06/2004;148,45 ;0,54 ;0,51 ;22,60 ;43,10 ;35,00 ;60,50 ;71,4 ;112,31 ;-;46,10 ;82,30 ;55,80 ;31,90 ;35,30 ;54,60
07/2004;147,12 ;0,54 ;0,22 ;24,00 ;34,30 ;40,20 ;65,40 ;71,3 ;111,48 ;-;49,00 ;89,60 ;59,70 ;33,00 ;38,10 ;58,50
08/2004;150,58 ;1,01 ;0,75 ;23,40 ;65,10 ;21,20 ;65,80 ;72,5 ;112,22 ;-;46,50 ;82,20 ;58,00 ;33,40 ;36,80 ;58,20
09/2004;148,70 ;0,77 ;1,02 ;22,60 ;29,80 ;19,60 ;63,00 ;76,3 ;113,56 ;-;45,00 ;82,70 ;57,30 ;31,10 ;37,50 ;56,20
10/2004;147,23 ;1,08 ;1,25 ;22,00 ;58,10 ;24,50 ;60,30 ;75,2 ;112,48 ;-;48,40 ;87,50 ;62,50 ;33,40 ;36,80 ;59,20
11/2004;147,39 ;0,79 ;0,48 ;22,10 ;26,40 ;21,80 ;61,50 ;76,7 ;112,47 ;-;47,70 ;84,00 ;59,50 ;35,30 ;37,90 ;56,10
12/2004;148,89 ;1,10 ;0,85 ;25,20 ;36,00 ;45,40 ;59,90 ;75,8 ;112,22 ;-;64,60 ;80,00 ;74,00 ;55,50 ;40,20 ;72,70
01/2005;151,78 ;0,54 ;0,48 ;19,40 ;22,10 ;21,90 ;58,40 ;75,0 ;113,20 ;-;45,70 ;66,80 ;59,50 ;35,60 ;37,20 ;58,40
02/2005;153,51 ;0,44 ;0,31 ;21,70 ;50,10 ;22,50 ;58,00 ;74,5 ;118,15 ;-;46,10 ;88,20 ;61,40 ;29,00 ;34,30 ;59,60
03/2005;156,48 ;0,39 ;0,51 ;25,40 ;42,00 ;32,80 ;63,70 ;77,8 ;125,22 ;-;52,60 ;97,30 ;68,40 ;34,50 ;38,70 ;66,30
04/2005;158,27 ;1,40 ;1,28 ;24,80 ;43,00 ;26,80 ;66,90 ;78,3 ;123,71 ;-;50,80 ;93,20 ;64,40 ;34,90 ;36,40 ;62,60
05/2005;158,94 ;-0,52 ;-0,11 ;25,50 ;47,40 ;29,40 ;66,20 ;75,3 ;114,01 ;-;55,80 ;99,60 ;69,20 ;40,70 ;37,50 ;67,40
06/2005;157,43 ;0,35 ;0,28 ;26,00 ;72,20 ;30,50 ;67,90 ;76,7 ;116,16 ;-;54,20 ;98,10 ;67,90 ;37,60 ;38,00 ;66,10
07/2005;152,68 ;0,91 ;0,54 ;28,60 ;82,60 ;32,80 ;68,70 ;77,7 ;116,66 ;-;58,10 ;103,90 ;72,90 ;40,40 ;34,60 ;71,00
08/2005;147,69 ;0,08 ;-0,11 ;30,30 ;46,20 ;31,10 ;71,30 ;75,9 ;115,65 ;-;56,70 ;99,30 ;71,10 ;39,60 ;39,80 ;69,40
09/2005;141,81 ;-0,06 ;-0,01 ;29,80 ;60,30 ;28,80 ;69,80 ;75,1 ;115,46 ;-;54,70 ;100,50 ;71,20 ;36,00 ;34,90 ;69,60
10/2005;140,27 ;1,08 ;1,11 ;29,00 ;47,40 ;35,50 ;68,40 ;74,6 ;115,87 ;-;56,50 ;96,60 ;75,20 ;37,10 ;35,70 ;73,60
11/2005;144,91 ;1,14 ;1,19 ;29,50 ;38,80 ;36,70 ;68,30 ;75,0 ;116,43 ;-;56,00 ;88,30 ;70,90 ;41,00 ;35,90 ;69,30
12/2005;149,12 ;0,46 ;0,48 ;36,00 ;49,80 ;62,10 ;65,30 ;79,5 ;117,14 ;-;78,40 ;88,90 ;95,30 ;63,70 ;40,20 ;93,30
01/2006;151,28 ;0,59 ;0,41 ;28,80 ;41,30 ;30,80 ;65,40 ;75,2 ;118,16 ;-;54,70 ;87,50 ;69,00 ;41,50 ;39,10 ;68,20
02/2006;149,85 ;0,06 ;-0,14 ;26,40 ;57,30 ;23,60 ;56,10 ;77,7 ;116,78 ;-;49,40 ;72,70 ;70,80 ;30,90 ;34,80 ;70,40
03/2006;149,67 ;0,48 ;0,29 ;31,50 ;79,90 ;26,10 ;68,50 ;75,6 ;118,55 ;-;55,20 ;77,20 ;75,10 ;39,40 ;43,50 ;74,50
04/2006;153,77 ;-0,29 ;-0,63 ;30,90 ;64,20 ;31,00 ;61,00 ;77,8 ;119,98 ;-;56,30 ;72,60 ;80,20 ;38,40 ;34,60 ;79,70
05/2006;150,53 ;-0,10 ;0,01 ;33,30 ;52,00 ;28,10 ;66,50 ;79,0 ;119,84 ;-;59,50 ;70,20 ;78,00 ;47,80 ;43,60 ;77,30
06/2006;149,30 ;-0,30 ;-0,02 ;30,90 ;43,60 ;26,40 ;63,20 ;78,6 ;120,68 ;-;56,50 ;73,50 ;77,40 ;41,40 ;37,70 ;76,60
07/2006;143,43 ;0,39 ;0,07 ;31,30 ;39,60 ;28,40 ;69,80 ;77,1 ;121,04 ;-;58,00 ;74,40 ;80,30 ;41,10 ;42,40 ;79,80
08/2006;140,10 ;0,38 ;0,14 ;33,40 ;48,60 ;28,10 ;73,90 ;78,3 ;122,09 ;-;59,30 ;73,60 ;80,00 ;44,90 ;45,00 ;79,40
09/2006;140,46 ;0,26 ;0,33 ;29,20 ;62,70 ;27,50 ;70,40 ;77,0 ;123,05 ;-;58,00 ;77,50 ;78,90 ;43,30 ;42,40 ;78,50
10/2006;143,74 ;0,26 ;0,44 ;28,00 ;64,40 ;33,20 ;74,00 ;78,1 ;123,83 ;-;58,60 ;80,40 ;79,30 ;43,90 ;43,60 ;78,90
11/2006;149,18 ;0,43 ;0,67 ;30,90 ;45,30 ;32,90 ;72,50 ;78,5 ;124,49 ;-;59,70 ;77,40 ;77,50 ;47,60 ;46,60 ;77,10
12/2006;152,44 ;0,39 ;0,52 ;34,50 ;46,20 ;66,90 ;66,50 ;80,2 ;125,46 ;-;79,80 ;79,30 ;98,00 ;67,50 ;47,50 ;97,40
01/2007;154,48 ;-0,06 ;0,18 ;28,80 ;46,30 ;32,10 ;67,60 ;86,1 ;125,59 ;-;60,60 ;81,10 ;77,30 ;50,90 ;48,50 ;76,50
02/2007;156,18 ;0,64 ;0,46 ;27,40 ;50,60 ;26,10 ;56,80 ;77,0 ;120,03 ;-;51,90 ;74,20 ;72,20 ;36,40 ;43,80 ;71,70
03/2007;156,64 ;0,50 ;0,43 ;34,70 ;60,90 ;31,10 ;70,70 ;78,4 ;121,19 ;-;59,70 ;81,30 ;81,40 ;42,90 ;54,40 ;80,80
04/2007;156,56 ;0,33 ;0,18 ;33,60 ;43,60 ;31,90 ;62,60 ;76,8 ;122,45 ;-;56,20 ;72,00 ;78,30 ;39,30 ;51,60 ;77,80
05/2007;154,07 ;0,18 ;0,11 ;38,30 ;36,90 ;33,00 ;73,40 ;77,9 ;125,99 ;-;63,20 ;76,40 ;79,20 ;51,30 ;55,30 ;78,60
06/2007;153,84 ;0,22 ;0,30 ;33,90 ;41,50 ;30,70 ;70,80 ;75,8 ;126,11 ;-;59,90 ;76,00 ;80,80 ;44,40 ;51,60 ;80,30
07/2007;152,35 ;0,19 ;0,39 ;33,40 ;48,00 ;32,30 ;72,30 ;77,0 ;126,08 ;-;61,00 ;79,10 ;81,20 ;45,90 ;55,60 ;80,70
08/2007;155,79 ;-0,11 ;0,45 ;35,00 ;74,10 ;33,30 ;80,10 ;79,2 ;128,65 ;-;64,00 ;88,80 ;80,20 ;52,40 ;60,00 ;79,80
09/2007;159,28 ;0,04 ;0,07 ;33,10 ;66,70 ;31,60 ;72,00 ;80,8 ;131,51 ;-;61,70 ;88,00 ;79,10 ;49,30 ;56,30 ;78,70
10/2007;161,72 ;0,95 ;0,35 ;35,80 ;61,30 ;42,40 ;80,80 ;81,4 ;131,78 ;-;64,20 ;84,00 ;79,00 ;53,90 ;61,90 ;78,50
11/2007;167,96 ;0,65 ;0,74 ;36,50 ;54,80 ;39,40 ;75,90 ;82,4 ;133,08 ;-;64,20 ;80,70 ;77,20 ;56,00 ;63,80 ;76,80
12/2007;189,34 ;1,09 ;1,50 ;43,10 ;58,50 ;70,10 ;65,20 ;82,5 ;133,26 ;-;82,60 ;78,20 ;92,30 ;76,30 ;61,40 ;91,70
01/2008;195,13 ;0,19 ;0,24 ;37,90 ;71,20 ;37,20 ;70,60 ;89,2 ;132,72 ;-;64,50 ;78,90 ;75,00 ;60,10 ;65,10 ;74,50
02/2008;185,06 ;0,51 ;0,46 ;33,80 ;72,70 ;31,70 ;64,80 ;86,8 ;131,27 ;-;58,00 ;80,40 ;72,40 ;48,00 ;65,30 ;71,90
03/2008;189,94 ;0,15 ;0,05 ;38,10 ;74,40 ;45,60 ;71,50 ;86,3 ;133,36 ;-;65,70 ;95,80 ;82,10 ;51,70 ;66,80 ;81,50
04/2008;193,68 ;0,13 ;0,61 ;38,00 ;57,80 ;35,20 ;73,20 ;84,8 ;133,58 ;-;64,20 ;93,20 ;75,30 ;56,10 ;72,40 ;74,80
05/2008;191,38 ;1,26 ;1,99 ;41,00 ;52,80 ;40,60 ;78,20 ;86,3 ;137,22 ;-;70,30 ;103,70 ;77,90 ;63,00 ;69,00 ;77,50
06/2008;211,74 ;0,57 ;0,87 ;40,60 ;57,00 ;36,30 ;79,20 ;86,7 ;138,96 ;-;66,20 ;104,50 ;72,00 ;59,10 ;76,00 ;71,50
07/2008;204,22 ;0,53 ;0,58 ;42,20 ;49,80 ;41,80 ;89,20 ;87,2 ;138,30 ;-;69,60 ;109,90 ;76,00 ;61,20 ;79,20 ;75,60
08/2008;206,56 ;0,35 ;-0,03 ;43,40 ;60,00 ;41,30 ;85,00 ;85,0 ;137,56 ;-;69,90 ;109,20 ;77,10 ;61,50 ;70,20 ;76,60
09/2008;198,28 ;0,52 ;0,26 ;43,40 ;88,70 ;38,70 ;84,80 ;82,9 ;136,87 ;-;67,10 ;102,30 ;72,30 ;61,20 ;74,80 ;71,80
10/2008;200,70 ;0,58 ;0,69 ;42,70 ;70,60 ;46,80 ;82,60 ;84,8 ;136,11 ;-;68,90 ;103,70 ;77,10 ;60,40 ;62,70 ;76,60
11/2008;206,51 ;0,38 ;0,41 ;40,30 ;72,50 ;50,40 ;71,30 ;83,0 ;135,62 ;-;65,00 ;93,10 ;75,40 ;54,20 ;49,30 ;74,90
12/2008;209,43 ;0,23 ;0,20 ;44,70 ;48,80 ;87,30 ;64,40 ;84,8 ;136,39 ;-;85,80 ;92,80 ;93,70 ;77,20 ;56,60 ;92,90
01/2009;220,37 ;0,17 ;0,22 ;41,00 ;47,60 ;49,30 ;61,80 ;82,9 ;136,28 ;-;66,30 ;88,00 ;76,40 ;57,60 ;69,50 ;75,90
02/2009;211,11 ;0,10 ;-0,10 ;37,70 ;60,70 ;42,90 ;55,10 ;83,6 ;138,39 ;-;57,60 ;85,60 ;70,70 ;43,90 ;61,50 ;70,20
03/2009;209,21 ;0,15 ;0,14 ;43,30 ;73,00 ;49,90 ;64,40 ;81,5 ;140,00 ;-;67,10 ;94,20 ;84,70 ;51,70 ;78,30 ;84,20
04/2009;211,85 ;0,38 ;0,56 ;42,50 ;67,20 ;48,30 ;58,60 ;84,0 ;139,30 ;-;66,30 ;95,50 ;82,20 ;51,10 ;62,00 ;81,40
05/2009;212,67 ;0,97 ;1,50 ;44,50 ;60,80 ;57,50 ;67,00 ;83,3 ;137,61 ;-;71,50 ;96,90 ;80,80 ;62,70 ;69,90 ;80,30
06/2009;212,82 ;0,42 ;0,42 ;46,10 ;57,20 ;46,10 ;69,40 ;85,3 ;139,02 ;-;67,70 ;92,20 ;77,00 ;57,90 ;87,60 ;76,40
07/2009;195,55 ;0,00 ;0,11 ;48,40 ;72,10 ;50,20 ;77,10 ;86,7 ;138,33 ;-;72,50 ;98,40 ;85,60 ;60,30 ;73,60 ;85,10
08/2009;196,68 ;0,27 ;-0,01 ;49,60 ;62,00 ;48,10 ;75,80 ;85,4 ;139,33 ;-;72,20 ;97,30 ;85,10 ;60,40 ;71,10 ;84,40
09/2009;181,29 ;0,01 ;0,00 ;47,20 ;58,30 ;45,00 ;76,60 ;86,0 ;140,83 ;-;69,60 ;92,10 ;82,00 ;59,30 ;86,70 ;81,30
10/2009;197,96 ;-0,03 ;-0,12 ;46,30 ;57,00 ;57,20 ;76,80 ;82,5 ;139,16 ;-;75,00 ;97,10 ;89,20 ;63,80 ;75,90 ;88,30
11/2009;205,95 ;0,46 ;0,30 ;45,60 ;60,00 ;51,80 ;74,70 ;86,7 ;141,58 ;-;72,20 ;92,50 ;84,50 ;63,50 ;70,30 ;83,80
12/2009;190,90 ;0,50 ;0,26 ;53,20 ;126,80 ;98,40 ;69,60 ;87,5 ;142,50 ;-;98,70 ;88,70 ;110,70 ;91,20 ;76,70 ;109,80
01/2010;199,71 ;0,57 ;0,69 ;43,70 ;50,90 ;49,00 ;70,80 ;95,4 ;146,96 ;-;76,50 ;90,40 ;88,20 ;73,40 ;75,90 ;87,40
02/2010;190,63 ;0,66 ;0,48 ;45,60 ;50,50 ;41,20 ;68,10 ;108,9 ;149,97 ;-;67,80 ;86,70 ;83,60 ;56,60 ;70,00 ;83,00
03/2010;206,91 ;-0,17 ;0,35 ;54,20 ;71,50 ;52,00 ;83,90 ;99,0 ;151,41 ;-;77,20 ;96,80 ;90,80 ;67,40 ;107,50 ;90,10
04/2010;206,46 ;0,10 ;0,74 ;51,00 ;63,20 ;52,70 ;78,00 ;98,4 ;150,41 ;-;75,00 ;93,90 ;87,70 ;65,20 ;73,70 ;87,20
05/2010;212,07 ;0,38 ;0,37 ;54,60 ;58,90 ;58,90 ;80,90 ;93,9 ;146,75 ;-;80,50 ;96,90 ;89,00 ;74,70 ;75,40 ;88,40
06/2010;223,13 ;0,01 ;-0,26 ;52,80 ;62,40 ;56,30 ;79,70 ;84,8 ;143,52 ;-;75,90 ;92,80 ;86,30 ;67,00 ;86,30 ;85,80
07/2010;215,02 ;0,02 ;-0,16 ;54,50 ;65,70 ;60,60 ;83,60 ;91,5 ;145,88 ;-;81,20 ;106,20 ;92,50 ;69,90 ;86,50 ;91,90
08/2010;213,97 ;0,41 ;0,19 ;57,10 ;75,00 ;56,60 ;84,90 ;91,8 ;148,90 ;-;79,70 ;101,00 ;90,70 ;69,00 ;90,70 ;90,20
09/2010;217,66 ;0,50 ;0,65 ;55,60 ;81,90 ;53,70 ;85,80 ;93,8 ;149,61 ;-;78,50 ;99,50 ;89,80 ;69,20 ;89,70 ;89,10
10/2010;229,93 ;1,13 ;1,33 ;59,50 ;67,30 ;66,30 ;84,20 ;95,6 ;152,21 ;-;83,90 ;101,60 ;94,80 ;74,00 ;94,50 ;94,20
11/2010;236,31 ;0,81 ;0,93 ;58,00 ;66,40 ;60,10 ;83,80 ;96,2 ;153,10 ;-;81,40 ;95,10 ;90,20 ;75,40 ;96,90 ;89,70
12/2010;234,61 ;0,60 ;0,32 ;69,10 ;149,70 ;111,20 ;80,60 ;94,4 ;152,74 ;-;110,40 ;96,90 ;115,70 ;107,00 ;104,10 ;115,20
01/2011;241,59 ;0,56 ;0,61 ;56,60 ;67,70 ;56,10 ;75,40 ;95,0 ;153,20 ;85,60;85,20 ;95,60 ;94,30 ;83,20 ;84,20 ;93,80
02/2011;241,53 ;0,74 ;0,37 ;59,30 ;76,10 ;49,50 ;76,90 ;106,3 ;156,18 ;85,90;75,90 ;95,00 ;86,40 ;66,10 ;90,10 ;86,10
03/2011;242,55 ;0,84 ;0,41 ;60,40 ;96,60 ;55,20 ;85,00 ;97,5 ;156,12 ;87,00;81,90 ;97,30 ;95,50 ;71,80 ;100,70 ;95,10
04/2011;237,16 ;0,90 ;0,69 ;59,60 ;70,00 ;66,40 ;82,90 ;94,1 ;155,09 ;87,30;82,00 ;92,90 ;99,40 ;68,10 ;95,60 ;98,80
05/2011;240,35 ;0,56 ;0,62 ;63,10 ;67,90 ;59,60 ;91,20 ;97,4 ;156,05 ;87,40;85,40 ;95,40 ;94,60 ;79,00 ;98,70 ;94,10
06/2011;232,58 ;-0,08 ;0,60 ;64,30 ;61,80 ;59,30 ;89,50 ;96,2 ;158,85 ;87,40;82,10 ;89,40 ;93,70 ;70,70 ;96,50 ;93,20
07/2011;229,38 ;0,14 ;0,02 ;64,50 ;42,80 ;61,50 ;90,60 ;97,0 ;158,28 ;88,40;86,50 ;93,70 ;100,20 ;75,70 ;89,70 ;99,60
08/2011;227,21 ;0,36 ;0,53 ;66,20 ;61,50 ;58,80 ;98,40 ;89,5 ;155,38 ;89,40;86,70 ;93,90 ;99,90 ;77,20 ;99,70 ;99,40
09/2011;231,46 ;0,44 ;0,43 ;62,90 ;53,70 ;53,80 ;94,10 ;98,1 ;157,96 ;88,80;83,40 ;91,00 ;98,00 ;74,20 ;94,50 ;97,60
10/2011;233,48 ;0,31 ;0,16 ;62,90 ;68,50 ;68,50 ;88,30 ;93,9 ;156,83 ;88,70;87,10 ;91,40 ;103,40 ;76,50 ;86,70 ;102,80
11/2011;233,67 ;0,73 ;0,82 ;64,00 ;62,40 ;64,20 ;90,20 ;105,8 ;161,06 ;87,00;85,80 ;87,60 ;99,00 ;78,30 ;93,60 ;98,40
