Data;14010 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - R$ (milhões);14037 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas jurídicas - R$ (milhões);14064 - Saldo das operações de crédito do Sistema Financeiro Nacional - Goiás - Total - R$ (milhões);15869 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas físicas - %;15901 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Pessoas jurídicas - %;15933 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Goiás - Total - %
12/2008;20.674 ;13.944 ;34.618 ;4,47 ;2,34 ;3,54
01/2009;20.937 ;13.868 ;34.805 ;5,12 ;2,67 ;4,05
02/2009;21.011 ;13.821 ;34.832 ;5,31 ;2,94 ;4,28
03/2009;21.108 ;14.388 ;35.496 ;5,50 ;3,44 ;4,59
04/2009;21.281 ;14.298 ;35.579 ;5,96 ;4,20 ;5,19
05/2009;21.508 ;14.378 ;35.886 ;5,93 ;3,95 ;5,07
06/2009;21.985 ;14.497 ;36.483 ;6,16 ;3,70 ;5,10
07/2009;22.182 ;14.574 ;36.756 ;6,53 ;4,08 ;5,48
08/2009;22.397 ;14.784 ;37.181 ;7,30 ;4,05 ;5,89
09/2009;22.686 ;14.758 ;37.444 ;7,22 ;4,87 ;6,21
10/2009;23.099 ;14.996 ;38.095 ;7,28 ;5,14 ;6,37
11/2009;23.348 ;15.337 ;38.685 ;6,91 ;5,03 ;6,10
12/2009;23.547 ;15.542 ;39.089 ;6,45 ;3,61 ;5,23
01/2010;24.365 ;15.492 ;39.857 ;6,42 ;3,48 ;5,16
02/2010;24.464 ;15.732 ;40.196 ;6,55 ;3,40 ;5,20
03/2010;24.573 ;16.033 ;40.606 ;6,16 ;3,17 ;4,87
04/2010;24.980 ;16.193 ;41.174 ;5,89 ;2,99 ;4,64
05/2010;25.355 ;16.652 ;42.008 ;5,63 ;2,65 ;4,34
06/2010;25.773 ;17.180 ;42.952 ;5,20 ;2,48 ;4,01
07/2010;26.018 ;17.425 ;43.444 ;5,08 ;2,62 ;4,00
08/2010;26.454 ;17.981 ;44.436 ;4,94 ;3,03 ;4,10
09/2010;27.059 ;18.482 ;45.540 ;4,76 ;2,52 ;3,77
10/2010;27.800 ;18.826 ;46.626 ;5,10 ;2,98 ;4,17
11/2010;28.452 ;19.157 ;47.609 ;4,58 ;2,31 ;3,59
12/2010;29.350 ;19.664 ;49.014 ;4,32 ;2,45 ;3,50
01/2011;29.926 ;19.692 ;49.619 ;4,33 ;2,51 ;3,54
02/2011;30.245 ;20.106 ;50.351 ;3,98 ;2,31 ;3,25
03/2011;30.616 ;20.756 ;51.372 ;4,04 ;2,12 ;3,19
04/2011;31.059 ;21.068 ;52.127 ;4,14 ;2,22 ;3,29
05/2011;31.563 ;21.246 ;52.809 ;4,19 ;2,19 ;3,31
06/2011;32.315 ;21.515 ;53.830 ;4,18 ;2,15 ;3,30
07/2011;32.815 ;21.732 ;54.547 ;4,26 ;2,25 ;3,39
08/2011;33.307 ;22.129 ;55.435 ;4,14 ;2,05 ;3,23
09/2011;34.124 ;22.940 ;57.064 ;4,27 ;1,97 ;3,26
10/2011;34.782 ;23.174 ;57.956 ;4,46 ;2,16 ;3,46
11/2011;35.463 ;23.224 ;58.687 ;4,84 ;2,37 ;3,78
12/2011;36.173 ;25.592 ;61.765 ;4,86 ;2,35 ;3,73
01/2012;37.117 ;25.351 ;62.468 ;4,79 ;2,64 ;3,88
02/2012;37.359 ;25.408 ;62.767 ;5,13 ;2,59 ;4,07
03/2012;37.801 ;25.994 ;63.795 ;5,10 ;2,74 ;4,11
04/2012;38.040 ;26.435 ;64.475 ;5,48 ;3,15 ;4,53
05/2012;38.729 ;27.950 ;66.680 ;5,62 ;3,07 ;4,55
06/2012;39.484 ;28.504 ;67.987 ;5,39 ;2,98 ;4,38
07/2012;39.878 ;28.628 ;68.505 ;5,39 ;2,76 ;4,29
08/2012;40.447 ;29.073 ;69.520 ;5,31 ;2,92 ;4,31
09/2012;40.710 ;29.535 ;70.244 ;5,29 ;2,81 ;4,25
10/2012;41.485 ;29.803 ;71.288 ;5,18 ;3,21 ;4,36
11/2012;42.118 ;30.504 ;72.622 ;5,04 ;2,89 ;4,14
12/2012;43.014 ;31.245 ;74.259 ;4,85 ;2,78 ;3,98
01/2013;43.569 ;30.996 ;74.565 ;4,72 ;2,79 ;3,92
02/2013;43.896 ;31.577 ;75.473 ;4,63 ;2,64 ;3,80
03/2013;44.465 ;32.267 ;76.733 ;4,59 ;2,51 ;3,71
04/2013;45.038 ;33.335 ;78.373 ;4,40 ;2,51 ;3,59
05/2013;45.865 ;33.517 ;79.382 ;4,32 ;2,33 ;3,48
06/2013;46.822 ;33.264 ;80.087 ;4,06 ;2,19 ;3,28
07/2013;47.290 ;33.440 ;80.730 ;3,95 ;2,02 ;3,15
08/2013;48.025 ;34.225 ;82.250 ;3,80 ;1,95 ;3,03
09/2013;48.683 ;34.870 ;83.553 ;3,78 ;2,05 ;3,06
10/2013;49.403 ;34.920 ;84.323 ;3,75 ;2,19 ;3,11
11/2013;50.312 ;35.369 ;85.680 ;3,64 ;2,28 ;3,08
12/2013;51.412 ;35.960 ;87.372 ;3,49 ;2,15 ;2,94
01/2014;52.172 ;35.815 ;87.987 ;3,43 ;2,20 ;2,93
02/2014;52.550 ;36.313 ;88.862 ;3,39 ;2,12 ;2,87
03/2014;52.981 ;36.885 ;89.866 ;3,40 ;2,12 ;2,87
04/2014;53.909 ;37.479 ;91.388 ;3,37 ;2,13 ;2,86
05/2014;54.799 ;37.867 ;92.666 ;3,37 ;2,28 ;2,93
06/2014;55.626 ;38.123 ;93.750 ;3,32 ;2,17 ;2,85
07/2014;56.011 ;38.109 ;94.120 ;3,36 ;2,32 ;2,94
08/2014;56.679 ;38.009 ;94.688 ;3,46 ;2,57 ;3,10
09/2014;57.252 ;40.484 ;97.736 ;3,31 ;2,47 ;2,96
10/2014;58.197 ;40.609 ;98.806 ;3,37 ;2,53 ;3,02
11/2014;59.087 ;40.702 ;99.789 ;3,32 ;2,45 ;2,97
12/2014;60.577 ;42.535 ;103.112 ;3,17 ;2,29 ;2,81
01/2015;61.384 ;42.315 ;103.699 ;3,29 ;2,37 ;2,91
02/2015;61.686 ;42.455 ;104.141 ;3,37 ;2,41 ;2,98
03/2015;62.216 ;43.116 ;105.332 ;3,27 ;2,10 ;2,79
04/2015;62.584 ;43.190 ;105.773 ;3,34 ;2,17 ;2,86
05/2015;63.038 ;43.559 ;106.598 ;3,45 ;2,42 ;3,03
06/2015;63.537 ;43.615 ;107.152 ;3,26 ;2,44 ;2,92
07/2015;63.897 ;43.700 ;107.597 ;3,38 ;2,66 ;3,09
08/2015;64.602 ;43.899 ;108.501 ;3,50 ;2,92 ;3,27
09/2015;64.925 ;43.656 ;108.581 ;3,56 ;3,26 ;3,44
10/2015;65.150 ;43.189 ;108.338 ;3,80 ;3,60 ;3,72
11/2015;65.962 ;43.377 ;109.340 ;3,87 ;3,49 ;3,72
12/2015;66.789 ;43.387 ;110.176 ;3,84 ;3,51 ;3,71
01/2016;67.233 ;42.600 ;109.833 ;4,01 ;3,60 ;3,85
02/2016;67.466 ;42.205 ;109.671 ;4,12 ;3,70 ;3,96
03/2016;67.482 ;41.550 ;109.032 ;4,07 ;3,64 ;3,91
04/2016;67.556 ;41.721 ;109.276 ;4,14 ;3,62 ;3,94
05/2016;67.660 ;41.670 ;109.330 ;4,07 ;3,78 ;3,96
06/2016;68.018 ;41.192 ;109.210 ;3,85 ;3,89 ;3,86
07/2016;68.060 ;40.675 ;108.735 ;3,86 ;4,13 ;3,96
08/2016;68.191 ;40.154 ;108.345 ;3,94 ;4,37 ;4,10
09/2016;68.257 ;39.846 ;108.103 ;4,04 ;4,33 ;4,15
10/2016;68.186 ;39.277 ;107.463 ;4,09 ;4,46 ;4,22
11/2016;68.875 ;38.757 ;107.633 ;3,88 ;4,48 ;4,10
12/2016;69.782 ;38.828 ;108.609 ;3,66 ;4,69 ;4,03
01/2017;70.647 ;38.204 ;108.851 ;3,70 ;4,72 ;4,06
02/2017;70.945 ;38.251 ;109.196 ;3,81 ;5,14 ;4,28
03/2017;71.451 ;38.291 ;109.742 ;3,69 ;6,33 ;4,61
04/2017;71.880 ;37.735 ;109.614 ;3,66 ;6,27 ;4,56
05/2017;72.391 ;37.563 ;109.954 ;3,62 ;6,08 ;4,46
06/2017;72.943 ;37.940 ;110.884 ;3,26 ;5,46 ;4,01
07/2017;72.902 ;37.499 ;110.401 ;3,41 ;5,49 ;4,12
08/2017;73.404 ;37.456 ;110.860 ;3,39 ;5,26 ;4,02
09/2017;73.313 ;37.268 ;110.581 ;3,36 ;5,36 ;4,04
10/2017;74.079 ;36.987 ;111.066 ;3,38 ;5,40 ;4,05
11/2017;74.820 ;36.477 ;111.297 ;3,28 ;5,12 ;3,88
12/2017;75.612 ;36.726 ;112.338 ;3,03 ;3,34 ;3,13
01/2018;76.353 ;36.081 ;112.434 ;3,38 ;3,46 ;3,41
02/2018;76.606 ;36.517 ;113.122 ;3,35 ;3,30 ;3,34
03/2018;77.013 ;37.639 ;114.652 ;3,33 ;3,20 ;3,29
04/2018;77.527 ;38.133 ;115.660 ;3,19 ;3,15 ;3,17
05/2018;78.140 ;38.575 ;116.715 ;3,18 ;3,29 ;3,22
06/2018;79.061 ;39.190 ;118.251 ;2,99 ;3,11 ;3,03
07/2018;79.408 ;38.309 ;117.717 ;3,00 ;3,12 ;3,04
08/2018;80.548 ;39.014 ;119.562 ;2,90 ;3,21 ;3,00
09/2018;80.823 ;39.328 ;120.151 ;2,84 ;4,89 ;3,51
10/2018;81.785 ;38.647 ;120.432 ;2,78 ;5,07 ;3,51
11/2018;83.102 ;38.720 ;121.822 ;2,72 ;4,96 ;3,43
12/2018;84.214 ;39.426 ;123.640 ;2,63 ;4,48 ;3,22
01/2019;84.892 ;38.777 ;123.669 ;2,79 ;4,40 ;3,29
02/2019;85.587 ;38.550 ;124.137 ;2,78 ;4,50 ;3,31
03/2019;86.290 ;38.840 ;125.130 ;2,88 ;4,35 ;3,34
04/2019;87.031 ;39.045 ;126.076 ;2,86 ;4,37 ;3,33
05/2019;87.792 ;39.111 ;126.902 ;2,86 ;4,45 ;3,35
06/2019;88.798 ;38.858 ;127.656 ;2,74 ;2,58 ;2,69
07/2019;89.163 ;38.508 ;127.672 ;2,86 ;2,58 ;2,78
08/2019;90.461 ;39.560 ;130.021 ;2,92 ;2,43 ;2,77
09/2019;91.470 ;39.508 ;130.978 ;2,95 ;2,10 ;2,69
10/2019;92.768 ;39.562 ;132.330 ;2,85 ;2,12 ;2,64
11/2019;94.166 ;40.025 ;134.191 ;2,85 ;2,11 ;2,63
12/2019;95.526 ;40.496 ;136.022 ;2,88 ;2,03 ;2,63
01/2020;96.933 ;40.291 ;137.223 ;3,03 ;2,19 ;2,78
02/2020;97.397 ;40.462 ;137.860 ;3,16 ;2,12 ;2,86
03/2020;98.160 ;42.407 ;140.567 ;3,47 ;2,11 ;3,06
04/2020;97.808 ;43.830 ;141.638 ;3,54 ;2,06 ;3,08
05/2020;98.067 ;43.987 ;142.054 ;3,36 ;2,06 ;2,96
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
