Data;1453 - Indicador de Movimento do Comercio a Prazo - IMC - unidades;1454 - Indicador de Movimento de Cheques - unidades;28549 - Vendas do setor supermercadista - Dados dessazonalizados - indice;28550 - Indicador de Movimento do Comercio a Prazo - IMC - Dados dessazonalizados - unidades;28551 - Indicador de Movimento de Cheques - Dados dessazonalizados - unidades
01/2003;1.438.462 ;1.630.761 ;65,70 ;-;1.824.304
02/2003;1.320.708 ;1.505.161 ;66,98 ;-;1.772.518
03/2003;1.322.933 ;1.539.324 ;65,48 ;-;1.781.423
04/2003;1.275.081 ;1.581.769 ;64,99 ;-;1.795.072
05/2003;1.488.022 ;1.739.270 ;65,00 ;-;1.744.805
06/2003;1.407.636 ;1.735.346 ;63,46 ;-;1.811.082
07/2003;1.572.408 ;1.862.412 ;64,13 ;-;1.774.349
08/2003;1.472.127 ;1.917.836 ;65,41 ;-;1.853.097
09/2003;1.413.401 ;1.831.443 ;63,84 ;-;1.993.245
10/2003;1.532.964 ;1.996.733 ;64,27 ;-;1.833.057
11/2003;1.441.924 ;1.946.062 ;64,60 ;-;1.809.014
12/2003;1.905.163 ;2.279.553 ;65,59 ;-;1.648.950
01/2004;1.511.099 ;1.557.236 ;63,27 ;-;1.751.339
02/2004;1.333.953 ;1.478.068 ;65,60 ;-;1.791.760
03/2004;1.529.292 ;1.677.906 ;66,82 ;-;1.805.246
04/2004;1.398.275 ;1.576.619 ;68,15 ;-;1.784.633
05/2004;1.548.384 ;1.783.392 ;68,36 ;-;1.805.203
06/2004;1.507.237 ;1.773.391 ;69,37 ;-;1.832.925
07/2004;1.680.588 ;1.949.987 ;69,65 ;-;1.857.563
08/2004;1.649.821 ;1.917.847 ;69,98 ;-;1.856.288
09/2004;1.494.950 ;1.800.675 ;69,70 ;-;1.972.912
10/2004;1.515.282 ;1.991.059 ;70,49 ;-;1.867.268
11/2004;1.520.627 ;2.041.418 ;71,87 ;-;1.852.082
12/2004;1.962.046 ;2.494.445 ;71,82 ;-;1.804.155
01/2005;1.614.341 ;1.652.998 ;71,39 ;1.637.205 ;1.878.322
02/2005;1.422.509 ;1.533.320 ;71,51 ;1.629.999 ;1.900.236
03/2005;1.612.255 ;1.714.350 ;72,52 ;1.613.127 ;1.855.313
04/2005;1.486.223 ;1.688.209 ;71,84 ;1.622.728 ;1.908.380
05/2005;1.637.936 ;1.840.408 ;71,88 ;1.640.638 ;1.897.763
06/2005;1.611.149 ;1.855.386 ;72,61 ;1.624.508 ;1.870.712
07/2005;1.723.144 ;1.951.603 ;73,05 ;1.646.506 ;1.886.251
08/2005;1.744.470 ;1.963.655 ;72,99 ;1.631.522 ;1.886.024
09/2005;1.559.770 ;1.756.095 ;72,89 ;1.636.761 ;1.920.291
10/2005;1.587.121 ;2.044.947 ;73,01 ;1.641.645 ;1.930.799
11/2005;1.580.172 ;2.165.160 ;72,46 ;1.628.935 ;1.964.106
12/2005;2.002.289 ;2.709.228 ;72,52 ;1.638.978 ;1.954.315
01/2006;1.641.555 ;1.784.844 ;75,18 ;1.655.899 ;2.022.145
02/2006;1.440.733 ;1.610.211 ;74,38 ;1.657.372 ;2.007.225
03/2006;1.704.547 ;1.864.673 ;73,70 ;1.686.854 ;1.997.552
04/2006;1.504.112 ;1.727.699 ;74,53 ;1.688.997 ;1.997.379
05/2006;1.746.311 ;2.013.998 ;74,42 ;1.687.923 ;1.988.255
06/2006;1.666.321 ;1.948.165 ;75,40 ;1.697.721 ;1.994.638
07/2006;1.771.041 ;2.079.502 ;75,06 ;1.691.938 ;2.012.464
08/2006;1.795.493 ;2.075.391 ;75,59 ;1.704.808 ;2.025.289
09/2006;1.614.122 ;1.842.520 ;76,01 ;1.688.741 ;2.022.011
10/2006;1.656.681 ;2.122.879 ;76,48 ;1.698.348 ;2.016.272
11/2006;1.650.159 ;2.248.608 ;76,19 ;1.698.117 ;2.036.412
12/2006;2.031.564 ;2.839.795 ;74,75 ;1.704.576 ;2.041.544
01/2007;1.721.811 ;1.831.802 ;77,66 ;1.695.913 ;2.051.325
02/2007;1.509.495 ;1.640.329 ;78,02 ;1.743.243 ;2.069.389
03/2007;1.781.560 ;1.966.617 ;78,04 ;1.744.882 ;2.108.264
04/2007;1.617.073 ;1.831.533 ;78,12 ;1.796.046 ;2.115.217
05/2007;1.843.369 ;2.137.415 ;78,31 ;1.819.577 ;2.121.534
06/2007;1.772.429 ;2.120.340 ;77,09 ;1.816.233 ;2.154.433
07/2007;1.889.156 ;2.202.554 ;77,64 ;1.811.756 ;2.129.979
08/2007;1.893.875 ;2.198.767 ;76,68 ;1.812.154 ;2.144.625
09/2007;1.677.923 ;1.924.409 ;77,93 ;1.792.429 ;2.161.432
10/2007;1.800.023 ;2.318.667 ;77,31 ;1.789.817 ;2.182.660
11/2007;1.771.135 ;2.408.285 ;78,66 ;1.789.805 ;2.168.797
12/2007;2.192.755 ;3.058.498 ;78,20 ;1.813.326 ;2.154.011
01/2008;1.846.133 ;1.977.466 ;79,82 ;1.836.762 ;2.249.085
02/2008;1.639.757 ;1.783.089 ;77,63 ;1.830.064 ;2.183.742
03/2008;1.844.321 ;2.029.991 ;80,03 ;1.816.129 ;2.198.565
04/2008;1.820.029 ;2.068.434 ;79,57 ;2.011.989 ;2.392.338
05/2008;1.931.682 ;2.218.451 ;80,46 ;1.965.930 ;2.254.945
06/2008;1.908.782 ;2.217.051 ;80,73 ;1.965.821 ;2.208.199
07/2008;2.103.692 ;2.317.660 ;80,06 ;2.020.118 ;2.222.588
08/2008;1.963.110 ;2.195.026 ;80,94 ;1.952.117 ;2.180.322
09/2008;1.946.794 ;2.051.978 ;81,16 ;1.965.133 ;2.266.379
10/2008;1.881.193 ;2.283.022 ;81,24 ;1.863.034 ;2.172.034
11/2008;1.796.273 ;2.389.463 ;81,52 ;1.845.540 ;2.197.065
12/2008;2.164.237 ;3.214.512 ;82,01 ;1.721.307 ;2.163.668
01/2009;1.736.239 ;1.878.271 ;80,60 ;1.733.789 ;2.153.734
02/2009;1.429.224 ;1.684.839 ;82,42 ;1.677.851 ;2.158.599
03/2009;1.751.091 ;2.040.909 ;83,05 ;1.690.765 ;2.214.894
04/2009;1.472.891 ;1.862.134 ;84,60 ;1.651.434 ;2.184.974
05/2009;1.590.579 ;2.197.106 ;84,59 ;1.652.223 ;2.207.568
06/2009;1.622.815 ;2.283.138 ;84,99 ;1.668.613 ;2.289.013
07/2009;1.771.647 ;2.415.394 ;85,91 ;1.720.726 ;2.313.450
08/2009;1.728.377 ;2.325.084 ;85,99 ;1.729.316 ;2.312.386
09/2009;1.726.423 ;2.051.191 ;86,11 ;1.747.360 ;2.287.764
10/2009;1.812.995 ;2.371.468 ;87,81 ;1.766.156 ;2.284.542
11/2009;1.803.119 ;2.494.833 ;88,33 ;1.796.671 ;2.287.285
12/2009;2.272.507 ;3.452.866 ;90,26 ;1.804.142 ;2.275.084
01/2010;1.745.461 ;1.948.879 ;89,61 ;1.805.531 ;2.256.106
02/2010;1.544.049 ;1.788.257 ;89,78 ;1.834.321 ;2.286.771
03/2010;1.952.451 ;2.224.999 ;87,83 ;1.827.714 ;2.406.162
04/2010;1.640.217 ;1.995.881 ;89,22 ;1.836.531 ;2.357.316
05/2010;1.840.222 ;2.345.750 ;89,18 ;1.912.474 ;2.355.366
06/2010;1.784.374 ;2.391.986 ;89,79 ;1.871.454 ;2.403.813
07/2010;1.905.957 ;2.533.299 ;89,67 ;1.878.620 ;2.458.768
08/2010;1.907.160 ;2.485.554 ;91,60 ;1.917.382 ;2.483.358
09/2010;1.948.564 ;2.214.099 ;90,77 ;1.961.335 ;2.492.592
10/2010;2.010.188 ;2.558.617 ;90,73 ;1.972.341 ;2.509.568
11/2010;2.058.399 ;2.750.597 ;88,34 ;1.973.582 ;2.506.734
12/2010;2.533.061 ;3.999.662 ;90,48 ;1.985.603 ;2.542.503
01/2011;1.889.423 ;2.174.628 ;91,55 ;1.957.532 ;2.489.227
02/2011;1.717.629 ;2.119.719 ;91,98 ;1.978.290 ;2.551.603
03/2011;2.015.572 ;2.147.792 ;92,85 ;1.995.656 ;2.508.999
04/2011;1.761.256 ;2.083.646 ;95,38 ;1.973.422 ;2.486.797
05/2011;1.913.005 ;2.505.346 ;92,68 ;1.987.447 ;2.499.810
06/2011;1.877.814 ;2.551.883 ;90,96 ;1.974.224 ;2.577.715
07/2011;1.962.258 ;2.535.119 ;92,79 ;2.006.975 ;2.523.578
08/2011;1.991.271 ;2.553.920 ;92,89 ;1.962.460 ;2.536.277
09/2011;1.991.362 ;2.250.414 ;93,38 ;1.991.336 ;2.541.839
10/2011;2.019.782 ;2.557.909 ;92,73 ;1.934.327 ;2.510.587
11/2011;2.081.865 ;2.762.149 ;91,74 ;2.014.566 ;2.544.530
12/2011;2.575.874 ;4.102.098 ;91,57 ;2.007.136 ;2.555.916
01/2012;1.940.300 ;2.312.393 ;98,69 ;2.007.288 ;2.595.294
02/2012;1.698.771 ;2.075.998 ;98,26 ;1.997.115 ;2.532.082
03/2012;2.130.499 ;2.252.819 ;99,84 ;2.033.764 ;2.522.222
04/2012;1.815.674 ;2.124.298 ;99,46 ;2.053.655 ;2.584.845
05/2012;1.960.658 ;2.637.152 ;100,96 ;2.013.863 ;2.593.907
06/2012;1.979.404 ;2.559.283 ;94,46 ;2.070.132 ;2.598.785
07/2012;2.002.131 ;2.572.005 ;94,21 ;2.044.351 ;2.588.128
08/2012;2.054.394 ;2.547.280 ;93,41 ;2.037.435 ;2.562.441
09/2012;1.969.258 ;2.253.475 ;93,87 ;2.036.935 ;2.614.946
10/2012;2.232.667 ;2.702.687 ;93,68 ;2.042.895 ;2.591.386
11/2012;2.086.028 ;2.810.763 ;94,62 ;2.003.800 ;2.585.051
12/2012;2.578.707 ;4.346.214 ;95,28 ;2.051.165 ;2.687.632
01/2013;1.998.315 ;2.382.782 ;96,13 ;2.049.873 ;2.631.448
02/2013;1.654.399 ;2.073.715 ;96,28 ;2.029.187 ;2.628.522
03/2013;2.026.770 ;2.221.766 ;97,92 ;2.004.276 ;2.520.979
04/2013;1.981.335 ;2.194.275 ;97,50 ;2.170.444 ;2.679.628
05/2013;1.986.934 ;2.636.097 ;98,66 ;2.039.193 ;2.588.149
06/2013;1.923.743 ;2.454.528 ;98,05 ;2.063.775 ;2.541.177
07/2013;2.031.026 ;2.597.982 ;100,55 ;2.044.461 ;2.593.182
08/2013;2.121.497 ;2.590.433 ;99,34 ;2.090.061 ;2.623.774
09/2013;2.008.862 ;2.278.540 ;98,57 ;2.040.367 ;2.628.213
10/2013;2.289.600 ;2.781.149 ;98,87 ;2.095.886 ;2.677.156
11/2013;2.175.726 ;2.868.224 ;99,46 ;2.078.196 ;2.622.140
12/2013;2.641.710 ;4.387.208 ;99,87 ;2.105.607 ;2.678.561
01/2014;2.048.327 ;2.453.680 ;99,26 ;2.128.049 ;2.698.463
02/2014;1.802.043 ;2.244.805 ;100,08 ;2.120.875 ;2.717.713
03/2014;2.041.653 ;2.298.575 ;97,57 ;2.106.428 ;2.740.206
04/2014;1.883.237 ;2.002.934 ;98,32 ;2.086.674 ;2.513.245
05/2014;2.116.943 ;2.906.297 ;97,49 ;2.142.696 ;2.831.280
06/2014;1.951.507 ;2.384.416 ;100,63 ;2.077.717 ;2.469.396
07/2014;1.957.057 ;2.606.132 ;100,31 ;2.003.939 ;2.625.054
08/2014;2.056.062 ;2.597.601 ;101,00 ;2.079.170 ;2.647.169
09/2014;2.133.303 ;2.318.009 ;101,00 ;2.081.385 ;2.637.314
10/2014;2.395.967 ;2.830.483 ;101,80 ;2.174.930 ;2.715.261
11/2014;2.153.628 ;2.964.095 ;101,21 ;2.081.795 ;2.732.264
12/2014;2.616.096 ;4.488.172 ;101,34 ;2.066.937 ;2.683.384
01/2015;1.968.756 ;2.374.570 ;100,66 ;2.098.286 ;2.650.359
02/2015;1.653.168 ;2.019.025 ;98,78 ;2.039.770 ;2.593.022
03/2015;2.115.052 ;2.329.029 ;99,11 ;2.076.623 ;2.623.089
04/2015;1.858.320 ;1.938.519 ;101,01 ;2.054.986 ;2.505.512
05/2015;2.010.717 ;2.713.039 ;98,65 ;2.078.605 ;2.667.809
06/2015;1.829.315 ;2.289.599 ;98,17 ;1.881.514 ;2.328.651
07/2015;1.849.553 ;2.474.209 ;97,75 ;1.892.645 ;2.462.980
08/2015;1.908.915 ;2.342.249 ;97,08 ;1.924.851 ;2.354.139
09/2015;1.958.085 ;2.082.884 ;96,51 ;1.918.023 ;2.365.211
10/2015;2.053.261 ;2.323.658 ;98,77 ;1.855.179 ;2.262.156
11/2015;1.931.251 ;2.587.326 ;95,20 ;1.799.176 ;2.353.357
12/2015;2.333.910 ;3.673.107 ;95,98 ;1.894.375 ;2.209.275
01/2016;1.620.912 ;1.921.590 ;95,25 ;1.836.420 ;2.188.385
02/2016;1.594.130 ;1.743.397 ;96,25 ;1.876.319 ;2.148.336
03/2016;1.876.637 ;1.916.765 ;94,72 ;1.820.248 ;2.151.454
04/2016;1.834.999 ;1.640.396 ;96,23 ;2.009.642 ;2.156.760
05/2016;1.849.636 ;2.179.919 ;95,28 ;1.920.748 ;2.192.064
06/2016;1.858.193 ;2.183.862 ;95,49 ;1.875.971 ;2.165.846
07/2016;1.748.880 ;2.128.905 ;95,42 ;1.827.962 ;2.149.920
08/2016;1.805.584 ;2.220.519 ;95,04 ;1.787.225 ;2.152.356
09/2016;1.858.652 ;1.864.645 ;95,19 ;1.809.188 ;2.106.802
10/2016;1.957.165 ;2.112.899 ;95,36 ;1.789.278 ;2.108.153
11/2016;2.042.687 ;2.324.180 ;95,68 ;1.830.455 ;2.093.737
12/2016;2.130.880 ;3.462.151 ;94,03 ;1.759.993 ;2.072.653
01/2017;1.558.773 ;1.802.792 ;97,67 ;1.798.697 ;2.056.143
02/2017;1.460.795 ;1.659.392 ;98,73 ;1.815.614 ;2.113.347
03/2017;1.912.582 ;1.867.999 ;98,10 ;1.851.753 ;2.092.682
04/2017;1.637.044 ;1.570.731 ;96,21 ;1.843.012 ;2.129.832
05/2017;1.856.132 ;2.205.197 ;98,33 ;1.850.880 ;2.144.490
06/2017;1.877.652 ;2.214.325 ;99,75 ;1.873.795 ;2.240.244
07/2017;1.829.733 ;2.159.971 ;99,96 ;1.881.379 ;2.185.446
08/2017;1.871.347 ;2.273.130 ;101,31 ;1.884.926 ;2.191.035
09/2017;1.925.420 ;1.937.962 ;103,56 ;1.893.408 ;2.183.642
10/2017;2.151.966 ;2.180.207 ;103,20 ;1.943.709 ;2.200.317
11/2017;2.188.362 ;2.399.542 ;103,85 ;1.932.124 ;2.171.090
12/2017;2.255.816 ;3.570.287 ;103,21 ;1.937.787 ;2.148.673
01/2018;1.665.475 ;1.848.184 ;105,02 ;1.927.059 ;2.067.262
02/2018;1.570.917 ;1.726.455 ;104,29 ;1.960.758 ;2.179.486
03/2018;2.027.610 ;1.878.028 ;106,50 ;1.969.670 ;2.110.739
04/2018;1.820.657 ;1.535.198 ;106,56 ;2.022.037 ;2.074.174
05/2018;1.895.528 ;2.086.161 ;107,05 ;1.907.526 ;2.063.175
06/2018;2.067.898 ;2.087.539 ;106,00 ;2.028.660 ;2.116.023
07/2018;1.982.789 ;2.073.957 ;106,54 ;2.007.279 ;2.111.664
08/2018;1.982.596 ;2.257.206 ;105,28 ;2.003.220 ;2.149.375
09/2018;1.949.902 ;1.879.903 ;105,88 ;1.991.203 ;2.160.610
10/2018;2.250.526 ;2.098.013 ;104,73 ;1.983.624 ;2.111.095
11/2018;2.308.468 ;2.351.752 ;107,34 ;1.997.071 ;2.116.026
12/2018;2.325.532 ;3.644.008 ;108,03 ;2.004.182 ;2.175.639
01/2019;1.672.137 ;1.937.064 ;107,98 ;1.987.076 ;2.169.889
02/2019;1.648.290 ;1.844.562 ;105,75 ;1.975.593 ;2.192.545
03/2019;1.910.620 ;1.822.980 ;107,19 ;1.994.836 ;2.179.456
04/2019;1.838.845 ;1.633.816 ;104,85 ;1.992.631 ;2.179.535
05/2019;2.022.044 ;2.198.740 ;108,19 ;2.025.091 ;2.176.214
06/2019;2.043.910 ;1.978.986 ;108,69 ;2.038.681 ;2.053.197
07/2019;2.066.274 ;2.158.185 ;109,48 ;2.030.180 ;2.178.700
08/2019;1.994.734 ;2.289.474 ;111,24 ;2.018.136 ;2.192.508
09/2019;1.993.772 ;1.925.885 ;110,47 ;2.016.613 ;2.200.880
10/2019;2.263.046 ;2.175.240 ;110,95 ;2.019.006 ;2.222.858
11/2019;2.400.815 ;2.530.521 ;111,25 ;2.069.882 ;2.263.466
12/2019;2.328.187 ;3.974.811 ;110,86 ;2.007.588 ;2.356.287
01/2020;1.684.043 ;2.055.725 ;110,34 ;2.018.031 ;2.275.528
02/2020;1.694.988 ;1.874.864 ;114,10 ;2.049.191 ;2.272.230
03/2020;1.330.363 ;1.392.572 ;-;1.314.085 ;1.569.495
04/2020;799.162 ;505.993 ;-;881.493 ;678.864
05/2020;859.673 ;518.038 ;-;882.758 ;522.151
Fonte;ACSP;ACSP;Abras;ACSP;ACSP
