Data;1469 - Índice volume de vendas no varejo (2003=100) - Total - Alagoas - Índice;14003 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - R$ (milhões);14030 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas jurídicas - R$ (milhões);14057 - Saldo das operações de crédito do Sistema Financeiro Nacional - Alagoas - Total - R$ (milhões);15862 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas físicas - %;15894 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Pessoas jurídicas - %;15926 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Alagoas - Total - %;28029 - PMS - Índice de volume de serviços - Total - Alagoas - com ajuste sazonal - Índice
09/2011;77,20 ;7.576 ;5.087 ;12.663 ;4,96 ;1,35 ;3,21 ;90,90
10/2011;80,40 ;7.697 ;5.057 ;12.754 ;5,29 ;1,38 ;3,41 ;91,70
11/2011;83,40 ;7.856 ;5.182 ;13.038 ;5,92 ;1,86 ;3,97 ;92,30
12/2011;118,00 ;8.042 ;5.185 ;13.227 ;5,83 ;1,97 ;4,01 ;93,10
01/2012;85,30 ;8.080 ;4.735 ;12.815 ;5,35 ;2,40 ;4,14 ;92,40
02/2012;82,80 ;8.175 ;4.776 ;12.952 ;6,16 ;2,61 ;4,74 ;90,60
03/2012;86,00 ;8.302 ;4.877 ;13.178 ;6,12 ;2,29 ;4,59 ;93,50
04/2012;82,50 ;8.432 ;4.914 ;13.346 ;5,89 ;3,59 ;5,04 ;91,40
05/2012;87,40 ;8.632 ;5.123 ;13.755 ;5,97 ;3,44 ;5,03 ;90,80
06/2012;85,40 ;8.802 ;5.125 ;13.927 ;5,94 ;3,46 ;5,03 ;94,50
07/2012;85,90 ;8.932 ;5.241 ;14.173 ;6,09 ;3,64 ;5,19 ;92,30
08/2012;88,60 ;9.120 ;5.304 ;14.423 ;6,00 ;3,77 ;5,18 ;90,60
09/2012;84,00 ;9.189 ;5.352 ;14.541 ;6,04 ;3,63 ;5,15 ;92,50
10/2012;87,10 ;9.345 ;5.362 ;14.707 ;6,02 ;3,61 ;5,14 ;92,50
11/2012;91,90 ;9.503 ;5.302 ;14.806 ;5,95 ;2,98 ;4,88 ;95,10
12/2012;126,50 ;9.678 ;5.456 ;15.134 ;5,95 ;2,82 ;4,82 ;97,20
01/2013;91,90 ;9.807 ;5.474 ;15.281 ;5,92 ;2,84 ;4,81 ;93,70
02/2013;80,60 ;9.858 ;5.428 ;15.286 ;6,01 ;2,93 ;4,92 ;98,30
03/2013;89,10 ;9.976 ;5.520 ;15.496 ;6,20 ;3,25 ;5,15 ;97,10
04/2013;85,10 ;10.134 ;5.763 ;15.898 ;6,05 ;3,07 ;4,97 ;97,50
05/2013;93,30 ;10.342 ;5.850 ;16.192 ;6,03 ;3,00 ;4,94 ;99,50
06/2013;89,30 ;10.489 ;6.004 ;16.493 ;5,94 ;2,83 ;4,81 ;98,20
07/2013;92,30 ;10.638 ;5.863 ;16.501 ;5,80 ;2,92 ;4,78 ;99,20
08/2013;100,20 ;10.779 ;5.817 ;16.597 ;5,73 ;2,89 ;4,73 ;101,70
09/2013;93,00 ;10.934 ;5.952 ;16.887 ;5,81 ;3,03 ;4,83 ;99,70
10/2013;97,50 ;11.070 ;5.973 ;17.042 ;5,86 ;2,92 ;4,83 ;101,40
11/2013;100,30 ;11.241 ;6.080 ;17.321 ;5,70 ;2,85 ;4,70 ;97,30
12/2013;135,90 ;11.450 ;6.220 ;17.669 ;5,55 ;2,90 ;4,62 ;95,90
01/2014;102,20 ;11.545 ;6.061 ;17.606 ;5,42 ;2,90 ;4,55 ;100,90
02/2014;91,90 ;11.627 ;6.090 ;17.716 ;5,54 ;3,16 ;4,72 ;96,90
03/2014;93,10 ;11.626 ;6.101 ;17.727 ;5,52 ;3,26 ;4,74 ;99,00
04/2014;94,00 ;11.801 ;6.309 ;18.110 ;5,49 ;2,82 ;4,56 ;102,20
05/2014;100,10 ;11.982 ;6.315 ;18.296 ;5,53 ;3,36 ;4,78 ;99,70
06/2014;92,10 ;12.128 ;6.464 ;18.592 ;5,46 ;3,42 ;4,75 ;95,40
07/2014;96,90 ;12.255 ;6.476 ;18.731 ;5,51 ;3,62 ;4,86 ;101,70
08/2014;97,80 ;12.408 ;6.597 ;19.006 ;5,64 ;5,03 ;5,43 ;100,50
09/2014;94,00 ;12.437 ;6.616 ;19.054 ;5,21 ;5,29 ;5,24 ;102,50
10/2014;100,60 ;12.615 ;6.656 ;19.271 ;5,26 ;5,47 ;5,33 ;102,60
11/2014;102,90 ;12.806 ;6.672 ;19.478 ;5,12 ;4,55 ;4,92 ;104,00
12/2014;134,50 ;13.082 ;6.557 ;19.639 ;4,66 ;3,63 ;4,32 ;95,60
01/2015;100,30 ;13.199 ;6.531 ;19.730 ;4,82 ;3,53 ;4,39 ;88,20
02/2015;86,40 ;13.217 ;6.481 ;19.697 ;4,82 ;3,67 ;4,44 ;94,20
03/2015;92,40 ;13.315 ;6.509 ;19.824 ;4,71 ;4,52 ;4,65 ;97,20
04/2015;90,50 ;13.426 ;6.424 ;19.851 ;4,74 ;4,62 ;4,70 ;97,90
05/2015;93,50 ;13.555 ;6.411 ;19.966 ;4,80 ;6,89 ;5,47 ;99,70
06/2015;84,90 ;13.642 ;6.396 ;20.038 ;4,70 ;5,20 ;4,86 ;99,20
07/2015;85,50 ;13.723 ;6.431 ;20.155 ;4,93 ;5,39 ;5,08 ;98,50
08/2015;83,20 ;13.811 ;6.387 ;20.198 ;5,12 ;5,45 ;5,22 ;100,40
09/2015;81,60 ;13.885 ;6.396 ;20.281 ;5,26 ;5,15 ;5,23 ;100,50
10/2015;90,20 ;13.906 ;6.317 ;20.223 ;5,51 ;5,31 ;5,45 ;99,40
11/2015;93,10 ;14.016 ;6.224 ;20.240 ;5,59 ;5,81 ;5,66 ;98,60
12/2015;121,90 ;14.123 ;6.105 ;20.228 ;5,60 ;3,59 ;4,99 ;97,20
01/2016;88,80 ;14.118 ;6.001 ;20.119 ;5,53 ;4,29 ;5,16 ;92,50
02/2016;80,20 ;14.115 ;5.924 ;20.040 ;5,58 ;4,85 ;5,36 ;99,40
03/2016;86,00 ;14.135 ;5.799 ;19.935 ;5,45 ;4,96 ;5,31 ;97,60
04/2016;82,10 ;14.153 ;5.777 ;19.930 ;5,62 ;5,60 ;5,61 ;96,00
05/2016;82,30 ;14.215 ;5.696 ;19.910 ;5,58 ;5,32 ;5,51 ;97,70
06/2016;79,70 ;14.289 ;5.776 ;20.066 ;5,28 ;5,81 ;5,43 ;97,30
07/2016;81,60 ;14.323 ;5.761 ;20.084 ;5,02 ;5,08 ;5,04 ;94,40
08/2016;82,20 ;14.395 ;5.746 ;20.141 ;4,90 ;4,80 ;4,87 ;96,20
09/2016;79,80 ;14.426 ;5.703 ;20.129 ;5,06 ;4,38 ;4,86 ;94,60
10/2016;85,90 ;14.403 ;5.655 ;20.058 ;4,90 ;4,48 ;4,78 ;94,90
11/2016;88,80 ;14.527 ;5.606 ;20.133 ;4,71 ;4,18 ;4,56 ;95,40
12/2016;115,10 ;14.670 ;5.444 ;20.114 ;4,42 ;3,83 ;4,26 ;96,60
01/2017;93,50 ;14.713 ;5.349 ;20.062 ;4,37 ;3,81 ;4,22 ;94,90
02/2017;84,30 ;14.731 ;5.519 ;20.250 ;4,43 ;4,13 ;4,35 ;94,90
03/2017;91,20 ;14.773 ;5.431 ;20.205 ;4,39 ;5,08 ;4,58 ;97,70
04/2017;87,50 ;14.773 ;5.445 ;20.219 ;4,54 ;6,92 ;5,18 ;92,30
05/2017;90,00 ;14.883 ;5.437 ;20.320 ;4,70 ;11,03 ;6,39 ;93,10
06/2017;88,30 ;14.976 ;5.485 ;20.460 ;4,21 ;9,51 ;5,63 ;92,70
07/2017;89,70 ;15.073 ;5.380 ;20.452 ;4,41 ;8,61 ;5,51 ;92,70
08/2017;89,30 ;15.192 ;5.296 ;20.488 ;4,32 ;7,42 ;5,12 ;88,30
09/2017;89,90 ;15.257 ;5.226 ;20.482 ;4,30 ;7,83 ;5,20 ;89,50
10/2017;90,20 ;15.356 ;5.237 ;20.593 ;4,25 ;8,16 ;5,24 ;87,50
11/2017;97,60 ;15.528 ;5.107 ;20.635 ;4,13 ;7,00 ;4,84 ;88,90
12/2017;119,90 ;15.557 ;5.206 ;20.763 ;3,87 ;5,69 ;4,32 ;90,60
01/2018;93,80 ;15.633 ;5.122 ;20.756 ;4,16 ;5,99 ;4,61 ;90,90
02/2018;81,70 ;15.567 ;5.120 ;20.687 ;4,21 ;6,04 ;4,66 ;85,80
03/2018;94,10 ;15.651 ;4.990 ;20.641 ;4,26 ;9,71 ;5,58 ;89,70
04/2018;86,40 ;15.720 ;5.116 ;20.836 ;4,39 ;9,62 ;5,67 ;92,10
05/2018;93,90 ;15.854 ;5.152 ;21.006 ;4,46 ;9,54 ;5,70 ;90,50
06/2018;89,00 ;15.977 ;4.852 ;20.829 ;4,28 ;5,67 ;4,61 ;87,70
07/2018;86,50 ;16.073 ;4.849 ;20.921 ;4,29 ;5,27 ;4,51 ;90,10
08/2018;92,10 ;16.229 ;4.889 ;21.118 ;4,19 ;5,03 ;4,39 ;93,10
09/2018;87,90 ;16.332 ;4.864 ;21.196 ;4,12 ;5,86 ;4,52 ;91,70
10/2018;91,50 ;16.462 ;4.821 ;21.282 ;3,86 ;5,29 ;4,19 ;90,40
11/2018;101,10 ;16.692 ;4.860 ;21.552 ;3,74 ;5,13 ;4,05 ;88,20
12/2018;118,10 ;16.780 ;4.792 ;21.572 ;3,60 ;4,64 ;3,83 ;88,20
01/2019;91,50 ;16.837 ;4.835 ;21.671 ;3,74 ;4,44 ;3,90 ;87,60
02/2019;82,30 ;16.919 ;4.830 ;21.749 ;3,69 ;4,47 ;3,86 ;84,90
03/2019;87,40 ;17.024 ;4.840 ;21.864 ;3,75 ;4,42 ;3,89 ;85,60
04/2019;86,00 ;17.167 ;4.743 ;21.910 ;3,79 ;3,78 ;3,79 ;84,50
05/2019;90,50 ;17.361 ;4.798 ;22.158 ;3,97 ;4,33 ;4,05 ;84,40
06/2019;82,20 ;17.498 ;4.809 ;22.306 ;3,84 ;4,32 ;3,94 ;84,40
07/2019;86,60 ;17.685 ;4.764 ;22.450 ;3,92 ;4,14 ;3,97 ;88,10
08/2019;89,60 ;17.893 ;4.781 ;22.674 ;3,98 ;3,91 ;3,97 ;83,30
09/2019;85,90 ;18.066 ;4.765 ;22.831 ;4,03 ;3,88 ;4,00 ;83,30
10/2019;91,90 ;18.272 ;4.911 ;23.183 ;4,05 ;3,80 ;4,00 ;84,50
11/2019;100,00 ;18.549 ;4.922 ;23.471 ;4,10 ;3,82 ;4,04 ;85,10
12/2019;115,50 ;18.776 ;4.985 ;23.761 ;4,07 ;3,67 ;3,98 ;82,00
01/2020;91,50 ;18.904 ;4.923 ;23.827 ;4,30 ;3,10 ;4,05 ;84,50
02/2020;85,30 ;18.931 ;4.933 ;23.864 ;4,36 ;3,14 ;4,10 ;84,20
03/2020;79,70 ;18.941 ;5.005 ;23.946 ;4,81 ;3,57 ;4,55 ;78,60
04/2020;63,70 ;18.725 ;4.947 ;23.673 ;5,11 ;3,52 ;4,77 ;56,90
05/2020;73,00 ;18.661 ;4.937 ;23.598 ;5,16 ;4,16 ;4,95 ;55,30
Fonte;IBGE;BCB;BCB;BCB;BCB;BCB;BCB;BCB e IBGE
