Data;14083 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas físicas - R$ (milhões);14088 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas jurídicas - R$ (milhões);14093 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - R$ (milhões);15888 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas físicas - %;15920 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Pessoas jurídicas - %;15952 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - %;21186 - Índice de volume de vendas no varejo - Norte - Índice;21199 - Índice de volume de vendas no varejo - Norte - com ajuste sazonal - Índice;21931 - Produção industrial (2012=100) - Com ajuste sazonal - Região Norte - Índice;27967 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - região Norte - %
10/2008;21.431 ;18.511 ;39.942 ;5,71 ;2,52 ;4,00 ;67,38 ;66,02 ;100,34 ;0,32
11/2008;21.761 ;19.080 ;40.840 ;5,87 ;2,64 ;4,12 ;64,36 ;65,24 ;91,92 ;0,60
12/2008;21.981 ;19.321 ;41.302 ;5,95 ;2,65 ;4,17 ;92,68 ;65,08 ;88,10 ;0,62
01/2009;22.368 ;18.998 ;41.366 ;6,44 ;2,23 ;4,20 ;62,14 ;65,36 ;84,64 ;0,84
02/2009;22.595 ;18.684 ;41.279 ;6,67 ;2,89 ;4,68 ;55,51 ;65,87 ;86,45 ;0,56
03/2009;22.700 ;18.778 ;41.478 ;6,86 ;3,02 ;4,85 ;61,81 ;66,53 ;87,77 ;0,28
04/2009;23.072 ;19.114 ;42.186 ;7,00 ;2,83 ;4,81 ;60,67 ;66,20 ;80,12 ;0,82
05/2009;23.506 ;19.333 ;42.839 ;7,18 ;3,14 ;5,08 ;66,96 ;66,49 ;87,71 ;0,17
06/2009;23.981 ;19.421 ;43.401 ;7,24 ;3,82 ;5,47 ;63,54 ;67,13 ;88,18 ;0,13
07/2009;24.508 ;19.775 ;44.283 ;7,32 ;3,94 ;5,58 ;68,15 ;67,88 ;90,65 ;0,00
08/2009;24.897 ;20.138 ;45.036 ;7,42 ;4,32 ;5,83 ;69,23 ;68,72 ;91,79 ;0,32
09/2009;25.384 ;20.234 ;45.619 ;7,37 ;4,29 ;5,81 ;67,52 ;69,91 ;92,52 ;0,02
10/2009;26.015 ;20.858 ;46.873 ;7,25 ;4,14 ;5,66 ;72,56 ;70,70 ;97,26 ;0,48
11/2009;26.694 ;21.561 ;48.255 ;7,18 ;4,11 ;5,60 ;70,01 ;71,73 ;97,14 ;0,40
12/2009;26.933 ;22.318 ;49.251 ;6,71 ;3,91 ;5,26 ;101,03 ;71,68 ;91,30 ;0,36
01/2010;27.816 ;21.740 ;49.555 ;6,80 ;3,82 ;5,28 ;69,09 ;73,17 ;105,67 ;0,80
02/2010;27.854 ;21.810 ;49.664 ;6,76 ;4,18 ;5,44 ;64,93 ;76,93 ;102,42 ;1,37
03/2010;27.944 ;22.012 ;49.956 ;6,53 ;3,64 ;5,06 ;72,38 ;76,40 ;112,44 ;0,70
04/2010;28.631 ;22.415 ;51.046 ;6,45 ;3,69 ;5,05 ;70,23 ;76,33 ;104,12 ;0,58
05/2010;29.188 ;22.992 ;52.180 ;6,53 ;3,57 ;5,03 ;77,88 ;77,44 ;101,19 ;0,21
06/2010;29.767 ;23.901 ;53.668 ;6,27 ;3,47 ;4,83 ;73,56 ;77,60 ;102,65 ;0,13
07/2010;30.229 ;24.443 ;54.672 ;6,15 ;3,18 ;4,62 ;77,35 ;76,49 ;99,46 ;0,05
08/2010;30.679 ;25.790 ;56.469 ;5,90 ;2,94 ;4,35 ;80,17 ;80,28 ;100,45 ;-0,29
09/2010;31.507 ;26.536 ;58.043 ;5,72 ;3,10 ;4,35 ;79,35 ;82,04 ;98,05 ;0,36
10/2010;32.182 ;26.947 ;59.129 ;5,72 ;2,98 ;4,28 ;82,08 ;81,07 ;98,21 ;0,96
11/2010;32.891 ;27.721 ;60.612 ;5,42 ;2,80 ;4,05 ;80,05 ;81,48 ;102,22 ;1,40
12/2010;33.845 ;28.755 ;62.600 ;5,16 ;2,58 ;3,80 ;114,74 ;81,84 ;99,90 ;0,39
01/2011;34.668 ;28.201 ;62.868 ;5,25 ;3,14 ;4,16 ;78,01 ;82,29 ;104,43 ;0,86
02/2011;34.966 ;28.183 ;63.149 ;4,58 ;3,14 ;3,84 ;71,63 ;82,50 ;104,59 ;0,46
03/2011;35.364 ;28.914 ;64.277 ;4,66 ;3,09 ;3,85 ;75,95 ;81,88 ;103,82 ;0,34
04/2011;35.946 ;29.289 ;65.235 ;4,70 ;2,90 ;3,77 ;77,28 ;82,74 ;104,58 ;0,40
05/2011;36.468 ;29.882 ;66.350 ;4,86 ;2,93 ;3,86 ;82,33 ;83,00 ;108,81 ;0,55
06/2011;37.238 ;30.769 ;68.007 ;4,82 ;2,35 ;3,54 ;79,78 ;83,68 ;104,13 ;0,24
07/2011;38.272 ;30.533 ;68.805 ;4,85 ;2,35 ;3,58 ;83,85 ;83,89 ;108,09 ;-0,06
08/2011;38.776 ;31.067 ;69.843 ;4,92 ;2,33 ;3,60 ;86,79 ;85,85 ;103,82 ;0,41
09/2011;39.557 ;32.664 ;72.221 ;5,02 ;2,25 ;3,59 ;81,56 ;84,69 ;108,10 ;0,15
10/2011;40.135 ;33.157 ;73.292 ;5,27 ;2,26 ;3,71 ;85,06 ;84,25 ;110,29 ;0,17
11/2011;40.686 ;33.830 ;74.515 ;6,03 ;2,28 ;4,08 ;85,15 ;86,34 ;102,40 ;0,67
12/2011;41.376 ;34.807 ;76.182 ;6,04 ;2,45 ;4,17 ;123,82 ;88,38 ;101,31 ;0,45
01/2012;42.384 ;33.692 ;76.076 ;5,43 ;2,73 ;4,15 ;83,99 ;89,17 ;98,38 ;0,61
02/2012;42.742 ;33.737 ;76.479 ;5,77 ;2,82 ;4,40 ;78,14 ;88,89 ;98,31 ;0,61
03/2012;43.201 ;34.001 ;77.202 ;5,70 ;2,73 ;4,33 ;87,34 ;90,47 ;98,78 ;0,39
04/2012;43.591 ;34.503 ;78.094 ;5,77 ;3,35 ;4,70 ;84,32 ;91,62 ;99,80 ;0,77
05/2012;44.319 ;35.084 ;79.403 ;5,79 ;3,41 ;4,74 ;92,21 ;91,91 ;101,43 ;0,43
06/2012;45.022 ;35.873 ;80.895 ;5,69 ;4,96 ;5,37 ;88,52 ;92,21 ;102,35 ;0,23
07/2012;45.566 ;36.435 ;82.001 ;5,62 ;4,26 ;5,02 ;91,31 ;92,49 ;92,02 ;0,22
08/2012;46.289 ;37.104 ;83.393 ;5,52 ;4,62 ;5,11 ;93,72 ;92,53 ;102,53 ;0,72
09/2012;46.533 ;38.103 ;84.636 ;5,47 ;4,01 ;4,81 ;88,45 ;92,28 ;100,61 ;0,71
10/2012;47.209 ;38.650 ;85.859 ;5,43 ;4,03 ;4,80 ;92,74 ;91,85 ;97,92 ;1,02
11/2012;47.687 ;39.189 ;86.875 ;5,37 ;3,18 ;4,38 ;90,31 ;90,61 ;100,83 ;1,27
12/2012;48.619 ;41.385 ;90.004 ;5,36 ;3,08 ;4,31 ;126,34 ;92,14 ;105,25 ;1,03
01/2013;49.210 ;40.618 ;89.828 ;5,24 ;3,08 ;4,26 ;88,80 ;92,71 ;100,40 ;1,06
02/2013;49.564 ;40.443 ;90.006 ;5,20 ;3,13 ;4,27 ;79,79 ;93,83 ;98,62 ;0,58
03/2013;50.147 ;40.309 ;90.457 ;5,37 ;3,18 ;4,40 ;91,04 ;94,60 ;95,70 ;0,79
04/2013;50.965 ;40.747 ;91.713 ;5,34 ;3,20 ;4,39 ;87,89 ;95,18 ;92,50 ;0,64
05/2013;51.905 ;41.511 ;93.416 ;5,44 ;2,93 ;4,32 ;95,68 ;95,34 ;97,10 ;-0,16
06/2013;52.748 ;42.288 ;95.036 ;5,33 ;2,94 ;4,27 ;91,47 ;96,30 ;100,89 ;-0,07
07/2013;53.425 ;42.360 ;95.784 ;5,25 ;2,94 ;4,23 ;96,24 ;96,30 ;104,00 ;0,06
08/2013;54.102 ;43.355 ;97.457 ;5,21 ;2,96 ;4,21 ;98,14 ;96,68 ;104,56 ;0,41
09/2013;54.758 ;44.467 ;99.225 ;5,24 ;2,76 ;4,13 ;92,28 ;97,25 ;105,39 ;0,17
10/2013;55.335 ;45.241 ;100.576 ;5,20 ;2,75 ;4,10 ;98,38 ;97,17 ;106,61 ;0,58
11/2013;56.024 ;45.503 ;101.526 ;5,15 ;2,85 ;4,12 ;98,38 ;96,71 ;105,36 ;0,52
12/2013;56.876 ;46.458 ;103.334 ;5,03 ;3,00 ;4,12 ;135,16 ;100,74 ;110,14 ;0,63
01/2014;57.485 ;45.804 ;103.289 ;4,87 ;3,00 ;4,04 ;95,04 ;98,66 ;105,76 ;0,50
02/2014;57.815 ;46.175 ;103.989 ;4,87 ;3,19 ;4,13 ;86,30 ;98,28 ;106,44 ;0,38
03/2014;57.915 ;46.311 ;104.226 ;4,91 ;2,93 ;4,03 ;91,19 ;97,66 ;109,68 ;0,53
04/2014;58.926 ;46.308 ;105.234 ;4,88 ;2,83 ;3,98 ;91,15 ;98,01 ;106,19 ;0,52
05/2014;59.811 ;46.384 ;106.195 ;4,87 ;2,84 ;3,99 ;102,65 ;101,84 ;102,73 ;0,79
06/2014;60.693 ;46.648 ;107.341 ;4,73 ;2,79 ;3,89 ;93,21 ;99,41 ;98,25 ;0,21
07/2014;61.313 ;46.199 ;107.512 ;4,72 ;2,77 ;3,88 ;97,71 ;97,63 ;102,35 ;-0,02
08/2014;62.149 ;45.830 ;107.979 ;4,66 ;2,97 ;3,94 ;100,11 ;99,98 ;104,46 ;0,98
09/2014;62.606 ;46.026 ;108.631 ;4,48 ;2,71 ;3,73 ;96,47 ;101,08 ;101,64 ;0,47
10/2014;63.566 ;46.367 ;109.933 ;4,49 ;2,71 ;3,74 ;107,78 ;105,91 ;105,12 ;0,29
11/2014;64.415 ;46.917 ;111.331 ;4,45 ;2,44 ;3,61 ;103,85 ;101,71 ;103,08 ;0,76
12/2014;65.473 ;48.053 ;113.527 ;4,22 ;2,43 ;3,46 ;134,46 ;100,00 ;104,35 ;1,00
01/2015;66.057 ;47.297 ;113.354 ;4,30 ;2,54 ;3,56 ;96,19 ;99,32 ;101,44 ;1,02
02/2015;66.338 ;46.845 ;113.183 ;4,46 ;2,66 ;3,72 ;84,67 ;98,48 ;103,25 ;1,07
03/2015;66.839 ;46.824 ;113.663 ;4,27 ;2,70 ;3,62 ;93,89 ;98,77 ;100,35 ;0,58
04/2015;67.587 ;46.528 ;114.115 ;4,28 ;2,90 ;3,72 ;90,71 ;97,03 ;100,71 ;0,89
05/2015;68.195 ;46.241 ;114.436 ;4,40 ;3,30 ;3,96 ;96,67 ;97,37 ;98,38 ;0,86
06/2015;68.705 ;46.684 ;115.389 ;4,22 ;3,49 ;3,93 ;89,80 ;95,38 ;95,62 ;1,02
07/2015;69.206 ;46.475 ;115.681 ;4,29 ;3,96 ;4,16 ;94,14 ;93,64 ;95,36 ;-0,07
08/2015;69.782 ;46.495 ;116.277 ;4,37 ;4,69 ;4,50 ;93,03 ;92,96 ;94,42 ;0,32
09/2015;70.163 ;47.446 ;117.609 ;4,45 ;4,66 ;4,53 ;87,86 ;91,95 ;100,15 ;0,13
10/2015;70.457 ;47.058 ;117.516 ;4,56 ;4,19 ;4,41 ;95,04 ;92,76 ;94,23 ;1,07
11/2015;71.020 ;46.676 ;117.697 ;4,66 ;4,07 ;4,43 ;94,09 ;91,96 ;95,21 ;1,25
12/2015;71.392 ;47.307 ;118.698 ;4,69 ;4,15 ;4,47 ;120,20 ;90,27 ;92,46 ;1,39
01/2016;71.627 ;46.533 ;118.160 ;4,75 ;4,53 ;4,66 ;85,25 ;89,12 ;93,19 ;1,06
02/2016;71.746 ;45.833 ;117.580 ;4,88 ;4,62 ;4,78 ;79,10 ;88,37 ;94,18 ;1,11
03/2016;72.106 ;44.878 ;116.983 ;4,79 ;3,90 ;4,45 ;83,67 ;86,07 ;97,96 ;0,53
04/2016;72.206 ;44.668 ;116.874 ;4,96 ;5,44 ;5,14 ;80,51 ;85,77 ;96,67 ;0,90
05/2016;72.472 ;43.837 ;116.309 ;4,98 ;5,68 ;5,24 ;81,72 ;83,76 ;101,28 ;0,60
06/2016;72.896 ;43.826 ;116.722 ;4,60 ;5,18 ;4,82 ;78,99 ;83,49 ;99,17 ;0,52
07/2016;73.089 ;43.097 ;116.186 ;4,40 ;5,47 ;4,80 ;83,75 ;83,75 ;100,08 ;0,73
08/2016;73.440 ;42.800 ;116.239 ;4,43 ;5,45 ;4,80 ;82,90 ;82,59 ;97,55 ;0,24
09/2016;73.450 ;42.663 ;116.113 ;4,49 ;5,61 ;4,90 ;77,12 ;80,27 ;99,07 ;0,31
10/2016;73.383 ;42.291 ;115.675 ;4,61 ;5,64 ;4,99 ;82,03 ;81,22 ;93,30 ;0,51
11/2016;73.757 ;41.931 ;115.687 ;4,52 ;5,33 ;4,82 ;85,12 ;81,72 ;99,39 ;-0,14
12/2016;73.939 ;42.191 ;116.130 ;4,34 ;5,24 ;4,67 ;110,61 ;83,12 ;100,31 ;0,20
01/2017;74.232 ;40.887 ;115.119 ;4,33 ;4,59 ;4,42 ;79,95 ;84,92 ;102,26 ;0,37
02/2017;74.346 ;40.755 ;115.100 ;4,36 ;5,18 ;4,65 ;72,43 ;83,64 ;102,01 ;0,35
03/2017;74.699 ;40.445 ;115.144 ;4,34 ;5,30 ;4,68 ;82,49 ;84,30 ;100,80 ;0,13
04/2017;74.858 ;40.432 ;115.290 ;4,45 ;5,51 ;4,82 ;80,35 ;85,99 ;105,07 ;0,09
05/2017;75.396 ;39.921 ;115.317 ;4,48 ;5,20 ;4,73 ;84,97 ;86,07 ;104,46 ;-0,13
06/2017;75.794 ;40.434 ;116.228 ;4,14 ;5,02 ;4,45 ;82,25 ;87,08 ;106,40 ;-0,08
07/2017;76.249 ;39.782 ;116.031 ;4,27 ;5,15 ;4,57 ;87,86 ;88,23 ;106,66 ;0,10
08/2017;76.920 ;39.710 ;116.630 ;4,27 ;4,97 ;4,51 ;89,05 ;88,58 ;107,05 ;-0,22
09/2017;77.219 ;40.025 ;117.244 ;4,27 ;4,74 ;4,43 ;86,41 ;88,74 ;107,49 ;0,33
10/2017;77.792 ;40.088 ;117.880 ;4,23 ;4,74 ;4,40 ;88,57 ;88,73 ;108,01 ;0,31
11/2017;78.512 ;39.751 ;118.263 ;4,12 ;4,84 ;4,36 ;93,60 ;88,83 ;108,07 ;0,05
12/2017;78.745 ;40.154 ;118.899 ;3,97 ;4,74 ;4,23 ;115,92 ;89,22 ;112,58 ;-0,18
01/2018;79.250 ;39.214 ;118.464 ;4,14 ;4,94 ;4,40 ;86,50 ;91,06 ;118,68 ;0,08
02/2018;79.275 ;39.130 ;118.405 ;4,07 ;4,59 ;4,24 ;79,98 ;92,29 ;107,78 ;0,57
03/2018;79.794 ;39.757 ;119.551 ;4,06 ;4,39 ;4,17 ;91,03 ;91,14 ;116,67 ;0,03
04/2018;80.416 ;39.625 ;120.041 ;3,97 ;4,53 ;4,16 ;83,47 ;90,66 ;111,28 ;0,35
05/2018;81.187 ;40.006 ;121.193 ;3,95 ;3,84 ;3,91 ;90,81 ;92,00 ;114,99 ;0,29
06/2018;81.864 ;40.176 ;122.040 ;3,82 ;3,27 ;3,64 ;86,47 ;90,50 ;111,27 ;0,70
07/2018;82.343 ;39.710 ;122.053 ;3,82 ;3,40 ;3,69 ;88,04 ;89,94 ;118,34 ;0,05
08/2018;83.400 ;39.488 ;122.888 ;3,72 ;3,42 ;3,62 ;91,96 ;91,26 ;112,45 ;-0,09
09/2018;83.970 ;39.945 ;123.915 ;3,70 ;3,28 ;3,57 ;88,85 ;91,72 ;113,62 ;0,09
10/2018;84.901 ;39.721 ;124.622 ;3,72 ;3,09 ;3,52 ;93,10 ;91,94 ;114,42 ;0,54
11/2018;86.164 ;40.292 ;126.456 ;3,65 ;2,68 ;3,34 ;102,50 ;96,61 ;114,55 ;-0,01
12/2018;86.844 ;41.209 ;128.053 ;3,58 ;2,46 ;3,22 ;118,68 ;92,27 ;111,04 ;0,49
01/2019;87.554 ;40.368 ;127.923 ;3,55 ;2,75 ;3,30 ;87,45 ;92,56 ;115,29 ;0,26
02/2019;88.481 ;40.896 ;129.377 ;3,41 ;2,76 ;3,20 ;82,83 ;93,24 ;113,61 ;0,95
03/2019;89.319 ;40.629 ;129.948 ;3,48 ;3,06 ;3,35 ;91,36 ;94,72 ;111,90 ;0,52
04/2019;90.281 ;40.610 ;130.892 ;3,42 ;2,98 ;3,29 ;88,37 ;94,90 ;88,63 ;0,56
05/2019;91.414 ;40.875 ;132.289 ;3,53 ;3,54 ;3,53 ;94,53 ;95,39 ;114,76 ;0,11
06/2019;92.348 ;41.667 ;134.015 ;3,44 ;4,37 ;3,73 ;92,20 ;97,31 ;120,78 ;0,13
07/2019;93.330 ;40.403 ;133.733 ;3,52 ;3,73 ;3,58 ;96,53 ;97,70 ;116,99 ;0,01
08/2019;94.934 ;40.739 ;135.674 ;3,53 ;3,84 ;3,62 ;99,11 ;98,03 ;125,26 ;-0,17
09/2019;96.296 ;41.294 ;137.591 ;3,61 ;3,86 ;3,69 ;95,76 ;99,37 ;117,69 ;0,10
10/2019;97.642 ;41.707 ;139.349 ;3,59 ;3,42 ;3,54 ;101,59 ;99,91 ;115,97 ;0,19
11/2019;99.464 ;43.183 ;142.646 ;3,55 ;3,76 ;3,61 ;112,91 ;104,92 ;114,82 ;0,91
12/2019;101.058 ;43.891 ;144.949 ;3,52 ;3,79 ;3,60 ;125,80 ;99,59 ;116,14 ;1,67
01/2020;102.393 ;42.987 ;145.381 ;3,61 ;3,94 ;3,71 ;94,21 ;99,78 ;112,82 ;0,32
02/2020;103.160 ;42.983 ;146.143 ;3,63 ;3,67 ;3,64 ;90,82 ;100,60 ;117,01 ;0,24
03/2020;103.833 ;44.649 ;148.482 ;3,91 ;3,85 ;3,89 ;85,76 ;87,34 ;102,89 ;-0,14
04/2020;103.211 ;44.800 ;148.011 ;4,09 ;3,59 ;3,93 ;68,85 ;73,49 ;81,80 ;-0,17
05/2020;102.933 ;45.560 ;148.492 ;4,12 ;3,38 ;3,90 ;80,30 ;81,48 ;87,49 ;-0,38
Fonte;BCB;BCB;BCB;BCB;BCB;BCB;BCB e IBGE;BCB e IBGE;BCB e IBGE;IBGE
