Data;1474 - indice volume de vendas no varejo - Total - Rio de Janeiro - indice;1489 - indice volume de vendas no varejo - Combustiveis e lubrificantes - Rio de Janeiro - indice;1502 - indice volume de vendas no varejo - Hiper/supermercado, Prod. alimenticios, bebidas, fumo - Rio de Janeiro - indice;1515 - indice volume de vendas no varejo - Tecido, vestuario e calcado - Rio de Janeiro - indice;1528 - indice volume de vendas no varejo - Moveis e eletrodomesticos - Rio de Janeiro - indice;1554 - indice volume de vendas no varejo - Automoveis, motocicletas, partes e pecas - Rio de Janeiro - indice;1567 - indice volume de vendas no varejo - Hipermercados e supermercados - Rio de Janeiro - indice;7491 - Cesta basica - Rio de Janeiro - u.m.c.;13381 - indice Nacional de Precos ao Consumidor Amplo - variacao mensal - Rio de Janeiro - %;13382 - indice Nacional de Precos ao Consumidor - variacao mensal - Rio de Janeiro - %;21929 - Producao Industrial (2012=100) - Geral - Rio de Janeiro - com ajuste sazonal - indice;25397 - indice de Atividade Economica Regional - Rio de Janeiro - com ajuste sazonal - indice;28034 - PMS - indice de volume de servicos - Total - Rio de Janeiro - com ajuste sazonal - indice
09/1993;-;-;-;-;-;-;-;-;35,70;34,80 ;-;-;-
10/1993;-;-;-;-;-;-;-;-;34,84;35,60 ;-;-;-
11/1993;-;-;-;-;-;-;-;-;35,46;36,10 ;-;-;-
12/1993;-;-;-;-;-;-;-;-;37,28;38,60 ;-;-;-
01/1994;-;-;-;-;-;-;-;-;42,81;42,60 ;-;-;-
02/1994;-;-;-;-;-;-;-;-;38,83;38,80 ;-;-;-
03/1994;-;-;-;-;-;-;-;-;42,55;43,50 ;-;-;-
04/1994;-;-;-;-;-;-;-;-;40,82;41,70 ;-;-;-
05/1994;-;-;-;-;-;-;-;-;43,52;42,60 ;-;-;-
06/1994;-;-;-;-;-;-;-;-;48,11;48,80 ;-;-;-
07/1994;-;-;-;-;-;-;-;-;7,08;8,40 ;-;-;-
08/1994;-;-;-;-;-;-;-;-;1,59;1,30 ;-;-;-
09/1994;-;-;-;-;-;-;-;-;1,03;0,60 ;-;-;-
10/1994;-;-;-;-;-;-;-;-;2,13;1,70 ;-;-;-
11/1994;-;-;-;-;-;-;-;-;2,98;2,90 ;-;-;-
12/1994;-;-;-;-;-;-;-;-;1,60;1,30 ;-;-;-
01/1995;-;-;-;-;-;-;-;-;1,89;1,30 ;-;-;-
02/1995;-;-;-;-;-;-;-;-;1,02;1,20 ;-;-;-
03/1995;-;-;-;-;-;-;-;-;1,29;1,10 ;-;-;-
04/1995;-;-;-;-;-;-;-;-;2,15;2,30 ;-;-;-
05/1995;-;-;-;-;-;-;-;-;2,59;1,80 ;-;-;-
06/1995;-;-;-;-;-;-;-;-;3,08;3,20 ;-;-;-
07/1995;-;-;-;-;-;-;-;-;1,47;1,50 ;-;-;-
08/1995;-;-;-;-;-;-;-;-;0,99;0,90 ;-;-;-
09/1995;-;-;-;-;-;-;-;-;1,19;1,20 ;-;-;-
10/1995;-;-;-;-;-;-;-;-;1,20;1,20 ;-;-;-
11/1995;-;-;-;-;-;-;-;-;1,85;1,60 ;-;-;-
12/1995;-;-;-;-;-;-;-;-;1,60;2,90 ;-;-;-
01/1996;-;-;-;-;-;-;-;-;1,90;2,40 ;-;-;-
02/1996;-;-;-;-;-;-;-;-;1,12;0,70 ;-;-;-
03/1996;-;-;-;-;-;-;-;-;0,32;0,20 ;-;-;-
04/1996;-;-;-;-;-;-;-;-;0,76;0,60 ;-;-;-
05/1996;-;-;-;-;-;-;-;-;1,41;1,40 ;-;-;-
06/1996;-;-;-;-;-;-;-;-;1,12;1,20 ;-;-;-
07/1996;-;-;-;-;-;-;-;-;1,05;1,20 ;-;-;-
08/1996;-;-;-;-;-;-;-;-;0,14;0,10 ;-;-;-
09/1996;-;-;-;-;-;-;-;-;-0,03;-0,20 ;-;-;-
10/1996;-;-;-;-;-;-;-;-;-0,01;0,00 ;-;-;-
11/1996;-;-;-;-;-;-;-;-;0,51;0,50 ;-;-;-
12/1996;-;-;-;-;-;-;-;-;0,99;0,80 ;-;-;-
01/1997;-;-;-;-;-;-;-;-;1,51;1,20 ;-;-;-
02/1997;-;-;-;-;-;-;-;-;0,46;0,50 ;-;-;-
03/1997;-;-;-;-;-;-;-;-;0,76;0,90 ;-;-;-
04/1997;-;-;-;-;-;-;-;-;0,82;0,60 ;-;-;-
05/1997;-;-;-;-;-;-;-;-;0,40;0,00 ;-;-;-
06/1997;-;-;-;-;-;-;-;-;0,64;0,60 ;-;-;-
07/1997;-;-;-;-;-;-;-;-;0,31;0,50 ;-;-;-
08/1997;-;-;-;-;-;-;-;-;-0,07;-0,10 ;-;-;-
09/1997;-;-;-;-;-;-;-;-;0,23;0,30 ;-;-;-
10/1997;-;-;-;-;-;-;-;-;0,49;0,60 ;-;-;-
11/1997;-;-;-;-;-;-;-;-;0,30;0,40 ;-;-;-
12/1997;-;-;-;-;-;-;-;-;0,54;0,70 ;-;-;-
01/1998;-;-;-;-;-;-;-;98,38 ;1,79;1,70 ;-;-;-
02/1998;-;-;-;-;-;-;-;99,22 ;0,30;0,30 ;-;-;-
03/1998;-;-;-;-;-;-;-;100,36 ;0,65;0,80 ;-;-;-
04/1998;-;-;-;-;-;-;-;101,44 ;0,48;0,70 ;-;-;-
05/1998;-;-;-;-;-;-;-;101,18 ;0,16;0,00 ;-;-;-
06/1998;-;-;-;-;-;-;-;100,86 ;0,18;0,30 ;-;-;-
07/1998;-;-;-;-;-;-;-;96,92 ;-0,02;-0,10 ;-;-;-
08/1998;-;-;-;-;-;-;-;92,60 ;-0,67;-0,60 ;-;-;-
09/1998;-;-;-;-;-;-;-;92,38 ;0,00;0,00 ;-;-;-
10/1998;-;-;-;-;-;-;-;89,14 ;-0,28;-0,20 ;-;-;-
11/1998;-;-;-;-;-;-;-;93,49 ;0,10;0,10 ;-;-;-
12/1998;-;-;-;-;-;-;-;94,03 ;0,46;0,90 ;-;-;-
01/1999;-;-;-;-;-;-;-;94,16 ;0,30;0,20 ;-;-;-
02/1999;-;-;-;-;-;-;-;93,30 ;1,03;1,10 ;-;-;-
03/1999;-;-;-;-;-;-;-;96,47 ;1,38;1,70 ;-;-;-
04/1999;-;-;-;-;-;-;-;96,00 ;0,66;0,70 ;-;-;-
05/1999;-;-;-;-;-;-;-;97,67 ;0,24;0,00 ;-;-;-
06/1999;-;-;-;-;-;-;-;96,12 ;0,22;0,00 ;-;-;-
07/1999;-;-;-;-;-;-;-;94,87 ;1,56;1,60 ;-;-;-
08/1999;-;-;-;-;-;-;-;98,18 ;1,03;1,10 ;-;-;-
09/1999;-;-;-;-;-;-;-;97,05 ;0,10;0,10 ;-;-;-
10/1999;-;-;-;-;-;-;-;100,78 ;0,90;0,80 ;-;-;-
11/1999;-;-;-;-;-;-;-;101,97 ;1,17;1,30 ;-;-;-
12/1999;-;-;-;-;-;-;-;100,87 ;0,63;0,80 ;-;-;-
01/2000;50,00 ;101,30 ;64,60 ;61,20 ;35,20 ;55,80 ;67,00 ;100,82 ;0,58;0,70 ;-;-;-
02/2000;50,40 ;96,20 ;65,80 ;68,30 ;32,30 ;61,50 ;68,40 ;107,29 ;0,26;0,10 ;-;-;-
03/2000;50,70 ;97,10 ;68,90 ;65,60 ;33,50 ;53,10 ;71,80 ;110,13 ;0,75;0,90 ;-;-;-
04/2000;54,50 ;96,70 ;76,90 ;69,30 ;34,10 ;49,90 ;80,40 ;108,01 ;0,45;0,20 ;-;-;-
05/2000;56,90 ;97,40 ;74,40 ;85,30 ;42,40 ;57,50 ;77,90 ;98,51 ;-0,28;-0,50 ;-;-;-
06/2000;54,90 ;99,00 ;74,70 ;81,30 ;34,50 ;52,20 ;78,20 ;97,73 ;0,10;-0,10 ;-;-;-
07/2000;58,40 ;99,90 ;79,60 ;81,60 ;40,40 ;56,30 ;83,50 ;101,41 ;1,31;1,10 ;-;-;-
08/2000;58,30 ;96,70 ;79,20 ;77,50 ;41,00 ;57,80 ;82,70 ;106,00 ;1,19;1,10 ;-;-;-
09/2000;55,60 ;93,70 ;79,10 ;70,10 ;36,70 ;53,40 ;83,00 ;108,74 ;0,10;0,10 ;-;-;-
10/2000;56,00 ;97,40 ;76,50 ;73,00 ;38,40 ;58,80 ;80,30 ;113,00 ;0,09;0,00 ;-;-;-
11/2000;57,80 ;92,60 ;78,30 ;79,20 ;41,70 ;60,20 ;81,90 ;115,11 ;1,19;1,70 ;-;-;-
12/2000;83,40 ;98,60 ;107,00 ;160,70 ;70,40 ;62,30 ;112,70 ;113,27 ;1,12;1,50 ;-;-;-
01/2001;54,00 ;89,20 ;74,40 ;65,70 ;37,40 ;68,80 ;77,70 ;116,61 ;0,64;0,60 ;-;-;-
02/2001;51,10 ;87,30 ;74,70 ;62,00 ;30,40 ;54,20 ;78,30 ;114,61 ;0,52;0,40 ;-;-;-
03/2001;54,70 ;90,10 ;76,10 ;69,90 ;34,70 ;75,80 ;79,60 ;117,60 ;0,58;0,60 ;-;-;-
04/2001;52,30 ;89,80 ;74,30 ;64,70 ;31,00 ;62,40 ;77,80 ;118,58 ;0,55;0,70 ;-;-;-
05/2001;55,40 ;89,30 ;72,20 ;90,60 ;38,40 ;65,20 ;75,50 ;122,65 ;0,42;0,50 ;-;-;-
06/2001;53,10 ;89,40 ;71,10 ;81,30 ;31,80 ;56,60 ;74,20 ;120,53 ;0,30;0,30 ;-;-;-
07/2001;54,90 ;90,70 ;73,00 ;80,50 ;34,30 ;60,10 ;76,30 ;122,08 ;0,96;0,80 ;-;-;-
08/2001;56,50 ;94,80 ;73,80 ;81,40 ;37,50 ;57,80 ;77,20 ;125,62 ;0,68;0,70 ;-;-;-
09/2001;53,60 ;89,40 ;72,00 ;71,50 ;34,30 ;51,80 ;74,80 ;119,64 ;0,26;0,50 ;-;-;-
10/2001;56,60 ;94,60 ;72,50 ;77,90 ;38,20 ;56,80 ;75,40 ;117,13 ;0,76;0,70 ;-;-;-
11/2001;56,10 ;89,80 ;69,00 ;85,10 ;39,00 ;47,50 ;71,60 ;125,18 ;1,49;2,00 ;-;-;-
12/2001;80,30 ;98,40 ;95,00 ;168,40 ;64,50 ;50,90 ;99,70 ;126,20 ;1,04;1,30 ;-;-;-
01/2002;54,70 ;95,60 ;72,40 ;64,80 ;38,00 ;56,10 ;75,60 ;123,42 ;1,11;1,70 ;86,3 ;-;-
02/2002;49,20 ;81,30 ;65,40 ;58,50 ;28,90 ;43,90 ;68,10 ;126,40 ;0,37;0,10 ;85,6 ;-;-
03/2002;57,00 ;96,40 ;76,10 ;62,90 ;38,40 ;57,10 ;79,30 ;126,65 ;0,47;0,30 ;85,1 ;-;-
04/2002;52,10 ;94,10 ;67,80 ;64,40 ;33,60 ;56,70 ;70,50 ;127,97 ;0,61;0,30 ;86,8 ;-;-
05/2002;58,60 ;101,90 ;73,90 ;86,10 ;39,90 ;49,90 ;77,00 ;125,55 ;0,01;-0,30 ;86,6 ;-;-
06/2002;52,80 ;94,30 ;68,70 ;76,90 ;30,20 ;45,00 ;71,90 ;125,09 ;0,70;1,10 ;87,0 ;-;-
07/2002;56,60 ;106,40 ;70,90 ;84,10 ;33,70 ;56,00 ;74,30 ;127,39 ;0,99;0,90 ;88,6 ;-;-
08/2002;56,90 ;116,30 ;71,80 ;80,30 ;33,30 ;54,50 ;75,50 ;128,81 ;0,57;0,80 ;92,9 ;-;-
09/2002;52,50 ;110,20 ;66,30 ;70,50 ;30,30 ;58,90 ;69,50 ;133,77 ;0,74;0,80 ;87,4 ;-;-
10/2002;56,90 ;118,60 ;69,80 ;81,20 ;34,70 ;60,50 ;73,10 ;134,72 ;1,14;1,70 ;88,0 ;-;-
11/2002;56,90 ;107,00 ;69,50 ;86,00 ;37,00 ;50,90 ;73,00 ;148,05 ;3,25;3,90 ;87,5 ;-;-
12/2002;76,60 ;112,90 ;82,70 ;163,90 ;58,10 ;51,30 ;87,50 ;146,59 ;2,28;3,00 ;88,3 ;-;-
01/2003;49,60 ;99,40 ;62,60 ;58,00 ;32,00 ;53,90 ;66,00 ;150,74 ;2,48;2,50 ;87,3 ;100,45 ;-
02/2003;50,00 ;91,10 ;60,50 ;60,70 ;29,80 ;57,30 ;63,70 ;156,10 ;1,74;1,40 ;89,0 ;101,11 ;-
03/2003;48,90 ;89,20 ;62,00 ;55,80 ;28,00 ;44,50 ;65,40 ;166,76 ;1,04;1,00 ;88,5 ;100,23 ;-
04/2003;48,90 ;84,50 ;62,00 ;58,70 ;28,20 ;48,30 ;65,40 ;173,20 ;1,36;1,90 ;88,6 ;100,20 ;-
05/2003;50,60 ;88,20 ;61,70 ;65,90 ;32,80 ;45,80 ;64,80 ;166,52 ;0,71;0,70 ;87,3 ;99,71 ;-
06/2003;48,90 ;88,20 ;58,50 ;68,90 ;29,50 ;43,00 ;61,60 ;157,31 ;-0,03;0,10 ;87,8 ;99,56 ;-
07/2003;52,30 ;94,80 ;61,50 ;71,50 ;33,10 ;48,00 ;64,80 ;152,35 ;0,02;-0,10 ;87,2 ;100,18 ;-
08/2003;51,30 ;91,40 ;61,70 ;69,10 ;33,60 ;44,70 ;65,10 ;145,96 ;0,51;0,60 ;86,5 ;99,79 ;-
09/2003;50,00 ;97,00 ;57,40 ;63,20 ;34,60 ;54,00 ;60,50 ;149,52 ;0,38;0,40 ;87,6 ;99,80 ;-
10/2003;53,20 ;99,60 ;61,50 ;68,70 ;37,10 ;54,10 ;64,90 ;152,98 ;0,20;0,30 ;90,2 ;99,91 ;-
11/2003;54,40 ;95,20 ;60,90 ;71,80 ;42,20 ;56,10 ;64,20 ;158,11 ;0,88;1,20 ;88,1 ;100,30 ;-
12/2003;75,90 ;101,30 ;79,30 ;158,80 ;63,30 ;58,50 ;84,20 ;156,06 ;0,56;0,60 ;83,8 ;99,66 ;-
01/2004;52,30 ;93,10 ;63,30 ;55,50 ;36,50 ;58,80 ;66,80 ;166,88 ;0,86;0,80 ;87,4 ;100,56 ;-
02/2004;49,40 ;84,00 ;62,00 ;52,30 ;30,60 ;46,80 ;65,60 ;161,91 ;0,63;0,40 ;88,9 ;100,65 ;-
03/2004;53,50 ;90,40 ;63,30 ;60,70 ;36,00 ;60,20 ;66,80 ;158,57 ;0,11;-0,10 ;89,4 ;100,71 ;-
04/2004;53,30 ;91,00 ;64,70 ;56,40 ;37,30 ;48,90 ;68,40 ;153,59 ;0,06;0,00 ;88,6 ;101,21 ;-
05/2004;57,10 ;95,90 ;64,00 ;76,90 ;46,90 ;56,10 ;67,60 ;160,76 ;0,45;0,60 ;90,0 ;101,46 ;-
06/2004;53,50 ;89,90 ;62,00 ;70,70 ;39,50 ;56,40 ;65,40 ;170,92 ;0,64;0,60 ;92,7 ;102,48 ;-
07/2004;56,00 ;95,70 ;66,00 ;70,00 ;42,20 ;55,60 ;69,70 ;168,53 ;0,94;1,10 ;91,3 ;102,56 ;-
08/2004;55,70 ;95,30 ;63,90 ;67,10 ;43,40 ;60,20 ;67,70 ;178,81 ;1,09;1,10 ;92,1 ;103,17 ;-
09/2004;52,90 ;91,60 ;61,40 ;61,20 ;42,00 ;60,50 ;64,90 ;171,51 ;0,37;0,10 ;92,8 ;103,26 ;-
10/2004;56,80 ;93,20 ;67,20 ;66,30 ;44,40 ;57,50 ;71,10 ;167,21 ;0,25;0,00 ;93,0 ;103,92 ;-
11/2004;55,30 ;92,20 ;63,80 ;69,80 ;47,20 ;62,00 ;67,50 ;164,18 ;0,50;0,30 ;91,8 ;103,70 ;-
12/2004;81,80 ;98,80 ;87,80 ;147,10 ;74,50 ;64,80 ;93,10 ;165,38 ;0,84;0,70 ;92,9 ;104,68 ;-
01/2005;53,00 ;87,80 ;63,40 ;56,20 ;41,90 ;63,80 ;67,10 ;164,81 ;0,76;0,80 ;92,4 ;104,33 ;-
02/2005;49,70 ;78,30 ;60,80 ;51,40 ;35,10 ;50,50 ;63,20 ;169,79 ;0,50;0,20 ;91,1 ;103,77 ;-
03/2005;57,70 ;81,00 ;69,00 ;58,10 ;42,30 ;62,80 ;71,90 ;167,02 ;0,29;0,20 ;93,0 ;105,32 ;-
04/2005;55,00 ;78,70 ;65,80 ;63,40 ;44,40 ;55,90 ;68,30 ;170,21 ;1,07;1,50 ;93,6 ;105,88 ;-
05/2005;57,50 ;82,40 ;65,90 ;72,30 ;51,90 ;58,90 ;68,50 ;179,82 ;0,83;1,30 ;94,8 ;107,38 ;-
06/2005;56,80 ;79,40 ;65,20 ;72,80 ;48,10 ;56,20 ;67,70 ;172,26 ;-0,10;-0,20 ;90,4 ;106,68 ;-
07/2005;58,90 ;79,30 ;69,40 ;76,00 ;47,70 ;53,30 ;72,20 ;168,60 ;-0,07;-0,30 ;89,9 ;106,81 ;-
08/2005;58,10 ;79,40 ;68,60 ;71,40 ;45,90 ;62,20 ;71,00 ;164,54 ;0,11;-0,10 ;94,2 ;107,41 ;-
09/2005;55,80 ;77,90 ;67,70 ;64,60 ;40,60 ;53,90 ;70,20 ;161,79 ;0,25;0,10 ;98,3 ;108,67 ;-
10/2005;58,30 ;79,70 ;68,70 ;70,10 ;46,10 ;54,30 ;71,10 ;164,47 ;0,34;0,20 ;96,0 ;108,45 ;-
11/2005;58,60 ;73,20 ;66,00 ;80,20 ;50,90 ;58,30 ;68,10 ;176,31 ;0,88;0,90 ;97,0 ;109,19 ;-
12/2005;85,80 ;79,20 ;87,50 ;167,10 ;76,80 ;56,50 ;90,70 ;178,09 ;0,37;0,50 ;96,7 ;109,04 ;-
01/2006;56,50 ;69,30 ;66,00 ;59,90 ;42,70 ;57,50 ;67,90 ;172,80 ;0,80;0,50 ;97,8 ;109,97 ;-
02/2006;53,90 ;67,70 ;67,40 ;53,40 ;39,30 ;52,40 ;70,50 ;172,61 ;0,74;0,70 ;98,0 ;110,48 ;-
03/2006;58,80 ;70,00 ;71,70 ;57,70 ;44,70 ;63,00 ;74,60 ;168,68 ;0,18;-0,10 ;94,0 ;109,73 ;-
04/2006;59,20 ;68,90 ;74,10 ;58,50 ;41,40 ;53,40 ;76,90 ;175,64 ;0,38;0,40 ;95,1 ;110,64 ;-
05/2006;62,50 ;70,20 ;71,30 ;76,50 ;57,40 ;64,80 ;74,30 ;168,92 ;0,27;0,30 ;94,9 ;110,97 ;-
06/2006;58,10 ;66,40 ;70,70 ;66,80 ;43,50 ;55,20 ;73,60 ;165,07 ;-0,33;-0,30 ;94,6 ;108,71 ;-
07/2006;59,20 ;68,20 ;72,40 ;69,70 ;43,80 ;63,50 ;75,30 ;159,68 ;0,37;0,60 ;95,7 ;111,39 ;-
08/2006;61,50 ;69,90 ;73,20 ;69,50 ;47,10 ;69,50 ;76,00 ;155,23 ;0,28;0,30 ;96,2 ;111,63 ;-
09/2006;61,10 ;68,80 ;73,80 ;66,10 ;46,50 ;60,30 ;76,80 ;163,33 ;0,41;0,30 ;94,8 ;111,59 ;-
10/2006;62,70 ;69,60 ;74,20 ;70,40 ;51,30 ;63,10 ;77,40 ;166,75 ;0,34;0,40 ;92,9 ;112,59 ;-
11/2006;64,70 ;70,10 ;74,30 ;86,70 ;55,60 ;65,30 ;77,50 ;179,09 ;0,20;0,10 ;94,7 ;112,98 ;-
12/2006;89,90 ;80,00 ;93,60 ;167,70 ;79,30 ;65,20 ;97,70 ;171,39 ;0,31;0,50 ;94,1 ;113,84 ;-
01/2007;60,70 ;75,30 ;69,80 ;60,00 ;53,10 ;70,10 ;72,20 ;176,57 ;0,56;0,60 ;94,9 ;113,65 ;-
02/2007;57,10 ;68,50 ;68,80 ;56,80 ;45,10 ;56,90 ;71,20 ;177,69 ;0,32;0,10 ;95,4 ;113,60 ;-
03/2007;63,70 ;75,60 ;74,70 ;64,70 ;52,80 ;73,40 ;77,40 ;192,26 ;0,09;0,10 ;99,7 ;114,67 ;-
04/2007;61,50 ;68,80 ;72,20 ;62,20 ;49,90 ;66,30 ;74,90 ;181,22 ;-0,16;-0,30 ;98,6 ;114,70 ;-
05/2007;65,90 ;68,50 ;71,60 ;91,80 ;61,60 ;71,80 ;74,20 ;175,33 ;0,17;0,20 ;98,6 ;114,58 ;-
06/2007;61,90 ;66,10 ;70,90 ;83,00 ;52,70 ;68,60 ;73,30 ;173,33 ;0,37;0,30 ;98,1 ;114,70 ;-
07/2007;63,40 ;71,10 ;71,00 ;86,40 ;55,60 ;72,80 ;73,50 ;177,71 ;0,39;0,50 ;93,9 ;114,85 ;-
08/2007;65,90 ;72,00 ;71,50 ;84,50 ;57,90 ;79,60 ;73,80 ;182,14 ;0,40;0,60 ;98,6 ;115,23 ;-
09/2007;63,60 ;70,00 ;72,20 ;78,00 ;53,20 ;71,60 ;74,60 ;187,95 ;0,27;0,30 ;96,9 ;115,18 ;-
10/2007;66,30 ;72,40 ;71,60 ;83,90 ;59,70 ;81,90 ;74,00 ;194,27 ;0,30;0,20 ;99,3 ;115,83 ;-
11/2007;68,30 ;69,80 ;73,60 ;99,70 ;62,80 ;78,90 ;76,00 ;194,92 ;0,33;0,40 ;99,0 ;116,65 ;-
12/2007;95,90 ;76,40 ;95,70 ;201,50 ;84,60 ;72,90 ;99,40 ;194,46 ;0,70;0,90 ;98,9 ;117,44 ;-
01/2008;67,60 ;73,20 ;74,20 ;72,20 ;60,60 ;82,70 ;76,90 ;206,22 ;0,59;0,90 ;103,4 ;118,07 ;-
02/2008;62,20 ;68,10 ;71,60 ;65,20 ;50,10 ;66,70 ;74,20 ;203,82 ;0,50;0,50 ;100,0 ;117,52 ;-
03/2008;69,80 ;74,70 ;79,00 ;73,90 ;56,50 ;80,60 ;81,80 ;214,66 ;0,38;0,40 ;100,1 ;118,86 ;-
04/2008;65,60 ;72,80 ;73,00 ;79,00 ;58,70 ;83,90 ;75,40 ;222,24 ;0,70;0,70 ;96,0 ;118,69 ;-
05/2008;71,40 ;76,00 ;77,50 ;97,10 ;64,00 ;77,30 ;80,20 ;222,93 ;0,64;0,80 ;100,1 ;120,62 ;-
06/2008;66,90 ;73,70 ;72,00 ;96,80 ;57,80 ;81,50 ;74,50 ;236,16 ;0,55;0,70 ;102,6 ;121,32 ;-
07/2008;69,90 ;83,20 ;75,30 ;90,70 ;61,10 ;87,10 ;77,90 ;240,03 ;0,46;0,50 ;101,5 ;121,90 ;-
08/2008;70,00 ;84,30 ;76,10 ;86,60 ;61,10 ;76,80 ;79,00 ;214,68 ;0,45;0,40 ;100,6 ;122,42 ;-
09/2008;67,80 ;81,30 ;73,10 ;78,60 ;64,50 ;88,00 ;75,90 ;215,58 ;0,15;0,00 ;101,4 ;122,55 ;-
10/2008;72,10 ;85,40 ;76,90 ;81,70 ;71,00 ;69,40 ;79,90 ;220,99 ;0,54;0,70 ;100,6 ;122,11 ;-
11/2008;70,50 ;81,10 ;76,20 ;84,40 ;65,00 ;60,40 ;79,20 ;225,26 ;0,45;0,50 ;99,1 ;121,66 ;-
12/2008;100,60 ;81,50 ;98,40 ;173,80 ;100,20 ;65,50 ;102,50 ;239,78 ;0,77;1,00 ;88,5 ;120,34 ;-
