Data;1457 - Índice de volume de vendas no varejo - Total - Acre - Índice;14002 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - R$ (milhões);14029 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas jurídicas - R$ (milhões);14056 - Saldo das operações de crédito do Sistema Financeiro Nacional - Acre - Total - R$ (milhões);15861 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas físicas - %;15893 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Pessoas jurídicas - %;15925 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Acre - Total - %;24003 - PMS - Índice de volume de serviços - Total - Acre - Índice;27968 - Índice Nacional de Preços ao Consumidor Amplo - variação mensal - Rio Branco - %
11/2006;50,30 ;545 ;375 ;920 ;4,13 ;1,76 ;2,98 ;-;-
12/2006;68,20 ;564 ;382 ;946 ;3,46 ;1,59 ;2,57 ;-;-
01/2007;49,60 ;584 ;381 ;964 ;3,66 ;1,43 ;2,61 ;-;-
02/2007;44,40 ;602 ;382 ;984 ;3,67 ;1,26 ;2,55 ;-;-
03/2007;48,80 ;622 ;383 ;1.005 ;3,68 ;1,08 ;2,49 ;-;-
04/2007;46,00 ;633 ;396 ;1.028 ;3,62 ;1,21 ;2,51 ;-;-
05/2007;50,70 ;661 ;395 ;1.057 ;3,71 ;1,47 ;2,70 ;-;-
06/2007;47,10 ;688 ;398 ;1.087 ;3,44 ;1,60 ;2,63 ;-;-
07/2007;48,70 ;710 ;402 ;1.112 ;3,33 ;1,60 ;2,58 ;-;-
08/2007;49,20 ;737 ;429 ;1.167 ;3,40 ;1,42 ;2,53 ;-;-
09/2007;48,70 ;769 ;437 ;1.206 ;3,33 ;1,45 ;2,52 ;-;-
10/2007;48,50 ;791 ;445 ;1.236 ;3,43 ;1,45 ;2,58 ;-;-
11/2007;49,50 ;817 ;454 ;1.271 ;3,50 ;1,63 ;2,71 ;-;-
12/2007;68,10 ;852 ;451 ;1.303 ;3,29 ;1,65 ;2,60 ;-;-
01/2008;45,50 ;880 ;442 ;1.322 ;3,19 ;1,57 ;2,54 ;-;-
02/2008;44,00 ;911 ;452 ;1.364 ;3,37 ;1,38 ;2,57 ;-;-
03/2008;51,50 ;938 ;460 ;1.398 ;3,53 ;1,48 ;2,71 ;-;-
04/2008;49,80 ;975 ;474 ;1.450 ;3,59 ;1,34 ;2,70 ;-;-
05/2008;54,10 ;1.017 ;488 ;1.505 ;4,17 ;1,26 ;3,04 ;-;-
06/2008;50,90 ;1.055 ;506 ;1.561 ;4,12 ;1,14 ;2,96 ;-;-
07/2008;55,30 ;1.089 ;513 ;1.603 ;4,14 ;1,28 ;3,04 ;-;-
08/2008;54,70 ;1.121 ;544 ;1.665 ;4,05 ;1,01 ;2,87 ;-;-
09/2008;53,30 ;1.139 ;579 ;1.718 ;4,16 ;1,06 ;2,92 ;-;-
10/2008;56,00 ;1.186 ;596 ;1.781 ;4,68 ;1,14 ;3,25 ;-;-
11/2008;53,80 ;1.214 ;607 ;1.820 ;4,87 ;1,26 ;3,41 ;-;-
12/2008;69,70 ;1.221 ;623 ;1.844 ;5,06 ;1,43 ;3,57 ;-;-
01/2009;49,80 ;1.242 ;621 ;1.863 ;5,39 ;1,59 ;3,85 ;-;-
02/2009;46,20 ;1.251 ;628 ;1.878 ;5,33 ;1,74 ;3,87 ;-;-
03/2009;50,20 ;1.258 ;631 ;1.889 ;5,74 ;1,84 ;4,17 ;-;-
04/2009;48,80 ;1.282 ;648 ;1.930 ;6,00 ;1,93 ;4,35 ;-;-
05/2009;53,30 ;1.310 ;675 ;1.985 ;6,28 ;2,27 ;4,64 ;-;-
06/2009;51,00 ;1.335 ;718 ;2.053 ;6,52 ;2,32 ;4,77 ;-;-
07/2009;54,90 ;1.367 ;748 ;2.115 ;6,69 ;2,21 ;4,81 ;-;-
08/2009;56,60 ;1.402 ;781 ;2.183 ;7,00 ;2,00 ;4,89 ;-;-
09/2009;57,80 ;1.432 ;810 ;2.242 ;7,03 ;1,90 ;4,85 ;-;-
10/2009;60,60 ;1.483 ;827 ;2.310 ;6,84 ;1,93 ;4,78 ;-;-
11/2009;62,60 ;1.517 ;1.007 ;2.524 ;6,78 ;1,69 ;4,42 ;-;-
12/2009;85,10 ;1.549 ;1.086 ;2.635 ;6,49 ;1,48 ;4,11 ;-;-
01/2010;58,70 ;1.581 ;1.115 ;2.697 ;6,32 ;1,33 ;3,91 ;-;-
02/2010;57,60 ;1.596 ;1.148 ;2.744 ;6,15 ;1,35 ;3,82 ;-;-
03/2010;66,10 ;1.602 ;1.151 ;2.753 ;5,99 ;1,10 ;3,63 ;-;-
04/2010;62,40 ;1.637 ;1.204 ;2.841 ;5,83 ;1,14 ;3,54 ;-;-
05/2010;63,60 ;1.668 ;1.227 ;2.895 ;6,00 ;1,28 ;3,70 ;-;-
06/2010;64,40 ;1.697 ;1.244 ;2.941 ;5,86 ;1,22 ;3,59 ;-;-
07/2010;69,50 ;1.734 ;1.292 ;3.026 ;5,89 ;1,33 ;3,65 ;-;-
08/2010;68,10 ;1.764 ;1.334 ;3.098 ;5,83 ;1,22 ;3,56 ;-;-
09/2010;70,70 ;1.810 ;1.420 ;3.230 ;5,57 ;1,16 ;3,35 ;-;-
10/2010;72,80 ;1.854 ;1.516 ;3.370 ;5,55 ;1,20 ;3,32 ;-;-
11/2010;72,50 ;1.899 ;1.523 ;3.421 ;5,24 ;1,33 ;3,26 ;-;-
12/2010;102,30 ;1.954 ;1.568 ;3.523 ;4,90 ;1,20 ;3,02 ;-;-
01/2011;70,60 ;1.994 ;1.544 ;3.537 ;4,91 ;1,24 ;3,07 ;83,40 ;-
02/2011;66,80 ;2.012 ;1.543 ;3.555 ;4,36 ;1,19 ;2,78 ;81,20 ;-
03/2011;70,80 ;2.037 ;1.544 ;3.581 ;4,50 ;1,18 ;2,87 ;84,40 ;-
04/2011;70,50 ;2.068 ;1.534 ;3.603 ;4,45 ;1,26 ;2,90 ;85,50 ;-
05/2011;75,70 ;2.094 ;1.549 ;3.643 ;4,76 ;1,36 ;3,11 ;91,20 ;-
06/2011;67,90 ;2.126 ;1.570 ;3.696 ;4,82 ;1,49 ;3,21 ;87,10 ;-
07/2011;75,70 ;2.173 ;1.576 ;3.749 ;5,04 ;1,58 ;3,37 ;94,00 ;-
08/2011;75,80 ;2.193 ;1.584 ;3.777 ;5,09 ;1,63 ;3,43 ;96,70 ;-
09/2011;73,80 ;2.231 ;1.611 ;3.842 ;5,19 ;1,63 ;3,48 ;92,50 ;-
10/2011;71,50 ;2.266 ;1.633 ;3.899 ;5,40 ;1,66 ;3,60 ;89,90 ;-
11/2011;75,20 ;2.290 ;1.659 ;3.948 ;6,20 ;1,81 ;4,09 ;92,50 ;-
12/2011;113,20 ;2.335 ;1.726 ;4.060 ;6,33 ;1,78 ;4,12 ;106,60 ;-
01/2012;78,70 ;2.406 ;1.767 ;4.173 ;5,65 ;2,18 ;4,09 ;81,50 ;-
02/2012;72,40 ;2.428 ;1.761 ;4.188 ;6,00 ;2,36 ;4,40 ;80,60 ;-
03/2012;83,10 ;2.450 ;1.768 ;4.218 ;5,99 ;2,57 ;4,49 ;83,80 ;-
04/2012;79,80 ;2.436 ;1.784 ;4.220 ;5,84 ;2,64 ;4,49 ;81,40 ;-
05/2012;86,00 ;2.470 ;1.812 ;4.282 ;5,80 ;2,11 ;4,24 ;92,40 ;-
06/2012;82,40 ;2.504 ;1.930 ;4.435 ;5,62 ;1,88 ;3,99 ;86,70 ;-
07/2012;89,10 ;2.517 ;2.038 ;4.556 ;5,58 ;1,72 ;3,85 ;91,00 ;-
08/2012;88,20 ;2.543 ;2.085 ;4.628 ;5,37 ;2,59 ;4,12 ;96,20 ;-
09/2012;80,80 ;2.542 ;2.153 ;4.695 ;5,26 ;2,83 ;4,14 ;89,70 ;-
10/2012;87,80 ;2.578 ;2.188 ;4.766 ;5,17 ;2,83 ;4,09 ;92,50 ;-
11/2012;83,20 ;2.601 ;2.234 ;4.835 ;5,06 ;4,20 ;4,66 ;98,70 ;-
12/2012;112,40 ;2.644 ;2.706 ;5.350 ;5,09 ;3,99 ;4,54 ;103,60 ;-
01/2013;82,30 ;2.672 ;2.666 ;5.338 ;4,92 ;4,14 ;4,53 ;85,00 ;-
02/2013;74,90 ;2.695 ;2.672 ;5.368 ;4,93 ;4,12 ;4,53 ;82,50 ;-
03/2013;83,20 ;2.734 ;2.681 ;5.415 ;4,91 ;4,18 ;4,55 ;87,10 ;-
04/2013;81,50 ;2.760 ;2.681 ;5.440 ;5,09 ;4,30 ;4,70 ;89,60 ;-
05/2013;88,80 ;2.825 ;2.659 ;5.484 ;5,18 ;1,99 ;3,63 ;92,00 ;-
06/2013;82,10 ;2.888 ;2.694 ;5.581 ;4,87 ;1,63 ;3,31 ;94,70 ;-
07/2013;88,80 ;2.916 ;2.745 ;5.661 ;4,75 ;1,50 ;3,17 ;99,10 ;-
08/2013;86,30 ;2.950 ;2.756 ;5.707 ;4,73 ;1,45 ;3,15 ;94,30 ;-
09/2013;82,40 ;2.977 ;2.763 ;5.740 ;4,95 ;1,47 ;3,27 ;93,70 ;-
10/2013;93,00 ;3.005 ;2.852 ;5.857 ;4,94 ;1,47 ;3,25 ;98,60 ;-
11/2013;94,60 ;3.044 ;2.860 ;5.904 ;4,92 ;1,39 ;3,21 ;98,40 ;-
12/2013;127,60 ;3.065 ;2.870 ;5.935 ;4,85 ;1,45 ;3,20 ;112,00 ;-
01/2014;93,80 ;3.099 ;2.850 ;5.948 ;4,67 ;1,44 ;3,12 ;95,50 ;-
02/2014;86,90 ;3.116 ;2.853 ;5.969 ;4,65 ;1,40 ;3,10 ;98,30 ;-
03/2014;88,60 ;3.081 ;2.828 ;5.909 ;4,71 ;1,44 ;3,15 ;101,10 ;-
04/2014;82,20 ;3.142 ;2.833 ;5.975 ;4,60 ;1,50 ;3,13 ;101,80 ;-
05/2014;104,70 ;3.185 ;2.861 ;6.046 ;4,67 ;1,50 ;3,17 ;101,70 ;-
06/2014;94,50 ;3.226 ;2.915 ;6.142 ;4,62 ;1,47 ;3,13 ;92,50 ;-
07/2014;100,70 ;3.256 ;2.910 ;6.165 ;4,46 ;1,51 ;3,07 ;100,50 ;-
08/2014;102,50 ;3.295 ;2.924 ;6.219 ;4,51 ;1,62 ;3,15 ;102,70 ;-
09/2014;99,40 ;3.308 ;2.955 ;6.263 ;4,17 ;1,56 ;2,94 ;97,70 ;-
10/2014;102,60 ;3.345 ;2.980 ;6.325 ;4,30 ;1,53 ;3,00 ;102,00 ;-
11/2014;104,30 ;3.391 ;3.006 ;6.396 ;4,26 ;1,52 ;2,97 ;98,70 ;-
12/2014;139,70 ;3.414 ;3.140 ;6.554 ;4,02 ;1,43 ;2,78 ;107,60 ;-
01/2015;101,60 ;3.435 ;3.118 ;6.553 ;4,01 ;1,56 ;2,84 ;90,70 ;-
02/2015;91,10 ;3.452 ;3.100 ;6.552 ;4,06 ;1,58 ;2,89 ;89,60 ;-
03/2015;100,60 ;3.440 ;3.090 ;6.531 ;3,83 ;1,56 ;2,76 ;95,70 ;-
04/2015;95,00 ;3.490 ;3.106 ;6.596 ;3,89 ;1,88 ;2,94 ;96,90 ;-
05/2015;102,10 ;3.532 ;3.092 ;6.624 ;4,18 ;2,09 ;3,20 ;97,80 ;-
06/2015;92,30 ;3.547 ;3.077 ;6.624 ;3,83 ;1,74 ;2,86 ;90,10 ;-
07/2015;96,00 ;3.576 ;3.072 ;6.647 ;3,83 ;1,82 ;2,90 ;93,70 ;-
08/2015;95,70 ;3.601 ;3.084 ;6.685 ;3,94 ;2,04 ;3,07 ;97,90 ;-
09/2015;89,40 ;3.614 ;3.088 ;6.701 ;4,01 ;2,16 ;3,16 ;95,80 ;-
10/2015;93,10 ;3.626 ;3.106 ;6.733 ;4,02 ;2,23 ;3,20 ;95,50 ;-
11/2015;91,90 ;3.640 ;3.102 ;6.742 ;4,34 ;2,53 ;3,51 ;93,00 ;-
12/2015;123,60 ;3.642 ;3.094 ;6.736 ;4,39 ;2,55 ;3,55 ;98,70 ;-
01/2016;90,40 ;3.660 ;3.054 ;6.714 ;4,38 ;2,90 ;3,71 ;85,00 ;-
02/2016;83,30 ;3.658 ;3.035 ;6.693 ;4,44 ;3,39 ;3,96 ;84,30 ;-
03/2016;87,90 ;3.655 ;3.022 ;6.676 ;4,37 ;3,56 ;4,00 ;92,30 ;-
04/2016;86,70 ;3.660 ;2.999 ;6.659 ;4,60 ;4,09 ;4,37 ;92,60 ;-
05/2016;89,10 ;3.659 ;2.957 ;6.615 ;4,66 ;4,17 ;4,44 ;91,40 ;-
06/2016;84,50 ;3.673 ;2.941 ;6.614 ;4,24 ;3,90 ;4,09 ;101,20 ;-
07/2016;89,90 ;3.688 ;2.902 ;6.590 ;3,97 ;3,74 ;3,87 ;90,30 ;-
08/2016;84,70 ;3.693 ;2.866 ;6.560 ;3,99 ;3,76 ;3,89 ;95,30 ;-
09/2016;79,80 ;3.695 ;2.855 ;6.549 ;4,04 ;3,85 ;3,96 ;90,00 ;-
10/2016;85,70 ;3.688 ;2.820 ;6.508 ;4,17 ;3,69 ;3,96 ;93,60 ;-
11/2016;88,10 ;3.703 ;2.791 ;6.494 ;4,09 ;3,92 ;4,02 ;90,70 ;-
12/2016;116,90 ;3.695 ;2.768 ;6.463 ;3,86 ;3,88 ;3,87 ;93,00 ;-
01/2017;88,40 ;3.691 ;2.731 ;6.422 ;3,75 ;3,90 ;3,81 ;82,10 ;-
02/2017;78,70 ;3.712 ;2.686 ;6.398 ;3,69 ;3,97 ;3,81 ;84,70 ;-
03/2017;83,00 ;3.719 ;2.663 ;6.382 ;3,67 ;3,94 ;3,78 ;88,50 ;-
04/2017;84,50 ;3.730 ;2.634 ;6.364 ;3,72 ;3,77 ;3,74 ;88,90 ;-
05/2017;91,40 ;3.763 ;2.607 ;6.370 ;3,78 ;3,58 ;3,70 ;88,60 ;-
06/2017;86,50 ;3.794 ;2.585 ;6.379 ;3,43 ;3,29 ;3,37 ;88,70 ;-
07/2017;95,30 ;3.825 ;2.568 ;6.393 ;3,54 ;3,43 ;3,50 ;85,20 ;-
08/2017;96,20 ;3.869 ;2.529 ;6.398 ;3,59 ;3,47 ;3,54 ;91,20 ;-
09/2017;93,70 ;3.891 ;2.515 ;6.405 ;3,44 ;3,11 ;3,31 ;85,80 ;-
10/2017;94,80 ;3.913 ;2.482 ;6.395 ;3,31 ;2,97 ;3,17 ;82,40 ;-
11/2017;98,90 ;3.953 ;2.456 ;6.409 ;3,22 ;2,58 ;2,97 ;90,10 ;-
12/2017;126,20 ;3.961 ;2.436 ;6.397 ;3,05 ;2,33 ;2,78 ;94,90 ;-
01/2018;91,50 ;3.974 ;2.357 ;6.331 ;3,24 ;2,79 ;3,07 ;76,10 ;-
02/2018;86,10 ;3.980 ;2.404 ;6.385 ;3,12 ;2,75 ;2,98 ;83,30 ;-
03/2018;97,70 ;4.025 ;2.389 ;6.414 ;3,08 ;2,57 ;2,89 ;81,10 ;-
04/2018;91,10 ;4.058 ;2.372 ;6.430 ;3,00 ;2,59 ;2,85 ;77,10 ;-
05/2018;99,50 ;4.109 ;2.344 ;6.453 ;2,97 ;2,85 ;2,93 ;85,50 ;0,40
06/2018;94,80 ;4.161 ;2.449 ;6.609 ;2,91 ;2,45 ;2,74 ;84,00 ;0,77
07/2018;93,80 ;4.198 ;2.413 ;6.611 ;3,01 ;2,43 ;2,80 ;81,80 ;0,51
08/2018;100,40 ;4.260 ;2.422 ;6.683 ;2,87 ;2,34 ;2,68 ;83,30 ;0,26
09/2018;99,90 ;4.302 ;2.432 ;6.734 ;2,93 ;2,29 ;2,70 ;80,30 ;0,42
10/2018;103,40 ;4.352 ;2.419 ;6.771 ;2,90 ;2,38 ;2,72 ;81,80 ;0,51
11/2018;114,90 ;4.418 ;2.488 ;6.906 ;2,79 ;2,02 ;2,52 ;81,20 ;-0,11
12/2018;131,50 ;4.436 ;2.482 ;6.919 ;2,82 ;1,86 ;2,47 ;93,30 ;0,63
01/2019;98,10 ;4.479 ;2.447 ;6.926 ;2,88 ;2,75 ;2,83 ;66,50 ;-0,09
02/2019;92,90 ;4.495 ;2.445 ;6.941 ;2,89 ;2,89 ;2,89 ;71,70 ;1,12
03/2019;102,60 ;4.555 ;2.450 ;7.005 ;3,05 ;2,95 ;3,02 ;73,20 ;0,78
04/2019;96,30 ;4.610 ;2.428 ;7.038 ;3,12 ;3,23 ;3,15 ;75,50 ;0,05
05/2019;105,90 ;4.681 ;2.411 ;7.092 ;3,21 ;3,15 ;3,19 ;79,60 ;0,67
06/2019;100,40 ;4.745 ;2.417 ;7.162 ;3,12 ;3,00 ;3,08 ;72,70 ;-0,14
07/2019;107,50 ;4.775 ;2.400 ;7.175 ;3,25 ;2,79 ;3,10 ;80,00 ;-0,21
08/2019;107,30 ;4.853 ;2.397 ;7.250 ;3,23 ;2,82 ;3,09 ;75,70 ;0,10
09/2019;103,80 ;4.929 ;2.404 ;7.333 ;3,26 ;2,95 ;3,15 ;80,40 ;0,30
10/2019;107,80 ;5.012 ;2.438 ;7.450 ;3,25 ;2,86 ;3,12 ;77,60 ;-0,14
11/2019;120,80 ;5.102 ;2.448 ;7.550 ;3,15 ;2,85 ;3,05 ;79,40 ;0,72
12/2019;139,20 ;5.152 ;2.490 ;7.642 ;3,20 ;2,97 ;3,12 ;86,80 ;0,60
01/2020;105,20 ;5.222 ;2.455 ;7.677 ;3,16 ;2,68 ;3,00 ;65,30 ;-0,21
02/2020;100,60 ;5.262 ;2.451 ;7.713 ;3,24 ;2,68 ;3,06 ;80,70 ;0,49
03/2020;90,20 ;5.279 ;2.517 ;7.796 ;3,45 ;2,60 ;3,18 ;72,70 ;0,01
04/2020;71,30 ;5.266 ;2.482 ;7.748 ;3,56 ;2,67 ;3,28 ;61,00 ;-0,51
05/2020;88,90 ;5.275 ;2.468 ;7.743 ;3,65 ;2,67 ;3,34 ;-;-0,33
Fonte;IBGE;BCB;BCB;BCB;BCB;BCB;BCB;IBGE;IBGE
