Data;14025 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas físicas - R$ (milhões);14052 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas jurídicas - R$ (milhões);14079 - Saldo das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Total - R$ (milhões);15884 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas físicas - %;15916 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Pessoas jurídicas - %;15948 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Santa Catarina - Total - %
11/2005;9.113 ;14.927 ;24.041 ;3,10 ;1,90 ;2,31
12/2005;9.417 ;15.460 ;24.876 ;2,86 ;1,47 ;1,94
01/2006;9.671 ;15.286 ;24.957 ;2,99 ;1,62 ;2,10
02/2006;9.861 ;15.498 ;25.359 ;3,08 ;1,56 ;2,09
03/2006;10.027 ;15.708 ;25.735 ;3,24 ;1,65 ;2,20
04/2006;10.228 ;16.203 ;26.431 ;3,31 ;1,70 ;2,26
05/2006;10.422 ;16.420 ;26.842 ;3,39 ;1,78 ;2,34
06/2006;10.581 ;16.901 ;27.482 ;3,40 ;1,78 ;2,34
07/2006;10.719 ;16.969 ;27.688 ;3,51 ;2,04 ;2,55
08/2006;10.932 ;17.089 ;28.022 ;3,76 ;2,07 ;2,66
09/2006;11.298 ;17.436 ;28.734 ;4,01 ;2,07 ;2,75
10/2006;11.618 ;17.829 ;29.447 ;4,17 ;2,15 ;2,87
11/2006;11.967 ;18.309 ;30.277 ;3,76 ;2,00 ;2,62
12/2006;12.305 ;18.809 ;31.114 ;3,48 ;1,65 ;2,30
01/2007;12.600 ;18.658 ;31.258 ;3,54 ;1,59 ;2,29
02/2007;12.854 ;18.770 ;31.625 ;3,60 ;1,58 ;2,31
03/2007;12.932 ;19.039 ;31.971 ;3,67 ;1,58 ;2,33
04/2007;13.336 ;19.607 ;32.944 ;3,71 ;1,56 ;2,35
05/2007;13.690 ;19.647 ;33.338 ;3,79 ;1,76 ;2,51
06/2007;14.030 ;20.032 ;34.062 ;3,67 ;1,58 ;2,35
07/2007;14.322 ;20.524 ;34.846 ;3,66 ;1,45 ;2,26
08/2007;14.714 ;21.162 ;35.876 ;3,68 ;1,43 ;2,26
09/2007;15.271 ;21.583 ;36.854 ;3,63 ;1,34 ;2,19
10/2007;15.872 ;22.329 ;38.200 ;3,52 ;1,32 ;2,14
11/2007;16.522 ;23.168 ;39.691 ;3,61 ;1,13 ;2,06
12/2007;17.039 ;24.397 ;41.436 ;3,53 ;1,07 ;1,98
01/2008;17.458 ;24.195 ;41.652 ;3,70 ;1,10 ;2,08
02/2008;17.839 ;24.361 ;42.200 ;3,78 ;1,09 ;2,12
03/2008;18.152 ;25.462 ;43.614 ;3,84 ;1,08 ;2,11
04/2008;18.583 ;26.419 ;45.002 ;3,91 ;1,04 ;2,11
05/2008;19.120 ;27.071 ;46.191 ;4,08 ;1,08 ;2,20
06/2008;19.615 ;27.556 ;47.170 ;3,85 ;1,06 ;2,10
07/2008;20.048 ;28.228 ;48.275 ;3,81 ;1,05 ;2,08
08/2008;20.525 ;29.131 ;49.656 ;3,84 ;1,01 ;2,06
09/2008;21.120 ;33.290 ;54.409 ;3,72 ;0,88 ;1,87
10/2008;21.613 ;33.993 ;55.606 ;3,68 ;0,89 ;1,86
11/2008;21.941 ;34.685 ;56.626 ;3,74 ;0,91 ;1,88
12/2008;22.272 ;35.234 ;57.506 ;3,69 ;1,03 ;1,94
01/2009;22.465 ;34.968 ;57.433 ;3,96 ;1,09 ;2,08
02/2009;22.601 ;35.414 ;58.015 ;4,10 ;1,34 ;2,29
03/2009;22.737 ;35.351 ;58.088 ;4,19 ;1,66 ;2,54
04/2009;23.104 ;35.912 ;59.016 ;4,31 ;1,65 ;2,57
05/2009;23.392 ;36.197 ;59.589 ;4,42 ;1,79 ;2,71
06/2009;23.795 ;36.820 ;60.615 ;4,47 ;1,90 ;2,80
07/2009;24.201 ;36.338 ;60.539 ;4,58 ;2,08 ;2,97
08/2009;24.652 ;36.072 ;60.724 ;4,59 ;2,45 ;3,23
09/2009;25.277 ;34.808 ;60.085 ;4,61 ;2,54 ;3,32
10/2009;25.962 ;35.131 ;61.093 ;4,54 ;2,56 ;3,32
11/2009;26.614 ;36.021 ;62.634 ;4,52 ;2,46 ;3,25
12/2009;27.142 ;36.666 ;63.807 ;4,18 ;2,12 ;2,91
01/2010;27.979 ;36.772 ;64.751 ;4,24 ;2,11 ;2,93
02/2010;28.072 ;36.353 ;64.425 ;4,27 ;2,13 ;2,96
03/2010;28.357 ;36.612 ;64.969 ;4,25 ;2,03 ;2,90
04/2010;28.837 ;37.123 ;65.960 ;4,17 ;1,85 ;2,76
05/2010;29.389 ;38.246 ;67.634 ;4,15 ;1,70 ;2,66
06/2010;29.786 ;39.025 ;68.811 ;3,92 ;1,67 ;2,55
07/2010;30.093 ;39.581 ;69.674 ;3,93 ;1,65 ;2,53
08/2010;30.699 ;40.554 ;71.253 ;3,81 ;1,60 ;2,46
09/2010;31.564 ;41.704 ;73.268 ;3,76 ;1,67 ;2,48
10/2010;32.325 ;42.384 ;74.709 ;3,76 ;1,70 ;2,51
11/2010;33.009 ;44.206 ;77.215 ;3,60 ;1,69 ;2,43
12/2010;33.884 ;45.248 ;79.132 ;3,31 ;1,61 ;2,27
01/2011;34.347 ;45.273 ;79.621 ;3,39 ;1,94 ;2,50
02/2011;34.735 ;45.899 ;80.634 ;3,11 ;1,95 ;2,40
03/2011;35.036 ;45.452 ;80.488 ;3,21 ;1,99 ;2,47
04/2011;35.572 ;46.506 ;82.078 ;3,33 ;2,02 ;2,53
05/2011;36.049 ;47.894 ;83.943 ;3,40 ;2,02 ;2,55
06/2011;36.656 ;48.514 ;85.170 ;3,38 ;1,97 ;2,52
07/2011;37.306 ;49.193 ;86.499 ;3,49 ;2,01 ;2,58
08/2011;37.886 ;49.980 ;87.866 ;3,56 ;2,06 ;2,64
09/2011;38.630 ;51.592 ;90.222 ;3,63 ;1,97 ;2,61
10/2011;39.389 ;52.142 ;91.531 ;3,79 ;2,09 ;2,75
11/2011;40.093 ;52.987 ;93.080 ;4,11 ;2,07 ;2,86
12/2011;40.854 ;54.418 ;95.272 ;4,07 ;2,06 ;2,83
01/2012;41.451 ;55.199 ;96.650 ;3,96 ;2,16 ;2,90
02/2012;41.799 ;55.183 ;96.982 ;4,30 ;2,20 ;3,07
03/2012;42.297 ;55.994 ;98.291 ;4,29 ;1,99 ;2,95
04/2012;42.870 ;56.463 ;99.333 ;4,38 ;3,59 ;3,93
05/2012;43.408 ;57.244 ;100.652 ;4,41 ;2,17 ;3,14
06/2012;44.011 ;57.459 ;101.470 ;4,36 ;2,18 ;3,13
07/2012;44.301 ;57.842 ;102.142 ;4,33 ;2,23 ;3,15
08/2012;45.081 ;59.116 ;104.196 ;4,27 ;2,21 ;3,10
09/2012;45.427 ;59.934 ;105.362 ;4,21 ;2,03 ;2,97
10/2012;46.196 ;61.233 ;107.429 ;4,07 ;3,36 ;3,66
11/2012;46.918 ;60.973 ;107.891 ;3,94 ;3,57 ;3,73
12/2012;47.779 ;62.202 ;109.981 ;3,81 ;2,01 ;2,79
01/2013;48.202 ;61.537 ;109.738 ;3,75 ;2,10 ;2,82
02/2013;48.454 ;62.584 ;111.039 ;3,72 ;2,09 ;2,80
03/2013;49.059 ;63.610 ;112.669 ;3,74 ;2,14 ;2,84
04/2013;49.731 ;63.950 ;113.681 ;3,67 ;3,45 ;3,54
05/2013;50.474 ;64.118 ;114.592 ;3,59 ;2,10 ;2,76
06/2013;51.216 ;64.833 ;116.049 ;3,46 ;1,90 ;2,59
07/2013;51.644 ;65.054 ;116.698 ;3,39 ;1,88 ;2,55
08/2013;52.334 ;65.926 ;118.260 ;3,31 ;1,87 ;2,51
09/2013;53.143 ;66.542 ;119.684 ;3,35 ;1,85 ;2,52
10/2013;53.952 ;67.248 ;121.200 ;3,19 ;1,69 ;2,36
11/2013;54.724 ;67.426 ;122.150 ;3,11 ;1,61 ;2,28
12/2013;55.669 ;69.692 ;125.361 ;3,02 ;1,54 ;2,20
01/2014;56.139 ;69.446 ;125.585 ;3,01 ;1,65 ;2,26
02/2014;56.547 ;69.222 ;125.770 ;2,99 ;1,67 ;2,27
03/2014;57.009 ;69.685 ;126.694 ;2,99 ;1,69 ;2,28
04/2014;57.813 ;69.821 ;127.635 ;2,96 ;1,69 ;2,26
05/2014;58.560 ;70.359 ;128.919 ;3,00 ;1,77 ;2,33
06/2014;59.246 ;71.419 ;130.665 ;2,90 ;1,74 ;2,27
07/2014;59.635 ;71.144 ;130.779 ;2,92 ;1,77 ;2,29
08/2014;60.373 ;72.107 ;132.481 ;2,91 ;1,89 ;2,35
09/2014;61.148 ;72.715 ;133.863 ;2,76 ;1,85 ;2,26
10/2014;62.164 ;72.716 ;134.881 ;2,77 ;1,89 ;2,29
11/2014;62.977 ;74.243 ;137.220 ;2,71 ;1,81 ;2,23
12/2014;63.991 ;75.809 ;139.801 ;2,51 ;1,67 ;2,06
01/2015;64.403 ;75.351 ;139.754 ;2,58 ;1,74 ;2,13
02/2015;64.471 ;75.296 ;139.766 ;2,61 ;1,77 ;2,16
03/2015;64.893 ;75.448 ;140.341 ;2,55 ;1,79 ;2,14
04/2015;65.354 ;75.262 ;140.616 ;2,59 ;1,85 ;2,20
05/2015;65.622 ;75.408 ;141.030 ;2,68 ;1,95 ;2,29
06/2015;66.041 ;75.124 ;141.165 ;2,51 ;1,92 ;2,20
07/2015;66.030 ;74.345 ;140.375 ;2,60 ;2,11 ;2,34
08/2015;66.510 ;74.674 ;141.185 ;2,68 ;2,27 ;2,46
09/2015;66.966 ;75.058 ;142.025 ;2,73 ;2,37 ;2,54
10/2015;67.240 ;74.387 ;141.627 ;2,80 ;2,34 ;2,56
11/2015;67.816 ;74.227 ;142.042 ;2,91 ;2,49 ;2,69
12/2015;68.254 ;76.457 ;144.711 ;2,94 ;2,53 ;2,73
01/2016;68.121 ;75.733 ;143.853 ;3,00 ;2,70 ;2,84
02/2016;68.399 ;74.849 ;143.248 ;3,07 ;3,02 ;3,04
03/2016;68.846 ;75.564 ;144.411 ;2,96 ;3,02 ;2,99
04/2016;68.759 ;75.842 ;144.601 ;3,09 ;3,18 ;3,14
05/2016;68.918 ;75.258 ;144.176 ;3,05 ;3,28 ;3,17
06/2016;69.258 ;74.423 ;143.681 ;2,86 ;3,25 ;3,06
07/2016;69.318 ;74.826 ;144.144 ;2,78 ;3,33 ;3,06
08/2016;69.776 ;74.283 ;144.060 ;2,78 ;3,44 ;3,12
09/2016;70.168 ;73.919 ;144.087 ;2,82 ;3,31 ;3,07
10/2016;70.186 ;73.370 ;143.555 ;2,85 ;3,23 ;3,05
11/2016;70.849 ;74.201 ;145.051 ;2,78 ;3,17 ;2,98
12/2016;71.401 ;75.310 ;146.712 ;2,65 ;2,72 ;2,68
01/2017;71.775 ;73.067 ;144.842 ;2,68 ;2,80 ;2,74
02/2017;71.832 ;73.169 ;145.001 ;2,75 ;2,92 ;2,83
03/2017;72.222 ;74.358 ;146.580 ;2,64 ;2,82 ;2,73
04/2017;72.267 ;74.225 ;146.492 ;2,73 ;2,83 ;2,78
05/2017;72.680 ;73.630 ;146.310 ;2,70 ;2,84 ;2,77
06/2017;73.020 ;73.589 ;146.609 ;2,49 ;2,48 ;2,48
07/2017;73.194 ;72.480 ;145.674 ;2,56 ;2,42 ;2,49
08/2017;73.793 ;71.978 ;145.771 ;2,53 ;2,36 ;2,45
09/2017;74.175 ;71.364 ;145.539 ;2,50 ;2,33 ;2,42
10/2017;74.819 ;70.866 ;145.685 ;2,52 ;2,50 ;2,51
11/2017;75.550 ;70.998 ;146.547 ;2,44 ;2,35 ;2,40
12/2017;76.037 ;71.231 ;147.268 ;2,31 ;2,12 ;2,22
01/2018;76.769 ;69.197 ;145.966 ;2,46 ;2,31 ;2,39
02/2018;76.847 ;69.078 ;145.925 ;2,44 ;2,74 ;2,58
03/2018;77.368 ;69.330 ;146.698 ;2,38 ;2,21 ;2,30
04/2018;77.763 ;69.813 ;147.577 ;2,33 ;2,25 ;2,29
05/2018;78.109 ;70.789 ;148.898 ;2,30 ;2,20 ;2,25
06/2018;78.534 ;72.945 ;151.479 ;2,23 ;1,94 ;2,09
07/2018;78.902 ;73.417 ;152.319 ;2,24 ;1,57 ;1,91
08/2018;79.850 ;75.511 ;155.361 ;2,21 ;1,49 ;1,86
09/2018;80.501 ;75.094 ;155.595 ;2,23 ;1,48 ;1,86
10/2018;81.672 ;74.881 ;156.553 ;2,21 ;1,50 ;1,87
11/2018;83.011 ;75.688 ;158.699 ;2,17 ;1,45 ;1,83
12/2018;83.921 ;78.408 ;162.328 ;2,12 ;1,33 ;1,74
01/2019;84.279 ;77.332 ;161.611 ;2,23 ;1,32 ;1,79
02/2019;84.878 ;76.992 ;161.870 ;2,24 ;1,29 ;1,78
03/2019;85.501 ;77.837 ;163.337 ;2,27 ;1,23 ;1,77
04/2019;86.190 ;77.906 ;164.096 ;2,24 ;1,16 ;1,73
05/2019;86.854 ;78.327 ;165.181 ;2,28 ;1,17 ;1,75
06/2019;87.298 ;79.188 ;166.486 ;2,25 ;1,17 ;1,73
07/2019;87.885 ;78.992 ;166.877 ;2,35 ;1,20 ;1,81
08/2019;88.820 ;79.828 ;168.648 ;2,40 ;1,19 ;1,83
09/2019;89.892 ;80.116 ;170.008 ;2,46 ;1,03 ;1,78
10/2019;91.254 ;81.184 ;172.438 ;2,49 ;1,03 ;1,80
11/2019;92.549 ;83.096 ;175.645 ;2,50 ;1,06 ;1,81
12/2019;93.915 ;83.239 ;177.154 ;2,47 ;1,01 ;1,79
01/2020;94.529 ;82.543 ;177.072 ;2,57 ;1,04 ;1,86
02/2020;95.085 ;83.739 ;178.824 ;2,59 ;1,07 ;1,88
03/2020;95.032 ;86.944 ;181.976 ;2,81 ;1,09 ;1,99
04/2020;94.508 ;89.870 ;184.378 ;2,87 ;1,12 ;2,02
05/2020;94.963 ;91.020 ;185.983 ;2,75 ;1,22 ;2,00
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
