Data;1477 - Índice de volume de vendas no varejo - Total - Santa Catarina - Índice;1492 - Índice de volume de vendas no varejo - Combustíveis e lubrificantes - Santa Catarina - Índice;1505 - Índice de volume de vendas no varejo - Hiper/supermercados, Prod. alimentícios, bebidas, fumo - Santa Catarina - Índice;1518 - Índice de volume de vendas no varejo - Tecidos, vestuário e calçados - Santa Catarina - Índice;1531 - Índice de volume de vendas no varejo - Móveis e eletrodomésticos - Santa Catarina - Índice;1557 - Índice de volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Santa Catarina - Índice;1570 - Índice de volume de vendas no varejo - Hipermercados e supermercados - Santa Catarina - Índice;7484 - Cesta básica - Florianópolis - u.m.c.;20199 - Índice de volume de vendas no varejo - Ampliado - Santa Catarina - Índice;20200 - Índice de volume de vendas no varejo - Artigos farmacêuticos, médicos, ortopédicos, de perfumaria e cosméticos - Santa Catarina - Índice;20201 - Índice de volume de vendas no varejo - Livros, jornais, revistas e papelaria - Santa Catarina - Índice;20202 - Índice de volume de vendas no varejo - Equipamentos e materiais para escritório, informática e comunicação - Santa Catarina - Índice;20203 - Índice de volume de vendas no varejo - Outros artigos de uso pessoal e doméstico - Santa Catarina - Índice;20204 - Índice de volume de vendas no varejo - Material de construção - Santa Catarina - Índice;21982 - Produção Industrial (2012=100) - Geral - Com ajuste sazonal - Santa Catarina - Índice;25405 - Índice de Atividade Econômica Regional - Santa Catarina - com ajuste sazonal - Índice;28037 - PMS - Índice de volume de serviços - Total - Santa Catarina - com ajuste sazonal - Índice
06/2004;53,60 ;71,20 ;57,40 ;55,40 ;49,10 ;42,50 ;58,80;163,62 ;49,30 ;26,60 ;36,90 ;8,40 ;31,60 ;49,80 ;104,4 ;107,27 ;-
07/2004;57,80 ;76,00 ;63,10 ;52,90 ;53,90 ;44,80 ;64,70;162,52 ;52,80 ;26,00 ;41,60 ;8,30 ;32,70 ;53,60 ;106,4 ;108,24 ;-
08/2004;54,20 ;68,10 ;59,20 ;48,10 ;52,50 ;42,70 ;61,00;175,64 ;50,00 ;26,50 ;45,30 ;10,70 ;32,80 ;53,10 ;107,6 ;109,23 ;-
09/2004;55,10 ;74,00 ;60,90 ;45,40 ;48,50 ;45,40 ;62,60;170,15 ;51,30 ;26,70 ;37,50 ;9,60 ;32,60 ;51,40 ;107,7 ;109,50 ;-
10/2004;59,20 ;75,20 ;67,20 ;48,40 ;52,80 ;51,90 ;69,20;165,30 ;55,90 ;26,90 ;38,30 ;8,10 ;36,30 ;50,20 ;105,5 ;109,41 ;-
11/2004;57,80 ;72,80 ;63,60 ;52,90 ;54,30 ;51,90 ;65,40;157,45 ;55,30 ;27,00 ;38,50 ;10,00 ;36,10 ;53,10 ;104,5 ;109,17 ;-
12/2004;82,60 ;82,20 ;90,60 ;100,00 ;91,90 ;60,50 ;93,20;157,42 ;72,20 ;30,50 ;74,00 ;10,70 ;63,50 ;53,40 ;106,4 ;109,96 ;-
01/2005;60,60 ;79,30 ;71,00 ;41,40 ;50,90 ;42,50 ;73,00;157,47 ;52,70 ;25,90 ;66,50 ;8,60 ;30,30 ;44,90 ;106,2 ;109,48 ;-
02/2005;53,80 ;63,90 ;62,20 ;47,50 ;44,10 ;36,40 ;63,50;159,18 ;46,10 ;28,40 ;120,20 ;12,10 ;33,80 ;37,40 ;105,0 ;108,58 ;-
03/2005;59,50 ;65,10 ;70,10 ;51,70 ;53,10 ;41,20 ;71,50;161,74 ;51,50 ;28,40 ;74,80 ;11,50 ;40,10 ;42,70 ;106,1 ;109,58 ;-
04/2005;56,80 ;61,90 ;63,70 ;61,10 ;55,00 ;43,70 ;64,90;166,90 ;50,80 ;27,00 ;58,20 ;11,70 ;38,10 ;40,90 ;105,0 ;109,92 ;-
05/2005;58,70 ;64,40 ;63,10 ;65,60 ;61,90 ;43,40 ;64,40;168,85 ;51,80 ;27,50 ;55,10 ;11,70 ;42,70 ;41,90 ;107,4 ;109,74 ;-
06/2005;59,30 ;69,70 ;63,70 ;59,40 ;61,60 ;42,70 ;64,90;165,85 ;51,90 ;28,40 ;52,80 ;11,60 ;39,10 ;41,90 ;102,0 ;109,72 ;-
07/2005;59,70 ;67,10 ;67,40 ;64,70 ;54,30 ;40,40 ;68,70;163,81 ;51,20 ;29,90 ;50,80 ;10,60 ;40,20 ;42,00 ;100,9 ;108,86 ;-
08/2005;56,70 ;63,70 ;62,70 ;54,90 ;54,60 ;45,40 ;63,90;154,82 ;51,60 ;31,00 ;58,00 ;11,70 ;41,30 ;44,10 ;99,6 ;109,06 ;-
09/2005;56,90 ;63,20 ;64,50 ;53,80 ;52,80 ;44,90 ;65,80;157,64 ;51,30 ;29,70 ;53,50 ;10,80 ;42,70 ;41,40 ;95,5 ;107,75 ;-
10/2005;60,20 ;66,10 ;68,90 ;55,60 ;55,60 ;47,40 ;70,40;162,93 ;54,20 ;30,70 ;50,30 ;10,70 ;46,80 ;42,70 ;99,7 ;110,03 ;-
11/2005;59,20 ;65,30 ;65,90 ;60,60 ;55,10 ;47,50 ;67,20;175,30 ;54,20 ;32,40 ;48,50 ;12,50 ;49,60 ;47,60 ;102,8 ;111,11 ;-
12/2005;82,60 ;71,10 ;89,70 ;106,70 ;92,60 ;63,90 ;91,60;172,62 ;72,90 ;38,80 ;90,60 ;15,40 ;84,00 ;47,00 ;102,7 ;110,40 ;-
01/2006;58,50 ;62,30 ;69,70 ;46,20 ;51,30 ;40,40 ;71,00;159,21 ;50,50 ;31,50 ;87,90 ;10,90 ;41,30 ;40,80 ;106,3 ;111,62 ;-
02/2006;56,00 ;69,20 ;66,10 ;44,30 ;42,90 ;36,70 ;67,60;160,93 ;47,80 ;27,90 ;111,20 ;9,30 ;35,40 ;41,40 ;103,9 ;110,98 ;-
03/2006;60,90 ;72,50 ;71,10 ;48,70 ;51,30 ;49,10 ;72,50;158,28 ;55,60 ;32,40 ;70,50 ;11,10 ;40,70 ;47,50 ;102,9 ;111,25 ;-
04/2006;61,80 ;72,80 ;72,70 ;60,00 ;47,90 ;40,70 ;74,20;168,89 ;52,60 ;30,50 ;51,60 ;10,50 ;44,60 ;42,70 ;100,9 ;111,17 ;-
05/2006;62,20 ;68,80 ;66,10 ;79,40 ;60,90 ;48,30 ;67,50;164,13 ;56,30 ;34,80 ;52,00 ;12,90 ;47,60 ;51,00 ;103,0 ;112,20 ;-
06/2006;58,30 ;67,50 ;65,80 ;62,80 ;49,70 ;42,80 ;67,10;159,02 ;52,10 ;33,40 ;44,90 ;12,30 ;40,20 ;49,50 ;101,8 ;111,93 ;-
07/2006;59,60 ;65,80 ;68,50 ;61,80 ;50,50 ;48,80 ;70,00;160,31 ;55,20 ;34,80 ;49,40 ;11,20 ;42,20 ;52,70 ;103,1 ;113,60 ;-
08/2006;61,40 ;68,20 ;69,30 ;62,30 ;54,20 ;54,80 ;70,70;158,89 ;58,40 ;36,90 ;64,30 ;15,00 ;45,60 ;53,10 ;101,2 ;113,44 ;-
09/2006;62,80 ;68,30 ;73,60 ;59,60 ;53,50 ;49,50 ;75,20;164,76 ;57,20 ;35,00 ;55,20 ;13,90 ;44,60 ;51,80 ;100,6 ;113,54 ;-
10/2006;62,40 ;65,80 ;72,60 ;59,70 ;53,10 ;55,00 ;74,20;173,36 ;59,30 ;38,00 ;54,90 ;14,10 ;50,30 ;56,10 ;100,5 ;114,29 ;-
11/2006;65,30 ;70,10 ;75,30 ;63,70 ;56,50 ;51,80 ;77,00;178,29 ;60,00 ;35,80 ;45,60 ;15,70 ;54,70 ;59,70 ;102,3 ;115,13 ;-
12/2006;89,10 ;78,20 ;99,10 ;119,40 ;90,10 ;64,60 ;101,40;168,60 ;77,60 ;40,10 ;92,70 ;25,10 ;92,60 ;57,30 ;105,5 ;116,41 ;-
01/2007;69,30 ;88,20 ;79,10 ;54,80 ;56,80 ;47,30 ;80,90;172,00 ;59,90 ;36,90 ;92,30 ;15,90 ;43,70 ;52,00 ;105,9 ;116,51 ;-
02/2007;62,80 ;79,10 ;74,70 ;50,50 ;45,60 ;45,70 ;76,50;171,85 ;55,30 ;29,20 ;111,70 ;14,70 ;40,40 ;46,50 ;107,4 ;119,44 ;-
03/2007;67,30 ;79,70 ;79,40 ;55,70 ;53,90 ;57,10 ;81,20;176,41 ;62,60 ;31,80 ;85,00 ;17,60 ;47,00 ;54,60 ;105,6 ;117,10 ;-
04/2007;65,60 ;79,90 ;75,50 ;66,80 ;48,90 ;53,90 ;77,20;175,53 ;60,20 ;33,10 ;74,00 ;17,60 ;51,20 ;49,60 ;107,8 ;118,97 ;-
05/2007;68,80 ;81,80 ;73,60 ;93,10 ;59,60 ;57,10 ;75,20;168,02 ;63,30 ;33,80 ;50,30 ;13,00 ;58,30 ;52,00 ;109,3 ;119,71 ;-
06/2007;65,50 ;77,30 ;74,00 ;74,20 ;52,30 ;56,30 ;75,60;167,70 ;61,10 ;35,10 ;47,60 ;18,60 ;48,00 ;51,40 ;109,3 ;120,69 ;-
07/2007;65,80 ;79,60 ;72,90 ;70,50 ;54,90 ;59,10 ;74,50;173,27 ;62,60 ;36,80 ;48,50 ;16,60 ;48,30 ;55,60 ;107,4 ;120,32 ;-
08/2007;68,10 ;77,70 ;74,90 ;75,20 ;59,90 ;71,20 ;76,60;180,63 ;68,90 ;39,00 ;56,60 ;24,10 ;52,60 ;62,00 ;108,4 ;121,51 ;-
09/2007;67,20 ;78,90 ;75,40 ;65,60 ;55,70 ;66,40 ;77,10;184,95 ;66,10 ;38,60 ;48,40 ;20,00 ;54,90 ;55,60 ;108,1 ;122,25 ;-
10/2007;69,20 ;75,90 ;76,80 ;72,70 ;62,20 ;72,70 ;78,50;187,08 ;70,70 ;41,10 ;48,40 ;19,50 ;59,80 ;69,00 ;108,5 ;123,06 ;-
11/2007;71,10 ;82,60 ;76,70 ;76,10 ;63,80 ;73,70 ;78,40;186,92 ;72,20 ;40,90 ;46,00 ;20,70 ;64,90 ;70,00 ;108,2 ;124,02 ;-
12/2007;96,10 ;87,50 ;103,40 ;135,00 ;96,30 ;72,90 ;105,80;190,83 ;85,00 ;47,70 ;107,40 ;25,60 ;108,60 ;62,50 ;106,9 ;122,80 ;-
01/2008;74,10 ;89,90 ;81,50 ;67,30 ;66,30 ;61,20 ;83,50;196,40 ;68,50 ;40,20 ;109,60 ;20,00 ;55,20 ;60,60 ;107,8 ;121,68 ;-
02/2008;69,20 ;84,00 ;78,30 ;60,40 ;57,20 ;65,00 ;80,10;193,97 ;66,60 ;38,20 ;117,70 ;17,70 ;50,60 ;55,40 ;109,6 ;123,60 ;-
03/2008;72,70 ;82,00 ;84,40 ;64,40 ;58,30 ;72,60 ;86,40;202,46 ;71,60 ;41,00 ;95,80 ;18,80 ;61,20 ;57,40 ;110,3 ;123,39 ;-
04/2008;68,80 ;79,70 ;73,70 ;80,80 ;58,50 ;76,20 ;75,30;210,42 ;71,00 ;45,20 ;77,80 ;24,50 ;58,40 ;60,30 ;110,1 ;124,70 ;-
05/2008;72,90 ;83,50 ;77,30 ;89,80 ;65,00 ;71,70 ;78,90;226,43 ;71,50 ;45,30 ;56,70 ;20,30 ;67,70 ;58,30 ;107,0 ;125,00 ;-
06/2008;67,30 ;78,60 ;71,30 ;79,80 ;56,90 ;77,30 ;72,90;238,15 ;70,50 ;43,90 ;61,80 ;30,70 ;61,00 ;58,90 ;104,6 ;125,73 ;-
07/2008;71,50 ;82,90 ;75,20 ;72,70 ;62,70 ;81,00 ;76,90;238,53 ;74,80 ;46,30 ;68,70 ;58,50 ;61,20 ;66,20 ;107,6 ;126,81 ;-
08/2008;73,90 ;85,70 ;78,80 ;74,50 ;63,70 ;74,60 ;80,60;219,01 ;73,30 ;46,00 ;78,10 ;54,50 ;65,40 ;61,30 ;110,8 ;128,03 ;-
09/2008;71,20 ;80,80 ;75,70 ;69,00 ;62,80 ;82,10 ;77,30;223,47 ;74,90 ;48,20 ;66,40 ;57,50 ;60,00 ;64,60 ;110,1 ;128,89 ;-
10/2008;73,70 ;84,00 ;80,10 ;69,70 ;63,20 ;69,60 ;81,90;228,44 ;71,90 ;47,00 ;56,20 ;48,80 ;65,80 ;67,50 ;105,1 ;124,85 ;-
11/2008;72,50 ;80,00 ;80,20 ;66,50 ;61,90 ;53,60 ;82,00;226,64 ;64,80 ;47,00 ;46,30 ;53,70 ;60,70 ;61,60 ;101,6 ;122,61 ;-
12/2008;100,80 ;93,70 ;104,90 ;129,50 ;104,50 ;72,00 ;107,40;239,03 ;86,90 ;57,20 ;116,00 ;64,40 ;106,70 ;59,30 ;93,1 ;120,17 ;-
01/2009;79,10 ;93,50 ;86,00 ;67,60 ;67,90 ;60,90 ;87,80;231,79 ;70,50 ;46,70 ;137,00 ;62,60 ;61,50 ;53,70 ;96,3 ;122,69 ;-
02/2009;71,70 ;88,00 ;80,00 ;59,50 ;55,70 ;63,40 ;81,80;227,98 ;67,00 ;43,60 ;131,50 ;40,10 ;56,60 ;49,60 ;92,7 ;123,54 ;-
03/2009;74,70 ;92,90 ;80,80 ;63,40 ;60,40 ;79,80 ;82,60;214,20 ;75,30 ;51,50 ;93,70 ;36,10 ;64,20 ;57,70 ;94,3 ;122,95 ;-
04/2009;75,60 ;88,30 ;83,60 ;76,40 ;58,00 ;66,10 ;85,40;210,13 ;70,30 ;54,60 ;73,50 ;37,60 ;63,50 ;52,40 ;95,4 ;123,73 ;-
05/2009;77,60 ;87,00 ;80,70 ;90,90 ;67,40 ;74,00 ;82,40;214,18 ;74,70 ;57,10 ;69,20 ;50,30 ;72,60 ;55,50 ;98,7 ;124,86 ;-
06/2009;72,10 ;79,20 ;74,90 ;88,00 ;61,00 ;85,30 ;76,60;217,46 ;75,90 ;56,70 ;63,80 ;62,10 ;61,00 ;57,20 ;101,1 ;127,38 ;-
07/2009;75,80 ;78,70 ;81,10 ;79,70 ;64,60 ;71,50 ;82,90;215,26 ;73,00 ;61,40 ;69,40 ;81,80 ;58,10 ;58,80 ;104,0 ;126,15 ;-
08/2009;77,30 ;80,40 ;84,30 ;74,10 ;67,20 ;76,60 ;85,90;216,53 ;75,80 ;58,30 ;89,30 ;80,40 ;55,60 ;59,80 ;103,0 ;127,51 ;-
09/2009;75,90 ;77,60 ;82,40 ;69,90 ;68,90 ;87,80 ;84,10;224,26 ;79,40 ;56,00 ;67,50 ;87,90 ;54,40 ;61,70 ;106,0 ;129,27 ;-
10/2009;80,50 ;84,90 ;88,70 ;77,20 ;67,80 ;78,40 ;90,50;226,37 ;78,90 ;60,60 ;48,40 ;75,10 ;62,20 ;68,00 ;107,3 ;130,03 ;-
11/2009;80,00 ;84,40 ;85,50 ;76,00 ;72,20 ;77,80 ;87,30;227,00 ;78,70 ;60,20 ;62,00 ;80,10 ;64,60 ;71,30 ;107,9 ;129,98 ;-
12/2009;108,70 ;93,70 ;117,10 ;142,10 ;106,40 ;90,00 ;119,60;210,90 ;98,50 ;67,20 ;128,30 ;85,50 ;107,60 ;67,50 ;108,4 ;130,93 ;-
01/2010;83,20 ;94,00 ;92,90 ;68,80 ;71,50 ;67,80 ;94,60;213,23 ;75,70 ;54,80 ;126,70 ;48,00 ;63,80 ;58,60 ;110,5 ;132,04 ;-
02/2010;78,70 ;88,40 ;88,20 ;65,90 ;66,20 ;71,40 ;90,00;217,59 ;74,60 ;58,20 ;142,90 ;43,10 ;54,00 ;59,10 ;106,5 ;132,46 ;-
03/2010;83,80 ;97,60 ;91,90 ;75,70 ;68,10 ;101,50 ;93,60;229,80 ;89,10 ;67,00 ;97,50 ;50,20 ;59,80 ;65,10 ;110,3 ;134,32 ;-
04/2010;79,60 ;91,60 ;85,90 ;88,10 ;62,30 ;76,80 ;87,30;239,67 ;77,30 ;63,10 ;74,30 ;55,60 ;60,70 ;61,20 ;111,1 ;135,20 ;-
05/2010;81,70 ;92,70 ;84,30 ;97,20 ;71,90 ;76,70 ;85,80;235,89 ;78,70 ;64,90 ;68,80 ;50,80 ;67,30 ;64,80 ;113,0 ;134,23 ;-
06/2010;79,80 ;91,80 ;83,20 ;85,90 ;65,30 ;86,80 ;84,50;232,46 ;81,10 ;64,70 ;63,30 ;82,40 ;60,60 ;62,20 ;109,1 ;134,49 ;-
07/2010;82,40 ;90,20 ;90,00 ;90,40 ;61,00 ;87,40 ;91,60;221,42 ;83,20 ;64,90 ;76,10 ;86,30 ;64,60 ;67,70 ;104,4 ;132,28 ;-
08/2010;82,90 ;88,00 ;88,80 ;82,60 ;70,20 ;92,60 ;90,30;221,24 ;85,60 ;66,40 ;82,10 ;87,10 ;64,90 ;69,80 ;104,2 ;133,74 ;-
09/2010;82,90 ;88,60 ;88,20 ;75,20 ;68,80 ;90,70 ;89,60;223,73 ;84,60 ;67,00 ;70,70 ;119,50 ;63,40 ;66,30 ;104,7 ;133,84 ;-
10/2010;87,20 ;91,10 ;95,40 ;79,70 ;69,40 ;87,00 ;97,10;230,85 ;85,80 ;68,70 ;55,00 ;121,40 ;67,70 ;68,50 ;106,6 ;134,48 ;-
11/2010;85,70 ;91,00 ;91,10 ;81,50 ;73,80 ;93,80 ;92,40;238,98 ;87,90 ;67,70 ;66,70 ;105,90 ;66,50 ;73,50 ;106,9 ;136,25 ;-
12/2010;112,80 ;96,60 ;117,40 ;140,80 ;113,90 ;119,10 ;119,30;238,14 ;111,60 ;78,00 ;132,70 ;122,60 ;113,00 ;67,00 ;114,1 ;137,91 ;-
01/2011;88,20 ;98,70 ;97,10 ;70,60 ;78,30 ;81,70 ;99,10;246,58 ;84,10 ;66,40 ;129,50 ;59,20 ;61,40 ;64,20 ;113,4 ;138,43 ;85,70
02/2011;80,10 ;88,10 ;88,00 ;70,40 ;68,60 ;93,10 ;89,10;241,47 ;83,50 ;62,20 ;146,70 ;59,60 ;53,70 ;60,80 ;109,0 ;137,40 ;86,20
03/2011;88,00 ;97,10 ;95,30 ;76,50 ;71,00 ;99,90 ;96,80;250,28 ;91,30 ;74,10 ;89,80 ;58,10 ;90,10 ;72,40 ;107,2 ;137,58 ;85,50
04/2011;85,70 ;87,50 ;98,20 ;85,70 ;66,80 ;94,90 ;100,00;252,55 ;87,60 ;68,10 ;72,90 ;60,50 ;62,80 ;64,80 ;102,5 ;135,78 ;85,00
