Data;1463 - Índice de volume de vendas no varejo - Total - Maranhão - Índice;14011 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas físicas - R$ (milhões);14038 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas jurídicas - R$ (milhões);14065 - Saldo das operações de crédito do Sistema Financeiro Nacional - Maranhão - Total - R$ (milhões);15870 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas físicas - %;15902 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Pessoas jurídicas - %;15934 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Maranhão - Total - %;28023 - PMS - Índice de volume de serviços - Total - Maranhão - com ajuste sazonal - Índice
01/2005;32,40 ;1.919 ;1.096 ;3.015 ;11,06 ;9,13 ;10,17 ;-
02/2005;31,30 ;1.985 ;1.112 ;3.096 ;10,77 ;8,84 ;9,89 ;-
03/2005;35,10 ;2.016 ;1.107 ;3.122 ;10,59 ;9,13 ;9,93 ;-
04/2005;35,80 ;2.073 ;1.096 ;3.169 ;10,43 ;8,98 ;9,79 ;-
05/2005;38,00 ;2.140 ;1.114 ;3.254 ;10,27 ;8,60 ;9,53 ;-
06/2005;37,40 ;2.179 ;1.125 ;3.304 ;9,75 ;8,34 ;9,13 ;-
07/2005;42,00 ;2.250 ;1.124 ;3.373 ;9,51 ;8,52 ;9,08 ;-
08/2005;41,90 ;2.289 ;1.132 ;3.421 ;9,40 ;8,49 ;9,01 ;-
09/2005;39,30 ;2.307 ;1.221 ;3.528 ;9,25 ;5,47 ;7,59 ;-
10/2005;40,10 ;2.360 ;1.236 ;3.597 ;9,34 ;5,59 ;7,71 ;-
11/2005;43,00 ;2.432 ;1.314 ;3.746 ;9,20 ;5,66 ;7,63 ;-
12/2005;63,10 ;2.524 ;1.422 ;3.946 ;9,09 ;5,14 ;7,30 ;-
01/2006;40,80 ;2.636 ;1.377 ;4.013 ;9,06 ;5,42 ;7,47 ;-
02/2006;36,70 ;2.724 ;1.433 ;4.158 ;9,26 ;5,18 ;7,47 ;-
03/2006;41,60 ;2.767 ;1.470 ;4.238 ;9,47 ;5,33 ;7,65 ;-
04/2006;40,80 ;2.842 ;1.523 ;4.364 ;9,90 ;5,09 ;7,77 ;-
05/2006;48,00 ;2.899 ;1.557 ;4.456 ;9,86 ;5,02 ;7,72 ;-
06/2006;44,70 ;2.986 ;1.558 ;4.543 ;9,81 ;5,07 ;7,73 ;-
07/2006;46,30 ;3.063 ;1.579 ;4.643 ;9,84 ;5,10 ;7,78 ;-
08/2006;48,70 ;3.135 ;1.624 ;4.759 ;9,74 ;4,88 ;7,63 ;-
09/2006;46,20 ;3.220 ;1.696 ;4.916 ;9,71 ;4,62 ;7,47 ;-
10/2006;48,30 ;3.279 ;1.765 ;5.045 ;9,77 ;4,69 ;7,52 ;-
11/2006;50,50 ;3.383 ;1.781 ;5.165 ;9,11 ;4,83 ;7,23 ;-
12/2006;70,90 ;3.472 ;1.856 ;5.328 ;8,46 ;4,68 ;6,80 ;-
01/2007;48,10 ;3.612 ;1.811 ;5.423 ;8,24 ;4,80 ;6,78 ;-
02/2007;42,60 ;3.719 ;1.839 ;5.558 ;8,04 ;4,84 ;6,68 ;-
03/2007;50,20 ;3.790 ;1.818 ;5.608 ;7,83 ;4,88 ;6,59 ;-
04/2007;47,30 ;3.820 ;1.845 ;5.664 ;8,07 ;4,91 ;6,77 ;-
05/2007;53,80 ;3.973 ;1.880 ;5.853 ;8,06 ;4,88 ;6,76 ;-
06/2007;51,70 ;4.113 ;1.909 ;6.022 ;7,66 ;4,93 ;6,55 ;-
07/2007;52,70 ;4.224 ;1.931 ;6.155 ;7,73 ;4,91 ;6,59 ;-
08/2007;53,70 ;4.348 ;2.004 ;6.352 ;7,72 ;4,79 ;6,53 ;-
09/2007;51,90 ;4.472 ;2.036 ;6.507 ;7,72 ;4,88 ;6,58 ;-
10/2007;54,00 ;4.584 ;2.134 ;6.718 ;8,19 ;4,66 ;6,77 ;-
11/2007;56,40 ;4.748 ;2.221 ;6.969 ;8,10 ;4,69 ;6,72 ;-
12/2007;81,50 ;4.919 ;2.351 ;7.270 ;8,11 ;4,54 ;6,64 ;-
01/2008;55,00 ;5.072 ;2.421 ;7.493 ;7,87 ;4,53 ;6,50 ;-
02/2008;48,70 ;5.218 ;2.468 ;7.686 ;7,80 ;4,48 ;6,43 ;-
03/2008;53,70 ;5.277 ;2.790 ;8.067 ;7,75 ;3,78 ;6,02 ;-
04/2008;54,40 ;5.405 ;2.854 ;8.259 ;7,85 ;3,81 ;6,10 ;-
05/2008;58,70 ;5.611 ;2.964 ;8.575 ;8,36 ;3,78 ;6,37 ;-
06/2008;54,70 ;5.781 ;3.069 ;8.850 ;7,83 ;3,51 ;5,94 ;-
07/2008;60,50 ;5.940 ;3.096 ;9.036 ;7,64 ;3,39 ;5,80 ;-
08/2008;60,10 ;6.114 ;3.289 ;9.403 ;7,50 ;3,09 ;5,56 ;-
09/2008;59,20 ;6.191 ;3.658 ;9.849 ;7,25 ;2,77 ;5,19 ;-
10/2008;60,60 ;6.467 ;3.720 ;10.187 ;7,46 ;2,95 ;5,38 ;-
11/2008;57,90 ;6.599 ;3.762 ;10.361 ;7,40 ;2,80 ;5,28 ;-
12/2008;79,70 ;6.651 ;3.758 ;10.409 ;7,25 ;2,84 ;5,24 ;-
01/2009;58,50 ;6.796 ;3.652 ;10.448 ;7,68 ;3,07 ;5,63 ;-
02/2009;52,60 ;6.875 ;3.679 ;10.555 ;7,82 ;3,27 ;5,79 ;-
03/2009;54,80 ;6.879 ;3.663 ;10.542 ;7,96 ;3,48 ;6,00 ;-
04/2009;55,70 ;6.980 ;3.556 ;10.536 ;8,20 ;3,73 ;6,29 ;-
05/2009;59,90 ;7.101 ;3.540 ;10.642 ;8,09 ;4,07 ;6,40 ;-
06/2009;59,20 ;7.265 ;3.623 ;10.888 ;7,93 ;4,13 ;6,33 ;-
07/2009;61,50 ;7.461 ;3.686 ;11.147 ;7,90 ;4,25 ;6,37 ;-
08/2009;62,00 ;7.583 ;3.788 ;11.371 ;8,01 ;4,08 ;6,37 ;-
09/2009;58,80 ;7.803 ;3.909 ;11.711 ;7,79 ;4,33 ;6,35 ;-
10/2009;61,60 ;8.040 ;4.385 ;12.425 ;7,61 ;3,95 ;6,02 ;-
11/2009;59,50 ;8.331 ;4.529 ;12.860 ;7,43 ;3,87 ;5,87 ;-
12/2009;85,80 ;8.406 ;4.837 ;13.243 ;7,07 ;3,63 ;5,54 ;-
01/2010;64,70 ;8.873 ;4.715 ;13.588 ;7,03 ;3,94 ;5,68 ;-
02/2010;57,00 ;8.924 ;4.809 ;13.733 ;6,96 ;4,84 ;6,03 ;-
03/2010;66,80 ;8.975 ;4.871 ;13.846 ;6,77 ;4,99 ;5,99 ;-
04/2010;63,10 ;9.224 ;4.753 ;13.977 ;6,61 ;5,15 ;5,99 ;-
05/2010;70,50 ;9.427 ;4.938 ;14.366 ;6,52 ;4,93 ;5,84 ;-
06/2010;68,70 ;9.639 ;5.289 ;14.928 ;6,20 ;4,63 ;5,51 ;-
07/2010;74,40 ;9.789 ;5.425 ;15.214 ;6,11 ;4,55 ;5,42 ;-
08/2010;73,80 ;9.922 ;5.579 ;15.502 ;5,95 ;4,40 ;5,27 ;-
09/2010;72,90 ;10.180 ;5.671 ;15.851 ;6,00 ;4,24 ;5,23 ;-
10/2010;74,10 ;10.433 ;5.751 ;16.184 ;6,24 ;4,15 ;5,32 ;-
11/2010;71,20 ;10.614 ;5.956 ;16.570 ;6,19 ;4,00 ;5,22 ;-
12/2010;99,30 ;10.965 ;6.298 ;17.263 ;6,08 ;3,13 ;4,76 ;-
01/2011;70,60 ;11.290 ;6.455 ;17.745 ;6,17 ;3,34 ;4,90 ;86,90
02/2011;68,30 ;11.459 ;6.609 ;18.069 ;5,57 ;3,22 ;4,51 ;85,30
03/2011;73,60 ;11.548 ;6.694 ;18.241 ;5,74 ;3,22 ;4,60 ;85,10
04/2011;74,40 ;11.768 ;6.753 ;18.521 ;5,95 ;3,30 ;4,76 ;85,60
05/2011;77,60 ;11.932 ;6.917 ;18.849 ;6,15 ;3,37 ;4,90 ;87,10
06/2011;71,60 ;12.223 ;6.872 ;19.095 ;6,05 ;2,88 ;4,65 ;87,50
07/2011;78,60 ;12.539 ;6.913 ;19.452 ;6,22 ;2,95 ;4,79 ;87,10
08/2011;81,50 ;12.727 ;7.013 ;19.740 ;6,27 ;2,91 ;4,82 ;92,50
09/2011;77,90 ;13.057 ;7.250 ;20.307 ;6,54 ;2,96 ;4,97 ;90,50
10/2011;73,80 ;13.236 ;7.341 ;20.576 ;6,98 ;2,96 ;5,22 ;86,70
11/2011;79,70 ;13.439 ;7.667 ;21.106 ;7,70 ;3,07 ;5,65 ;91,80
12/2011;109,90 ;13.692 ;8.633 ;22.325 ;7,78 ;2,81 ;5,45 ;93,70
01/2012;80,60 ;13.882 ;8.610 ;22.491 ;6,81 ;2,97 ;5,19 ;91,20
02/2012;77,50 ;13.999 ;8.763 ;22.763 ;7,15 ;3,20 ;5,53 ;94,50
03/2012;83,40 ;14.169 ;9.074 ;23.242 ;7,14 ;3,08 ;5,45 ;91,50
04/2012;79,30 ;14.365 ;9.002 ;23.367 ;6,89 ;2,91 ;5,36 ;92,70
05/2012;85,80 ;14.573 ;9.396 ;23.969 ;6,95 ;2,86 ;5,35 ;93,40
06/2012;83,50 ;14.776 ;9.468 ;24.244 ;6,93 ;2,78 ;5,31 ;94,10
07/2012;88,10 ;14.936 ;9.549 ;24.485 ;6,81 ;2,77 ;5,23 ;94,80
08/2012;88,80 ;15.150 ;9.689 ;24.839 ;6,65 ;2,73 ;5,12 ;93,90
09/2012;83,90 ;15.190 ;9.835 ;25.025 ;6,61 ;2,63 ;5,05 ;93,70
10/2012;90,20 ;15.381 ;9.863 ;25.243 ;6,50 ;2,55 ;4,95 ;97,10
11/2012;87,90 ;15.694 ;10.102 ;25.796 ;6,37 ;2,52 ;4,86 ;95,30
12/2012;118,60 ;15.917 ;10.318 ;26.235 ;6,52 ;2,68 ;5,01 ;100,40
01/2013;89,20 ;16.127 ;10.320 ;26.447 ;6,34 ;2,77 ;4,95 ;97,20
02/2013;77,90 ;16.264 ;10.409 ;26.673 ;6,29 ;2,74 ;4,91 ;97,10
03/2013;87,80 ;16.474 ;10.500 ;26.974 ;6,27 ;2,74 ;4,90 ;99,80
04/2013;85,10 ;16.757 ;10.683 ;27.440 ;6,03 ;2,84 ;4,79 ;99,80
05/2013;93,60 ;17.036 ;11.145 ;28.180 ;5,90 ;2,83 ;4,68 ;99,70
06/2013;87,50 ;17.291 ;11.522 ;28.813 ;5,72 ;2,73 ;4,53 ;98,30
07/2013;97,20 ;17.573 ;11.489 ;29.062 ;5,53 ;2,85 ;4,47 ;98,80
08/2013;97,90 ;17.805 ;11.586 ;29.391 ;5,35 ;2,69 ;4,30 ;96,00
09/2013;91,80 ;18.019 ;11.596 ;29.615 ;5,44 ;2,68 ;4,36 ;95,40
10/2013;99,40 ;18.225 ;11.633 ;29.858 ;5,35 ;2,61 ;4,28 ;97,30
11/2013;99,60 ;18.457 ;12.035 ;30.492 ;5,23 ;2,56 ;4,18 ;96,60
12/2013;130,10 ;18.770 ;12.465 ;31.235 ;5,08 ;2,43 ;4,02 ;97,50
01/2014;97,20 ;18.983 ;12.134 ;31.116 ;5,00 ;2,66 ;4,09 ;99,10
02/2014;90,40 ;19.155 ;12.067 ;31.222 ;4,96 ;2,66 ;4,07 ;103,60
03/2014;92,70 ;19.206 ;11.944 ;31.150 ;5,00 ;2,79 ;4,15 ;102,60
04/2014;92,00 ;19.525 ;11.882 ;31.407 ;4,93 ;2,83 ;4,14 ;102,50
05/2014;100,30 ;19.815 ;12.037 ;31.852 ;4,90 ;2,77 ;4,09 ;100,00
06/2014;92,90 ;20.064 ;12.257 ;32.321 ;4,86 ;2,63 ;4,01 ;97,50
07/2014;99,00 ;20.298 ;12.188 ;32.486 ;4,82 ;2,77 ;4,05 ;100,90
08/2014;101,60 ;20.570 ;12.208 ;32.779 ;4,85 ;2,88 ;4,12 ;100,00
09/2014;96,10 ;20.720 ;12.386 ;33.106 ;4,51 ;2,87 ;3,90 ;101,60
10/2014;105,60 ;21.046 ;12.617 ;33.664 ;4,50 ;2,86 ;3,89 ;98,90
11/2014;100,60 ;21.328 ;12.863 ;34.191 ;4,48 ;2,88 ;3,88 ;99,10
12/2014;131,60 ;21.720 ;13.390 ;35.110 ;4,29 ;2,59 ;3,65 ;95,50
01/2015;95,40 ;21.950 ;13.325 ;35.275 ;4,36 ;2,74 ;3,75 ;94,90
02/2015;82,50 ;22.085 ;13.227 ;35.313 ;4,61 ;2,84 ;3,95 ;92,50
03/2015;92,30 ;22.329 ;13.278 ;35.606 ;4,35 ;2,98 ;3,84 ;90,80
04/2015;89,30 ;22.529 ;13.347 ;35.876 ;4,40 ;2,93 ;3,86 ;89,70
05/2015;93,80 ;22.687 ;13.537 ;36.225 ;4,52 ;2,99 ;3,95 ;90,10
06/2015;88,50 ;22.793 ;13.507 ;36.300 ;4,34 ;3,12 ;3,88 ;88,60
07/2015;95,50 ;23.030 ;13.468 ;36.498 ;4,36 ;3,04 ;3,87 ;87,90
08/2015;92,30 ;23.239 ;13.429 ;36.668 ;4,52 ;3,30 ;4,08 ;87,30
09/2015;86,40 ;23.417 ;13.653 ;37.069 ;4,57 ;3,33 ;4,11 ;88,30
10/2015;92,90 ;23.466 ;13.570 ;37.036 ;4,78 ;3,56 ;4,33 ;86,60
11/2015;91,00 ;23.751 ;13.680 ;37.431 ;4,98 ;3,66 ;4,50 ;86,50
12/2015;115,80 ;23.918 ;13.904 ;37.823 ;4,88 ;3,40 ;4,34 ;83,10
01/2016;85,20 ;24.086 ;13.829 ;37.916 ;4,90 ;3,66 ;4,45 ;84,10
02/2016;79,50 ;24.158 ;13.634 ;37.792 ;5,03 ;4,01 ;4,66 ;83,70
03/2016;86,10 ;24.288 ;13.503 ;37.791 ;4,93 ;4,38 ;4,73 ;80,60
04/2016;84,30 ;24.349 ;13.511 ;37.860 ;5,07 ;4,59 ;4,90 ;79,70
05/2016;85,50 ;24.450 ;13.696 ;38.146 ;5,02 ;4,35 ;4,78 ;79,20
06/2016;83,30 ;24.569 ;13.632 ;38.201 ;4,67 ;4,21 ;4,50 ;80,10
07/2016;85,20 ;24.801 ;13.492 ;38.293 ;4,40 ;4,55 ;4,45 ;79,00
08/2016;85,40 ;24.896 ;13.457 ;38.354 ;4,46 ;4,49 ;4,47 ;79,90
09/2016;79,90 ;24.946 ;13.359 ;38.306 ;4,61 ;4,65 ;4,62 ;77,90
10/2016;84,80 ;24.934 ;13.250 ;38.185 ;4,75 ;5,15 ;4,89 ;76,60
11/2016;87,90 ;25.159 ;13.470 ;38.629 ;4,59 ;5,04 ;4,75 ;77,20
12/2016;112,30 ;25.316 ;13.058 ;38.374 ;4,26 ;4,89 ;4,47 ;76,10
01/2017;84,80 ;25.406 ;12.825 ;38.231 ;4,38 ;5,21 ;4,66 ;74,50
02/2017;76,90 ;25.492 ;12.666 ;38.159 ;4,40 ;5,85 ;4,88 ;70,10
03/2017;88,20 ;25.618 ;12.443 ;38.061 ;4,42 ;5,90 ;4,91 ;74,10
04/2017;85,50 ;25.688 ;12.244 ;37.932 ;4,65 ;5,79 ;5,02 ;74,30
05/2017;90,40 ;25.868 ;12.111 ;37.979 ;4,62 ;5,61 ;4,93 ;73,90
06/2017;86,50 ;26.047 ;11.901 ;37.949 ;3,80 ;4,60 ;4,05 ;73,10
07/2017;90,70 ;26.213 ;11.761 ;37.973 ;3,98 ;4,49 ;4,14 ;70,30
08/2017;93,60 ;26.396 ;11.677 ;38.073 ;4,01 ;3,92 ;3,98 ;70,40
09/2017;88,10 ;26.520 ;11.772 ;38.293 ;4,09 ;3,61 ;3,95 ;70,60
10/2017;89,50 ;26.714 ;11.280 ;37.994 ;4,12 ;3,43 ;3,92 ;69,20
11/2017;95,20 ;26.993 ;11.326 ;38.319 ;4,03 ;3,44 ;3,86 ;67,30
12/2017;117,00 ;27.149 ;11.377 ;38.526 ;3,72 ;2,78 ;3,44 ;70,90
01/2018;95,80 ;27.468 ;11.082 ;38.551 ;3,97 ;3,01 ;3,69 ;70,40
02/2018;84,30 ;27.480 ;10.734 ;38.214 ;3,96 ;2,88 ;3,65 ;66,70
03/2018;92,30 ;27.694 ;10.829 ;38.523 ;3,87 ;2,73 ;3,55 ;71,80
04/2018;86,40 ;27.912 ;10.701 ;38.614 ;3,91 ;2,69 ;3,57 ;72,80
05/2018;93,60 ;28.038 ;10.631 ;38.668 ;3,86 ;2,96 ;3,61 ;70,70
06/2018;92,40 ;28.243 ;10.469 ;38.712 ;3,67 ;2,85 ;3,45 ;71,30
07/2018;94,50 ;28.445 ;10.449 ;38.894 ;3,72 ;2,96 ;3,52 ;72,80
08/2018;100,60 ;28.864 ;10.595 ;39.459 ;3,64 ;2,64 ;3,37 ;71,50
09/2018;90,10 ;29.080 ;10.639 ;39.719 ;3,62 ;2,40 ;3,29 ;71,50
10/2018;94,40 ;29.381 ;10.430 ;39.811 ;3,55 ;3,06 ;3,42 ;73,60
11/2018;105,00 ;29.820 ;10.489 ;40.310 ;3,48 ;3,00 ;3,36 ;71,90
12/2018;120,70 ;30.111 ;9.953 ;40.064 ;3,26 ;3,09 ;3,22 ;70,20
01/2019;94,20 ;30.362 ;9.752 ;40.115 ;3,41 ;3,31 ;3,39 ;73,40
02/2019;86,90 ;30.609 ;9.913 ;40.522 ;3,37 ;3,23 ;3,34 ;73,10
03/2019;90,50 ;30.835 ;9.894 ;40.730 ;3,52 ;2,79 ;3,34 ;66,70
04/2019;89,80 ;31.172 ;9.788 ;40.960 ;3,49 ;2,88 ;3,35 ;75,40
05/2019;96,00 ;31.438 ;9.895 ;41.334 ;3,60 ;2,87 ;3,43 ;75,80
06/2019;89,60 ;31.632 ;10.074 ;41.706 ;3,47 ;2,76 ;3,30 ;73,40
07/2019;94,60 ;31.789 ;10.074 ;41.863 ;3,53 ;2,61 ;3,31 ;74,80
08/2019;102,10 ;32.420 ;10.196 ;42.616 ;3,70 ;2,60 ;3,43 ;75,30
09/2019;89,00 ;32.769 ;10.262 ;43.031 ;3,84 ;2,33 ;3,48 ;73,80
10/2019;95,10 ;33.126 ;10.204 ;43.331 ;3,82 ;1,83 ;3,35 ;74,00
11/2019;106,50 ;33.622 ;10.515 ;44.136 ;3,89 ;1,64 ;3,35 ;73,20
12/2019;120,20 ;33.931 ;10.717 ;44.648 ;3,88 ;1,54 ;3,32 ;71,90
01/2020;96,60 ;34.237 ;10.678 ;44.915 ;4,03 ;1,51 ;3,43 ;71,90
02/2020;89,10 ;34.425 ;10.733 ;45.158 ;4,07 ;1,63 ;3,49 ;71,20
03/2020;86,00 ;34.663 ;10.852 ;45.516 ;4,40 ;1,70 ;3,76 ;69,00
04/2020;73,30 ;34.322 ;10.798 ;45.120 ;4,65 ;1,85 ;3,98 ;65,00
05/2020;83,00 ;33.983 ;10.959 ;44.942 ;4,57 ;1,96 ;3,93 ;-
Fonte;IBGE;BCB;BCB;BCB;BCB;BCB;BCB;BCB e IBGE
