Data;1642 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Despesas pessoais - Var. % mensal;1643 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Educa��o - Var. % mensal;1644 - �ndice nacional de pre�os ao consumidor (INPC) - Alimenta��o e bebidas - Var. % mensal;1645 - �ndice nacional de pre�os ao consumidor (INPC) - Habita��o - Var. % mensal;1646 - �ndice nacional de pre�os ao consumidor (INPC) - Artigos de resid�ncia - Var. % mensal;1647 - �ndice nacional de pre�os ao consumidor (INPC) - Vestu�rio - Var. % mensal;1648 - �ndice nacional de pre�os ao consumidor (INPC) - Transporte - Var. % mensal;1649 - �ndice nacional de pre�os ao consumidor (INPC) - Comunica��o - Var. % mensal;1650 - �ndice nacional de pre�os ao consumidor (INPC) - Sa�de e cuidados pessoais - Var. % mensal;1651 - �ndice nacional de pre�os ao consumidor (INPC) - Despesas pessoais - Var. % mensal
08/2009;0,27 ;0,83 ;-0,21 ;0,55 ;-0,16 ;0,20 ;0,01 ;-0,03 ;0,14 ;0,23
09/2009;0,52 ;0,07 ;-0,30 ;0,71 ;0,06 ;0,61 ;0,12 ;0,23 ;0,24 ;0,38
10/2009;0,20 ;0,04 ;-0,04 ;0,37 ;0,30 ;0,63 ;0,38 ;0,74 ;0,26 ;-0,01
11/2009;0,55 ;0,01 ;0,52 ;0,26 ;0,40 ;0,60 ;0,29 ;0,06 ;0,15 ;0,56
12/2009;0,46 ;0,10 ;0,13 ;0,16 ;0,51 ;0,76 ;0,23 ;-0,15 ;0,29 ;0,43
01/2010;0,78 ;0,26 ;1,13 ;0,31 ;0,39 ;0,19 ;2,38 ;-0,02 ;0,24 ;0,53
02/2010;0,40 ;4,53 ;1,09 ;0,20 ;0,31 ;-0,32 ;1,29 ;0,05 ;0,09 ;0,27
03/2010;0,77 ;0,54 ;1,68 ;0,30 ;1,02 ;0,69 ;-0,17 ;0,04 ;0,21 ;0,51
04/2010;0,66 ;0,11 ;1,72 ;0,20 ;0,17 ;1,25 ;-0,11 ;-0,02 ;0,83 ;0,16
05/2010;0,75 ;0,04 ;0,34 ;0,70 ;0,48 ;0,87 ;0,03 ;-0,01 ;0,84 ;0,51
06/2010;0,74 ;0,03 ;-1,05 ;0,35 ;0,23 ;0,62 ;-0,27 ;0,03 ;0,58 ;1,08
07/2010;0,54 ;-0,03 ;-0,92 ;0,56 ;0,36 ;-0,01 ;0,22 ;-0,01 ;0,33 ;0,55
08/2010;0,20 ;0,44 ;-0,48 ;0,21 ;-0,19 ;0,34 ;-0,12 ;-0,07 ;0,15 ;0,18
09/2010;0,34 ;0,08 ;1,20 ;0,40 ;0,46 ;0,38 ;0,05 ;0,00 ;0,35 ;0,23
10/2010;0,64 ;0,02 ;2,21 ;0,47 ;0,25 ;0,91 ;0,24 ;0,23 ;0,23 ;0,36
11/2010;0,74 ;0,06 ;2,35 ;0,51 ;-0,03 ;1,39 ;0,20 ;0,48 ;0,29 ;0,49
12/2010;0,57 ;0,05 ;1,12 ;0,41 ;0,05 ;1,22 ;0,26 ;0,06 ;0,21 ;0,28
01/2011;0,83 ;0,30 ;1,02 ;0,46 ;0,30 ;0,16 ;2,61 ;0,08 ;0,38 ;0,75
02/2011;1,43 ;5,81 ;0,00 ;0,45 ;0,37 ;0,00 ;0,89 ;0,26 ;0,24 ;1,63
03/2011;0,78 ;1,04 ;0,72 ;0,40 ;0,28 ;0,62 ;1,22 ;0,10 ;0,42 ;0,47
04/2011;0,57 ;0,09 ;0,63 ;0,74 ;-0,38 ;1,37 ;1,17 ;0,00 ;1,00 ;0,46
05/2011;0,72 ;0,01 ;0,58 ;1,07 ;0,13 ;1,12 ;0,08 ;0,16 ;0,70 ;0,58
06/2011;0,67 ;0,11 ;-0,29 ;0,52 ;0,41 ;1,28 ;-0,08 ;-0,08 ;0,65 ;0,71
07/2011;0,49 ;0,11 ;-0,54 ;0,32 ;-0,01 ;0,16 ;0,34 ;-0,02 ;0,37 ;0,10
08/2011;0,50 ;0,17 ;0,70 ;0,45 ;0,41 ;0,63 ;0,05 ;-0,09 ;0,27 ;0,35
09/2011;0,53 ;0,14 ;0,61 ;0,79 ;-0,40 ;0,75 ;0,21 ;-0,05 ;0,33 ;0,38
10/2011;0,22 ;0,07 ;0,35 ;0,56 ;-0,15 ;0,65 ;0,13 ;0,11 ;0,33 ;0,29
11/2011;0,88 ;0,02 ;1,18 ;0,44 ;-0,01 ;0,62 ;-0,03 ;0,19 ;0,46 ;0,55
12/2011;0,68 ;0,05 ;1,14 ;0,39 ;-0,91 ;0,71 ;0,07 ;0,05 ;0,36 ;0,49
01/2012;0,71 ;0,39 ;0,74 ;0,54 ;-0,03 ;-0,08 ;0,87 ;0,21 ;0,14 ;0,40
02/2012;0,88 ;5,62 ;0,21 ;0,62 ;0,08 ;-0,27 ;0,04 ;-0,19 ;0,72 ;0,54
03/2012;0,55 ;0,54 ;0,25 ;0,43 ;-0,40 ;-0,56 ;0,08 ;-0,41 ;0,34 ;0,69
04/2012;2,23 ;0,04 ;0,57 ;0,73 ;-0,86 ;0,86 ;0,06 ;0,48 ;0,98 ;3,02
05/2012;0,60 ;-0,01 ;0,89 ;0,82 ;0,06 ;0,84 ;-0,24 ;-0,21 ;0,57 ;1,18
06/2012;0,47 ;0,06 ;0,67 ;0,24 ;-0,10 ;0,27 ;-0,28 ;-0,03 ;0,43 ;0,29
07/2012;0,91 ;0,12 ;0,89 ;0,51 ;-0,10 ;0,06 ;0,06 ;0,10 ;0,25 ;0,58
08/2012;0,42 ;0,51 ;0,89 ;0,17 ;0,40 ;0,24 ;0,17 ;-0,02 ;0,52 ;0,43
09/2012;0,73 ;0,10 ;1,40 ;0,72 ;0,22 ;0,91 ;-0,24 ;0,03 ;0,21 ;0,44
10/2012;0,10 ;0,05 ;1,51 ;0,36 ;0,34 ;1,08 ;0,13 ;0,45 ;0,44 ;0,27
11/2012;0,53 ;0,05 ;0,80 ;0,62 ;0,53 ;0,85 ;0,33 ;0,32 ;0,24 ;0,22
12/2012;1,60 ;0,19 ;1,13 ;0,64 ;0,24 ;1,07 ;0,25 ;0,03 ;0,43 ;1,58
01/2013;1,55 ;0,35 ;2,10 ;-0,32 ;0,95 ;-0,51 ;0,60 ;-0,17 ;0,70 ;2,45
02/2013;0,57 ;5,40 ;1,59 ;-2,44 ;0,56 ;0,52 ;0,94 ;0,11 ;0,69 ;0,47
03/2013;0,54 ;0,56 ;1,16 ;0,54 ;0,13 ;0,17 ;0,29 ;-0,01 ;0,32 ;0,59
04/2013;0,61 ;0,10 ;0,97 ;0,66 ;0,64 ;0,60 ;-0,16 ;-0,32 ;1,19 ;0,38
05/2013;0,41 ;0,06 ;0,27 ;0,70 ;0,27 ;0,73 ;-0,12 ;-0,11 ;0,94 ;0,16
06/2013;0,40 ;0,18 ;-0,10 ;0,64 ;0,11 ;0,51 ;0,51 ;0,13 ;0,39 ;0,39
07/2013;1,13 ;0,11 ;-0,40 ;0,60 ;0,31 ;-0,36 ;-1,16 ;0,32 ;0,29 ;0,73
08/2013;0,39 ;0,67 ;-0,14 ;0,52 ;0,83 ;0,21 ;-0,11 ;0,07 ;0,41 ;0,17
09/2013;0,20 ;0,12 ;0,05 ;0,67 ;0,57 ;0,72 ;0,04 ;-0,06 ;0,34 ;0,21
10/2013;0,43 ;0,09 ;0,94 ;0,61 ;0,87 ;1,10 ;0,21 ;0,07 ;0,35 ;0,30
11/2013;0,87 ;0,08 ;0,54 ;0,67 ;0,47 ;0,93 ;0,19 ;0,38 ;0,32 ;1,14
12/2013;1,00 ;0,05 ;0,80 ;0,51 ;0,76 ;0,86 ;1,06 ;0,43 ;0,39 ;0,85
01/2014;1,72 ;0,57 ;0,86 ;0,58 ;0,53 ;-0,21 ;0,35 ;0,04 ;0,31 ;2,07
02/2014;0,69 ;5,97 ;0,39 ;0,75 ;1,11 ;-0,30 ;0,49 ;0,08 ;0,89 ;0,53
03/2014;0,79 ;0,53 ;1,88 ;0,37 ;0,29 ;0,23 ;0,68 ;-1,32 ;0,41 ;0,51
04/2014;0,31 ;0,03 ;1,34 ;0,85 ;0,37 ;0,40 ;0,30 ;-0,02 ;1,02 ;0,39
05/2014;0,80 ;0,13 ;0,64 ;0,69 ;0,89 ;0,77 ;0,13 ;0,10 ;1,00 ;0,81
06/2014;1,57 ;0,02 ;-0,14 ;0,58 ;0,41 ;0,52 ;0,04 ;-0,05 ;0,63 ;1,02
07/2014;0,12 ;0,04 ;-0,23 ;1,12 ;0,81 ;-0,30 ;-0,20 ;-0,81 ;0,47 ;0,12
08/2014;0,09 ;0,43 ;-0,20 ;0,85 ;0,45 ;-0,04 ;0,11 ;0,10 ;0,30 ;0,23
09/2014;0,39 ;0,18 ;0,73 ;0,85 ;0,27 ;0,54 ;0,11 ;-0,02 ;0,23 ;0,28
10/2014;0,36 ;0,11 ;0,44 ;0,66 ;0,23 ;0,59 ;0,21 ;-0,10 ;0,36 ;0,11
11/2014;0,48 ;0,21 ;0,75 ;0,72 ;-0,04 ;0,40 ;0,43 ;0,03 ;0,35 ;0,51
12/2014;0,70 ;0,07 ;1,08 ;0,45 ;0,07 ;0,89 ;0,32 ;0,02 ;0,40 ;0,66
01/2015;1,68 ;0,31 ;1,48 ;2,34 ;-0,25 ;-0,64 ;3,36 ;0,23 ;0,07 ;2,04
02/2015;0,86 ;5,88 ;0,86 ;1,21 ;0,78 ;-0,49 ;2,68 ;-0,01 ;0,58 ;0,82
03/2015;0,36 ;0,75 ;1,21 ;5,12 ;0,26 ;0,50 ;0,82 ;-1,27 ;0,73 ;0,41
04/2015;0,51 ;0,21 ;0,96 ;0,97 ;0,65 ;0,77 ;-0,09 ;0,28 ;1,20 ;0,58
05/2015;0,74 ;0,06 ;1,48 ;1,25 ;0,35 ;0,55 ;0,36 ;0,21 ;1,14 ;1,07
06/2015;1,63 ;0,20 ;0,69 ;0,88 ;0,67 ;0,52 ;0,33 ;0,46 ;1,03 ;2,02
07/2015;0,61 ;0,00 ;0,56 ;1,37 ;0,85 ;-0,38 ;0,14 ;0,39 ;0,75 ;0,64
08/2015;0,75 ;0,82 ;-0,04 ;0,23 ;0,46 ;0,23 ;0,27 ;0,10 ;0,64 ;0,78
09/2015;0,33 ;0,25 ;0,16 ;1,59 ;0,27 ;0,39 ;0,30 ;0,03 ;0,48 ;0,31
10/2015;0,57 ;0,10 ;0,80 ;0,86 ;0,42 ;0,60 ;1,33 ;0,48 ;0,50 ;0,30
11/2015;0,52 ;0,22 ;1,98 ;0,68 ;0,25 ;0,77 ;1,05 ;1,11 ;0,70 ;0,59
12/2015;0,57 ;0,22 ;1,60 ;0,45 ;0,46 ;1,22 ;0,69 ;0,27 ;0,62 ;0,44
01/2016;1,19 ;0,31 ;2,41 ;0,82 ;0,40 ;-0,29 ;2,86 ;0,26 ;0,67 ;1,30
02/2016;0,77 ;5,90 ;1,19 ;-0,18 ;0,82 ;0,34 ;1,37 ;0,32 ;1,13 ;0,88
03/2016;0,60 ;0,63 ;1,12 ;-0,75 ;0,67 ;0,56 ;0,43 ;-1,67 ;0,74 ;0,67
04/2016;0,23 ;0,20 ;1,11 ;-0,33 ;0,16 ;0,41 ;0,16 ;1,67 ;2,35 ;0,06
05/2016;1,35 ;0,16 ;0,83 ;1,88 ;0,60 ;0,84 ;-0,21 ;0,00 ;1,70 ;2,18
06/2016;0,35 ;0,11 ;0,83 ;0,59 ;0,12 ;0,36 ;-0,24 ;0,06 ;0,78 ;0,41
07/2016;0,70 ;0,04 ;1,63 ;-0,26 ;0,55 ;-0,37 ;0,37 ;0,01 ;0,60 ;0,64
08/2016;0,96 ;0,99 ;0,28 ;0,19 ;0,32 ;0,23 ;0,19 ;-0,02 ;0,77 ;0,40
09/2016;0,10 ;0,18 ;-0,25 ;0,70 ;-0,18 ;0,39 ;-0,07 ;0,23 ;0,25 ;-0,10
10/2016;0,01 ;0,02 ;-0,06 ;0,44 ;-0,03 ;0,47 ;0,47 ;0,00 ;0,30 ;-0,23
11/2016;0,47 ;0,06 ;-0,31 ;0,23 ;-0,01 ;0,30 ;0,13 ;0,32 ;0,49 ;0,33
12/2016;1,01 ;0,07 ;0,05 ;-0,59 ;-0,17 ;0,37 ;0,44 ;-0,03 ;0,39 ;1,40
01/2017;0,45 ;0,29 ;0,35 ;0,11 ;-0,19 ;-0,45 ;1,57 ;0,70 ;0,44 ;0,24
02/2017;0,31 ;5,04 ;-0,53 ;0,08 ;0,34 ;-0,18 ;1,14 ;0,41 ;0,56 ;0,16
03/2017;0,52 ;0,95 ;0,32 ;1,23 ;-0,38 ;-0,12 ;-0,47 ;-0,72 ;0,62 ;0,63
04/2017;0,09 ;0,03 ;0,54 ;-1,07 ;-0,36 ;0,42 ;-0,13 ;0,58 ;0,87 ;0,02
05/2017;0,23 ;0,08 ;-0,44 ;2,11 ;-0,27 ;0,89 ;0,06 ;0,11 ;0,48 ;0,19
06/2017;0,33 ;0,08 ;-0,52 ;-0,76 ;-0,04 ;0,28 ;-0,52 ;0,05 ;0,31 ;0,25
07/2017;0,36 ;-0,02 ;-0,45 ;1,65 ;-0,25 ;-0,42 ;0,16 ;-0,03 ;0,24 ;0,29
08/2017;0,29 ;0,24 ;-1,18 ;0,38 ;0,09 ;0,28 ;1,42 ;-0,68 ;0,10 ;0,25
09/2017;0,56 ;0,04 ;-0,57 ;0,08 ;0,13 ;0,30 ;0,12 ;0,57 ;0,27 ;0,61
10/2017;0,32 ;0,06 ;-0,11 ;1,47 ;-0,29 ;0,68 ;0,22 ;0,41 ;0,38 ;0,28
11/2017;0,42 ;0,03 ;-0,54 ;1,32 ;-0,56 ;0,17 ;0,43 ;-0,04 ;0,20 ;0,36
12/2017;0,42 ;0,15 ;0,43 ;-0,36 ;-0,08 ;0,85 ;0,58 ;-0,13 ;0,19 ;0,34
01/2018;0,22 ;0,22 ;0,76 ;-1,00 ;0,18 ;-0,90 ;1,26 ;0,10 ;0,15 ;0,16
02/2018;0,17 ;3,89 ;-0,36 ;0,12 ;-0,05 ;-0,36 ;1,00 ;0,02 ;0,22 ;0,06
03/2018;0,05 ;0,28 ;-0,17 ;0,13 ;0,16 ;0,32 ;0,14 ;-0,39 ;0,44 ;-0,03
04/2018;0,12 ;0,08 ;0,11 ;0,16 ;0,22 ;0,48 ;0,06 ;-0,12 ;0,81 ;0,09
05/2018;0,11 ;0,06 ;0,29 ;0,95 ;-0,09 ;0,47 ;0,52 ;0,10 ;0,46 ;0,13
06/2018;0,33 ;0,02 ;2,24 ;2,64 ;0,22 ;-0,09 ;1,42 ;-0,01 ;0,22 ;0,37
07/2018;0,31 ;-0,08 ;-0,20 ;1,44 ;0,39 ;-0,55 ;0,30 ;0,14 ;0,05 ;0,13
08/2018;0,36 ;0,25 ;-0,44 ;0,43 ;0,55 ;0,12 ;-0,44 ;0,03 ;0,49 ;0,46
09/2018;0,38 ;0,24 ;0,05 ;0,37 ;0,14 ;-0,04 ;1,03 ;-0,16 ;0,08 ;0,41
10/2018;0,25 ;0,04 ;0,61 ;0,15 ;0,68 ;0,37 ;0,57 ;0,02 ;0,23 ;0,24
11/2018;0,36 ;0,04 ;0,45 ;-0,78 ;0,48 ;-0,43 ;-0,63 ;-0,14 ;-1,41 ;0,25
12/2018;0,29 ;0,21 ;0,45 ;-0,17 ;0,44 ;1,25 ;-0,78 ;0,02 ;0,22 ;0,23
01/2019;0,61 ;0,12 ;0,90 ;0,16 ;0,26 ;-1,21 ;0,61 ;0,07 ;0,01 ;0,36
02/2019;0,18 ;3,53 ;0,94 ;0,32 ;0,16 ;-0,24 ;0,34 ;-0,01 ;0,40 ;0,09
03/2019;0,16 ;0,32 ;1,50 ;0,32 ;0,23 ;0,35 ;1,18 ;-0,29 ;0,37 ;-0,08
04/2019;0,17 ;0,09 ;0,64 ;0,30 ;-0,25 ;0,14 ;0,91 ;0,05 ;1,89 ;0,23
05/2019;0,16 ;-0,04 ;-0,59 ;1,00 ;-0,09 ;0,36 ;0,56 ;-0,07 ;0,44 ;0,07
06/2019;0,15 ;0,14 ;-0,18 ;0,03 ;0,03 ;0,21 ;-0,30 ;-0,04 ;0,71 ;0,23
07/2019;0,44 ;0,04 ;-0,05 ;1,20 ;0,27 ;-0,49 ;-0,41 ;0,59 ;-0,63 ;0,32
08/2019;0,31 ;0,16 ;-0,49 ;1,18 ;0,46 ;0,27 ;-0,08 ;0,07 ;-0,14 ;0,32
09/2019;0,04 ;0,04 ;-0,42 ;0,04 ;-0,69 ;0,28 ;-0,01 ;-0,05 ;0,78 ;0,07
10/2019;0,20 ;0,03 ;0,02 ;-0,60 ;-0,02 ;0,55 ;0,35 ;-0,03 ;0,42 ;0,16
11/2019;1,24 ;0,08 ;0,78 ;0,72 ;-0,41 ;0,29 ;0,19 ;-0,03 ;0,18 ;1,56
12/2019;0,92 ;0,20 ;3,66 ;-0,86 ;-0,54 ;0,01 ;0,97 ;0,42 ;0,40 ;1,16
01/2020;0,35 ;0,16 ;0,45 ;0,45 ;-0,07 ;-0,46 ;0,43 ;0,09 ;-0,76 ;0,30
02/2020;0,31 ;3,70 ;0,13 ;-0,41 ;-0,10 ;-0,63 ;-0,18 ;0,18 ;0,91 ;0,18
03/2020;-0,23 ;0,59 ;1,12 ;0,12 ;-1,07 ;0,14 ;-0,41 ;0,00 ;0,20 ;-0,29
04/2020;-0,14 ;0,00 ;1,91 ;-0,14 ;-1,57 ;-0,10 ;-2,52 ;-0,25 ;-0,24 ;-0,18
05/2020;-0,04 ;0,02 ;0,40 ;-0,29 ;0,54 ;-0,67 ;-1,44 ;0,28 ;-0,16 ;-0,01
Fonte;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE;IBGE
