Data;1652 - �ndice nacional de pre�os ao consumidor (INPC) - Educa��o - Var. % mensal;4447 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Comercializ�veis - Var. % mensal;4448 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - N�o comercializ�veis - Var. % mensal;4449 - �ndice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Monitorados - Var. % mensal;4451 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - Taxa de �gua e esgoto - Var. % mensal;4452 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - G�s de buj�o - Var. % mensal;4453 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - Energia el�trica - Var. % mensal;4454 - �ndice nacional de pre�os ao consumidor-Amplo (IPCA) - Pre�os monitorados - �nibus urbano - Var. % mensal
08/2013;0,69 ;0,39 ;0,20 ;0,09 ;0,01 ;0,28 ;0,57 ;-0,20
09/2013;0,22 ;0,61 ;0,23 ;0,16 ;0,00 ;2,01 ;0,36 ;0,00
10/2013;0,16 ;0,96 ;0,47 ;0,14 ;0,00 ;1,56 ;-0,58 ;0,00
11/2013;0,13 ;0,50 ;0,61 ;0,48 ;0,52 ;0,36 ;1,63 ;0,00
12/2013;0,08 ;0,68 ;1,13 ;0,91 ;0,57 ;0,32 ;0,31 ;0,00
01/2014;0,62 ;0,67 ;0,54 ;0,38 ;0,33 ;0,13 ;-0,27 ;0,00
02/2014;5,31 ;0,26 ;1,23 ;0,40 ;0,37 ;0,16 ;0,63 ;1,29
03/2014;0,87 ;0,80 ;1,54 ;-0,02 ;0,49 ;0,01 ;-0,87 ;0,60
04/2014;0,06 ;0,67 ;0,62 ;0,77 ;0,76 ;0,22 ;1,62 ;0,24
05/2014;0,19 ;0,72 ;0,17 ;0,59 ;-5,25 ;0,16 ;3,71 ;0,72
06/2014;0,03 ;0,36 ;0,52 ;0,25 ;0,95 ;0,01 ;0,13 ;0,58
07/2014;0,07 ;0,27 ;-0,42 ;0,39 ;-1,34 ;-0,08 ;4,52 ;0,00
08/2014;0,38 ;0,11 ;0,23 ;0,51 ;1,46 ;-0,34 ;1,76 ;0,00
09/2014;0,28 ;0,66 ;0,59 ;0,40 ;-0,45 ;2,55 ;1,37 ;0,00
10/2014;0,11 ;0,38 ;0,48 ;0,38 ;0,26 ;0,91 ;1,20 ;0,00
11/2014;0,38 ;0,28 ;0,59 ;0,72 ;-0,26 ;0,56 ;1,67 ;0,18
12/2014;0,10 ;0,62 ;1,11 ;0,43 ;0,12 ;0,50 ;0,51 ;0,19
01/2015;0,32 ;0,31 ;1,35 ;2,50 ;1,42 ;0,26 ;8,27 ;8,02
02/2015;5,19 ;0,59 ;1,12 ;2,37 ;0,22 ;0,91 ;3,14 ;2,73
03/2015;0,82 ;0,57 ;0,81 ;3,36 ;0,07 ;0,74 ;22,08 ;0,85
04/2015;0,24 ;0,63 ;0,74 ;0,78 ;0,61 ;1,05 ;1,31 ;0,00
05/2015;0,14 ;0,79 ;0,42 ;1,22 ;1,23 ;1,31 ;2,77 ;0,30
06/2015;0,34 ;0,68 ;0,69 ;1,12 ;4,95 ;0,21 ;0,06 ;0,40
07/2015;-0,02 ;0,50 ;0,40 ;1,17 ;2,44 ;-0,04 ;4,17 ;0,00
08/2015;0,64 ;0,42 ;-0,01 ;0,32 ;1,07 ;-0,44 ;-0,42 ;0,60
09/2015;0,38 ;0,46 ;0,38 ;0,92 ;1,48 ;12,98 ;0,28 ;0,10
10/2015;0,17 ;0,99 ;0,34 ;1,39 ;-0,04 ;3,27 ;0,87 ;0,10
11/2015;0,30 ;1,14 ;0,85 ;1,09 ;0,40 ;0,81 ;0,98 ;1,11
12/2015;0,25 ;0,91 ;1,26 ;0,53 ;0,10 ;0,13 ;0,34 ;0,20
01/2016;0,51 ;0,92 ;1,28 ;1,75 ;0,94 ;-0,09 ;1,61 ;5,61
02/2016;5,12 ;1,06 ;1,07 ;0,39 ;1,72 ;-0,57 ;-2,16 ;2,61
03/2016;0,75 ;0,89 ;0,51 ;-0,36 ;-0,43 ;-0,42 ;-3,41 ;0,19
04/2016;0,33 ;0,48 ;0,67 ;0,69 ;1,51 ;-0,07 ;-3,11 ;0,69
05/2016;0,25 ;0,71 ;0,47 ;1,40 ;10,37 ;-0,74 ;2,28 ;0,00
06/2016;0,20 ;0,56 ;0,24 ;0,24 ;2,64 ;-0,39 ;0,05 ;0,00
07/2016;0,07 ;0,93 ;0,54 ;-0,10 ;1,09 ;0,29 ;-3,04 ;0,00
08/2016;0,91 ;0,54 ;0,46 ;0,26 ;0,23 ;-0,40 ;-0,13 ;0,00
09/2016;0,32 ;-0,04 ;0,01 ;0,37 ;0,02 ;3,92 ;0,14 ;0,00
10/2016;0,00 ;0,08 ;0,25 ;0,54 ;0,74 ;1,19 ;0,06 ;0,00
11/2016;0,11 ;0,12 ;0,21 ;0,22 ;0,03 ;-0,65 ;0,43 ;0,00
12/2016;0,13 ;0,32 ;0,47 ;-0,01 ;0,00 ;0,09 ;-3,70 ;0,02
01/2017;0,32 ;0,24 ;0,25 ;0,80 ;0,61 ;0,46 ;-0,60 ;2,84
02/2017;4,65 ;-0,12 ;0,57 ;0,58 ;0,52 ;-0,84 ;0,32 ;2,33
03/2017;0,81 ;-0,10 ;0,41 ;0,48 ;0,12 ;1,13 ;4,43 ;0,31
04/2017;0,04 ;0,01 ;0,69 ;-0,60 ;0,24 ;2,63 ;-6,39 ;0,69
05/2017;0,18 ;0,02 ;-0,18 ;1,56 ;0,50 ;-0,53 ;8,98 ;0,01
06/2017;0,17 ;-0,24 ;0,14 ;-0,83 ;2,16 ;0,38 ;-5,52 ;0,00
07/2017;-0,04 ;-0,39 ;0,16 ;1,28 ;1,21 ;0,65 ;6,00 ;0,00
08/2017;0,34 ;-0,34 ;-0,29 ;1,73 ;1,78 ;-0,71 ;1,97 ;0,00
09/2017;0,03 ;0,00 ;0,25 ;0,24 ;0,28 ;4,81 ;-2,48 ;-0,97
10/2017;0,09 ;0,03 ;0,40 ;0,98 ;0,13 ;4,49 ;3,28 ;-0,11
11/2017;0,09 ;-0,13 ;-0,02 ;1,32 ;1,32 ;1,57 ;4,21 ;-0,55
12/2017;0,21 ;0,49 ;0,54 ;0,21 ;1,19 ;1,09 ;-3,09 ;-0,52
01/2018;0,30 ;0,01 ;0,58 ;0,20 ;0,12 ;-0,32 ;-4,73 ;1,36
02/2018;3,38 ;-0,20 ;0,61 ;0,55 ;0,24 ;0,65 ;-0,18 ;1,90
03/2018;0,36 ;-0,13 ;0,18 ;0,23 ;0,01 ;-0,03 ;0,67 ;0,74
04/2018;0,12 ;-0,01 ;0,17 ;0,60 ;0,00 ;-0,02 ;0,99 ;0,12
05/2018;0,12 ;0,02 ;0,11 ;1,37 ;0,27 ;-0,07 ;3,53 ;0,00
06/2018;0,05 ;1,39 ;0,38 ;2,49 ;1,10 ;4,08 ;7,93 ;0,42
07/2018;-0,05 ;0,45 ;-0,13 ;0,89 ;0,69 ;-0,18 ;5,33 ;1,46
08/2018;0,33 ;0,01 ;-0,31 ;0,12 ;0,99 ;-0,98 ;0,96 ;0,04
09/2018;0,34 ;0,20 ;0,40 ;0,96 ;0,30 ;0,33 ;0,46 ;0,00
10/2018;0,02 ;0,44 ;0,40 ;0,54 ;0,01 ;0,05 ;0,12 ;0,00
11/2018;0,05 ;-0,61 ;0,64 ;-1,00 ;0,00 ;0,52 ;-4,04 ;0,00
12/2018;0,25 ;0,13 ;0,84 ;-0,89 ;0,71 ;0,80 ;-1,96 ;0,13
01/2019;-0,05 ;0,12 ;0,65 ;0,05 ;0,31 ;-0,12 ;-0,13 ;2,67
02/2019;3,38 ;0,02 ;0,85 ;0,29 ;0,01 ;-0,72 ;1,14 ;1,50
03/2019;0,30 ;0,51 ;0,94 ;0,75 ;0,46 ;0,58 ;0,04 ;0,90
04/2019;0,13 ;0,36 ;0,45 ;1,03 ;0,49 ;0,10 ;0,10 ;0,74
05/2019;-0,08 ;0,14 ;-0,53 ;1,16 ;0,82 ;1,35 ;2,18 ;0,18
06/2019;0,16 ;0,11 ;0,06 ;-0,19 ;1,56 ;-0,48 ;-1,11 ;0,39
07/2019;0,07 ;-0,17 ;0,35 ;0,40 ;0,73 ;-0,01 ;4,48 ;0,10
08/2019;0,21 ;0,09 ;-0,19 ;0,60 ;1,34 ;-0,93 ;3,85 ;0,00
09/2019;0,07 ;0,14 ;-0,29 ;0,12 ;0,09 ;-0,17 ;0,00 ;0,00
10/2019;0,03 ;0,36 ;0,03 ;-0,11 ;0,52 ;0,74 ;-3,22 ;0,00
11/2019;0,09 ;0,79 ;-0,01 ;0,97 ;0,24 ;0,87 ;2,15 ;0,00
12/2019;0,28 ;1,94 ;1,01 ;0,35 ;0,26 ;0,08 ;-4,24 ;0,00
01/2020;0,17 ;-0,28 ;0,37 ;0,51 ;0,30 ;0,87 ;0,16 ;0,78
02/2020;3,48 ;0,02 ;0,71 ;-0,28 ;0,03 ;0,07 ;-1,71 ;0,36
03/2020;0,63 ;0,14 ;0,18 ;-0,22 ;-;-;-;-
04/2020;-0,03 ;-0,25 ;0,68 ;-2,06 ;-;-;-;-
05/2020;0,00 ;0,05 ;-0,29 ;-1,02 ;-;-;-;-
Fonte;IBGE;BCB-Depec;BCB-Depec;BCB-Depec;IBGE;IBGE;IBGE;IBGE
