Data;7471 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Despesas pessoais - Var. % mensal;7472 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Vestu�rio - Var. % mensal;7473 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Sa�de - Var. % mensal;7474 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Educa��o - Var. % mensal;7475 - �ndice de Pre�os ao Consumidor (IPC-Fipe) - Comercializ�veis - Var. % mensal;10841 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Bens n�o-dur�veis - Var. % mensal;10842 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Bens semi-dur�veis - Var. % mensal;10843 - �ndice de Pre�os ao Consumidor-Amplo (IPCA) - Dur�veis - Var. % mensal;27863 - �ndice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Industriais - Var. % mensal;27864 - Indice Nacional de Pre�os ao Consumidor - Amplo (IPCA) - Alimenta��o no domic�lio - Var. % mensal
09/2011;0,15 ;0,64 ;0,61 ;0,05 ;0,38 ;0,62 ;0,56 ;-0,09 ;0,39 ;0,68
10/2011;0,80 ;-0,72 ;0,30 ;-0,02 ;0,25 ;0,50 ;0,71 ;-0,20 ;0,45 ;0,36
11/2011;1,31 ;1,36 ;0,46 ;0,04 ;0,58 ;0,93 ;0,44 ;-0,19 ;0,35 ;1,25
12/2011;1,25 ;0,38 ;0,24 ;0,04 ;0,81 ;1,04 ;0,59 ;-0,50 ;0,47 ;1,15
01/2012;0,87 ;0,60 ;0,40 ;6,42 ;0,24 ;0,41 ;0,14 ;-0,13 ;-0,05 ;0,68
02/2012;0,25 ;-0,44 ;0,50 ;0,47 ;-0,61 ;-0,02 ;-0,22 ;-0,13 ;-0,12 ;-0,03
03/2012;-0,21 ;0,18 ;0,38 ;0,04 ;-0,06 ;0,29 ;-0,21 ;-0,56 ;-0,16 ;0,21
04/2012;1,94 ;0,89 ;0,73 ;0,04 ;0,79 ;1,09 ;0,75 ;-0,46 ;0,64 ;0,62
05/2012;0,81 ;-0,12 ;0,76 ;0,05 ;0,31 ;0,77 ;0,70 ;-0,23 ;0,32 ;0,83
06/2012;0,48 ;0,17 ;0,57 ;0,11 ;-0,08 ;0,44 ;0,33 ;-2,59 ;-0,90 ;0,67
07/2012;0,33 ;-0,63 ;0,39 ;0,31 ;-0,25 ;0,54 ;0,06 ;-0,16 ;-0,03 ;0,79
08/2012;0,37 ;0,22 ;0,55 ;0,16 ;0,51 ;0,69 ;0,34 ;0,23 ;0,28 ;0,89
09/2012;0,14 ;0,37 ;0,56 ;0,05 ;1,10 ;1,24 ;0,63 ;-0,16 ;0,23 ;1,70
10/2012;0,88 ;-0,17 ;0,21 ;0,03 ;1,12 ;1,15 ;0,78 ;0,23 ;0,44 ;1,55
11/2012;1,64 ;2,22 ;0,48 ;0,11 ;0,92 ;0,44 ;0,68 ;0,28 ;0,41 ;0,52
12/2012;2,01 ;0,03 ;0,24 ;0,15 ;0,84 ;1,20 ;0,90 ;0,18 ;0,73 ;1,17
01/2013;2,42 ;-0,33 ;0,41 ;6,08 ;0,95 ;2,34 ;-0,35 ;0,86 ;0,79 ;2,49
02/2013;-0,10 ;0,36 ;0,58 ;0,27 ;0,34 ;1,41 ;0,54 ;0,37 ;0,59 ;1,63
03/2013;-1,02 ;0,44 ;0,25 ;0,13 ;0,29 ;1,19 ;0,13 ;0,27 ;0,39 ;1,36
04/2013;-0,12 ;0,19 ;1,31 ;0,18 ;0,08 ;0,88 ;0,57 ;0,09 ;0,34 ;1,10
05/2013;0,30 ;0,88 ;0,94 ;0,03 ;0,11 ;0,11 ;0,67 ;0,21 ;0,37 ;0,05
06/2013;0,31 ;0,23 ;0,19 ;0,01 ;0,04 ;-0,36 ;0,48 ;-0,07 ;0,03 ;-0,36
07/2013;0,45 ;-0,26 ;0,33 ;0,06 ;0,00 ;-0,43 ;-0,28 ;-0,06 ;-0,05 ;-0,73
08/2013;0,63 ;-0,60 ;0,83 ;0,09 ;0,02 ;-0,20 ;0,11 ;0,48 ;0,25 ;-0,34
09/2013;0,24 ;1,11 ;0,72 ;0,09 ;0,65 ;0,08 ;0,54 ;0,27 ;0,37 ;-0,03
10/2013;0,86 ;-0,19 ;0,46 ;0,12 ;0,70 ;0,92 ;0,96 ;0,59 ;0,72 ;1,07
11/2013;0,74 ;0,34 ;0,49 ;0,12 ;0,63 ;0,55 ;0,75 ;0,06 ;0,52 ;0,41
12/2013;0,79 ;0,83 ;0,35 ;0,07 ;0,50 ;0,87 ;0,54 ;0,51 ;0,68 ;0,79
01/2014;1,96 ;-0,25 ;0,34 ;6,95 ;0,64 ;1,09 ;-0,07 ;0,48 ;0,59 ;0,90
02/2014;0,83 ;-0,02 ;0,68 ;0,41 ;-0,13 ;0,49 ;-0,18 ;0,62 ;0,48 ;0,22
03/2014;0,67 ;0,45 ;0,50 ;0,06 ;0,65 ;1,94 ;0,43 ;0,44 ;0,58 ;2,43
04/2014;1,00 ;0,07 ;1,15 ;0,08 ;0,98 ;1,20 ;0,42 ;0,18 ;0,36 ;1,52
05/2014;0,59 ;0,54 ;0,79 ;0,14 ;0,62 ;0,41 ;0,82 ;0,56 ;0,60 ;0,41
06/2014;-0,12 ;0,63 ;0,27 ;0,03 ;0,60 ;-0,39 ;0,44 ;0,10 ;0,20 ;-0,60
07/2014;1,03 ;-0,57 ;0,58 ;0,34 ;0,10 ;-0,28 ;-0,18 ;0,23 ;0,09 ;-0,51
08/2014;0,25 ;-0,22 ;0,34 ;0,01 ;-0,03 ;-0,30 ;-0,11 ;0,04 ;0,08 ;-0,61
09/2014;0,29 ;0,22 ;0,47 ;0,10 ;0,54 ;0,58 ;0,61 ;0,16 ;0,32 ;0,76
10/2014;-0,12 ;0,37 ;0,44 ;0,21 ;0,40 ;0,41 ;0,51 ;0,42 ;0,40 ;0,48
11/2014;1,24 ;0,72 ;0,71 ;0,05 ;0,45 ;0,76 ;0,39 ;-0,34 ;0,10 ;0,97
12/2014;0,87 ;0,27 ;0,54 ;0,04 ;0,37 ;0,79 ;0,68 ;0,08 ;0,38 ;0,96
01/2015;1,16 ;-0,21 ;0,48 ;6,86 ;0,49 ;1,52 ;-0,44 ;0,37 ;0,30 ;1,74
02/2015;0,07 ;-0,45 ;0,22 ;0,30 ;0,45 ;0,97 ;-0,31 ;0,93 ;0,68 ;0,74
03/2015;0,35 ;0,59 ;0,52 ;0,12 ;0,36 ;1,03 ;0,58 ;0,42 ;0,57 ;1,17
04/2015;0,05 ;0,82 ;1,48 ;0,08 ;0,70 ;0,71 ;0,91 ;0,31 ;0,46 ;0,97
05/2015;0,27 ;0,30 ;1,08 ;0,09 ;0,70 ;1,26 ;0,64 ;0,33 ;0,48 ;1,61
06/2015;0,83 ;0,04 ;0,42 ;0,02 ;0,82 ;0,69 ;0,75 ;0,21 ;0,53 ;0,70
07/2015;0,92 ;-0,18 ;1,67 ;0,14 ;0,39 ;0,50 ;0,00 ;0,33 ;0,21 ;0,59
08/2015;0,95 ;0,26 ;1,10 ;0,11 ;0,24 ;-0,03 ;0,26 ;0,18 ;0,34 ;-0,32
09/2015;0,99 ;0,52 ;0,78 ;0,29 ;0,55 ;0,06 ;0,50 ;0,30 ;0,37 ;-0,05
10/2015;0,91 ;0,62 ;0,82 ;0,21 ;0,98 ;1,00 ;0,65 ;-0,27 ;0,64 ;0,68
11/2015;0,82 ;0,50 ;0,63 ;0,17 ;1,12 ;2,30 ;0,58 ;-0,07 ;0,77 ;2,46
12/2015;1,31 ;0,50 ;0,35 ;0,13 ;1,00 ;1,66 ;0,97 ;0,19 ;0,70 ;1,96
01/2016;0,14 ;-0,39 ;0,58 ;7,62 ;0,58 ;2,48 ;-0,02 ;0,22 ;0,57 ;2,89
02/2016;0,84 ;0,36 ;0,71 ;0,39 ;0,68 ;1,44 ;0,42 ;0,64 ;0,93 ;1,28
03/2016;1,17 ;1,47 ;0,71 ;0,15 ;1,26 ;1,51 ;0,50 ;0,30 ;0,68 ;1,61
04/2016;0,48 ;0,94 ;2,32 ;0,09 ;0,80 ;0,71 ;0,52 ;0,30 ;0,20 ;1,14
05/2016;1,30 ;0,86 ;1,53 ;0,19 ;0,85 ;0,81 ;0,76 ;0,64 ;0,69 ;0,87
06/2016;0,34 ;0,32 ;0,42 ;0,16 ;1,03 ;0,68 ;0,25 ;-0,13 ;0,23 ;0,71
07/2016;0,26 ;-0,98 ;1,46 ;0,88 ;0,76 ;1,33 ;-0,06 ;0,04 ;0,12 ;1,75
08/2016;0,05 ;0,21 ;1,41 ;-0,05 ;0,47 ;0,39 ;0,29 ;0,62 ;0,46 ;0,36
09/2016;-0,34 ;0,84 ;0,56 ;0,01 ;0,12 ;-0,47 ;0,33 ;-0,39 ;-0,08 ;-0,60
10/2016;0,86 ;0,32 ;0,56 ;0,06 ;0,18 ;-0,14 ;0,25 ;-0,23 ;0,18 ;-0,45
11/2016;0,79 ;1,05 ;0,48 ;0,13 ;-0,02 ;-0,06 ;0,22 ;-0,23 ;0,27 ;-0,47
12/2016;1,18 ;1,83 ;0,36 ;0,03 ;0,59 ;0,32 ;0,37 ;-0,41 ;0,35 ;-0,05
01/2017;0,12 ;-0,86 ;0,70 ;6,51 ;0,00 ;0,32 ;-0,19 ;-0,05 ;0,13 ;0,17
02/2017;-0,13 ;-0,42 ;0,69 ;0,13 ;-0,58 ;-0,47 ;-0,03 ;0,14 ;0,08 ;-0,75
03/2017;0,17 ;-0,04 ;0,72 ;0,06 ;0,06 ;0,18 ;-0,09 ;-0,30 ;-0,16 ;0,31
04/2017;0,48 ;-0,02 ;1,66 ;0,18 ;0,49 ;0,34 ;0,47 ;-0,09 ;-0,01 ;0,68
05/2017;0,12 ;0,12 ;0,72 ;0,09 ;0,14 ;-0,44 ;0,73 ;-0,41 ;0,04 ;-0,56
06/2017;0,25 ;-0,16 ;0,04 ;0,14 ;0,00 ;-0,81 ;0,11 ;0,11 ;-0,11 ;-0,93
07/2017;0,03 ;0,01 ;1,18 ;0,34 ;-0,25 ;-0,54 ;-0,29 ;-0,45 ;-0,23 ;-0,81
08/2017;-0,52 ;-0,18 ;0,90 ;0,04 ;-0,51 ;-1,11 ;0,26 ;0,10 ;0,27 ;-1,84
09/2017;0,45 ;-0,19 ;0,30 ;0,00 ;-0,23 ;-0,37 ;0,09 ;0,03 ;0,17 ;-0,74
10/2017;0,41 ;0,22 ;0,45 ;0,17 ;0,11 ;0,01 ;0,46 ;0,06 ;0,30 ;-0,17
11/2017;1,30 ;0,23 ;0,42 ;0,10 ;-0,14 ;-0,29 ;0,09 ;-0,42 ;0,09 ;-0,72
12/2017;0,70 ;0,11 ;0,45 ;0,08 ;0,28 ;0,48 ;0,66 ;0,12 ;0,46 ;0,42
01/2018;-0,79 ;-0,18 ;0,31 ;3,02 ;0,20 ;0,90 ;-0,60 ;0,24 ;0,03 ;1,12
02/2018;-0,84 ;-0,24 ;0,29 ;0,01 ;-0,49 ;-0,32 ;-0,34 ;0,23 ;0,06 ;-0,61
03/2018;-0,79 ;0,35 ;0,46 ;0,02 ;-0,17 ;-0,07 ;0,29 ;-0,03 ;0,14 ;-0,18
04/2018;-0,27 ;0,15 ;0,91 ;0,11 ;-0,02 ;0,12 ;0,42 ;-0,04 ;0,06 ;0,27
05/2018;0,32 ;-0,10 ;0,49 ;0,05 ;-0,02 ;0,19 ;0,54 ;-0,03 ;0,12 ;0,36
06/2018;0,25 ;0,27 ;0,03 ;-0,01 ;2,06 ;2,29 ;-0,07 ;0,00 ;0,19 ;3,09
07/2018;-0,14 ;-0,14 ;0,84 ;0,28 ;0,49 ;-0,56 ;-0,46 ;0,32 ;-0,21 ;-0,59
08/2018;1,29 ;0,19 ;0,97 ;0,00 ;0,18 ;-0,46 ;0,20 ;0,36 ;0,21 ;-0,72
09/2018;0,95 ;-0,20 ;0,57 ;0,13 ;0,53 ;0,36 ;0,04 ;0,00 ;0,38 ;0,00
10/2018;0,22 ;0,06 ;0,36 ;0,04 ;0,23 ;0,81 ;0,39 ;0,40 ;0,47 ;0,91
11/2018;1,14 ;0,25 ;0,92 ;0,06 ;-0,37 ;-0,28 ;-0,39 ;0,05 ;-0,63 ;0,34
12/2018;0,77 ;0,20 ;0,27 ;0,05 ;0,29 ;0,32 ;1,05 ;0,14 ;0,37 ;0,50
01/2019;-0,23 ;0,09 ;0,26 ;3,31 ;0,31 ;0,64 ;-0,71 ;0,39 ;-0,12 ;0,97
02/2019;-0,36 ;0,20 ;0,29 ;0,03 ;0,46 ;0,90 ;-0,27 ;0,34 ;0,08 ;1,24
03/2019;-0,84 ;0,05 ;0,48 ;0,09 ;0,34 ;1,74 ;0,37 ;0,05 ;0,48 ;2,07
04/2019;0,25 ;0,18 ;1,27 ;-0,01 ;0,44 ;0,78 ;0,13 ;-0,05 ;0,40 ;0,62
05/2019;0,84 ;0,13 ;0,25 ;0,04 ;-0,12 ;-0,60 ;0,22 ;-0,08 ;0,06 ;-0,89
06/2019;0,82 ;-0,21 ;0,18 ;0,02 ;-0,12 ;-0,28 ;0,31 ;-0,23 ;0,01 ;-0,39
07/2019;-0,33 ;0,39 ;0,46 ;0,48 ;0,16 ;-0,32 ;-0,40 ;0,36 ;-0,30 ;-0,06
08/2019;-0,19 ;-0,41 ;0,40 ;0,04 ;0,15 ;-0,51 ;0,25 ;0,38 ;0,28 ;-0,84
09/2019;0,09 ;0,19 ;1,01 ;0,04 ;0,02 ;-0,30 ;0,14 ;-0,35 ;0,11 ;-0,70
10/2019;0,59 ;-0,10 ;0,70 ;0,04 ;0,20 ;0,19 ;0,41 ;-0,17 ;0,30 ;-0,03
11/2019;1,72 ;0,06 ;0,43 ;-0,01 ;1,04 ;0,82 ;0,12 ;-0,20 ;0,11 ;1,01
12/2019;0,36 ;0,11 ;-0,16 ;0,04 ;1,44 ;3,55 ;0,04 ;-0,40 ;0,26 ;4,69
01/2020;-0,49 ;-0,01 ;0,32 ;3,07 ;0,03 ;-0,14 ;-0,23 ;0,15 ;-0,23 ;0,20
02/2020;-0,12 ;-0,02 ;0,18 ;0,00 ;-0,18 ;0,46 ;-0,50 ;0,02 ;0,24 ;0,06
03/2020;-0,57 ;0,15 ;0,08 ;0,03 ;0,37 ;0,90 ;0,18 ;-0,20 ;-0,06 ;1,40
04/2020;-1,57 ;-0,01 ;0,44 ;0,02 ;0,34 ;1,05 ;-0,02 ;-0,87 ;-0,74 ;2,24
05/2020;-0,83 ;-1,22 ;0,18 ;0,03 ;0,15 ;0,11 ;-0,45 ;0,50 ;0,02 ;0,33
06/2020;0,37 ;-0,86 ;0,58 ;0,03 ;0,60 ;-;-;-;-;-
Fonte;Fipe;Fipe;Fipe;Fipe;Fipe;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec;BCB-Depec
