Data;14085 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas físicas - R$ (milhões);14090 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas jurídicas - R$ (milhões);14095 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - R$ (milhões);15890 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas físicas - %;15922 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Pessoas jurídicas - %;15954 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - %
10/2014;165.509 ;129.405 ;294.915 ;3,02 ;2,10 ;2,61
11/2014;167.655 ;131.322 ;298.977 ;2,94 ;1,99 ;2,52
12/2014;171.473 ;134.782 ;306.255 ;2,80 ;1,81 ;2,36
01/2015;173.540 ;135.199 ;308.739 ;2,94 ;1,88 ;2,47
02/2015;174.379 ;135.697 ;310.075 ;3,03 ;2,03 ;2,59
03/2015;176.364 ;136.858 ;313.222 ;2,89 ;1,93 ;2,47
04/2015;176.945 ;137.052 ;313.997 ;2,92 ;2,13 ;2,57
05/2015;177.918 ;137.648 ;315.565 ;2,99 ;2,20 ;2,64
06/2015;178.898 ;139.659 ;318.557 ;2,83 ;2,10 ;2,51
07/2015;180.295 ;139.975 ;320.270 ;3,02 ;2,29 ;2,70
08/2015;182.393 ;140.098 ;322.491 ;3,19 ;2,53 ;2,91
09/2015;183.639 ;140.936 ;324.575 ;3,22 ;2,62 ;2,96
10/2015;184.135 ;141.313 ;325.448 ;3,40 ;2,81 ;3,14
11/2015;185.898 ;142.304 ;328.202 ;3,48 ;2,80 ;3,18
12/2015;188.094 ;143.727 ;331.821 ;3,43 ;2,69 ;3,11
01/2016;189.177 ;141.081 ;330.257 ;3,61 ;2,85 ;3,28
02/2016;189.718 ;139.464 ;329.183 ;3,68 ;2,87 ;3,34
03/2016;190.085 ;137.610 ;327.695 ;3,55 ;2,85 ;3,26
04/2016;189.687 ;136.789 ;326.476 ;3,63 ;3,48 ;3,57
05/2016;189.834 ;136.688 ;326.521 ;3,57 ;3,69 ;3,62
06/2016;190.259 ;135.545 ;325.804 ;3,34 ;3,10 ;3,24
07/2016;190.230 ;134.169 ;324.399 ;3,40 ;3,26 ;3,34
08/2016;191.087 ;132.760 ;323.847 ;3,44 ;3,48 ;3,46
09/2016;191.712 ;133.115 ;324.827 ;3,52 ;3,67 ;3,58
10/2016;191.498 ;132.809 ;324.307 ;3,53 ;4,43 ;3,90
11/2016;193.747 ;132.487 ;326.234 ;3,39 ;4,34 ;3,77
12/2016;195.527 ;133.673 ;329.200 ;3,20 ;4,17 ;3,59
01/2017;197.057 ;131.950 ;329.007 ;3,32 ;4,25 ;3,69
02/2017;197.937 ;131.541 ;329.478 ;3,38 ;4,57 ;3,86
03/2017;199.487 ;131.616 ;331.103 ;3,34 ;4,77 ;3,91
04/2017;199.992 ;132.971 ;332.963 ;3,33 ;4,46 ;3,78
05/2017;200.834 ;132.099 ;332.932 ;3,29 ;4,49 ;3,77
06/2017;202.046 ;132.687 ;334.733 ;2,97 ;4,00 ;3,38
07/2017;201.966 ;130.304 ;332.270 ;3,12 ;3,21 ;3,16
08/2017;203.658 ;128.606 ;332.265 ;3,20 ;3,12 ;3,17
09/2017;203.979 ;128.711 ;332.691 ;3,18 ;3,19 ;3,18
10/2017;205.990 ;128.664 ;334.655 ;3,13 ;3,95 ;3,44
11/2017;207.968 ;127.776 ;335.744 ;3,00 ;3,85 ;3,32
12/2017;209.953 ;129.343 ;339.296 ;2,80 ;2,52 ;2,69
01/2018;211.867 ;127.874 ;339.741 ;3,06 ;2,56 ;2,87
02/2018;212.609 ;128.409 ;341.019 ;3,07 ;2,48 ;2,85
03/2018;214.142 ;129.961 ;344.103 ;3,03 ;3,05 ;3,04
04/2018;215.347 ;130.186 ;345.533 ;2,89 ;2,52 ;2,75
05/2018;216.277 ;132.346 ;348.624 ;2,88 ;2,64 ;2,79
06/2018;218.420 ;132.797 ;351.218 ;2,69 ;2,26 ;2,53
07/2018;219.422 ;132.294 ;351.716 ;2,75 ;2,29 ;2,58
08/2018;223.307 ;134.221 ;357.528 ;2,74 ;2,39 ;2,61
09/2018;224.429 ;134.807 ;359.236 ;2,72 ;3,22 ;2,90
10/2018;226.754 ;134.091 ;360.846 ;2,65 ;3,26 ;2,88
11/2018;230.383 ;134.766 ;365.149 ;2,52 ;3,12 ;2,74
12/2018;233.083 ;136.572 ;369.655 ;2,43 ;2,86 ;2,59
01/2019;234.322 ;133.316 ;367.638 ;2,54 ;2,85 ;2,65
02/2019;235.885 ;133.757 ;369.643 ;2,53 ;2,89 ;2,66
03/2019;238.423 ;135.115 ;373.538 ;2,59 ;2,84 ;2,68
04/2019;239.849 ;135.312 ;375.160 ;2,54 ;2,83 ;2,65
05/2019;241.581 ;135.585 ;377.165 ;2,53 ;2,78 ;2,62
06/2019;243.967 ;135.952 ;379.919 ;2,44 ;2,07 ;2,31
07/2019;245.445 ;135.338 ;380.784 ;2,62 ;1,99 ;2,40
08/2019;249.576 ;138.224 ;387.800 ;2,71 ;2,14 ;2,51
09/2019;252.921 ;139.470 ;392.391 ;2,71 ;2,11 ;2,49
10/2019;256.045 ;139.965 ;396.010 ;2,64 ;2,09 ;2,44
11/2019;260.206 ;141.855 ;402.062 ;2,62 ;2,02 ;2,41
12/2019;263.616 ;142.984 ;406.600 ;2,62 ;1,92 ;2,38
01/2020;267.376 ;142.982 ;410.358 ;2,76 ;2,04 ;2,51
02/2020;269.475 ;144.577 ;414.052 ;2,82 ;1,98 ;2,53
03/2020;272.485 ;151.439 ;423.924 ;3,05 ;1,92 ;2,64
04/2020;271.269 ;154.945 ;426.213 ;3,07 ;1,93 ;2,66
05/2020;271.621 ;157.309 ;428.930 ;2,96 ;1,88 ;2,57
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
