Data;1458 - Índice de volume de vendas no varejo - Total - Amazonas - Índice;14005 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - R$ (milhões);14032 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas jurídicas - R$ (milhões);14059 - Saldo das operações de crédito do Sistema Financeiro Nacional - Amazonas - Total - R$ (milhões);15864 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas físicas - %;15896 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Pessoas jurídicas - %;15928 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Amazonas - Total - %;24005 - PMS - Índice de volume de serviços - Total - Amazonas - Índice;25412 - Índice de Atividade Econômica Regional - Amazonas - com ajuste sazonal - Índice;28003 - Utilização da capacidade instalada - Amazonas (desde 2006) A - %
11/2006;78,20 ;2.306 ;4.974 ;7.281 ;6,65 ;1,26 ;2,61 ;-;126,36 ;89
12/2006;108,80 ;2.356 ;4.981 ;7.337 ;6,23 ;1,20 ;2,49 ;-;125,09 ;84
01/2007;71,30 ;2.448 ;4.858 ;7.306 ;6,17 ;1,23 ;2,55 ;-;126,44 ;84
02/2007;66,80 ;2.513 ;4.771 ;7.284 ;6,05 ;1,20 ;2,54 ;-;126,82 ;85
03/2007;73,90 ;2.584 ;4.626 ;7.211 ;5,93 ;1,17 ;2,52 ;-;129,14 ;85
04/2007;69,50 ;2.571 ;4.897 ;7.468 ;6,14 ;1,06 ;2,47 ;-;132,96 ;86
05/2007;79,10 ;2.680 ;4.894 ;7.574 ;6,57 ;1,26 ;2,77 ;-;130,26 ;85
06/2007;73,70 ;2.777 ;4.987 ;7.765 ;6,31 ;1,08 ;2,58 ;-;132,83 ;86
07/2007;75,30 ;2.847 ;5.061 ;7.908 ;6,42 ;1,03 ;2,59 ;-;132,94 ;83
08/2007;78,70 ;2.927 ;5.104 ;8.031 ;6,36 ;1,08 ;2,64 ;-;136,82 ;85
09/2007;74,60 ;3.012 ;5.189 ;8.200 ;6,26 ;1,45 ;2,88 ;-;135,41 ;85
10/2007;77,90 ;3.081 ;5.274 ;8.354 ;6,34 ;1,40 ;2,89 ;-;136,14 ;83
11/2007;81,30 ;3.165 ;5.339 ;8.504 ;6,45 ;1,36 ;2,92 ;-;136,74 ;86
12/2007;109,30 ;3.281 ;5.415 ;8.696 ;6,26 ;1,58 ;3,03 ;-;138,00 ;82
01/2008;70,10 ;3.386 ;5.253 ;8.639 ;6,20 ;2,84 ;3,92 ;-;141,46 ;81
02/2008;65,70 ;3.487 ;5.297 ;8.784 ;6,25 ;2,91 ;3,99 ;-;142,62 ;82
03/2008;71,30 ;3.517 ;5.346 ;8.863 ;6,18 ;2,74 ;3,87 ;-;140,48 ;82
04/2008;69,40 ;3.607 ;5.439 ;9.046 ;6,22 ;4,01 ;4,74 ;-;137,81 ;83
05/2008;78,40 ;3.738 ;5.466 ;9.204 ;6,44 ;4,19 ;4,95 ;-;141,75 ;84
06/2008;73,10 ;3.851 ;5.705 ;9.555 ;6,33 ;3,51 ;4,45 ;-;143,30 ;83
07/2008;77,90 ;3.972 ;5.755 ;9.727 ;6,47 ;4,12 ;4,91 ;-;141,42 ;87
08/2008;77,60 ;4.090 ;6.021 ;10.111 ;6,52 ;3,60 ;4,57 ;-;142,65 ;88
09/2008;73,30 ;4.131 ;6.426 ;10.557 ;6,51 ;3,29 ;4,33 ;-;145,09 ;86
10/2008;78,00 ;4.291 ;7.135 ;11.426 ;6,71 ;3,95 ;4,79 ;-;142,08 ;86
11/2008;75,80 ;4.346 ;7.602 ;11.948 ;6,91 ;4,02 ;4,86 ;-;137,97 ;87
12/2008;106,70 ;4.377 ;7.823 ;12.200 ;7,02 ;3,62 ;4,60 ;-;138,93 ;85
01/2009;73,70 ;4.472 ;7.422 ;11.894 ;7,35 ;2,22 ;3,77 ;-;134,03 ;74
02/2009;65,80 ;4.528 ;7.061 ;11.589 ;7,49 ;2,53 ;4,09 ;-;135,59 ;78
03/2009;73,90 ;4.518 ;7.058 ;11.576 ;7,59 ;2,44 ;4,08 ;-;134,81 ;77
04/2009;71,90 ;4.601 ;7.036 ;11.637 ;7,59 ;1,89 ;3,73 ;-;132,09 ;78
05/2009;78,70 ;4.688 ;7.033 ;11.721 ;7,85 ;1,94 ;3,89 ;-;139,62 ;79
06/2009;75,20 ;4.779 ;6.951 ;11.730 ;7,85 ;2,85 ;4,53 ;-;137,97 ;79
07/2009;80,20 ;4.880 ;6.999 ;11.879 ;7,76 ;3,53 ;4,97 ;-;140,16 ;79
08/2009;82,00 ;4.946 ;7.023 ;11.969 ;7,74 ;3,94 ;5,25 ;-;143,73 ;83
09/2009;79,40 ;5.042 ;7.085 ;12.126 ;7,67 ;4,26 ;5,44 ;-;144,85 ;82
10/2009;84,00 ;5.155 ;7.462 ;12.617 ;7,45 ;4,09 ;5,24 ;-;149,13 ;83
11/2009;82,30 ;5.330 ;7.695 ;13.025 ;7,37 ;3,65 ;4,91 ;-;149,56 ;85
12/2009;109,90 ;5.394 ;7.809 ;13.202 ;6,99 ;3,58 ;4,76 ;-;146,39 ;82
01/2010;80,20 ;5.667 ;7.221 ;12.888 ;7,10 ;3,99 ;5,12 ;-;154,69 ;77
02/2010;74,80 ;5.629 ;7.139 ;12.767 ;7,04 ;4,03 ;5,12 ;-;153,28 ;79
03/2010;80,50 ;5.645 ;7.087 ;12.732 ;6,76 ;2,45 ;4,05 ;-;161,41 ;80
04/2010;78,20 ;5.782 ;7.001 ;12.783 ;6,63 ;2,59 ;4,12 ;-;156,58 ;79
05/2010;84,50 ;5.896 ;7.264 ;13.160 ;6,65 ;2,55 ;4,09 ;-;157,03 ;80
06/2010;82,80 ;6.024 ;7.536 ;13.560 ;6,52 ;2,50 ;3,98 ;-;156,92 ;81
07/2010;84,60 ;6.094 ;7.627 ;13.721 ;6,45 ;2,24 ;3,80 ;-;156,67 ;81
08/2010;92,50 ;6.173 ;8.376 ;14.549 ;6,07 ;1,95 ;3,42 ;-;156,73 ;81
09/2010;88,80 ;6.347 ;8.637 ;14.983 ;5,89 ;1,97 ;3,36 ;-;155,29 ;80
10/2010;91,90 ;6.521 ;8.876 ;15.397 ;5,85 ;2,08 ;3,41 ;-;156,64 ;81
11/2010;90,50 ;6.654 ;9.227 ;15.882 ;5,66 ;2,10 ;3,35 ;-;160,92 ;81
12/2010;123,10 ;6.879 ;9.469 ;16.348 ;5,46 ;2,02 ;3,23 ;-;156,66 ;78
01/2011;88,90 ;7.067 ;8.922 ;15.988 ;5,52 ;2,26 ;3,46 ;81,20 ;162,64 ;80
02/2011;81,00 ;7.146 ;8.885 ;16.031 ;4,73 ;2,15 ;3,11 ;82,50 ;162,20 ;80
03/2011;83,70 ;7.193 ;9.197 ;16.391 ;4,83 ;2,04 ;3,06 ;87,10 ;162,59 ;79
04/2011;83,50 ;7.303 ;9.420 ;16.723 ;4,98 ;2,04 ;3,11 ;86,80 ;164,61 ;81
05/2011;90,30 ;7.395 ;9.591 ;16.986 ;5,24 ;2,14 ;3,27 ;89,50 ;165,83 ;81
06/2011;87,90 ;7.549 ;10.141 ;17.690 ;5,20 ;1,91 ;3,09 ;89,40 ;165,57 ;82
07/2011;90,00 ;7.702 ;9.941 ;17.644 ;5,34 ;1,98 ;3,21 ;90,30 ;168,69 ;81
08/2011;96,20 ;7.749 ;10.125 ;17.874 ;5,44 ;2,00 ;3,26 ;95,60 ;167,31 ;82
09/2011;87,20 ;7.902 ;10.809 ;18.710 ;5,56 ;1,92 ;3,21 ;93,40 ;169,83 ;81
10/2011;92,00 ;8.033 ;11.004 ;19.037 ;5,69 ;1,95 ;3,27 ;93,70 ;173,64 ;82
11/2011;95,10 ;8.132 ;11.169 ;19.301 ;6,49 ;1,93 ;3,54 ;96,60 ;167,44 ;83
12/2011;127,70 ;8.240 ;11.446 ;19.686 ;6,44 ;1,85 ;3,45 ;102,10 ;165,29 ;83
01/2012;89,90 ;8.406 ;10.187 ;18.593 ;5,89 ;2,09 ;3,66 ;86,10 ;165,03 ;83
02/2012;83,80 ;8.464 ;10.123 ;18.587 ;6,21 ;2,10 ;3,86 ;87,30 ;164,88 ;81
03/2012;94,20 ;8.527 ;10.220 ;18.747 ;6,09 ;2,13 ;3,83 ;93,40 ;163,01 ;81
04/2012;90,80 ;8.607 ;10.299 ;18.906 ;6,17 ;3,43 ;4,68 ;90,50 ;163,92 ;79
05/2012;98,90 ;8.728 ;10.567 ;19.295 ;6,31 ;3,47 ;4,75 ;93,00 ;163,99 ;81
06/2012;94,70 ;8.830 ;10.789 ;19.619 ;6,17 ;3,34 ;4,62 ;92,70 ;167,79 ;82
07/2012;95,30 ;8.901 ;10.839 ;19.740 ;6,07 ;2,21 ;3,95 ;90,50 ;158,73 ;82
08/2012;97,20 ;9.046 ;11.128 ;20.174 ;5,96 ;2,23 ;3,90 ;96,10 ;171,86 ;81
09/2012;91,20 ;9.109 ;11.435 ;20.545 ;5,78 ;2,17 ;3,77 ;91,20 ;169,17 ;80
10/2012;93,50 ;9.194 ;11.702 ;20.896 ;5,80 ;2,13 ;3,74 ;99,50 ;165,64 ;82
11/2012;95,00 ;9.302 ;11.663 ;20.965 ;5,85 ;2,21 ;3,82 ;98,30 ;169,95 ;81
12/2012;126,20 ;9.461 ;12.259 ;21.719 ;5,79 ;1,93 ;3,61 ;99,60 ;170,66 ;78
01/2013;92,70 ;9.596 ;12.123 ;21.719 ;5,73 ;1,84 ;3,56 ;87,00 ;168,54 ;80
02/2013;84,50 ;9.657 ;11.913 ;21.570 ;5,69 ;1,91 ;3,60 ;87,10 ;170,50 ;80
03/2013;95,40 ;9.725 ;11.795 ;21.519 ;5,82 ;1,97 ;3,71 ;94,80 ;171,93 ;81
04/2013;91,10 ;9.888 ;11.857 ;21.745 ;5,83 ;2,00 ;3,74 ;98,40 ;172,04 ;81
05/2013;98,20 ;10.059 ;12.032 ;22.092 ;5,94 ;2,00 ;3,79 ;99,20 ;174,26 ;81
06/2013;95,30 ;10.179 ;12.356 ;22.535 ;5,86 ;2,41 ;3,97 ;97,70 ;172,12 ;84
07/2013;99,50 ;10.305 ;12.373 ;22.678 ;5,80 ;2,65 ;4,08 ;98,80 ;174,13 ;82
08/2013;103,20 ;10.445 ;12.577 ;23.022 ;5,69 ;2,90 ;4,16 ;99,10 ;175,47 ;83
09/2013;96,10 ;10.574 ;12.586 ;23.160 ;5,72 ;3,06 ;4,27 ;96,70 ;176,06 ;82
10/2013;101,80 ;10.701 ;12.625 ;23.327 ;5,62 ;3,33 ;4,38 ;102,40 ;177,69 ;83
11/2013;102,50 ;10.812 ;12.453 ;23.265 ;5,65 ;3,30 ;4,39 ;100,60 ;178,31 ;81
12/2013;135,70 ;11.003 ;12.911 ;23.914 ;5,64 ;4,32 ;4,93 ;100,90 ;179,73 ;80
01/2014;99,10 ;11.125 ;12.576 ;23.701 ;5,55 ;4,59 ;5,04 ;96,80 ;178,78 ;81
02/2014;87,60 ;11.168 ;12.467 ;23.634 ;5,66 ;4,64 ;5,12 ;100,10 ;178,99 ;80
03/2014;91,90 ;11.112 ;12.378 ;23.491 ;5,85 ;3,28 ;4,50 ;101,10 ;180,80 ;81
04/2014;90,10 ;11.317 ;12.298 ;23.616 ;5,75 ;2,96 ;4,30 ;100,40 ;175,35 ;80
05/2014;103,80 ;11.459 ;12.282 ;23.741 ;5,93 ;3,06 ;4,45 ;105,10 ;173,50 ;81
06/2014;94,40 ;11.578 ;12.257 ;23.835 ;5,65 ;3,07 ;4,32 ;93,50 ;166,49 ;79
07/2014;96,00 ;11.669 ;12.091 ;23.759 ;5,78 ;2,78 ;4,25 ;98,10 ;172,11 ;80
08/2014;102,10 ;11.858 ;12.277 ;24.135 ;5,39 ;2,68 ;4,01 ;100,90 ;170,36 ;81
09/2014;98,10 ;11.909 ;12.470 ;24.379 ;5,37 ;2,03 ;3,66 ;101,60 ;169,19 ;81
10/2014;103,70 ;12.068 ;12.362 ;24.430 ;5,41 ;2,14 ;3,76 ;105,70 ;170,53 ;81
11/2014;104,30 ;12.198 ;12.594 ;24.792 ;5,35 ;2,23 ;3,76 ;101,00 ;168,68 ;80
12/2014;128,80 ;12.386 ;12.335 ;24.722 ;5,14 ;2,31 ;3,72 ;95,70 ;171,05 ;78
01/2015;94,50 ;12.505 ;12.027 ;24.533 ;5,22 ;2,36 ;3,82 ;90,90 ;169,18 ;78
02/2015;84,30 ;12.573 ;12.136 ;24.709 ;5,29 ;2,63 ;3,99 ;93,20 ;168,23 ;78
03/2015;88,20 ;12.709 ;12.192 ;24.900 ;5,05 ;2,52 ;3,81 ;99,80 ;162,31 ;81
04/2015;88,60 ;12.852 ;11.998 ;24.850 ;5,05 ;2,28 ;3,71 ;92,40 ;164,21 ;80
05/2015;92,30 ;12.993 ;11.990 ;24.983 ;5,27 ;2,35 ;3,87 ;91,20 ;160,82 ;80
06/2015;87,30 ;13.072 ;12.360 ;25.432 ;5,02 ;2,17 ;3,63 ;86,90 ;160,69 ;80
07/2015;90,20 ;13.119 ;12.318 ;25.437 ;5,03 ;2,19 ;3,65 ;85,70 ;159,39 ;77
08/2015;94,70 ;13.219 ;12.196 ;25.415 ;5,12 ;2,26 ;3,75 ;94,30 ;161,98 ;76
09/2015;88,50 ;13.244 ;12.455 ;25.699 ;5,16 ;2,20 ;3,72 ;88,10 ;158,10 ;76
10/2015;94,80 ;13.272 ;12.347 ;25.619 ;5,22 ;2,34 ;3,83 ;89,10 ;156,06 ;75
11/2015;92,90 ;13.354 ;12.254 ;25.608 ;5,42 ;2,56 ;4,05 ;85,90 ;152,26 ;76
12/2015;115,70 ;13.386 ;12.435 ;25.821 ;5,57 ;2,77 ;4,22 ;85,30 ;151,12 ;77
01/2016;82,50 ;13.418 ;12.093 ;25.511 ;5,57 ;2,94 ;4,32 ;78,20 ;146,42 ;74
02/2016;75,40 ;13.429 ;11.805 ;25.234 ;5,77 ;3,22 ;4,58 ;76,20 ;149,83 ;71
03/2016;79,40 ;13.444 ;11.434 ;24.878 ;5,79 ;3,27 ;4,63 ;83,50 ;152,47 ;72
04/2016;75,50 ;13.438 ;11.378 ;24.816 ;6,19 ;3,34 ;4,88 ;78,30 ;146,52 ;69
05/2016;78,30 ;13.453 ;11.106 ;24.558 ;6,28 ;3,55 ;5,04 ;80,20 ;154,40 ;71
06/2016;76,20 ;13.471 ;11.231 ;24.702 ;5,87 ;3,38 ;4,74 ;73,80 ;152,57 ;71
07/2016;83,80 ;13.466 ;10.971 ;24.437 ;5,62 ;3,94 ;4,87 ;75,00 ;154,77 ;71
08/2016;85,50 ;13.514 ;10.733 ;24.247 ;5,59 ;4,13 ;4,94 ;79,20 ;152,87 ;70
09/2016;78,00 ;13.493 ;10.807 ;24.300 ;5,60 ;4,07 ;4,92 ;77,70 ;152,00 ;75
10/2016;83,40 ;13.458 ;10.547 ;24.005 ;5,67 ;4,32 ;5,08 ;74,60 ;149,04 ;73
11/2016;84,70 ;13.494 ;10.587 ;24.081 ;5,55 ;4,55 ;5,11 ;77,00 ;150,59 ;72
12/2016;111,30 ;13.487 ;10.714 ;24.201 ;5,28 ;4,52 ;4,94 ;79,40 ;149,15 ;74
01/2017;84,50 ;13.502 ;10.326 ;23.828 ;5,23 ;4,60 ;4,96 ;69,80 ;144,33 ;73
02/2017;75,50 ;13.485 ;10.436 ;23.921 ;5,16 ;4,87 ;5,03 ;68,90 ;148,47 ;74
03/2017;81,50 ;13.494 ;10.399 ;23.894 ;5,11 ;4,91 ;5,02 ;73,70 ;147,69 ;72
04/2017;83,00 ;13.490 ;10.343 ;23.833 ;5,13 ;4,27 ;4,76 ;69,90 ;151,15 ;74
05/2017;84,50 ;13.551 ;10.291 ;23.842 ;5,17 ;4,63 ;4,94 ;77,90 ;154,05 ;75
06/2017;82,10 ;13.580 ;10.486 ;24.066 ;4,83 ;4,30 ;4,60 ;77,70 ;155,80 ;75
07/2017;90,70 ;13.642 ;9.980 ;23.622 ;4,90 ;4,31 ;4,65 ;77,90 ;156,76 ;75
08/2017;91,30 ;13.741 ;10.035 ;23.776 ;4,87 ;4,43 ;4,69 ;78,80 ;158,14 ;75
09/2017;89,40 ;13.751 ;10.182 ;23.933 ;4,87 ;4,45 ;4,70 ;75,80 ;158,61 ;75
10/2017;91,30 ;13.842 ;9.901 ;23.743 ;4,70 ;4,54 ;4,63 ;78,90 ;159,82 ;75
11/2017;96,40 ;13.921 ;9.819 ;23.741 ;4,58 ;4,22 ;4,43 ;83,10 ;156,86 ;75
12/2017;120,70 ;13.939 ;10.081 ;24.020 ;4,33 ;4,32 ;4,33 ;85,70 ;163,88 ;77
01/2018;91,60 ;13.986 ;9.742 ;23.728 ;4,47 ;4,49 ;4,48 ;69,40 ;164,24 ;76
02/2018;84,10 ;13.973 ;9.753 ;23.726 ;4,32 ;4,35 ;4,33 ;67,50 ;162,05 ;76
03/2018;93,60 ;14.046 ;10.017 ;24.063 ;4,09 ;4,80 ;4,39 ;75,20 ;165,10 ;76
04/2018;82,90 ;14.164 ;9.994 ;24.158 ;4,08 ;4,93 ;4,43 ;72,40 ;162,70 ;76
05/2018;92,40 ;14.300 ;10.039 ;24.340 ;4,09 ;4,79 ;4,38 ;75,60 ;157,58 ;76
06/2018;86,60 ;14.393 ;10.041 ;24.434 ;3,95 ;3,54 ;3,78 ;72,70 ;154,59 ;72
07/2018;87,60 ;14.452 ;9.762 ;24.214 ;3,96 ;4,10 ;4,02 ;73,80 ;159,90 ;75
08/2018;92,40 ;14.609 ;9.937 ;24.546 ;3,77 ;4,02 ;3,87 ;84,30 ;156,66 ;76
09/2018;89,60 ;14.682 ;10.193 ;24.875 ;3,73 ;4,11 ;3,88 ;75,00 ;153,22 ;76
10/2018;94,10 ;14.849 ;9.948 ;24.797 ;3,74 ;3,97 ;3,83 ;82,70 ;162,13 ;73
11/2018;103,00 ;15.060 ;9.886 ;24.946 ;3,68 ;3,13 ;3,46 ;78,30 ;158,92 ;72
12/2018;120,20 ;15.179 ;10.395 ;25.574 ;3,65 ;2,87 ;3,33 ;82,80 ;157,73 ;75
01/2019;88,70 ;15.322 ;10.085 ;25.407 ;3,77 ;2,67 ;3,34 ;70,10 ;163,00 ;70
02/2019;82,80 ;15.432 ;10.155 ;25.587 ;3,58 ;2,52 ;3,16 ;69,50 ;164,04 ;71
03/2019;92,70 ;15.580 ;10.021 ;25.601 ;3,68 ;2,31 ;3,14 ;77,10 ;165,06 ;66
04/2019;88,50 ;15.754 ;10.177 ;25.931 ;3,68 ;2,28 ;3,13 ;76,10 ;165,03 ;70
05/2019;95,30 ;16.004 ;10.065 ;26.069 ;3,80 ;2,08 ;3,13 ;79,70 ;166,81 ;70
06/2019;99,20 ;16.177 ;10.320 ;26.497 ;3,70 ;1,62 ;2,89 ;75,40 ;168,02 ;68
07/2019;102,60 ;16.418 ;10.027 ;26.444 ;3,73 ;1,99 ;3,07 ;77,60 ;164,42 ;70
08/2019;104,70 ;16.764 ;10.148 ;26.912 ;3,74 ;1,95 ;3,06 ;81,40 ;168,79 ;71
09/2019;100,90 ;17.055 ;10.266 ;27.322 ;3,82 ;2,04 ;3,15 ;77,70 ;168,56 ;78
10/2019;105,40 ;17.312 ;10.562 ;27.875 ;3,76 ;2,11 ;3,13 ;85,60 ;169,04 ;78
11/2019;116,80 ;17.587 ;11.351 ;28.939 ;3,76 ;2,50 ;3,27 ;85,00 ;169,17 ;79
12/2019;128,40 ;17.750 ;11.706 ;29.456 ;3,80 ;2,41 ;3,25 ;89,80 ;170,09 ;80
01/2020;98,50 ;17.963 ;11.181 ;29.143 ;3,87 ;2,64 ;3,40 ;77,90 ;167,97 ;81
02/2020;94,00 ;18.114 ;11.196 ;29.310 ;3,79 ;2,55 ;3,31 ;70,70 ;168,65 ;82
03/2020;87,70 ;18.222 ;11.905 ;30.127 ;4,30 ;2,18 ;3,46 ;80,10 ;159,39 ;-
04/2020;68,30 ;17.956 ;12.085 ;30.041 ;4,56 ;2,46 ;3,71 ;66,40 ;132,49 ;-
05/2020;83,50 ;17.898 ;12.046 ;29.943 ;4,70 ;2,33 ;3,74 ;-;-;-
