Data;191 - Índice de preços ao consumidor-Brasil (IPC-Br) - Var. % mensal;225 - Índice de preços ao produtor amplo - Var. % mensal
07/1989;-;39,44
08/1989;-;36,73
09/1989;-;41,41
10/1989;-;40,34
11/1989;-;44,32
12/1989;-;48,89
01/1990;72,84 ;72,63
02/1990;67,52 ;73,99
03/1990;80,75 ;82,04
04/1990;17,25 ;9,98
05/1990;9,63 ;9,93
06/1990;12,75 ;7,32
07/1990;14,71 ;11,57
08/1990;12,86 ;12,95
09/1990;13,12 ;11,06
10/1990;14,04 ;14,59
11/1990;16,74 ;18,43
12/1990;18,87 ;15,00
01/1991;19,91 ;20,32
02/1991;21,53 ;21,57
03/1991;6,60 ;7,48
04/1991;8,62 ;9,04
05/1991;7,05 ;5,45
06/1991;11,72 ;8,77
07/1991;13,31 ;12,45
08/1991;15,49 ;15,60
09/1991;16,87 ;15,17
10/1991;23,98 ;27,34
11/1991;25,36 ;25,52
12/1991;23,80 ;21,50
01/1992;25,70 ;27,11
02/1992;23,89 ;25,48
03/1992;20,86 ;19,67
04/1992;20,10 ;17,80
05/1992;23,13 ;21,23
06/1992;23,11 ;20,90
07/1992;20,45 ;22,19
08/1992;24,48 ;27,40
09/1992;26,13 ;27,17
10/1992;26,61 ;24,83
11/1992;22,74 ;24,43
12/1992;24,75 ;23,78
01/1993;30,08 ;26,69
02/1993;28,41 ;26,23
03/1993;25,71 ;28,08
04/1993;30,46 ;28,32
05/1993;29,94 ;32,06
06/1993;32,82 ;30,30
07/1993;30,74 ;32,29
08/1993;35,69 ;33,34
09/1993;35,48 ;37,25
10/1993;35,75 ;35,03
11/1993;37,32 ;36,52
12/1993;38,26 ;35,72
01/1994;42,67 ;41,28
02/1994;41,98 ;43,23
03/1994;43,47 ;43,65
04/1994;45,57 ;40,20
05/1994;43,77 ;38,47
06/1994;49,10 ;45,50
07/1994;8,10 ;4,41
08/1994;2,60 ;4,40
09/1994;1,46 ;1,79
10/1994;2,65 ;2,71
11/1994;3,11 ;2,18
12/1994;1,11 ;0,17
01/1995;1,63 ;0,87
02/1995;1,97 ;0,58
03/1995;2,74 ;1,08
04/1995;2,90 ;1,99
05/1995;2,21 ;-2,03
06/1995;4,39 ;1,55
07/1995;2,63 ;2,24
08/1995;0,74 ;1,73
09/1995;0,67 ;-2,42
10/1995;0,63 ;-0,14
11/1995;1,25 ;1,49
12/1995;1,57 ;-0,61
01/1996;2,70 ;1,31
02/1996;1,46 ;0,47
03/1996;0,43 ;-0,07
04/1996;1,31 ;0,41
05/1996;2,08 ;1,34
06/1996;1,57 ;0,94
07/1996;0,76 ;1,38
08/1996;0,01 ;-0,05
09/1996;-0,35 ;0,41
10/1996;0,18 ;0,24
11/1996;0,25 ;0,24
12/1996;0,44 ;1,21
01/1997;1,85 ;1,67
02/1997;0,53 ;0,34
03/1997;0,63 ;1,59
04/1997;0,80 ;0,53
05/1997;0,39 ;0,14
06/1997;1,30 ;0,24
07/1997;0,24 ;-0,09
08/1997;-0,27 ;-0,15
09/1997;0,17 ;0,92
10/1997;0,29 ;0,41
11/1997;0,53 ;1,08
12/1997;0,56 ;0,87
01/1998;1,26 ;0,75
02/1998;0,14 ;-0,15
03/1998;0,33 ;0,13
04/1998;0,23 ;-0,28
05/1998;0,14 ;0,13
06/1998;0,41 ;0,17
07/1998;-0,25 ;-0,61
08/1998;-0,52 ;-0,04
09/1998;-0,17 ;0,06
10/1998;0,20 ;-0,19
11/1998;-0,19 ;-0,20
12/1998;0,09 ;1,74
01/1999;0,64 ;1,58
02/1999;1,41 ;6,99
03/1999;0,95 ;2,84
04/1999;0,52 ;-0,34
05/1999;0,08 ;-0,82
06/1999;0,65 ;1,35
07/1999;1,20 ;2,03
08/1999;0,48 ;2,15
09/1999;0,19 ;2,30
10/1999;0,92 ;2,58
11/1999;1,12 ;3,59
12/1999;0,60 ;1,60
01/2000;1,01 ;1,02
02/2000;0,05 ;0,17
03/2000;0,51 ;-0,05
04/2000;0,25 ;-0,02
05/2000;0,40 ;0,69
06/2000;-0,01 ;1,45
07/2000;1,91 ;2,79
08/2000;0,86 ;2,56
09/2000;0,04 ;1,09
10/2000;0,02 ;0,56
11/2000;0,40 ;0,38
12/2000;0,62 ;0,85
01/2001;0,64 ;0,40
02/2001;0,40 ;0,31
03/2001;0,56 ;1,01
04/2001;0,86 ;1,39
05/2001;0,41 ;0,18
06/2001;0,52 ;1,96
07/2001;1,36 ;1,93
08/2001;0,54 ;1,13
09/2001;0,12 ;0,48
10/2001;0,71 ;1,88
11/2001;0,85 ;0,73
12/2001;0,70 ;-0,09
01/2002;0,79 ;-0,13
02/2002;0,14 ;0,14
03/2002;0,42 ;-0,11
04/2002;0,71 ;0,75
05/2002;0,28 ;1,27
06/2002;0,55 ;2,50
07/2002;1,03 ;2,82
08/2002;0,76 ;3,32
09/2002;0,66 ;3,84
10/2002;1,14 ;6,02
11/2002;3,14 ;7,45
12/2002;1,94 ;3,14
01/2003;2,32 ;2,21
02/2003;1,37 ;1,71
03/2003;1,06 ;1,93
04/2003;1,12 ;0,07
05/2003;0,69 ;-1,68
06/2003;-0,16 ;-1,16
07/2003;0,34 ;-0,59
08/2003;0,13 ;0,70
09/2003;0,76 ;1,29
10/2003;0,21 ;0,50
11/2003;0,33 ;0,46
12/2003;0,43 ;0,74
01/2004;1,08 ;0,75
02/2004;0,28 ;1,42
03/2004;0,46 ;1,09
04/2004;0,31 ;1,57
05/2004;0,71 ;1,71
06/2004;0,78 ;1,57
07/2004;0,59 ;1,35
08/2004;0,79 ;1,59
09/2004;0,01 ;0,65
10/2004;0,10 ;0,61
11/2004;0,37 ;1,00
12/2004;0,63 ;0,48
01/2005;0,85 ;0,08
02/2005;0,43 ;0,39
03/2005;0,70 ;1,14
04/2005;0,88 ;0,33
05/2005;0,79 ;-0,98
06/2005;-0,05 ;-0,78
07/2005;0,13 ;-0,69
08/2005;-0,44 ;-1,04
09/2005;0,09 ;-0,28
10/2005;0,42 ;0,79
11/2005;0,57 ;0,24
12/2005;0,46 ;-0,14
01/2006;0,65 ;0,81
02/2006;0,01 ;-0,12
03/2006;0,22 ;-0,81
04/2006;0,34 ;-0,15
05/2006;-0,19 ;0,46
06/2006;-0,40 ;1,06
07/2006;0,06 ;0,17
08/2006;0,16 ;0,53
09/2006;0,19 ;0,28
10/2006;0,14 ;1,16
11/2006;0,24 ;0,75
12/2006;0,63 ;0,11
01/2007;0,69 ;0,32
02/2007;0,34 ;0,19
03/2007;0,48 ;0,11
04/2007;0,31 ;0,02
05/2007;0,25 ;-0,04
06/2007;0,42 ;0,09
07/2007;0,28 ;0,42
08/2007;0,42 ;1,96
09/2007;0,23 ;1,64
10/2007;0,13 ;1,02
11/2007;0,27 ;1,45
12/2007;0,70 ;1,90
01/2008;0,97 ;1,08
02/2008;0,00 ;0,52
03/2008;0,45 ;0,80
04/2008;0,72 ;1,30
05/2008;0,87 ;2,22
06/2008;0,77 ;2,29
07/2008;0,53 ;1,28
08/2008;0,14 ;-0,80
09/2008;-0,09 ;0,44
10/2008;0,47 ;1,36
11/2008;0,56 ;-0,17
12/2008;0,52 ;-0,88
01/2009;0,83 ;-0,33
02/2009;0,21 ;-0,31
03/2009;0,61 ;-1,46
04/2009;0,47 ;-0,10
05/2009;0,39 ;-0,10
06/2009;0,12 ;-0,64
07/2009;0,34 ;-1,16
08/2009;0,20 ;0,07
09/2009;0,18 ;0,29
10/2009;0,01 ;-0,08
11/2009;0,26 ;-0,04
12/2009;0,24 ;-0,29
01/2010;1,29 ;0,96
02/2010;0,68 ;1,38
03/2010;0,86 ;0,52
04/2010;0,76 ;0,68
05/2010;0,21 ;2,06
06/2010;-0,21 ;0,43
07/2010;-0,21 ;0,34
08/2010;-0,08 ;1,70
09/2010;0,46 ;1,47
10/2010;0,59 ;1,32
11/2010;1,00 ;1,98
12/2010;0,72 ;0,21
01/2011;1,27 ;0,96
02/2011;0,49 ;1,23
03/2011;0,71 ;0,60
04/2011;0,95 ;0,24
05/2011;0,51 ;-0,63
06/2011;-0,18 ;-0,19
07/2011;-0,04 ;-0,13
08/2011;0,40 ;0,77
09/2011;0,50 ;0,94
10/2011;0,26 ;0,48
11/2011;0,53 ;0,34
12/2011;0,79 ;-0,55
01/2012;0,81 ;0,01
02/2012;0,24 ;-0,03
03/2012;0,60 ;0,55
04/2012;0,52 ;1,25
05/2012;0,52 ;0,91
06/2012;0,11 ;0,89
07/2012;0,22 ;2,13
08/2012;0,44 ;1,77
09/2012;0,54 ;1,11
10/2012;0,48 ;-0,68
11/2012;0,45 ;0,16
12/2012;0,66 ;0,74
01/2013;1,01 ;0,00
02/2013;0,33 ;0,09
03/2013;0,72 ;0,12
04/2013;0,52 ;-0,39
05/2013;0,32 ;0,01
06/2013;0,35 ;0,85
07/2013;-0,17 ;0,20
08/2013;0,20 ;0,58
09/2013;0,30 ;1,90
10/2013;0,55 ;0,71
11/2013;0,68 ;0,12
12/2013;0,69 ;0,78
01/2014;0,99 ;0,12
02/2014;0,66 ;1,00
03/2014;0,85 ;1,91
04/2014;0,77 ;0,27
05/2014;0,52 ;-1,21
06/2014;0,33 ;-1,21
07/2014;0,10 ;-1,01
08/2014;0,12 ;0,04
09/2014;0,49 ;-0,18
10/2014;0,43 ;0,73
11/2014;0,65 ;1,44
12/2014;0,75 ;0,30
01/2015;1,73 ;0,23
02/2015;0,97 ;0,41
03/2015;1,41 ;1,24
04/2015;0,61 ;1,11
05/2015;0,72 ;0,19
06/2015;0,82 ;0,43
07/2015;0,53 ;0,61
08/2015;0,22 ;0,44
09/2015;0,42 ;2,02
10/2015;0,76 ;2,38
11/2015;1,00 ;1,41
12/2015;0,88 ;0,33
01/2016;1,78 ;1,63
02/2016;0,76 ;0,84
03/2016;0,50 ;0,37
04/2016;0,49 ;0,29
05/2016;0,64 ;1,49
06/2016;0,26 ;2,10
07/2016;0,37 ;-0,81
08/2016;0,32 ;0,50
09/2016;0,07 ;-0,03
10/2016;0,34 ;0,04
11/2016;0,17 ;-0,01
12/2016;0,33 ;1,10
01/2017;0,69 ;0,34
02/2017;0,31 ;-0,12
03/2017;0,47 ;-0,78
04/2017;0,12 ;-1,96
05/2017;0,52 ;-1,10
06/2017;-0,32 ;-1,53
07/2017;0,38 ;-0,67
08/2017;0,13 ;0,26
09/2017;-0,02 ;0,97
10/2017;0,33 ;-0,03
11/2017;0,36 ;1,06
12/2017;0,21 ;1,07
01/2018;0,69 ;0,58
02/2018;0,17 ;0,15
03/2018;0,17 ;0,77
04/2018;0,34 ;1,26
05/2018;0,41 ;2,35
06/2018;1,19 ;1,67
07/2018;0,17 ;0,52
08/2018;0,07 ;0,99
09/2018;0,45 ;2,54
10/2018;0,48 ;0,17
11/2018;-0,17 ;-1,70
12/2018;0,29 ;-0,82
01/2019;0,57 ;-0,19
02/2019;0,35 ;1,79
03/2019;0,65 ;1,35
04/2019;0,63 ;1,09
05/2019;0,22 ;0,52
06/2019;-0,02 ;0,83
07/2019;0,31 ;-0,22
08/2019;0,17 ;-0,90
09/2019;0,00 ;0,68
10/2019;-0,09 ;0,84
11/2019;0,49 ;1,11
12/2019;0,77 ;2,34
01/2020;0,59 ;-0,13
02/2020;-0,01 ;-0,03
03/2020;0,34 ;2,33
04/2020;-0,18 ;0,11
05/2020;-0,54 ;1,77
06/2020;0,36 ;2,22
Fonte;FGV;FGV
