Data;7460 - �ndice de Pre�os por Atacado-Oferta Global (IPA-OG) - Produtos agr�colas - Var. % mensal;7461 - �ndice Nacional de Custo da Constru��o (INCC-DI) - M�o-de-obra - Var. % mensal;7462 - �ndice Nacional de Custo da Constru��o (INCC-DI) - Materiais e servi�os - Var. % mensal
03/1944;-;1,43 ;-;3,96 ;-0,52 ;-;-;-;-;-
04/1944;-;1,41 ;-;2,33 ;2,95 ;-;-;-;-;-
05/1944;-;1,39 ;-;-0,54 ;0,16 ;-;-;-;-;-
06/1944;-;1,37 ;-;1,21 ;1,86 ;-;-;-;-;-
07/1944;-;1,35 ;-;1,45 ;1,48 ;-;-;-;-;-
08/1944;-;1,33 ;-;-2,08 ;1,79 ;-;-;-;-;-
09/1944;-;1,32 ;-;4,94 ;2,56 ;-;-;-;-;-
10/1944;-;2,60 ;-;1,13 ;0,00 ;-;-;-;-;-
11/1944;-;2,53 ;-;2,14 ;-0,32 ;-;-;-;-;-
12/1944;-;0,00 ;-;0,12 ;0,47 ;-;-;-;-;-
01/1945;-;1,23 ;-;-4,42 ;4,05 ;-;-;-;-;-
02/1945;-;2,44 ;-;-0,64 ;1,94 ;-;-;-;-;-
03/1945;-;-1,19 ;-;0,00 ;-0,44 ;-;-;-;-;-
04/1945;-;0,00 ;-;3,48 ;-0,73 ;-;-;-;-;-
05/1945;-;1,20 ;-;0,26 ;2,37 ;-;-;-;-;-
06/1945;-;1,19 ;-;1,61 ;0,87 ;-;-;-;-;-
07/1945;-;1,18 ;-;1,24 ;1,72 ;-;-;-;-;-
08/1945;-;1,16 ;-;0,84 ;-0,85 ;-;-;-;-;-
09/1945;-;0,00 ;-;2,52 ;0,00 ;-;-;-;-;-
10/1945;-;1,15 ;-;1,17 ;0,85 ;-;-;-;-;-
11/1945;-;1,14 ;-;4,07 ;-0,15 ;-;-;-;-;-
12/1945;-;1,12 ;-;1,56 ;0,00 ;-;-;-;-;-
01/1946;-;1,11 ;-;5,26 ;1,98 ;-;-;-;-;-
02/1946;-;1,10 ;-;0,92 ;0,97 ;-;-;-;-;-
03/1946;-;1,09 ;-;-0,52 ;1,79 ;-;-;-;-;-
04/1946;-;1,08 ;-;0,63 ;1,62 ;-;-;-;-;-
05/1946;-;1,06 ;-;1,13 ;1,45 ;-;-;-;-;-
06/1946;-;3,16 ;-;0,31 ;3,01 ;-;-;-;-;-
07/1946;-;2,04 ;-;1,41 ;2,41 ;-;-;-;-;-
08/1946;-;4,00 ;-;1,61 ;1,86 ;-;-;-;-;-
09/1946;-;2,88 ;-;3,35 ;0,37 ;-;-;-;-;-
10/1946;-;0,93 ;-;0,09 ;1,21 ;-;-;-;-;-
11/1946;-;0,93 ;-;0,77 ;0,00 ;-;-;-;-;-
12/1946;-;0,92 ;-;0,19 ;1,45 ;-;-;-;-;-
01/1947;-;3,64 ;-;2,93 ;1,89 ;-;-;-;-;-
02/1947;-;0,88 ;-;1,64 ;0,69 ;-;-;-;-;-
03/1947;-;0,87 ;-;0,36 ;0,11 ;-;-;-;-;-
04/1947;-;-2,59 ;-;-0,36 ;-1,03 ;-;-;-;-;-
05/1947;-;-0,88 ;-;4,52 ;0,24 ;-;-;-;-;-
06/1947;-;-0,89 ;-;0,52 ;-0,24 ;-;-;-;-;-
07/1947;-;-1,80 ;-;0,60 ;-1,39 ;-;-;-;-;-
08/1947;-;0,00 ;-;1,29 ;-0,94 ;-;-;-;-;-
09/1947;-;0,92 ;-;-0,18 ;0,36 ;-;-;-;-;-
10/1947;-;0,00 ;-;0,34 ;0,94 ;-;-;-;-;-
11/1947;-;0,91 ;-;-0,16 ;2,00 ;-;-;-;-;-
12/1947;-;1,80 ;-;-0,09 ;0,11 ;-;-;-;-;-
01/1948;-;2,66 ;-;1,26 ;1,84 ;-;-;-;-;-
02/1948;-;2,59 ;-;-0,08 ;3,85 ;-;-;-;-;-
03/1948;-;1,68 ;-;0,17 ;0,00 ;-;-;-;-;-
04/1948;-;-0,83 ;-;0,50 ;-1,20 ;-;-;-;-;-
05/1948;-;-0,83 ;-;0,08 ;-0,66 ;-;-;-;-;-
06/1948;-;0,84 ;-;0,17 ;1,33 ;-;-;-;-;-
07/1948;-;-0,83 ;-;0,08 ;-0,76 ;-;-;-;-;-
08/1948;-;0,84 ;-;0,00 ;2,31 ;-;-;-;-;-
09/1948;-;0,00 ;-;0,00 ;-0,11 ;-;-;-;-;-
10/1948;-;0,00 ;-;0,41 ;0,32 ;-;-;-;-;-
11/1948;-;0,83 ;-;0,00 ;0,43 ;-;-;-;-;-
12/1948;-;0,83 ;-;0,57 ;-0,32 ;-;-;-;-;-
01/1949;-;1,64 ;-;-0,90 ;2,57 ;-;-;-;-;-
02/1949;-;0,81 ;-;-0,16 ;0,64 ;-;-;-;-;-
03/1949;-;0,00 ;-;1,65 ;-0,63 ;-;-;-;-;-
04/1949;-;0,00 ;-;0,56 ;0,32 ;-;-;-;-;-
05/1949;-;0,00 ;-;0,57 ;-1,67 ;-;-;-;-;-
06/1949;-;0,00 ;-;1,28 ;-0,43 ;-;-;-;-;-
07/1949;-;0,80 ;-;1,11 ;0,75 ;-;-;-;-;-
08/1949;-;0,79 ;-;3,60 ;0,84 ;-;-;-;-;-
09/1949;-;0,79 ;-;1,98 ;1,47 ;-;-;-;-;-
10/1949;-;2,34 ;-;0,81 ;0,62 ;-;-;-;-;-
11/1949;-;4,58 ;-;0,59 ;1,03 ;-;-;-;-;-
12/1949;-;0,00 ;-;0,21 ;-0,41 ;-;-;-;-;-
01/1950;-;1,46 ;-;-2,04 ;-1,02 ;-;-;-;-;-
02/1950;-;0,00 ;-;1,26 ;-2,16 ;-;-;-;-;-
03/1950;-;-2,16 ;-;0,89 ;-1,90 ;-;-;-;-;-
04/1950;-;-0,74 ;-;0,94 ;-1,40 ;-;-;-;-;-
05/1950;-;0,74 ;-;0,59 ;0,22 ;-;-;-;-;-
06/1950;-;0,74 ;-;-1,67 ;1,19 ;-;-;-;-;-
07/1950;-;2,19 ;-;-4,17 ;3,66 ;-;-;-;-;-
08/1950;-;2,86 ;-;0,76 ;3,21 ;-;-;-;-;-
09/1950;-;2,78 ;-;-0,38 ;1,51 ;-;-;-;-;-
10/1950;-;2,70 ;-;4,64 ;3,96 ;-;-;-;-;-
11/1950;-;0,00 ;-;0,00 ;1,90 ;-;-;-;-;-
12/1950;-;1,32 ;-;1,23 ;1,87 ;-;-;-;-;-
01/1951;-;3,25 ;-;0,40 ;2,76 ;-;-;-;-;-
02/1951;-;1,26 ;-;0,89 ;0,89 ;-;-;-;-;-
03/1951;-;2,48 ;-;-0,88 ;1,77 ;-;-;-;-;-
04/1951;-;1,21 ;-;2,78 ;2,61 ;-;-;-;-;-
05/1951;-;1,20 ;-;0,19 ;1,70 ;-;-;-;-;-
06/1951;-;-1,18 ;-;5,01 ;-0,83 ;-;-;-;-;-
07/1951;-;-2,40 ;-;0,37 ;-1,68 ;-;-;-;-;-
08/1951;-;1,23 ;-;3,11 ;1,71 ;-;-;-;-;-
09/1951;-;0,61 ;-;-0,35 ;0,84 ;-;-;-;-;-
10/1951;-;1,81 ;-;1,07 ;3,33 ;-;-;-;-;-
11/1951;-;0,59 ;-;0,18 ;1,61 ;-;-;-;-;-
12/1951;-;1,76 ;-;-0,53 ;1,59 ;-;-;-;-;-
01/1952;-;3,47 ;-;-0,71 ;4,69 ;-;-;-;-;-
02/1952;-;1,68 ;-;0,00 ;-2,24 ;-;-;-;-;-
03/1952;-;0,00 ;-;1,96 ;-0,76 ;-;-;-;-;-
04/1952;-;0,00 ;-;1,92 ;2,31 ;-;-;-;-;-
05/1952;-;0,55 ;-;0,00 ;-0,75 ;-;-;-;-;-
06/1952;-;0,55 ;-;-0,68 ;0,00 ;-;-;-;-;-
07/1952;-;1,63 ;-;1,29 ;2,28 ;-;-;-;-;-
08/1952;-;0,54 ;-;0,60 ;0,74 ;-;-;-;-;-
09/1952;-;-0,53 ;-;0,00 ;-1,47 ;-;-;-;-;-
10/1952;-;0,54 ;-;0,59 ;1,49 ;-;-;-;-;-
11/1952;-;2,66 ;-;0,00 ;2,94 ;-;-;-;-;-
12/1952;-;1,04 ;-;2,44 ;0,00 ;-;-;-;-;-
01/1953;-;1,03 ;-;-1,15 ;0,71 ;-;-;-;-;-
02/1953;-;1,02 ;-;1,16 ;1,41 ;-;-;-;-;-
03/1953;-;2,51 ;-;-0,57 ;0,70 ;-;-;-;-;-
04/1953;-;0,00 ;-;4,13 ;-0,69 ;-;-;-;-;-
05/1953;-;-0,49 ;-;-2,22 ;0,00 ;-;-;-;-;-
06/1953;-;1,48 ;-;6,97 ;2,10 ;-;-;-;-;-
07/1953;-;1,94 ;-;0,00 ;10,96 ;-;-;-;-;-
08/1953;-;3,81 ;-;-0,53 ;0,00 ;-;-;-;-;-
09/1953;-;1,38 ;-;1,60 ;1,24 ;-;-;-;-;-
10/1953;-;2,71 ;-;1,13 ;1,22 ;-;-;-;-;-
11/1953;-;1,32 ;-;1,04 ;3,02 ;-;-;-;-;-
12/1953;-;2,17 ;-;0,00 ;2,34 ;-;-;-;-;-
01/1954;-;2,93 ;-;0,51 ;0,08 ;-;-;-;-;-
02/1954;-;2,48 ;-;0,58 ;1,05 ;-;-;-;-;-
03/1954;-;1,93 ;-;2,54 ;0,00 ;-;-;-;-;-
04/1954;-;3,79 ;-;0,00 ;3,63 ;-;-;-;-;-
05/1954;-;1,83 ;-;4,96 ;1,50 ;-;-;-;-;-
06/1954;-;1,35 ;-;1,75 ;3,45 ;-;-;-;-;-
07/1954;-;1,33 ;-;3,45 ;1,43 ;-;-;-;-;-
08/1954;-;0,87 ;-;2,82 ;1,88 ;-;-;-;-;-
09/1954;-;2,60 ;-;11,41 ;2,30 ;-;-;-;-;-
10/1954;-;0,42 ;-;-1,45 ;0,90 ;-;-;-;-;-
11/1954;-;2,10 ;-;0,97 ;2,23 ;-;-;-;-;-
12/1954;-;1,65 ;-;1,01 ;1,75 ;-;-;-;-;-
01/1955;-;1,62 ;-;-1,45 ;3,00 ;-;-;-;-;-
02/1955;-;0,00 ;-;0,00 ;-0,83 ;-;-;-;-;-
03/1955;-;0,80 ;-;0,45 ;0,84 ;-;-;-;-;-
04/1955;-;1,98 ;-;1,46 ;2,08 ;-;-;-;-;-
05/1955;-;0,00 ;-;-0,94 ;-0,41 ;-;-;-;-;-
06/1955;-;0,00 ;-;0,50 ;0,82 ;-;-;-;-;-
07/1955;-;1,16 ;-;0,95 ;1,63 ;-;-;-;-;-
08/1955;-;1,92 ;-;0,00 ;2,40 ;-;-;-;-;-
09/1955;-;2,26 ;-;8,66 ;2,34 ;-;-;-;-;-
10/1955;-;1,10 ;-;-0,86 ;1,15 ;-;-;-;-;-
11/1955;-;0,36 ;-;0,00 ;1,13 ;-;-;-;-;-
12/1955;-;0,36 ;-;0,00 ;1,12 ;-;-;-;-;-
01/1956;-;1,80 ;-;2,20 ;-0,37 ;-;-;-;-;-
02/1956;-;2,84 ;-;2,20 ;1,85 ;-;-;-;-;-
03/1956;-;1,38 ;-;1,72 ;1,82 ;-;-;-;-;-
04/1956;-;0,34 ;-;-2,12 ;2,50 ;-;-;-;-;-
05/1956;-;3,05 ;-;0,89 ;2,79 ;-;-;-;-;-
06/1956;-;2,96 ;-;5,51 ;3,39 ;-;-;-;-;-
07/1956;-;1,60 ;-;0,79 ;2,29 ;-;-;-;-;-
08/1956;-;1,89 ;-;2,80 ;2,24 ;-;-;-;-;-
09/1956;-;3,40 ;-;10,13 ;2,51 ;-;-;-;-;-
10/1956;-;1,49 ;-;2,11 ;2,45 ;-;-;-;-;-
11/1956;-;1,18 ;-;-0,67 ;1,19 ;-;-;-;-;-
12/1956;-;0,29 ;-;-0,36 ;0,59 ;-;-;-;-;-
01/1957;-;4,35 ;-;5,94 ;4,99 ;-;-;-;-;-
02/1957;-;0,00 ;-;0,00 ;-0,28 ;-;-;-;-;-
03/1957;-;-0,28 ;-;0,34 ;-0,28 ;-;-;-;-;-
04/1957;-;-0,28 ;-;0,00 ;-1,97 ;-;-;-;-;-
05/1957;-;-0,28 ;-;0,00 ;-0,29 ;-;-;-;-;-
06/1957;-;0,00 ;-;0,68 ;-0,57 ;-;-;-;-;-
07/1957;-;0,28 ;-;-1,99 ;0,87 ;-;-;-;-;-
08/1957;-;0,56 ;-;0,69 ;1,15 ;-;-;-;-;-
09/1957;-;-0,28 ;-;0,00 ;-0,57 ;-;-;-;-;-
10/1957;-;0,28 ;-;-0,34 ;-0,57 ;-;-;-;-;-
11/1957;-;1,11 ;-;0,99 ;0,86 ;-;-;-;-;-
12/1957;-;1,37 ;-;0,34 ;0,57 ;-;-;-;-;-
01/1958;-;1,35 ;-;0,64 ;1,13 ;-;-;-;-;-
02/1958;-;0,53 ;-;0,34 ;0,28 ;-;-;-;-;-
03/1958;-;1,33 ;-;4,54 ;1,11 ;-;-;-;-;-
04/1958;-;1,31 ;-;0,93 ;2,20 ;-;-;-;-;-
05/1958;-;1,81 ;-;1,84 ;2,70 ;-;-;-;-;-
06/1958;-;0,25 ;-;1,21 ;1,05 ;-;-;-;-;-
07/1958;-;1,78 ;-;0,31 ;1,82 ;-;-;-;-;-
08/1958;-;2,00 ;-;2,39 ;3,83 ;-;-;-;-;-
09/1958;-;2,93 ;-;6,40 ;3,69 ;-;-;-;-;-
10/1958;-;3,56 ;-;1,91 ;4,98 ;-;-;-;-;-
11/1958;-;4,13 ;-;3,47 ;6,32 ;-;-;-;-;-
12/1958;-;1,10 ;-;1,28 ;1,91 ;-;-;-;-;-
01/1959;-;4,14 ;-;5,90 ;3,33 ;-;-;-;-;-
02/1959;-;7,11 ;-;5,79 ;6,85 ;-;-;-;-;-
03/1959;-;1,56 ;-;7,31 ;0,38 ;-;-;-;-;-
04/1959;-;2,12 ;-;-0,22 ;2,26 ;-;-;-;-;-
05/1959;-;1,13 ;-;0,00 ;1,65 ;-;-;-;-;-
06/1959;-;1,12 ;-;-1,49 ;1,45 ;-;-;-;-;-
07/1959;-;2,21 ;-;0,45 ;0,89 ;-;-;-;-;-
08/1959;-;4,68 ;-;-0,44 ;4,59 ;-;-;-;-;-
09/1959;-;2,58 ;-;0,45 ;2,87 ;-;-;-;-;-
10/1959;-;2,35 ;-;0,87 ;2,13 ;-;-;-;-;-
