Data;14026 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas físicas - R$ (milhões);14053 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas jurídicas - R$ (milhões);14080 - Saldo das operações de crédito do Sistema Financeiro Nacional - São Paulo - Total - R$ (milhões);15885 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas físicas - %;15917 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Pessoas jurídicas - %;15949 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - São Paulo - Total - %
05/2010;181.198 ;282.497 ;463.695 ;4,91 ;2,32 ;3,21
06/2010;184.870 ;288.150 ;473.021 ;4,74 ;2,24 ;3,09
07/2010;187.226 ;292.753 ;479.978 ;4,63 ;2,20 ;3,03
08/2010;189.527 ;299.306 ;488.833 ;4,43 ;2,13 ;2,92
09/2010;194.153 ;307.326 ;501.479 ;4,27 ;1,96 ;2,75
10/2010;198.680 ;315.508 ;514.188 ;4,28 ;1,86 ;2,68
11/2010;202.158 ;319.360 ;521.518 ;4,14 ;1,85 ;2,63
12/2010;207.736 ;323.088 ;530.824 ;3,88 ;1,78 ;2,50
01/2011;212.015 ;321.477 ;533.492 ;4,03 ;1,87 ;2,62
02/2011;214.306 ;325.788 ;540.094 ;3,46 ;1,77 ;2,35
03/2011;216.739 ;328.584 ;545.324 ;3,50 ;1,75 ;2,36
04/2011;220.323 ;333.694 ;554.017 ;3,63 ;1,91 ;2,51
05/2011;223.942 ;338.654 ;562.595 ;3,74 ;1,99 ;2,60
06/2011;228.469 ;344.713 ;573.182 ;3,68 ;1,96 ;2,56
07/2011;233.164 ;346.717 ;579.881 ;3,72 ;1,95 ;2,57
08/2011;236.456 ;349.135 ;585.591 ;3,75 ;1,99 ;2,62
09/2011;242.108 ;357.278 ;599.386 ;3,80 ;2,14 ;2,73
10/2011;246.576 ;358.855 ;605.432 ;3,94 ;2,30 ;2,89
11/2011;250.297 ;365.063 ;615.360 ;4,54 ;2,31 ;3,11
12/2011;254.161 ;372.766 ;626.927 ;4,54 ;2,19 ;3,03
01/2012;259.502 ;378.996 ;638.498 ;4,35 ;2,28 ;3,07
02/2012;261.483 ;378.922 ;640.405 ;4,84 ;2,36 ;3,32
03/2012;264.254 ;387.796 ;652.050 ;4,74 ;2,37 ;3,29
04/2012;267.706 ;390.875 ;658.582 ;4,96 ;2,42 ;3,46
05/2012;272.145 ;395.200 ;667.345 ;5,09 ;2,37 ;3,48
06/2012;275.430 ;400.889 ;676.319 ;5,07 ;2,29 ;3,42
07/2012;278.939 ;399.699 ;678.638 ;5,11 ;2,44 ;3,54
08/2012;283.630 ;399.732 ;683.362 ;5,06 ;2,48 ;3,55
09/2012;284.533 ;406.164 ;690.697 ;4,92 ;2,33 ;3,40
10/2012;288.865 ;409.878 ;698.743 ;4,86 ;2,38 ;3,40
11/2012;292.459 ;414.119 ;706.578 ;4,83 ;2,35 ;3,38
12/2012;296.636 ;422.963 ;719.599 ;4,78 ;2,37 ;3,36
01/2013;299.152 ;417.021 ;716.174 ;4,72 ;2,36 ;3,35
02/2013;300.184 ;421.287 ;721.471 ;4,70 ;2,41 ;3,36
03/2013;303.444 ;430.355 ;733.798 ;4,70 ;2,35 ;3,32
04/2013;307.733 ;427.877 ;735.609 ;4,58 ;2,37 ;3,30
05/2013;312.532 ;431.777 ;744.309 ;4,56 ;2,38 ;3,30
06/2013;316.317 ;437.717 ;754.034 ;4,36 ;2,23 ;3,12
07/2013;320.540 ;436.873 ;757.412 ;4,29 ;2,22 ;3,10
08/2013;324.283 ;440.963 ;765.246 ;4,12 ;2,19 ;3,01
09/2013;327.416 ;450.642 ;778.058 ;4,07 ;2,05 ;2,90
10/2013;328.614 ;453.382 ;781.997 ;3,99 ;2,11 ;2,90
11/2013;332.252 ;460.336 ;792.588 ;3,90 ;2,03 ;2,82
12/2013;337.750 ;468.704 ;806.455 ;3,80 ;1,89 ;2,69
01/2014;340.539 ;462.913 ;803.452 ;3,80 ;1,90 ;2,71
02/2014;342.205 ;468.824 ;811.029 ;3,78 ;1,82 ;2,65
03/2014;345.086 ;475.153 ;820.239 ;3,79 ;1,77 ;2,62
04/2014;348.797 ;481.786 ;830.583 ;3,80 ;1,82 ;2,65
05/2014;353.404 ;490.066 ;843.469 ;3,83 ;1,97 ;2,75
06/2014;356.973 ;495.542 ;852.514 ;3,79 ;1,85 ;2,66
07/2014;359.570 ;494.709 ;854.279 ;3,82 ;1,90 ;2,71
08/2014;363.010 ;497.003 ;860.012 ;3,82 ;1,98 ;2,76
09/2014;364.368 ;501.227 ;865.595 ;3,71 ;2,00 ;2,72
10/2014;369.227 ;499.884 ;869.111 ;3,72 ;2,01 ;2,74
11/2014;372.098 ;505.829 ;877.928 ;3,68 ;1,96 ;2,69
12/2014;377.646 ;518.536 ;896.182 ;3,48 ;1,87 ;2,55
01/2015;380.218 ;511.603 ;891.822 ;3,57 ;1,93 ;2,63
02/2015;380.484 ;512.578 ;893.062 ;3,60 ;1,95 ;2,65
03/2015;383.709 ;518.231 ;901.941 ;3,49 ;1,99 ;2,63
04/2015;385.312 ;520.412 ;905.723 ;3,53 ;2,04 ;2,67
05/2015;387.741 ;526.033 ;913.774 ;3,64 ;2,02 ;2,71
06/2015;390.097 ;531.873 ;921.970 ;3,49 ;1,95 ;2,60
07/2015;391.903 ;529.046 ;920.949 ;3,59 ;2,02 ;2,69
08/2015;393.439 ;532.208 ;925.648 ;3,69 ;2,07 ;2,76
09/2015;394.249 ;536.492 ;930.741 ;3,73 ;2,06 ;2,77
10/2015;395.396 ;534.700 ;930.096 ;3,81 ;2,16 ;2,86
11/2015;398.348 ;540.298 ;938.646 ;3,96 ;2,28 ;2,99
12/2015;400.432 ;552.559 ;952.991 ;3,94 ;2,18 ;2,92
01/2016;399.858 ;542.635 ;942.493 ;3,97 ;2,29 ;3,00
02/2016;400.650 ;537.157 ;937.806 ;4,02 ;2,37 ;3,07
03/2016;401.880 ;531.266 ;933.147 ;3,95 ;2,40 ;3,07
04/2016;402.158 ;522.472 ;924.630 ;4,06 ;2,53 ;3,20
05/2016;404.559 ;524.545 ;929.103 ;4,05 ;2,52 ;3,18
06/2016;405.801 ;522.690 ;928.492 ;3,83 ;2,40 ;3,03
07/2016;407.173 ;515.127 ;922.299 ;3,64 ;2,51 ;3,01
08/2016;409.697 ;513.262 ;922.959 ;3,53 ;2,50 ;2,96
09/2016;410.495 ;512.276 ;922.771 ;3,51 ;2,44 ;2,91
10/2016;410.830 ;510.747 ;921.577 ;3,54 ;2,43 ;2,92
11/2016;412.973 ;509.612 ;922.585 ;3,51 ;2,43 ;2,91
12/2016;414.582 ;514.776 ;929.359 ;3,42 ;2,34 ;2,82
01/2017;415.600 ;501.253 ;916.853 ;3,47 ;2,48 ;2,93
02/2017;416.185 ;502.444 ;918.629 ;3,50 ;2,72 ;3,07
03/2017;418.415 ;502.856 ;921.271 ;3,45 ;2,50 ;2,93
04/2017;418.439 ;496.816 ;915.255 ;3,51 ;2,71 ;3,07
05/2017;421.993 ;493.825 ;915.818 ;3,55 ;2,91 ;3,20
06/2017;424.198 ;496.994 ;921.192 ;3,33 ;2,63 ;2,96
07/2017;427.175 ;487.213 ;914.388 ;3,40 ;2,64 ;3,00
08/2017;429.936 ;483.287 ;913.223 ;3,35 ;2,85 ;3,08
09/2017;430.815 ;482.522 ;913.337 ;3,28 ;2,66 ;2,96
10/2017;434.182 ;476.171 ;910.354 ;3,29 ;2,71 ;2,99
11/2017;437.857 ;476.599 ;914.456 ;3,24 ;2,70 ;2,96
12/2017;438.996 ;488.111 ;927.108 ;3,11 ;2,43 ;2,75
01/2018;441.900 ;471.336 ;913.236 ;3,25 ;2,53 ;2,88
02/2018;441.481 ;467.270 ;908.752 ;3,22 ;2,41 ;2,80
03/2018;444.575 ;472.256 ;916.831 ;3,16 ;2,26 ;2,70
04/2018;448.192 ;472.707 ;920.898 ;3,16 ;1,94 ;2,53
05/2018;451.119 ;473.296 ;924.415 ;3,16 ;2,06 ;2,60
06/2018;453.469 ;480.840 ;934.309 ;3,07 ;2,07 ;2,56
07/2018;457.290 ;472.905 ;930.195 ;3,09 ;2,19 ;2,63
08/2018;461.722 ;478.333 ;940.055 ;3,04 ;2,14 ;2,58
09/2018;462.883 ;483.408 ;946.291 ;3,02 ;2,66 ;2,84
10/2018;468.219 ;473.514 ;941.733 ;2,98 ;2,64 ;2,81
11/2018;475.160 ;477.350 ;952.510 ;2,93 ;2,54 ;2,73
12/2018;479.686 ;494.529 ;974.215 ;2,92 ;2,30 ;2,61
01/2019;482.166 ;477.721 ;959.887 ;2,99 ;2,37 ;2,68
02/2019;484.189 ;480.551 ;964.740 ;2,95 ;2,34 ;2,65
03/2019;488.295 ;485.981 ;974.276 ;3,03 ;2,42 ;2,72
04/2019;492.846 ;477.575 ;970.421 ;3,02 ;2,50 ;2,77
05/2019;498.097 ;479.452 ;977.549 ;3,07 ;2,58 ;2,83
06/2019;501.400 ;486.484 ;987.884 ;3,02 ;2,64 ;2,83
07/2019;506.871 ;476.324 ;983.195 ;3,09 ;2,80 ;2,95
08/2019;511.854 ;480.843 ;992.697 ;3,13 ;2,80 ;2,97
09/2019;516.498 ;487.484 ;1.003.982 ;3,18 ;2,57 ;2,88
10/2019;522.651 ;479.464 ;1.002.114 ;3,16 ;2,50 ;2,84
11/2019;528.731 ;484.389 ;1.013.121 ;3,17 ;2,37 ;2,79
12/2019;536.272 ;497.714 ;1.033.986 ;3,12 ;2,01 ;2,59
01/2020;540.981 ;482.378 ;1.023.360 ;3,24 ;2,32 ;2,81
02/2020;542.833 ;485.330 ;1.028.163 ;3,28 ;2,35 ;2,84
03/2020;543.724 ;521.369 ;1.065.093 ;3,60 ;2,50 ;3,06
04/2020;536.052 ;523.712 ;1.059.764 ;3,75 ;2,58 ;3,17
05/2020;535.709 ;531.851 ;1.067.561 ;3,67 ;2,45 ;3,06
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
