05/2009;61,90 ;-;-;-
06/2009;57,30 ;-;-;-
07/2009;61,10 ;-;-;-
08/2009;61,10 ;-;-;-
09/2009;60,60 ;-;-;-
10/2009;65,60 ;-;-;-
11/2009;63,50 ;-;-;-
12/2009;83,10 ;-;-;-
01/2010;64,10 ;-;-;-
02/2010;60,20 ;-;-;-
03/2010;67,80 ;-;-;-
04/2010;67,10 ;-;-;-
05/2010;72,80 ;-;-;-
06/2010;68,50 ;-;-;-
07/2010;71,10 ;-;-;-
08/2010;69,30 ;-;-;-
09/2010;69,90 ;-;-;-
10/2010;71,10 ;-;-;-
11/2010;67,90 ;-;-;-
12/2010;92,70 ;-;-;-
01/2011;67,50 ;-;-;82,90
02/2011;64,80 ;-;-;82,20
03/2011;69,10 ;-;-;80,60
04/2011;69,40 ;-;-;76,20
05/2011;79,60 ;-;-;83,00
06/2011;70,20 ;-;-;87,80
07/2011;73,80 ;-;-;80,50
08/2011;72,50 ;-;-;84,80
09/2011;71,30 ;-;-;89,60
10/2011;75,60 ;-;-;82,50
11/2011;74,70 ;-;-;86,00
12/2011;100,80 ;-;-;93,00
01/2012;79,50 ;-;-;84,50
02/2012;75,70 ;-;-;89,30
03/2012;82,40 ;-;-;89,60
04/2012;78,00 ;-;-;91,20
05/2012;84,80 ;-;-;92,10
06/2012;83,20 ;-;-;90,50
07/2012;84,80 ;-;-;90,80
08/2012;88,50 ;-;-;90,90
09/2012;86,30 ;-;-;93,10
10/2012;91,70 ;-;-;95,20
11/2012;92,80 ;-;-;99,70
12/2012;111,40 ;-;-;93,30
01/2013;92,80 ;-;-;92,20
02/2013;83,70 ;-;-;93,30
03/2013;92,50 ;-;-;92,90
04/2013;88,30 ;-;-;95,30
05/2013;93,90 ;-;-;94,50
06/2013;88,80 ;-;-;98,50
07/2013;96,00 ;-;-;100,70
08/2013;95,90 ;-;-;102,00
09/2013;93,20 ;-;-;98,00
10/2013;98,30 ;-;-;99,40
11/2013;100,50 ;-;-;100,70
12/2013;128,80 ;-;-;99,60
01/2014;97,20 ;0,41 ;0,39 ;101,30
02/2014;90,20 ;0,66 ;0,60 ;100,20
03/2014;94,30 ;0,93 ;1,00 ;102,00
04/2014;94,40 ;0,84 ;0,90 ;100,90
05/2014;101,10 ;0,32 ;0,45 ;100,80
06/2014;92,00 ;0,45 ;0,45 ;97,60
07/2014;96,40 ;-0,25 ;-0,23 ;99,00
08/2014;98,20 ;-0,07 ;-0,13 ;96,50
09/2014;97,60 ;0,87 ;0,87 ;98,20
10/2014;105,80 ;0,79 ;0,58 ;98,10
11/2014;103,10 ;0,55 ;0,68 ;99,40
12/2014;129,60 ;1,08 ;1,00 ;106,40
01/2015;99,60 ;1,35 ;1,39 ;100,30
02/2015;87,80 ;0,73 ;0,54 ;96,40
03/2015;97,00 ;1,79 ;1,92 ;101,60
04/2015;94,80 ;0,68 ;0,51 ;99,30
05/2015;98,60 ;0,88 ;1,03 ;99,90
06/2015;93,40 ;0,25 ;0,34 ;99,50
07/2015;98,40 ;0,52 ;0,56 ;98,60
08/2015;96,40 ;0,25 ;0,18 ;100,10
09/2015;92,50 ;-0,28 ;-0,18 ;101,50
10/2015;100,60 ;1,18 ;1,35 ;102,20
11/2015;97,20 ;1,29 ;1,34 ;98,20
12/2015;124,50 ;0,91 ;1,02 ;98,90
01/2016;91,50 ;1,38 ;1,42 ;104,10
02/2016;85,10 ;0,54 ;0,44 ;97,20
03/2016;91,60 ;0,43 ;0,39 ;94,90
04/2016;88,50 ;0,70 ;0,51 ;94,60
05/2016;92,20 ;0,73 ;0,75 ;92,90
06/2016;87,40 ;0,45 ;0,81 ;91,40
07/2016;90,50 ;0,74 ;0,79 ;89,90
08/2016;88,10 ;0,18 ;0,16 ;87,40
09/2016;85,20 ;0,48 ;0,43 ;89,80
10/2016;89,40 ;0,53 ;0,43 ;87,40
11/2016;93,40 ;0,43 ;0,28 ;90,70
12/2016;116,90 ;0,70 ;0,52 ;85,40
01/2017;90,80 ;0,56 ;0,57 ;82,40
02/2017;84,00 ;0,24 ;-0,04 ;85,70
03/2017;89,70 ;0,14 ;0,13 ;84,40
04/2017;86,30 ;-0,13 ;-0,38 ;82,90
05/2017;90,00 ;0,42 ;0,61 ;85,30
06/2017;87,30 ;-0,40 ;-0,47 ;86,00
07/2017;90,80 ;-0,24 ;-0,30 ;84,50
08/2017;93,50 ;0,21 ;-0,16 ;84,60
09/2017;93,70 ;0,33 ;0,03 ;81,80
10/2017;91,40 ;0,32 ;0,29 ;80,30
11/2017;93,50 ;0,50 ;0,57 ;81,80
12/2017;114,10 ;0,15 ;0,01 ;82,60
01/2018;87,80 ;0,10 ;0,01 ;82,30
02/2018;81,10 ;0,20 ;0,00 ;82,80
03/2018;94,50 ;-0,35 ;-0,60 ;84,10
04/2018;83,20 ;0,73 ;0,72 ;86,90
05/2018;89,90 ;1,02 ;1,12 ;80,70
06/2018;88,80 ;0,87 ;1,17 ;83,50
07/2018;89,30 ;-0,37 ;-0,36 ;82,30
08/2018;93,70 ;-0,18 ;-0,13 ;82,50
09/2018;93,50 ;0,46 ;0,35 ;82,00
10/2018;96,30 ;0,71 ;0,61 ;82,50
11/2018;101,30 ;-0,31 ;-0,43 ;81,20
12/2018;118,30 ;0,06 ;0,10 ;83,70
01/2019;93,80 ;0,20 ;0,30 ;83,70
02/2019;85,20 ;0,52 ;0,65 ;83,10
03/2019;90,00 ;0,70 ;0,67 ;84,40
04/2019;86,60 ;0,52 ;0,40 ;86,20
05/2019;90,00 ;0,42 ;0,38 ;84,10
06/2019;85,20 ;0,18 ;0,09 ;84,30
07/2019;91,00 ;-0,01 ;-0,12 ;89,60
08/2019;94,40 ;-0,21 ;-0,07 ;87,20
09/2019;93,40 ;-0,04 ;0,02 ;85,60
10/2019;95,90 ;0,31 ;0,27 ;86,80
11/2019;102,60 ;0,65 ;0,72 ;87,20
12/2019;116,00 ;1,32 ;1,38 ;84,00
01/2020;94,90 ;0,13 ;0,16 ;84,60
02/2020;89,30 ;0,42 ;0,35 ;87,60
03/2020;88,00 ;0,56 ;0,62 ;81,90
04/2020;75,70 ;-0,43 ;-0,37 ;80,90
05/2020;92,40 ;-0,57 ;-0,52 ;-
Fonte;IBGE;IBGE;IBGE;BCB e IBGE
