Data;14013 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas físicas - R$ (milhões);14040 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas jurídicas - R$ (milhões);14067 - Saldo das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Total - R$ (milhões);15872 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas físicas - %;15904 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Pessoas jurídicas - %;15936 - Taxa de inadimplência das operações de crédito do Sistema Financeiro Nacional - Mato Grosso do Sul - Total - %
12/2005;5.035 ;2.644 ;7.678 ;3,19 ;1,75 ;2,66
01/2006;5.128 ;2.626 ;7.754 ;3,65 ;1,86 ;3,00
02/2006;5.231 ;2.688 ;7.918 ;3,77 ;1,96 ;3,11
03/2006;5.313 ;2.695 ;8.008 ;3,80 ;2,10 ;3,19
04/2006;5.441 ;2.681 ;8.122 ;3,85 ;2,43 ;3,35
05/2006;5.540 ;2.732 ;8.272 ;3,87 ;2,38 ;3,34
06/2006;5.605 ;2.419 ;8.024 ;3,85 ;2,75 ;3,49
07/2006;5.634 ;2.455 ;8.089 ;4,55 ;2,99 ;4,04
08/2006;5.681 ;2.508 ;8.189 ;5,28 ;3,04 ;4,54
09/2006;5.847 ;2.685 ;8.533 ;5,68 ;3,05 ;4,79
10/2006;5.998 ;2.748 ;8.746 ;5,70 ;3,21 ;4,86
11/2006;6.145 ;2.822 ;8.968 ;4,73 ;3,18 ;4,21
12/2006;6.189 ;2.903 ;9.092 ;4,12 ;2,78 ;3,66
01/2007;6.346 ;2.934 ;9.281 ;4,23 ;2,79 ;3,74
02/2007;6.472 ;3.001 ;9.474 ;4,22 ;2,65 ;3,69
03/2007;6.572 ;3.046 ;9.618 ;4,22 ;2,51 ;3,64
04/2007;6.603 ;3.023 ;9.626 ;4,41 ;2,63 ;3,81
05/2007;6.711 ;3.107 ;9.818 ;4,69 ;2,79 ;4,05
06/2007;6.774 ;3.189 ;9.964 ;4,45 ;2,75 ;3,87
07/2007;6.858 ;3.270 ;10.128 ;4,79 ;2,74 ;4,07
08/2007;6.989 ;3.427 ;10.416 ;4,60 ;2,80 ;3,96
09/2007;7.114 ;3.588 ;10.702 ;4,64 ;2,63 ;3,91
10/2007;7.266 ;3.673 ;10.939 ;4,49 ;2,57 ;3,79
11/2007;7.478 ;3.812 ;11.290 ;4,51 ;2,46 ;3,76
12/2007;7.627 ;3.890 ;11.517 ;4,27 ;1,96 ;3,42
01/2008;7.726 ;4.058 ;11.785 ;4,41 ;1,89 ;3,47
02/2008;7.872 ;4.232 ;12.104 ;4,28 ;1,77 ;3,33
03/2008;7.964 ;4.402 ;12.366 ;4,20 ;1,62 ;3,21
04/2008;8.136 ;4.508 ;12.644 ;4,13 ;1,63 ;3,17
05/2008;8.321 ;5.021 ;13.342 ;4,41 ;1,62 ;3,28
06/2008;8.463 ;5.264 ;13.727 ;4,08 ;1,47 ;3,00
07/2008;8.567 ;5.653 ;14.220 ;4,11 ;1,33 ;2,92
08/2008;8.724 ;5.980 ;14.704 ;4,01 ;1,41 ;2,87
09/2008;8.916 ;6.194 ;15.110 ;3,78 ;1,16 ;2,63
10/2008;9.044 ;6.716 ;15.760 ;3,70 ;1,19 ;2,54
11/2008;9.192 ;7.058 ;16.250 ;3,96 ;1,31 ;2,71
12/2008;9.314 ;7.323 ;16.637 ;3,59 ;1,76 ;2,72
01/2009;9.401 ;7.564 ;16.965 ;4,12 ;1,91 ;3,05
02/2009;9.402 ;7.654 ;17.056 ;4,29 ;2,03 ;3,19
03/2009;9.424 ;7.714 ;17.138 ;4,36 ;2,33 ;3,37
04/2009;9.551 ;7.772 ;17.323 ;4,72 ;2,48 ;3,63
05/2009;9.637 ;7.961 ;17.598 ;4,24 ;2,80 ;3,54
06/2009;9.708 ;8.121 ;17.829 ;4,50 ;3,12 ;3,82
07/2009;9.783 ;8.240 ;18.023 ;4,76 ;3,23 ;4,00
08/2009;9.980 ;8.366 ;18.346 ;5,29 ;3,53 ;4,42
09/2009;10.138 ;8.482 ;18.620 ;5,39 ;3,95 ;4,68
10/2009;10.348 ;8.155 ;18.503 ;5,32 ;3,95 ;4,67
11/2009;10.503 ;8.218 ;18.721 ;5,36 ;4,44 ;4,92
12/2009;10.634 ;8.482 ;19.116 ;4,66 ;4,32 ;4,50
01/2010;10.877 ;8.469 ;19.346 ;4,76 ;4,49 ;4,63
02/2010;10.938 ;8.170 ;19.108 ;4,79 ;3,90 ;4,38
03/2010;11.048 ;8.209 ;19.257 ;4,41 ;3,99 ;4,22
04/2010;11.309 ;8.416 ;19.725 ;4,42 ;3,98 ;4,22
05/2010;11.401 ;8.685 ;20.086 ;4,30 ;3,71 ;4,03
06/2010;11.427 ;8.829 ;20.255 ;4,03 ;3,11 ;3,60
07/2010;11.497 ;8.960 ;20.458 ;4,09 ;3,40 ;3,76
08/2010;11.776 ;9.133 ;20.909 ;3,92 ;2,60 ;3,30
09/2010;12.041 ;9.128 ;21.169 ;3,82 ;2,52 ;3,21
10/2010;12.260 ;9.276 ;21.536 ;3,84 ;2,37 ;3,15
11/2010;12.505 ;9.413 ;21.918 ;3,64 ;2,04 ;2,89
12/2010;12.689 ;9.428 ;22.116 ;3,23 ;1,76 ;2,55
01/2011;12.958 ;9.575 ;22.533 ;3,38 ;1,65 ;2,58
02/2011;13.111 ;9.741 ;22.851 ;3,02 ;1,54 ;2,33
03/2011;13.306 ;9.979 ;23.285 ;3,02 ;1,61 ;2,36
04/2011;13.523 ;10.090 ;23.613 ;3,08 ;1,66 ;2,42
05/2011;13.706 ;10.245 ;23.951 ;3,03 ;1,72 ;2,42
06/2011;14.027 ;10.261 ;24.288 ;2,97 ;1,86 ;2,46
07/2011;14.189 ;10.336 ;24.524 ;3,03 ;1,89 ;2,50
08/2011;14.468 ;10.601 ;25.069 ;3,02 ;1,79 ;2,45
09/2011;14.746 ;10.906 ;25.652 ;2,93 ;1,43 ;2,23
10/2011;14.942 ;11.053 ;25.996 ;3,10 ;1,40 ;2,31
11/2011;15.217 ;11.385 ;26.602 ;3,54 ;1,54 ;2,61
12/2011;15.481 ;11.569 ;27.050 ;3,55 ;1,92 ;2,79
01/2012;15.917 ;11.168 ;27.086 ;3,36 ;1,69 ;2,64
02/2012;16.098 ;11.361 ;27.459 ;3,70 ;1,71 ;2,85
03/2012;16.389 ;12.254 ;28.643 ;3,70 ;1,65 ;2,80
04/2012;16.346 ;12.451 ;28.797 ;3,78 ;1,76 ;2,90
05/2012;16.581 ;12.832 ;29.413 ;3,83 ;1,79 ;2,94
06/2012;16.789 ;13.234 ;30.022 ;3,79 ;1,77 ;2,90
07/2012;16.856 ;13.719 ;30.575 ;3,83 ;1,74 ;2,90
08/2012;17.255 ;13.929 ;31.184 ;3,78 ;1,65 ;2,83
09/2012;17.548 ;14.125 ;31.673 ;3,64 ;1,62 ;2,74
10/2012;17.687 ;15.053 ;32.740 ;3,59 ;1,43 ;2,60
11/2012;18.059 ;15.526 ;33.585 ;3,51 ;1,42 ;2,54
12/2012;18.409 ;15.487 ;33.896 ;3,42 ;1,60 ;2,59
01/2013;18.655 ;15.500 ;34.155 ;3,30 ;1,73 ;2,59
02/2013;18.844 ;15.609 ;34.454 ;3,26 ;1,74 ;2,57
03/2013;19.143 ;16.331 ;35.473 ;3,25 ;1,67 ;2,52
04/2013;19.435 ;16.223 ;35.658 ;3,12 ;1,64 ;2,45
05/2013;19.824 ;16.655 ;36.479 ;3,03 ;1,70 ;2,43
06/2013;20.321 ;17.380 ;37.701 ;2,91 ;1,52 ;2,27
07/2013;20.468 ;17.130 ;37.597 ;2,89 ;1,55 ;2,28
08/2013;20.846 ;17.575 ;38.421 ;2,78 ;1,49 ;2,19
09/2013;21.223 ;17.720 ;38.943 ;2,84 ;1,41 ;2,19
10/2013;21.539 ;17.736 ;39.275 ;2,79 ;1,37 ;2,15
11/2013;21.868 ;18.152 ;40.021 ;2,75 ;1,38 ;2,13
12/2013;22.448 ;19.102 ;41.550 ;2,71 ;1,36 ;2,09
01/2014;22.757 ;18.718 ;41.475 ;2,72 ;1,37 ;2,11
02/2014;22.972 ;18.792 ;41.765 ;2,72 ;1,23 ;2,05
03/2014;23.260 ;18.900 ;42.160 ;2,74 ;1,24 ;2,07
04/2014;23.633 ;18.828 ;42.461 ;2,68 ;1,40 ;2,11
05/2014;24.058 ;18.936 ;42.994 ;2,69 ;1,68 ;2,25
06/2014;24.454 ;18.466 ;42.920 ;2,65 ;1,51 ;2,16
07/2014;24.561 ;18.528 ;43.089 ;2,73 ;1,52 ;2,21
08/2014;24.910 ;18.056 ;42.966 ;2,86 ;2,42 ;2,67
09/2014;25.221 ;18.439 ;43.660 ;2,78 ;2,33 ;2,59
10/2014;25.537 ;18.748 ;44.285 ;2,87 ;2,15 ;2,56
11/2014;25.816 ;19.129 ;44.945 ;2,82 ;2,44 ;2,66
12/2014;26.416 ;19.707 ;46.123 ;2,65 ;2,06 ;2,40
01/2015;26.670 ;19.530 ;46.200 ;2,82 ;1,96 ;2,46
02/2015;26.773 ;19.744 ;46.517 ;2,94 ;2,13 ;2,60
03/2015;27.126 ;19.917 ;47.043 ;2,76 ;2,33 ;2,58
04/2015;27.218 ;19.824 ;47.041 ;2,72 ;2,62 ;2,68
05/2015;27.330 ;19.962 ;47.292 ;2,80 ;2,47 ;2,66
06/2015;27.465 ;20.257 ;47.722 ;2,65 ;2,35 ;2,52
07/2015;27.508 ;20.309 ;47.817 ;2,76 ;3,05 ;2,88
08/2015;27.865 ;20.485 ;48.350 ;2,90 ;3,55 ;3,18
09/2015;28.065 ;20.560 ;48.625 ;2,89 ;3,14 ;2,99
10/2015;28.106 ;20.381 ;48.486 ;3,05 ;3,60 ;3,28
11/2015;28.372 ;20.298 ;48.671 ;3,05 ;3,70 ;3,32
12/2015;28.788 ;20.668 ;49.456 ;3,13 ;3,01 ;3,08
01/2016;28.921 ;20.345 ;49.266 ;3,17 ;3,09 ;3,14
02/2016;29.157 ;19.806 ;48.963 ;3,19 ;3,04 ;3,13
03/2016;29.468 ;19.488 ;48.956 ;3,04 ;3,04 ;3,04
04/2016;29.492 ;19.229 ;48.721 ;3,19 ;3,24 ;3,21
05/2016;29.613 ;18.987 ;48.600 ;3,17 ;3,78 ;3,41
06/2016;29.799 ;18.608 ;48.407 ;2,93 ;3,50 ;3,15
07/2016;29.707 ;18.336 ;48.043 ;2,85 ;3,46 ;3,08
08/2016;29.947 ;18.275 ;48.223 ;2,83 ;3,29 ;3,00
09/2016;30.064 ;17.990 ;48.054 ;2,89 ;3,35 ;3,06
10/2016;30.106 ;17.974 ;48.079 ;2,95 ;3,39 ;3,11
11/2016;30.487 ;18.128 ;48.614 ;2,87 ;3,16 ;2,98
12/2016;30.833 ;18.144 ;48.977 ;2,70 ;3,18 ;2,88
01/2017;31.183 ;17.516 ;48.700 ;2,65 ;3,64 ;3,01
02/2017;31.384 ;17.397 ;48.780 ;2,73 ;3,90 ;3,14
03/2017;31.861 ;17.308 ;49.170 ;2,67 ;3,14 ;2,84
04/2017;32.064 ;17.123 ;49.187 ;2,77 ;3,00 ;2,85
05/2017;32.245 ;17.041 ;49.287 ;2,76 ;3,70 ;3,08
06/2017;32.432 ;17.187 ;49.619 ;2,51 ;2,98 ;2,67
07/2017;32.507 ;16.886 ;49.392 ;2,74 ;2,86 ;2,78
08/2017;32.879 ;16.694 ;49.573 ;2,78 ;2,78 ;2,78
09/2017;32.981 ;16.535 ;49.516 ;2,77 ;2,93 ;2,83
10/2017;33.266 ;16.498 ;49.764 ;2,79 ;2,92 ;2,83
11/2017;33.647 ;16.446 ;50.094 ;2,68 ;2,78 ;2,71
12/2017;33.930 ;16.711 ;50.640 ;2,50 ;2,12 ;2,38
01/2018;34.337 ;16.431 ;50.768 ;2,76 ;1,95 ;2,50
02/2018;34.487 ;16.582 ;51.068 ;2,77 ;1,85 ;2,47
03/2018;34.755 ;16.540 ;51.295 ;2,65 ;2,01 ;2,44
04/2018;34.882 ;16.585 ;51.467 ;2,57 ;2,01 ;2,39
05/2018;35.059 ;16.462 ;51.521 ;2,53 ;2,51 ;2,52
06/2018;35.448 ;16.484 ;51.932 ;2,37 ;2,34 ;2,36
07/2018;35.599 ;16.318 ;51.917 ;2,38 ;1,86 ;2,22
08/2018;36.265 ;16.318 ;52.583 ;2,41 ;1,95 ;2,27
09/2018;36.534 ;16.296 ;52.830 ;2,43 ;5,58 ;3,40
10/2018;36.984 ;16.094 ;53.078 ;2,41 ;6,08 ;3,53
11/2018;37.592 ;16.444 ;54.036 ;2,33 ;5,67 ;3,34
12/2018;38.151 ;16.726 ;54.876 ;2,18 ;5,46 ;3,18
01/2019;38.434 ;16.383 ;54.816 ;2,31 ;5,51 ;3,26
02/2019;38.830 ;16.433 ;55.263 ;2,26 ;6,03 ;3,38
03/2019;39.269 ;16.737 ;56.006 ;2,32 ;6,41 ;3,54
04/2019;39.389 ;16.792 ;56.180 ;2,30 ;6,39 ;3,52
05/2019;39.811 ;16.788 ;56.599 ;2,29 ;6,43 ;3,52
06/2019;40.176 ;16.081 ;56.258 ;2,22 ;5,72 ;3,22
07/2019;40.378 ;15.700 ;56.078 ;2,42 ;5,39 ;3,25
08/2019;41.057 ;15.883 ;56.940 ;2,47 ;5,39 ;3,28
09/2019;41.672 ;15.752 ;57.423 ;2,47 ;5,46 ;3,29
10/2019;42.262 ;15.648 ;57.910 ;2,42 ;5,47 ;3,24
11/2019;42.907 ;15.781 ;58.688 ;2,46 ;5,39 ;3,24
12/2019;43.510 ;15.956 ;59.465 ;2,42 ;5,37 ;3,21
01/2020;44.125 ;16.010 ;60.136 ;2,62 ;5,52 ;3,39
02/2020;44.580 ;16.270 ;60.850 ;2,63 ;5,07 ;3,29
03/2020;44.874 ;16.844 ;61.718 ;2,84 ;4,89 ;3,40
04/2020;44.455 ;16.765 ;61.220 ;2,91 ;4,90 ;3,45
05/2020;44.506 ;16.669 ;61.176 ;2,82 ;4,97 ;3,41
Fonte;BCB;BCB;BCB;BCB;BCB;BCB
