Data;28473 - Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados - Índice;28474 - Índice volume de vendas no varejo - Combustíveis e lubrificantes - Brasil - Dados dessazonalizados - Índice;28475 - Índice volume de vendas no varejo - Hiper/supermercado, Prod. alimentícios, bebidas, fumo - Brasil - Dados dessazonalizados - Índice;28476 - Índice volume de vendas no varejo - Hipermercados e supermercados - Brasil - Dados dessazonalizados - Índice;28477 - Índice volume de vendas no varejo - Tecido, vestuário e calçado - Brasil - Dados dessazonalizados - Índice;28478 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados - Índice;28479 - Índice volume de vendas no varejo - Automóveis, motocicletas, partes e peças - Brasil - Dados dessazonalizados - Índice;28480 - Artigos farmacêuticos, médicos, ortopédicos, perfumaria e cosméticos - Dados dessazonalizados - Índice;28481 - Livros, jornais, revistas e papelaria - Dados dessazonalizados - Índice;28482 - Equipamentos e materiais para escritório e comunicação - Dados dessazonalizados - Índice;28483 - Outros artigos de uso pessoal e doméstico - Dados dessazonalizados - Índice;28484 - Material de construção - Dados dessazonalizados - Índice;28485 - Comércio ampliado - Dados dessazonalizados - Índice
06/2002;48,90 ;76,20 ;57,70 ;57,70 ;64,90 ;28,40 ;44,50 ;-;-;-;;;
07/2002;49,50 ;80,80 ;57,60 ;57,80 ;69,00 ;27,10 ;44,80 ;-;-;-;;;
08/2002;49,90 ;83,80 ;57,70 ;57,80 ;68,50 ;27,90 ;46,20 ;-;-;-;;;
09/2002;49,40 ;84,30 ;56,50 ;56,50 ;68,50 ;27,60 ;48,20 ;-;-;-;;;
10/2002;49,80 ;81,70 ;57,40 ;57,60 ;68,00 ;28,40 ;45,50 ;-;-;-;;;
11/2002;48,70 ;79,10 ;56,20 ;56,50 ;67,00 ;27,10 ;42,80 ;-;-;-;;;
12/2002;47,80 ;78,40 ;54,70 ;55,00 ;67,10 ;26,40 ;41,40 ;-;-;-;;;
01/2003;47,10 ;75,00 ;54,70 ;55,30 ;65,60 ;26,40 ;42,40 ;37,90 ;65,50 ;13,40;26,20 ;63,60 ;45,60
02/2003;47,90 ;74,60 ;55,00 ;55,70 ;67,50 ;27,00 ;43,70 ;37,60 ;65,80 ;13,50;26,50 ;64,50 ;46,80
03/2003;46,60 ;75,20 ;54,00 ;54,20 ;66,20 ;25,60 ;42,10 ;35,30 ;63,60 ;12,10;26,20 ;62,70 ;45,80
04/2003;46,60 ;75,30 ;54,20 ;54,30 ;64,90 ;25,50 ;41,80 ;36,90 ;63,20 ;12,50;26,80 ;61,90 ;45,60
05/2003;46,30 ;76,70 ;54,30 ;54,40 ;55,40 ;25,60 ;40,60 ;36,70 ;62,20 ;12,30;26,70 ;60,90 ;45,20
06/2003;46,60 ;75,50 ;53,90 ;53,90 ;64,10 ;26,60 ;41,70 ;36,90 ;63,30 ;12,30;27,30 ;59,80 ;45,70
07/2003;47,10 ;78,90 ;54,10 ;54,20 ;64,30 ;27,00 ;40,50 ;37,80 ;64,80 ;12,80;28,00 ;58,50 ;46,20
08/2003;47,50 ;77,70 ;54,50 ;54,80 ;65,50 ;28,00 ;39,80 ;37,60 ;63,20 ;14,70;28,80 ;59,60 ;46,40
09/2003;47,80 ;77,00 ;54,50 ;54,70 ;64,70 ;29,00 ;44,00 ;38,80 ;63,50 ;14,50;29,20 ;60,10 ;47,40
10/2003;48,10 ;77,90 ;54,50 ;54,80 ;66,80 ;29,80 ;44,00 ;39,30 ;63,70 ;17,20;29,60 ;60,80 ;48,00
11/2003;49,20 ;80,10 ;55,10 ;55,40 ;66,40 ;30,50 ;46,60 ;39,60 ;68,60 ;18,10;30,40 ;60,50 ;48,70
12/2003;48,90 ;77,30 ;55,40 ;55,80 ;65,90 ;31,50 ;45,30 ;39,40 ;61,40 ;16,00;30,30 ;60,90 ;48,80
01/2004;49,40 ;78,10 ;55,70 ;56,10 ;65,00 ;31,40 ;47,10 ;39,90 ;62,60 ;16,60;30,20 ;59,70 ;48,60
02/2004;50,30 ;78,70 ;56,20 ;56,70 ;66,10 ;32,50 ;49,10 ;40,40 ;61,30 ;15,20;31,90 ;61,80 ;50,80
03/2004;50,80 ;82,10 ;56,90 ;57,20 ;68,30 ;32,70 ;46,90 ;41,20 ;63,70 ;16,40;31,70 ;63,00 ;50,70
04/2004;51,10 ;81,80 ;57,40 ;57,60 ;64,50 ;33,80 ;48,20 ;40,40 ;62,60 ;15,30;30,70 ;63,30 ;51,30
05/2004;51,80 ;81,00 ;57,80 ;58,00 ;69,70 ;34,80 ;50,30 ;40,80 ;63,90 ;15,80;32,90 ;63,30 ;51,90
06/2004;52,10 ;81,50 ;58,10 ;58,50 ;72,00 ;35,30 ;51,60 ;41,00 ;64,50 ;16,50;33,10 ;63,60 ;52,20
07/2004;52,10 ;81,20 ;58,40 ;58,80 ;68,20 ;35,50 ;51,30 ;40,70 ;62,20 ;15,50;33,00 ;63,10 ;52,30
08/2004;51,70 ;79,10 ;58,50 ;58,90 ;66,40 ;35,90 ;50,30 ;40,00 ;61,90 ;15,10;32,80 ;62,70 ;51,90
09/2004;51,80 ;79,70 ;58,50 ;59,10 ;66,60 ;35,20 ;51,50 ;40,00 ;61,50 ;16,00;33,00 ;61,80 ;52,40
10/2004;52,40 ;79,70 ;59,70 ;60,20 ;66,30 ;36,30 ;50,90 ;40,10 ;62,50 ;15,20;33,10 ;61,10 ;52,20
11/2004;52,60 ;79,10 ;60,10 ;60,70 ;66,50 ;36,40 ;50,30 ;39,50 ;62,70 ;15,50;33,40 ;60,50 ;52,00
12/2004;53,90 ;79,10 ;61,40 ;61,90 ;68,60 ;39,70 ;53,90 ;40,80 ;67,50 ;14,20;34,30 ;64,00 ;54,30
01/2005;52,90 ;77,90 ;59,90 ;60,70 ;68,10 ;37,90 ;54,40 ;40,80 ;59,10 ;14,70;34,30 ;61,80 ;53,30
02/2005;52,70 ;75,70 ;58,60 ;58,00 ;67,90 ;38,60 ;49,70 ;41,70 ;69,90 ;20,10;35,00 ;60,40 ;52,50
03/2005;53,30 ;74,70 ;59,00 ;58,70 ;69,10 ;40,00 ;50,60 ;42,70 ;64,10 ;22,80;37,40 ;60,40 ;52,80
04/2005;53,50 ;74,50 ;58,60 ;58,50 ;72,70 ;40,40 ;49,80 ;42,00 ;64,90 ;25,70;36,40 ;60,20 ;52,70
05/2005;53,80 ;76,10 ;59,50 ;59,00 ;68,10 ;41,50 ;51,40 ;42,80 ;63,80 ;23,90;36,00 ;58,80 ;53,20
06/2005;54,50 ;75,80 ;60,10 ;59,90 ;71,00 ;42,00 ;50,00 ;43,30 ;61,50 ;24,60;37,20 ;58,40 ;53,30
07/2005;55,00 ;74,30 ;60,80 ;60,50 ;74,70 ;42,10 ;50,40 ;43,10 ;62,50 ;25,40;38,00 ;57,70 ;53,30
08/2005;54,80 ;73,70 ;60,80 ;60,70 ;72,10 ;41,10 ;50,80 ;44,00 ;64,60 ;24,30;38,00 ;57,00 ;53,70
09/2005;54,50 ;73,50 ;60,70 ;60,50 ;73,90 ;39,20 ;49,90 ;43,30 ;64,20 ;24,60;37,90 ;55,40 ;53,10
10/2005;54,90 ;72,50 ;61,10 ;61,10 ;73,10 ;40,90 ;50,30 ;43,60 ;64,70 ;25,70;38,90 ;56,30 ;53,60
11/2005;55,10 ;72,40 ;61,00 ;61,00 ;71,90 ;41,80 ;52,00 ;44,00 ;65,60 ;25,40;39,00 ;57,80 ;53,90
12/2005;56,20 ;73,00 ;61,80 ;61,60 ;73,10 ;44,40 ;55,30 ;44,20 ;66,10 ;28,30;40,30 ;62,00 ;56,40
01/2006;56,80 ;71,10 ;64,20 ;64,30 ;74,00 ;41,80 ;53,10 ;44,40 ;62,80 ;31,70;42,10 ;60,00 ;55,20
02/2006;56,10 ;70,10 ;62,90 ;62,40 ;72,70 ;42,10 ;50,60 ;43,90 ;64,80 ;29,30;39,80 ;59,60 ;54,60
03/2006;55,90 ;67,60 ;63,50 ;62,50 ;70,20 ;42,40 ;51,80 ;43,80 ;63,20 ;29,20;40,80 ;59,80 ;54,90
04/2006;56,70 ;67,10 ;63,90 ;63,90 ;71,60 ;44,00 ;51,60 ;44,20 ;69,10 ;30,80;41,60 ;59,90 ;55,40
05/2006;56,90 ;66,60 ;63,90 ;63,90 ;71,80 ;45,90 ;53,50 ;44,20 ;65,10 ;32,60;41,80 ;58,40 ;55,90
06/2006;56,80 ;66,30 ;64,70 ;64,60 ;70,10 ;44,10 ;49,70 ;44,20 ;63,40 ;31,00;42,20 ;61,20 ;54,80
07/2006;56,90 ;67,00 ;64,50 ;64,60 ;71,20 ;43,20 ;57,90 ;44,40 ;65,00 ;31,70;43,20 ;63,20 ;57,10
08/2006;58,10 ;68,80 ;64,90 ;65,00 ;72,70 ;45,90 ;55,70 ;44,80 ;64,90 ;31,00;44,60 ;63,10 ;57,80
09/2006;59,20 ;68,80 ;65,90 ;66,30 ;74,50 ;46,70 ;56,00 ;45,40 ;66,20 ;31,20;47,90 ;63,10 ;58,20
10/2006;59,50 ;68,80 ;66,40 ;66,50 ;73,40 ;48,20 ;57,10 ;45,50 ;66,00 ;31,30;46,80 ;63,00 ;59,00
11/2006;59,90 ;69,50 ;66,30 ;66,60 ;76,70 ;48,20 ;59,30 ;45,40 ;65,20 ;31,60;47,50 ;63,00 ;60,00
12/2006;60,20 ;70,90 ;66,30 ;66,50 ;76,60 ;48,70 ;62,00 ;45,70 ;65,70 ;33,90;47,90 ;63,90 ;60,90
01/2007;60,60 ;72,30 ;66,80 ;67,20 ;76,30 ;49,50 ;59,60 ;45,80 ;65,70 ;34,90;48,50 ;63,90 ;60,00
02/2007;61,00 ;73,20 ;67,30 ;67,70 ;75,50 ;49,70 ;61,00 ;46,10 ;66,10 ;36,00;48,70 ;63,70 ;61,10
03/2007;61,60 ;71,70 ;68,00 ;68,20 ;75,90 ;49,90 ;62,60 ;46,40 ;68,10 ;37,30;49,70 ;64,10 ;61,70
04/2007;62,10 ;71,70 ;68,60 ;68,80 ;75,80 ;49,70 ;67,30 ;47,60 ;74,90 ;39,20;53,90 ;66,20 ;63,80
05/2007;62,70 ;70,30 ;68,70 ;68,80 ;83,60 ;51,30 ;64,70 ;47,40 ;68,20 ;38,90;52,60 ;67,70 ;63,70
06/2007;62,80 ;70,70 ;68,80 ;68,90 ;79,50 ;51,30 ;67,30 ;49,40 ;70,50 ;38,50;52,80 ;68,60 ;63,90
07/2007;63,20 ;70,90 ;69,30 ;69,50 ;80,00 ;51,40 ;68,20 ;48,80 ;70,40 ;42,00;53,00 ;67,60 ;64,40
08/2007;63,70 ;71,40 ;68,30 ;68,40 ;81,70 ;53,20 ;70,20 ;49,60 ;71,60 ;41,90;54,70 ;69,00 ;66,30
09/2007;64,60 ;72,00 ;70,50 ;71,10 ;81,10 ;53,60 ;69,70 ;50,30 ;71,10 ;41,90;56,00 ;69,80 ;66,50
10/2007;64,60 ;72,40 ;69,70 ;69,90 ;83,00 ;53,70 ;71,60 ;50,00 ;70,50 ;41,90;57,20 ;70,80 ;67,60
11/2007;66,00 ;73,90 ;70,60 ;70,70 ;86,30 ;55,10 ;72,60 ;49,70 ;69,90 ;44,50;58,50 ;71,60 ;68,20
12/2007;66,60 ;73,20 ;71,20 ;71,60 ;84,90 ;55,60 ;70,70 ;51,30 ;71,20 ;46,20;60,10 ;71,60 ;68,30
01/2008;67,20 ;74,30 ;72,00 ;72,30 ;87,00 ;56,50 ;73,30 ;53,30 ;70,20 ;44,00;61,70 ;71,40 ;68,90
02/2008;66,00 ;75,50 ;70,10 ;70,50 ;82,00 ;57,40 ;76,30 ;50,80 ;74,50 ;48,60;59,00 ;73,30 ;69,20
03/2008;67,70 ;75,90 ;71,30 ;71,40 ;86,30 ;59,60 ;77,30 ;52,60 ;75,30 ;48,20;62,40 ;73,60 ;70,30
04/2008;68,40 ;77,50 ;71,60 ;71,70 ;89,00 ;60,70 ;79,70 ;53,30 ;82,00 ;47,50;61,30 ;74,00 ;72,30
05/2008;69,00 ;79,20 ;72,30 ;72,10 ;87,70 ;61,00 ;79,30 ;54,00 ;77,30 ;51,90;62,60 ;73,50 ;72,40
06/2008;69,30 ;80,10 ;72,50 ;72,60 ;88,50 ;60,40 ;82,00 ;54,40 ;79,40 ;54,00;61,90 ;74,40 ;73,30
07/2008;69,60 ;81,20 ;72,20 ;72,10 ;84,40 ;61,20 ;82,80 ;54,90 ;77,60 ;53,50;63,50 ;78,20 ;73,90
08/2008;70,10 ;80,60 ;72,80 ;72,70 ;85,50 ;61,40 ;75,80 ;54,90 ;76,90 ;59,00;63,30 ;74,10 ;71,80
09/2008;71,00 ;80,90 ;73,30 ;73,50 ;88,70 ;63,00 ;83,20 ;57,70 ;78,20 ;59,90;63,90 ;75,30 ;75,10
10/2008;70,30 ;79,90 ;73,60 ;73,60 ;82,50 ;62,10 ;67,40 ;56,80 ;77,30 ;60,10;63,00 ;73,30 ;70,10
11/2008;69,60 ;78,70 ;74,00 ;74,10 ;79,40 ;58,80 ;61,60 ;57,70 ;78,90 ;56,20;63,80 ;70,70 ;66,70
12/2008;69,70 ;77,80 ;75,10 ;75,20 ;80,10 ;57,70 ;63,30 ;57,90 ;79,40 ;59,30;63,10 ;67,30 ;67,90
01/2009;69,90 ;76,90 ;75,20 ;75,10 ;81,10 ;58,20 ;75,90 ;58,10 ;84,10 ;51,50;64,60 ;64,00 ;70,90
02/2009;71,00 ;78,40 ;77,00 ;77,10 ;79,20 ;58,10 ;79,30 ;59,20 ;80,60 ;56,30;67,30 ;66,50 ;73,00
03/2009;70,80 ;79,20 ;76,40 ;76,30 ;79,70 ;56,80 ;82,60 ;59,60 ;82,80 ;55,30;67,50 ;65,90 ;73,80
04/2009;71,50 ;79,40 ;77,40 ;77,30 ;80,20 ;57,00 ;75,10 ;60,10 ;83,40 ;61,30;67,10 ;65,20 ;72,60
05/2009;71,80 ;81,80 ;77,90 ;77,90 ;78,70 ;57,50 ;82,00 ;60,30 ;82,60 ;55,70;69,00 ;68,20 ;74,10
06/2009;72,70 ;79,10 ;78,10 ;78,00 ;87,00 ;60,00 ;98,90 ;60,80 ;84,40 ;65,40;68,90 ;68,80 ;80,40
07/2009;73,20 ;77,90 ;78,70 ;78,70 ;82,10 ;61,10 ;79,30 ;62,50 ;86,40 ;59,00;67,60 ;68,50 ;74,60
08/2009;73,60 ;76,90 ;79,60 ;79,60 ;80,70 ;62,50 ;83,00 ;62,50 ;86,60 ;58,40;68,60 ;69,20 ;76,40
09/2009;74,30 ;78,30 ;79,60 ;79,70 ;82,60 ;64,30 ;99,40 ;62,40 ;87,60 ;61,50;67,60 ;69,90 ;81,70
10/2009;75,70 ;80,40 ;81,40 ;81,20 ;84,20 ;64,80 ;83,10 ;63,90 ;87,50 ;63,50;68,90 ;71,50 ;78,10
11/2009;76,40 ;81,20 ;81,80 ;81,70 ;85,50 ;65,90 ;82,20 ;64,00 ;83,00 ;64,70;68,60 ;72,90 ;77,70
12/2009;76,30 ;81,90 ;82,20 ;81,80 ;85,20 ;66,50 ;81,20 ;64,40 ;86,70 ;62,50;68,10 ;72,60 ;77,70
01/2010;77,60 ;81,90 ;83,00 ;82,60 ;84,50 ;68,40 ;86,70 ;65,20 ;88,10 ;69,90;68,60 ;72,70 ;79,20
02/2010;79,50 ;82,10 ;85,60 ;85,50 ;88,10 ;70,40 ;91,90 ;67,90 ;89,60 ;67,80;70,00 ;75,80 ;82,90
03/2010;79,40 ;83,60 ;84,80 ;84,60 ;89,00 ;69,50 ;105,50 ;67,50 ;90,60 ;71,70;70,20 ;75,80 ;88,60
04/2010;79,30 ;83,20 ;84,50 ;84,20 ;93,70 ;69,30 ;88,00 ;66,80 ;90,70 ;71,30;72,00 ;77,30 ;81,20
05/2010;79,90 ;86,50 ;85,40 ;85,30 ;88,80 ;69,70 ;86,80 ;67,40 ;92,50 ;71,30;73,10 ;81,20 ;81,80
06/2010;80,80 ;84,20 ;86,70 ;86,30 ;90,10 ;70,90 ;90,10 ;67,10 ;90,30 ;81,40;74,90 ;77,60 ;82,90
07/2010;80,60 ;83,80 ;86,10 ;85,60 ;90,40 ;68,70 ;93,50 ;67,60 ;94,00 ;72,40;75,40 ;79,60 ;83,90
08/2010;82,40 ;84,50 ;87,30 ;86,90 ;93,10 ;73,10 ;96,00 ;70,10 ;97,60 ;72,20;75,90 ;82,10 ;86,60
09/2010;83,00 ;85,80 ;86,90 ;86,60 ;92,80 ;74,50 ;96,60 ;69,60 ;98,30 ;81,50;78,20 ;82,00 ;87,20
10/2010;83,10 ;85,60 ;87,00 ;86,70 ;94,70 ;75,90 ;100,00 ;71,00 ;98,00 ;71,10;76,20 ;81,80 ;88,00
11/2010;83,40 ;85,50 ;86,40 ;86,00 ;92,30 ;77,00 ;102,20 ;71,60 ;98,50 ;75,80;75,40 ;82,90 ;88,90
12/2010;83,90 ;87,00 ;86,80 ;86,30 ;93,60 ;78,50 ;102,10 ;73,90 ;106,10 ;80,30;75,60 ;84,40 ;89,60
01/2011;84,10 ;87,20 ;86,90 ;86,70 ;92,90 ;81,10 ;99,70 ;73,20 ;97,80 ;73,70;72,10 ;83,00 ;88,40
02/2011;84,40 ;86,90 ;87,40 ;87,50 ;96,20 ;80,30 ;103,10 ;72,80 ;98,10 ;72,10;76,10 ;83,00 ;90,40
03/2011;85,20 ;87,30 ;88,70 ;88,10 ;97,00 ;81,70 ;103,90 ;73,30 ;98,50 ;79,30;78,90 ;85,20 ;90,80
04/2011;85,40 ;84,70 ;89,20 ;88,90 ;93,90 ;82,10 ;104,30 ;74,10 ;97,90 ;72,20;76,60 ;85,00 ;90,80
05/2011;86,40 ;84,90 ;89,40 ;89,00 ;95,90 ;84,20 ;105,60 ;75,20 ;100,50 ;86,80;76,00 ;89,60 ;92,00
06/2011;86,40 ;84,80 ;88,60 ;88,20 ;100,10 ;83,40 ;102,50 ;75,70 ;100,20 ;110,50;77,60 ;88,20 ;91,50
07/2011;86,80 ;85,70 ;90,20 ;89,90 ;93,10 ;84,30 ;104,10 ;75,90 ;101,40 ;87,90;78,10 ;88,30 ;91,30
08/2011;86,80 ;85,50 ;90,20 ;89,90 ;92,00 ;83,90 ;97,30 ;75,40 ;102,50 ;87,30;77,70 ;86,10 ;89,90
09/2011;87,10 ;84,40 ;89,90 ;89,50 ;93,50 ;86,30 ;100,10 ;77,00 ;100,70 ;88,90;77,30 ;88,00 ;90,70
10/2011;87,20 ;84,70 ;89,80 ;89,50 ;92,90 ;86,40 ;96,60 ;76,40 ;102,20 ;89,60;77,50 ;87,60 ;89,90
11/2011;88,30 ;86,80 ;90,60 ;90,30 ;92,50 ;85,50 ;99,30 ;77,60 ;101,90 ;93,70;76,30 ;89,50 ;91,30
12/2011;89,00 ;87,10 ;89,60 ;89,20 ;92,80 ;90,80 ;102,40 ;79,60 ;102,30 ;113,20;78,70 ;89,20 ;93,30
01/2012;91,20 ;86,80 ;95,90 ;96,20 ;95,90 ;91,30 ;102,90 ;79,20 ;103,60 ;95,70;79,60 ;91,90 ;94,60
02/2012;91,70 ;89,50 ;95,70 ;95,90 ;94,10 ;92,80 ;101,50 ;79,20 ;100,00 ;94,60;80,10 ;92,00 ;94,60
03/2012;92,30 ;89,30 ;96,70 ;96,80 ;94,30 ;92,90 ;101,10 ;81,10 ;100,40 ;96,10;80,20 ;91,80 ;95,60
04/2012;93,00 ;90,50 ;96,00 ;95,90 ;96,80 ;94,10 ;99,50 ;82,00 ;97,20 ;97,70;82,10 ;95,20 ;95,50
05/2012;92,60 ;90,10 ;96,30 ;96,00 ;97,70 ;91,80 ;102,30 ;83,10 ;103,70 ;98,70;82,20 ;91,80 ;95,50
06/2012;93,90 ;90,80 ;97,00 ;97,00 ;99,30 ;95,50 ;126,30 ;84,50 ;108,80 ;93,20;83,40 ;91,50 ;102,20
07/2012;94,70 ;92,50 ;97,70 ;97,80 ;100,00 ;95,00 ;116,50 ;84,50 ;108,50 ;97,70;83,80 ;92,30 ;100,70
08/2012;94,70 ;93,40 ;96,50 ;96,40 ;99,20 ;96,90 ;125,40 ;84,80 ;108,30 ;96,70;85,50 ;94,60 ;104,30
09/2012;94,90 ;95,00 ;97,70 ;98,00 ;99,10 ;94,80 ;96,80 ;84,90 ;109,60 ;93,90;84,70 ;93,70 ;94,60
10/2012;95,10 ;94,00 ;97,10 ;97,20 ;97,40 ;96,10 ;113,00 ;84,90 ;110,20 ;97,60;87,00 ;95,40 ;100,60
11/2012;94,70 ;92,10 ;97,20 ;97,20 ;97,60 ;91,00 ;104,00 ;84,90 ;109,80 ;91,80;87,70 ;94,60 ;97,80
12/2012;95,20 ;93,10 ;97,10 ;97,30 ;98,40 ;101,10 ;111,40 ;84,60 ;107,60 ;91,80;87,90 ;97,70 ;100,00
01/2013;95,00 ;94,00 ;97,50 ;97,40 ;98,20 ;95,50 ;107,10 ;85,90 ;108,10 ;99,70;88,90 ;97,70 ;99,20
02/2013;94,80 ;91,70 ;96,90 ;96,80 ;98,20 ;95,60 ;109,80 ;87,70 ;109,30 ;100,70;87,20 ;98,40 ;99,20
03/2013;95,50 ;94,40 ;97,10 ;97,20 ;101,80 ;96,30 ;111,90 ;87,70 ;105,80 ;97,60;90,20 ;99,10 ;100,30
04/2013;96,20 ;97,40 ;95,20 ;95,10 ;105,40 ;97,20 ;110,70 ;91,40 ;109,60 ;99,40;90,10 ;100,60 ;101,60
05/2013;96,50 ;98,00 ;98,00 ;98,10 ;99,60 ;98,10 ;109,00 ;89,90 ;104,90 ;98,10;89,70 ;98,00 ;100,50
06/2013;96,90 ;98,90 ;97,10 ;97,50 ;97,60 ;100,30 ;116,70 ;91,50 ;108,60 ;104,10;90,70 ;99,00 ;101,90
07/2013;99,50 ;99,00 ;99,90 ;100,00 ;103,80 ;103,30 ;110,50 ;93,10 ;109,70 ;103,20;94,20 ;100,30 ;102,80
08/2013;99,90 ;98,10 ;100,40 ;100,50 ;101,10 ;105,00 ;112,70 ;93,50 ;108,10 ;105,80;93,80 ;100,70 ;103,80
09/2013;100,10 ;98,50 ;101,00 ;101,00 ;102,00 ;102,10 ;107,50 ;94,60 ;109,90 ;107,40;97,20 ;102,20 ;102,50
10/2013;99,70 ;99,80 ;99,40 ;99,20 ;100,50 ;101,70 ;109,10 ;94,50 ;110,30 ;107,80;96,90 ;101,70 ;102,90
11/2013;99,40 ;100,70 ;100,80 ;100,60 ;101,20 ;96,40 ;111,10 ;95,50 ;108,60 ;101,50;92,10 ;101,40 ;102,80
12/2013;100,30 ;98,80 ;101,60 ;101,60 ;103,00 ;101,30 ;106,90 ;95,40 ;108,40 ;99,80;96,80 ;101,20 ;102,10
01/2014;100,20 ;100,50 ;101,70 ;101,70 ;100,60 ;100,20 ;108,90 ;97,60 ;105,50 ;94,40;98,30 ;101,40 ;103,50
02/2014;100,40 ;102,40 ;101,50 ;101,40 ;100,80 ;100,00 ;102,50 ;97,30 ;97,90 ;99,00;98,20 ;105,40 ;101,80
03/2014;100,00 ;100,70 ;101,20 ;101,40 ;99,10 ;102,10 ;101,00 ;97,10 ;104,10 ;96,10;97,60 ;101,50 ;100,60
04/2014;99,80 ;99,40 ;98,60 ;98,70 ;100,10 ;103,10 ;105,30 ;97,90 ;99,90 ;95,90;97,30 ;100,30 ;101,30
